OTU	Group
ASV_1	H60
ASV_1	H61
ASV_1	H62
ASV_1	H63
ASV_1	H64
ASV_1	H67
ASV_1	H68
ASV_1	H79
ASV_1	H94
ASV_1	H95
ASV_1	H96
ASV_1	L36
ASV_1	L37
ASV_1	L38
ASV_1	L39
ASV_1	L70
ASV_1	L73
ASV_1	L76
ASV_1	L77
ASV_1	L91
ASV_1	L92
ASV_1	L93
ASV_1	M30
ASV_1	M31
ASV_1	M32
ASV_1	M33
ASV_1	M34
ASV_1	M35
ASV_1	M54
ASV_1	M55
ASV_1	M56
ASV_1	M57
ASV_1	M58
ASV_1	M59
ASV_1	N12
ASV_1	N13
ASV_1	N15
ASV_1	N16
ASV_1	N17
ASV_1	N52
ASV_1	N53
ASV_1	N86
ASV_1	N87
ASV_1	N88
ASV_1	N90
ASV_2	H60
ASV_2	H61
ASV_2	H62
ASV_2	H63
ASV_2	H64
ASV_2	H66
ASV_2	H67
ASV_2	H68
ASV_2	H79
ASV_2	H94
ASV_2	H95
ASV_2	H96
ASV_2	L36
ASV_2	L37
ASV_2	L38
ASV_2	L39
ASV_2	L70
ASV_2	L73
ASV_2	L76
ASV_2	L77
ASV_2	L91
ASV_2	L92
ASV_2	L93
ASV_2	M30
ASV_2	M31
ASV_2	M32
ASV_2	M33
ASV_2	M34
ASV_2	M35
ASV_2	M54
ASV_2	M55
ASV_2	M56
ASV_2	M57
ASV_2	M58
ASV_2	M59
ASV_2	N12
ASV_2	N13
ASV_2	N15
ASV_2	N16
ASV_2	N17
ASV_2	N51
ASV_2	N52
ASV_2	N53
ASV_2	N87
ASV_2	N88
ASV_2	N90
ASV_3	H60
ASV_3	H61
ASV_3	H62
ASV_3	H63
ASV_3	H64
ASV_3	H66
ASV_3	H67
ASV_3	H68
ASV_3	H79
ASV_3	H94
ASV_3	H95
ASV_3	H96
ASV_3	L36
ASV_3	L37
ASV_3	L38
ASV_3	L39
ASV_3	L70
ASV_3	L73
ASV_3	L76
ASV_3	L77
ASV_3	L91
ASV_3	L92
ASV_3	L93
ASV_3	M30
ASV_3	M31
ASV_3	M32
ASV_3	M33
ASV_3	M34
ASV_3	M35
ASV_3	M54
ASV_3	M55
ASV_3	M56
ASV_3	M57
ASV_3	M58
ASV_3	M59
ASV_3	N15
ASV_3	N16
ASV_3	N52
ASV_3	N53
ASV_11	H60
ASV_11	H61
ASV_11	H62
ASV_11	H63
ASV_11	H66
ASV_11	H67
ASV_11	H68
ASV_11	H79
ASV_11	H94
ASV_11	H95
ASV_11	H96
ASV_11	L36
ASV_11	L37
ASV_11	L39
ASV_11	L73
ASV_11	L76
ASV_11	L77
ASV_11	L92
ASV_11	L93
ASV_11	M30
ASV_11	M31
ASV_11	M32
ASV_11	M33
ASV_11	M34
ASV_11	M35
ASV_11	M54
ASV_11	M55
ASV_11	M56
ASV_11	M57
ASV_11	M58
ASV_11	M59
ASV_11	N12
ASV_11	N13
ASV_11	N15
ASV_11	N17
ASV_11	N51
ASV_11	N52
ASV_11	N87
ASV_11	N90
ASV_8	H66
ASV_8	H67
ASV_8	H68
ASV_8	H95
ASV_8	L38
ASV_8	L70
ASV_8	L73
ASV_8	L76
ASV_8	L77
ASV_8	L92
ASV_8	L93
ASV_8	M35
ASV_8	M54
ASV_8	M59
ASV_8	N12
ASV_8	N13
ASV_8	N15
ASV_8	N16
ASV_8	N17
ASV_8	N51
ASV_8	N52
ASV_8	N53
ASV_8	N86
ASV_8	N87
ASV_8	N88
ASV_8	N90
ASV_10	H60
ASV_10	H61
ASV_10	H63
ASV_10	H66
ASV_10	H67
ASV_10	H68
ASV_10	H79
ASV_10	H95
ASV_10	L39
ASV_10	L73
ASV_10	L76
ASV_10	L77
ASV_10	L92
ASV_10	L93
ASV_10	M30
ASV_10	M31
ASV_10	M32
ASV_10	M33
ASV_10	M34
ASV_10	M35
ASV_10	M54
ASV_10	M55
ASV_10	M56
ASV_10	M57
ASV_10	M58
ASV_10	M59
ASV_10	N12
ASV_10	N13
ASV_10	N15
ASV_10	N17
ASV_10	N53
ASV_1385	H60
