OTU	Group
ASV_1	ANC
ASV_1	BMD
ASV_1	CLMAT
ASV_1	DHMAT
ASV_2	ANC
ASV_2	BMD
ASV_2	CLMAT
ASV_2	DHMAT
ASV_3	ANC
ASV_3	BMD
ASV_3	CLMAT
ASV_3	DHMAT
ASV_11	ANC
ASV_11	BMD
ASV_11	CLMAT
ASV_11	DHMAT
ASV_8	ANC
ASV_8	BMD
ASV_8	CLMAT
ASV_8	DHMAT
ASV_10	ANC
ASV_10	BMD
ASV_10	CLMAT
ASV_10	DHMAT
ASV_1385	CLMAT
ASV_1385	DHMAT
ASV_6	ANC
ASV_4	BMD
ASV_4	CLMAT
ASV_4	DHMAT
ASV_7	ANC
ASV_7	BMD
ASV_7	CLMAT
ASV_7	DHMAT
ASV_9	ANC
ASV_9	BMD
ASV_9	CLMAT
ASV_9	DHMAT
ASV_14	ANC
ASV_14	BMD
ASV_14	CLMAT
ASV_14	DHMAT
ASV_15	ANC
ASV_15	BMD
ASV_15	CLMAT
ASV_15	DHMAT
ASV_13	ANC
ASV_13	BMD
ASV_13	CLMAT
ASV_13	DHMAT
ASV_21	ANC
ASV_21	BMD
ASV_21	CLMAT
ASV_21	DHMAT
ASV_19	ANC
ASV_19	BMD
ASV_19	CLMAT
ASV_19	DHMAT
ASV_12	BMD
ASV_12	CLMAT
ASV_12	DHMAT
ASV_17	ANC
ASV_17	BMD
ASV_17	CLMAT
ASV_17	DHMAT
ASV_20	BMD
ASV_20	CLMAT
ASV_20	DHMAT
ASV_29	ANC
ASV_29	BMD
ASV_29	CLMAT
ASV_29	DHMAT
ASV_22	BMD
ASV_22	CLMAT
ASV_22	DHMAT
ASV_23	ANC
ASV_23	BMD
ASV_23	CLMAT
ASV_23	DHMAT
ASV_16	ANC
ASV_16	CLMAT
ASV_16	DHMAT
ASV_28	BMD
ASV_28	CLMAT
ASV_28	DHMAT
ASV_25	ANC
ASV_25	BMD
ASV_25	CLMAT
ASV_25	DHMAT
ASV_30	ANC
ASV_30	CLMAT
ASV_26	ANC
ASV_26	BMD
ASV_26	CLMAT
ASV_26	DHMAT
ASV_24	ANC
ASV_24	BMD
ASV_24	CLMAT
ASV_24	DHMAT
ASV_27	ANC
ASV_27	CLMAT
ASV_27	DHMAT
ASV_119	BMD
ASV_119	CLMAT
ASV_119	DHMAT
ASV_157	ANC
ASV_157	BMD
ASV_157	CLMAT
ASV_157	DHMAT
ASV_34	ANC
ASV_32	BMD
ASV_32	CLMAT
ASV_32	DHMAT
ASV_31	ANC
ASV_31	BMD
ASV_31	CLMAT
ASV_31	DHMAT
ASV_37	ANC
ASV_38	BMD
