jaccard	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H60	0	0.691	0.845	0.490	0.778	0.751	0.641	0.705	0.589	0.593	0.740	0.760	0.826	0.782	0.819	0.743	0.793	0.783	0.675	0.736	0.831	0.749	0.757	0.746	0.774	0.818	0.799	0.806	0.798	0.623	0.637	0.708	0.693	0.668	0.777	0.922	0.934	0.893	0.912	0.840	0.837	0.877	0.901	0.894	0.878	0.827	0.903
H61	0.691	0	0.723	0.725	0.689	0.813	0.715	0.754	0.552	0.552	0.620	0.677	0.698	0.761	0.711	0.775	0.774	0.688	0.722	0.739	0.759	0.701	0.721	0.637	0.613	0.692	0.747	0.731	0.729	0.727	0.743	0.790	0.676	0.688	0.628	0.896	0.903	0.875	0.893	0.874	0.893	0.881	0.870	0.892	0.899	0.899	0.880
H62	0.845	0.723	0	0.834	0.681	0.834	0.793	0.775	0.814	0.795	0.742	0.615	0.657	0.723	0.660	0.805	0.613	0.768	0.776	0.797	0.593	0.770	0.769	0.603	0.737	0.705	0.491	0.600	0.761	0.811	0.831	0.866	0.780	0.777	0.680	0.810	0.812	0.850	0.899	0.890	0.896	0.892	0.842	0.891	0.906	0.904	0.844
H63	0.490	0.725	0.834	0	0.794	0.744	0.703	0.735	0.683	0.671	0.758	0.778	0.818	0.800	0.832	0.760	0.817	0.783	0.688	0.689	0.840	0.755	0.751	0.768	0.830	0.804	0.809	0.819	0.785	0.682	0.672	0.759	0.746	0.708	0.816	0.912	0.929	0.901	0.917	0.857	0.851	0.879	0.907	0.904	0.890	0.870	0.907
H64	0.778	0.689	0.681	0.794	0	0.777	0.693	0.680	0.726	0.703	0.695	0.745	0.582	0.670	0.649	0.769	0.705	0.760	0.765	0.803	0.605	0.720	0.732	0.659	0.722	0.731	0.773	0.801	0.772	0.729	0.746	0.799	0.726	0.701	0.715	0.932	0.936	0.900	0.905	0.880	0.876	0.886	0.905	0.920	0.890	0.891	0.916
H66	0.751	0.813	0.834	0.744	0.777	0	0.709	0.678	0.763	0.798	0.701	0.799	0.758	0.790	0.757	0.732	0.815	0.720	0.750	0.677	0.823	0.699	0.727	0.773	0.868	0.834	0.809	0.825	0.746	0.749	0.752	0.787	0.812	0.718	0.843	0.892	0.915	0.871	0.834	0.839	0.850	0.875	0.859	0.876	0.869	0.833	0.890
H67	0.641	0.715	0.793	0.703	0.693	0.709	0	0.563	0.697	0.658	0.564	0.655	0.744	0.684	0.713	0.696	0.733	0.721	0.685	0.722	0.760	0.673	0.633	0.653	0.731	0.714	0.727	0.774	0.711	0.569	0.596	0.619	0.629	0.538	0.731	0.906	0.918	0.878	0.889	0.823	0.792	0.846	0.878	0.889	0.853	0.858	0.884
H68	0.705	0.754	0.775	0.735	0.680	0.678	0.563	0	0.747	0.695	0.658	0.683	0.748	0.666	0.716	0.701	0.729	0.750	0.667	0.696	0.726	0.665	0.674	0.699	0.775	0.776	0.752	0.785	0.713	0.661	0.687	0.734	0.732	0.643	0.764	0.886	0.904	0.845	0.847	0.809	0.775	0.831	0.842	0.837	0.818	0.811	0.868
H79	0.589	0.552	0.814	0.683	0.726	0.763	0.697	0.747	0	0.569	0.678	0.750	0.749	0.750	0.776	0.763	0.782	0.706	0.694	0.727	0.833	0.701	0.727	0.708	0.725	0.784	0.768	0.768	0.744	0.706	0.728	0.720	0.730	0.669	0.749	0.920	0.931	0.883	0.897	0.849	0.861	0.876	0.886	0.894	0.887	0.874	0.903
H94	0.593	0.552	0.795	0.671	0.703	0.798	0.658	0.695	0.569	0	0.713	0.715	0.747	0.740	0.744	0.761	0.772	0.771	0.665	0.743	0.779	0.723	0.731	0.705	0.651	0.748	0.762	0.802	0.803	0.633	0.690	0.719	0.650	0.628	0.669	0.924	0.933	0.893	0.903	0.860	0.860	0.876	0.897	0.901	0.888	0.874	0.907
