manhatten	H60	H61	H79	M31	H94	H63	L77	L76	M33	H67	H68	M30	M54	M55	M56	M57	H95	M59	M58	M32	L73	H64	L36	L91	L38	L70	M35	L37	L92	L93	H62	H96	M34	H66	L39	N13	N90	N86	N15	N16	N53	N52	N51	N87	N17	N88	N12
H60	0	327.0	313.0	349.0	320.0	320.0	392.0	376.0	383.0	357.0	347.0	342.0	343.0	349.0	369.0	337.0	349.0	379.0	366.0	372.0	379.0	351.0	349.0	396.0	364.0	335.0	353.0	368.0	372.0	383.0	369.0	372.0	381.0	391.0	401.0	565.0	543.0	545.0	571.0	558.0	552.0	553.0	471.0	508.0	534.0	512.0	538.0
H61	327.0	0	358.0	310.0	315.0	353.0	393.0	415.0	402.0	430.0	392.0	379.0	410.0	412.0	410.0	382.0	382.0	350.0	375.0	329.0	352.0	384.0	390.0	395.0	391.0	380.0	392.0	397.0	391.0	394.0	370.0	395.0	390.0	392.0	388.0	550.0	590.0	572.0	560.0	561.0	551.0	510.0	522.0	527.0	577.0	559.0	547.0
H79	313.0	358.0	0	308.0	325.0	365.0	399.0	359.0	374.0	338.0	344.0	349.0	354.0	358.0	358.0	328.0	356.0	374.0	347.0	379.0	390.0	382.0	368.0	371.0	353.0	324.0	364.0	389.0	357.0	370.0	394.0	339.0	360.0	392.0	390.0	534.0	550.0	548.0	544.0	561.0	553.0	494.0	438.0	489.0	499.0	505.0	521.0
M31	349.0	310.0	308.0	0	341.0	397.0	413.0	395.0	352.0	410.0	390.0	321.0	368.0	376.0	364.0	348.0	370.0	350.0	373.0	335.0	382.0	402.0	394.0	375.0	373.0	336.0	384.0	377.0	375.0	372.0	392.0	367.0	348.0	426.0	380.0	532.0	532.0	532.0	514.0	533.0	547.0	484.0	460.0	511.0	531.0	501.0	523.0
H94	320.0	315.0	325.0	341.0	0	378.0	378.0	380.0	379.0	351.0	365.0	348.0	349.0	347.0	377.0	377.0	347.0	373.0	326.0	320.0	325.0	371.0	377.0	378.0	374.0	373.0	369.0	380.0	356.0	381.0	405.0	360.0	369.0	409.0	391.0	551.0	555.0	561.0	573.0	556.0	578.0	483.0	485.0	510.0	546.0	498.0	540.0
H63	320.0	353.0	365.0	397.0	378.0	0	318.0	378.0	363.0	373.0	363.0	346.0	339.0	349.0	373.0	347.0	369.0	369.0	370.0	376.0	363.0	383.0	379.0	394.0	388.0	381.0	359.0	382.0	380.0	369.0	377.0	334.0	343.0	411.0	405.0	561.0	577.0	527.0	567.0	572.0	572.0	531.0	483.0	512.0	546.0	548.0	468.0
L77	392.0	393.0	399.0	413.0	378.0	318.0	0	318.0	385.0	395.0	405.0	388.0	379.0	365.0	397.0	387.0	397.0	395.0	396.0	374.0	343.0	401.0	395.0	390.0	366.0	373.0	371.0	386.0	346.0	357.0	401.0	344.0	349.0	393.0	407.0	549.0	565.0	521.0	557.0	562.0	560.0	523.0	501.0	510.0	560.0	520.0	460.0
L76	376.0	415.0	359.0	395.0	380.0	378.0	318.0	0	315.0	365.0	369.0	344.0	337.0	363.0	351.0	349.0	331.0	333.0	374.0	384.0	335.0	395.0	359.0	360.0	364.0	327.0	377.0	344.0	330.0	347.0	327.0	374.0	367.0	413.0	347.0	535.0	557.0	547.0	535.0	566.0	502.0	517.0	473.0	492.0	530.0	514.0	516.0
M33	383.0	402.0	374.0	352.0	379.0	363.0	385.0	315.0	0	364.0	372.0	325.0	356.0	358.0	358.0	370.0	342.0	320.0	361.0	345.0	362.0	398.0	374.0	367.0	371.0	362.0	344.0	369.0	409.0	344.0	332.0	383.0	368.0	432.0	380.0	556.0	554.0	554.0	562.0	541.0	501.0	510.0	472.0	515.0	539.0	511.0	507.0
H67	357.0	430.0	338.0	410.0	351.0	373.0	395.0	365.0	364.0	0	296.0	371.0	342.0	308.0	328.0	364.0	362.0	388.0	355.0	363.0	408.0	352.0	364.0	387.0	323.0	380.0	362.0	357.0	373.0	338.0	412.0	361.0	392.0	378.0	388.0	556.0	524.0	542.0	526.0	525.0	555.0	538.0	456.0	483.0	507.0	507.0	527.0
H68	347.0	392.0	344.0	390.0	365.0	363.0	405.0	369.0	372.0	296.0	0	325.0	336.0	340.0	306.0	360.0	350.0	392.0	337.0	391.0	404.0	354.0	372.0	379.0	355.0	346.0	362.0	351.0	363.0	348.0	386.0	365.0	386.0	374.0	364.0	562.0	558.0	542.0	542.0	571.0	551.0	554.0	452.0	481.0	473.0	505.0	543.0
M30	342.0	379.0	349.0	321.0	348.0	346.0	388.0	344.0	325.0	371.0	325.0	0	303.0	345.0	323.0	357.0	363.0	359.0	350.0	346.0	369.0	407.0	371.0	368.0	358.0	347.0	329.0	368.0	360.0	325.0	355.0	374.0	329.0	415.0	349.0	543.0	557.0	545.0	539.0	560.0	542.0	527.0	455.0	498.0	484.0	492.0	510.0
M54	343.0	410.0	354.0	368.0	349.0	339.0	379.0	337.0	356.0	342.0	336.0	303.0	0	272.0	288.0	346.0	376.0	364.0	327.0	337.0	384.0	392.0	346.0	361.0	373.0	354.0	348.0	351.0	325.0	350.0	388.0	367.0	366.0	350.0	402.0	562.0	546.0	558.0	520.0	569.0	567.0	516.0	468.0	487.0	507.0	479.0	531.0
M55	349.0	412.0	358.0	376.0	347.0	349.0	365.0	363.0	358.0	308.0	340.0	345.0	272.0	0	284.0	306.0	366.0	340.0	313.0	347.0	386.0	356.0	360.0	353.0	345.0	360.0	342.0	375.0	367.0	326.0	400.0	369.0	364.0	364.0	400.0	522.0	482.0	502.0	490.0	489.0	531.0	490.0	444.0	453.0	483.0	477.0	483.0
M56	369.0	410.0	358.0	364.0	377.0	373.0	397.0	351.0	358.0	328.0	306.0	323.0	288.0	284.0	0	308.0	388.0	350.0	323.0	375.0	416.0	390.0	378.0	363.0	357.0	366.0	368.0	365.0	369.0	362.0	410.0	393.0	366.0	388.0	350.0	516.0	534.0	540.0	490.0	531.0	539.0	512.0	430.0	455.0	463.0	491.0	505.0
M57	337.0	382.0	328.0	348.0	377.0	347.0	387.0	349.0	370.0	364.0	360.0	357.0	346.0	306.0	308.0	0	362.0	310.0	331.0	363.0	384.0	394.0	394.0	377.0	361.0	336.0	386.0	371.0	381.0	362.0	400.0	361.0	352.0	418.0	386.0	528.0	516.0	512.0	498.0	541.0	533.0	492.0	400.0	463.0	485.0	499.0	477.0
H95	349.0	382.0	356.0	370.0	347.0	369.0	397.0	331.0	342.0	362.0	350.0	363.0	376.0	366.0	388.0	362.0	0	306.0	361.0	367.0	394.0	394.0	368.0	391.0	381.0	362.0	384.0	383.0	397.0	416.0	346.0	333.0	382.0	398.0	388.0	570.0	568.0	570.0	560.0	565.0	517.0	540.0	486.0	531.0	533.0	529.0	555.0
M59	379.0	350.0	374.0	350.0	373.0	369.0	395.0	333.0	320.0	388.0	392.0	359.0	364.0	340.0	350.0	310.0	306.0	0	359.0	351.0	398.0	384.0	392.0	371.0	369.0	396.0	392.0	391.0	393.0	372.0	334.0	375.0	372.0	420.0	386.0	512.0	518.0	522.0	500.0	537.0	491.0	516.0	452.0	501.0	513.0	509.0	497.0
M58	366.0	375.0	347.0	373.0	326.0	370.0	396.0	374.0	361.0	355.0	337.0	350.0	327.0	313.0	323.0	331.0	361.0	359.0	0	316.0	357.0	397.0	383.0	378.0	368.0	359.0	357.0	374.0	360.0	359.0	397.0	386.0	391.0	383.0	399.0	533.0	531.0	529.0	503.0	532.0	522.0	449.0	441.0	472.0	510.0	480.0	510.0
M32	372.0	329.0	379.0	335.0	320.0	376.0	374.0	384.0	345.0	363.0	391.0	346.0	337.0	347.0	375.0	363.0	367.0	351.0	316.0	0	321.0	375.0	373.0	362.0	362.0	357.0	325.0	390.0	368.0	349.0	367.0	358.0	329.0	411.0	389.0	539.0	533.0	537.0	539.0	532.0	554.0	481.0	483.0	506.0	558.0	506.0	528.0
L73	379.0	352.0	390.0	382.0	325.0	363.0	343.0	335.0	362.0	408.0	404.0	369.0	384.0	386.0	416.0	384.0	394.0	398.0	357.0	321.0	0	406.0	380.0	383.0	369.0	354.0	368.0	403.0	331.0	346.0	382.0	397.0	390.0	420.0	388.0	580.0	588.0	582.0	576.0	575.0	567.0	478.0	502.0	535.0	581.0	531.0	531.0
H64	351.0	384.0	382.0	402.0	371.0	383.0	401.0	395.0	398.0	352.0	354.0	407.0	392.0	356.0	390.0	394.0	394.0	384.0	397.0	375.0	406.0	0	292.0	303.0	345.0	344.0	322.0	369.0	407.0	408.0	346.0	411.0	402.0	384.0	418.0	510.0	566.0	564.0	552.0	565.0	575.0	542.0	502.0	479.0	529.0	533.0	521.0
