unifrac	H60	M55	M54	H94	M56	M58	H63	M57	H67	H68	H79	L76	N51	N87	N86	N88	M31	M59	L37	H64	H61	L92	L39	H96	M30	L91	L70	L38	L77	L93	M35	L73	H62	M33	M34	M32	H66	H95	L36	N12	N13	N90	N15	N53	N16	N17	N52
H60	0	0.113	0.138	0.190	0.217	0.208	0.174	0.259	0.276	0.259	0.244	0.193	0.195	0.218	0.308	0.269	0.367	0.393	0.320	0.320	0.382	0.325	0.405	0.379	0.320	0.314	0.397	0.416	0.405	0.412	0.420	0.480	0.514	0.478	0.551	0.404	0.388	0.424	0.477	0.550	0.651	0.471	0.530	0.549	0.570	0.386	0.490
M55	0.113	0	0.115	0.177	0.166	0.161	0.162	0.237	0.237	0.224	0.248	0.219	0.214	0.250	0.296	0.315	0.356	0.372	0.290	0.295	0.364	0.314	0.390	0.354	0.284	0.283	0.389	0.388	0.379	0.384	0.381	0.448	0.487	0.461	0.530	0.390	0.356	0.390	0.456	0.537	0.638	0.451	0.509	0.531	0.546	0.375	0.475
M54	0.138	0.115	0	0.156	0.183	0.180	0.184	0.240	0.237	0.241	0.226	0.254	0.241	0.276	0.325	0.338	0.303	0.364	0.308	0.308	0.344	0.310	0.414	0.382	0.323	0.297	0.406	0.405	0.388	0.389	0.406	0.462	0.516	0.464	0.548	0.352	0.384	0.409	0.452	0.548	0.648	0.472	0.522	0.539	0.561	0.391	0.480
H94	0.190	0.177	0.156	0	0.203	0.166	0.217	0.243	0.283	0.272	0.193	0.227	0.267	0.285	0.327	0.335	0.267	0.291	0.312	0.308	0.291	0.286	0.411	0.362	0.301	0.290	0.403	0.383	0.362	0.383	0.385	0.423	0.473	0.433	0.512	0.361	0.381	0.395	0.418	0.535	0.633	0.470	0.524	0.535	0.558	0.384	0.492
M56	0.217	0.166	0.183	0.203	0	0.158	0.256	0.178	0.254	0.263	0.276	0.317	0.302	0.349	0.399	0.402	0.301	0.319	0.356	0.345	0.405	0.354	0.432	0.408	0.328	0.344	0.436	0.450	0.442	0.454	0.423	0.497	0.537	0.491	0.570	0.418	0.417	0.423	0.507	0.559	0.656	0.504	0.552	0.581	0.588	0.415	0.521
M58	0.208	0.161	0.180	0.166	0.158	0	0.225	0.201	0.189	0.207	0.202	0.248	0.315	0.349	0.376	0.387	0.305	0.304	0.281	0.271	0.310	0.257	0.378	0.338	0.255	0.278	0.386	0.364	0.345	0.357	0.334	0.390	0.451	0.422	0.501	0.349	0.320	0.346	0.408	0.517	0.621	0.448	0.518	0.541	0.558	0.382	0.497
H63	0.174	0.162	0.184	0.217	0.256	0.225	0	0.303	0.260	0.253	0.280	0.235	0.281	0.296	0.321	0.343	0.394	0.416	0.288	0.306	0.370	0.295	0.392	0.352	0.303	0.285	0.374	0.387	0.329	0.381	0.393	0.435	0.461	0.451	0.527	0.386	0.328	0.380	0.414	0.533	0.640	0.451	0.507	0.531	0.566	0.372	0.478
M57	0.259	0.237	0.240	0.243	0.178	0.201	0.303	0	0.268	0.281	0.259	0.368	0.362	0.393	0.396	0.441	0.223	0.200	0.334	0.330	0.329	0.371	0.430	0.338	0.268	0.287	0.360	0.383	0.429	0.437	0.439	0.491	0.476	0.427	0.506	0.340	0.418	0.413	0.442	0.502	0.607	0.432	0.489	0.520	0.566	0.399	0.506
H67	0.276	0.237	0.237	0.283	0.254	0.189	0.260	0.268	0	0.153	0.254	0.329	0.367	0.389	0.434	0.452	0.301	0.344	0.259	0.272	0.282	0.304	0.354	0.295	0.285	0.328	0.347	0.327	0.302	0.293	0.315	0.393	0.449	0.420	0.502	0.310	0.285	0.265	0.372	0.530	0.616	0.448	0.484	0.503	0.542	0.395	0.454
H68	0.259	0.224	0.241	0.272	0.263	0.207	0.253	0.281	0.153	0	0.242	0.307	0.349	0.376	0.424	0.427	0.312	0.346	0.207	0.211	0.306	0.313	0.325	0.279	0.256	0.272	0.338	0.314	0.297	0.315	0.322	0.401	0.436	0.414	0.485	0.359	0.289	0.295	0.368	0.525	0.618	0.443	0.469	0.497	0.517	0.373	0.451
