unifrac	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H60	0	0.382	0.514	0.174	0.320	0.388	0.276	0.259	0.244	0.190	0.424	0.379	0.477	0.320	0.416	0.405	0.397	0.480	0.193	0.405	0.314	0.325	0.412	0.320	0.367	0.404	0.478	0.551	0.420	0.138	0.113	0.217	0.259	0.208	0.393	0.550	0.651	0.530	0.570	0.386	0.195	0.490	0.549	0.308	0.218	0.269	0.471
H61	0.382	0	0.329	0.370	0.295	0.370	0.282	0.306	0.215	0.291	0.255	0.272	0.300	0.338	0.315	0.400	0.376	0.292	0.415	0.339	0.333	0.337	0.317	0.270	0.260	0.273	0.394	0.409	0.263	0.344	0.364	0.405	0.329	0.310	0.244	0.529	0.569	0.446	0.493	0.430	0.428	0.464	0.440	0.431	0.445	0.486	0.438
H62	0.514	0.329	0	0.461	0.429	0.410	0.449	0.436	0.425	0.473	0.404	0.249	0.329	0.369	0.293	0.405	0.258	0.403	0.430	0.352	0.301	0.416	0.362	0.270	0.392	0.340	0.169	0.213	0.327	0.516	0.487	0.537	0.476	0.451	0.339	0.400	0.427	0.441	0.529	0.502	0.537	0.533	0.431	0.492	0.543	0.524	0.401
H63	0.174	0.370	0.461	0	0.306	0.328	0.260	0.253	0.280	0.217	0.380	0.352	0.414	0.288	0.387	0.392	0.374	0.435	0.235	0.329	0.285	0.295	0.381	0.303	0.394	0.386	0.451	0.527	0.393	0.184	0.162	0.256	0.303	0.225	0.416	0.533	0.640	0.507	0.566	0.372	0.281	0.478	0.531	0.321	0.296	0.343	0.451
H64	0.320	0.295	0.429	0.306	0	0.319	0.272	0.211	0.245	0.308	0.309	0.312	0.295	0.242	0.332	0.343	0.369	0.379	0.352	0.335	0.283	0.304	0.334	0.272	0.347	0.379	0.446	0.487	0.340	0.308	0.295	0.345	0.330	0.271	0.344	0.542	0.627	0.527	0.554	0.419	0.406	0.493	0.543	0.468	0.418	0.465	0.487
H66	0.388	0.370	0.410	0.328	0.319	0	0.285	0.289	0.358	0.381	0.324	0.334	0.317	0.293	0.271	0.294	0.351	0.354	0.321	0.247	0.347	0.281	0.279	0.326	0.421	0.415	0.408	0.488	0.342	0.384	0.356	0.417	0.418	0.320	0.421	0.542	0.595	0.474	0.441	0.426	0.464	0.465	0.465	0.486	0.482	0.476	0.471
H67	0.276	0.282	0.449	0.260	0.272	0.285	0	0.153	0.254	0.283	0.265	0.295	0.372	0.259	0.327	0.354	0.347	0.393	0.329	0.302	0.328	0.304	0.293	0.285	0.301	0.310	0.420	0.502	0.315	0.237	0.237	0.254	0.268	0.189	0.344	0.530	0.616	0.484	0.542	0.395	0.367	0.454	0.503	0.434	0.389	0.452	0.448
H68	0.259	0.306	0.436	0.253	0.211	0.289	0.153	0	0.242	0.272	0.295	0.279	0.368	0.207	0.314	0.325	0.338	0.401	0.307	0.297	0.272	0.313	0.315	0.256	0.312	0.359	0.414	0.485	0.322	0.241	0.224	0.263	0.281	0.207	0.346	0.525	0.618	0.469	0.517	0.373	0.349	0.451	0.497	0.424	0.376	0.427	0.443
H79	0.244	0.215	0.425	0.280	0.245	0.358	0.254	0.242	0	0.193	0.294	0.317	0.339	0.273	0.334	0.341	0.375	0.345	0.298	0.323	0.290	0.230	0.311	0.253	0.277	0.324	0.405	0.456	0.288	0.226	0.248	0.276	0.259	0.202	0.311	0.535	0.636	0.504	0.534	0.376	0.332	0.475	0.512	0.398	0.354	0.401	0.456
H94	0.190	0.291	0.473	0.217	0.308	0.381	0.283	0.272	0.193	0	0.395	0.362	0.418	0.312	0.383	0.411	0.403	0.423	0.227	0.362	0.290	0.286	0.383	0.301	0.267	0.361	0.433	0.512	0.385	0.156	0.177	0.203	0.243	0.166	0.291	0.535	0.633	0.524	0.558	0.384	0.267	0.492	0.535	0.327	0.285	0.335	0.470
