bray_curtis	H60	H63	H61	H94	H79	H62	M33	M34	M30	L91	L38	L70	H67	H68	M54	M55	M58	M56	M31	M57	M59	H95	H96	M32	H64	L36	L39	L76	L77	L93	L92	L73	M35	L37	H66	N12	N13	N90	N86	N87	N51	N15	N53	N16	N17	N88	N52
H60	0	0.378	0.631	0.424	0.467	0.898	0.796	0.762	0.688	0.841	0.833	0.794	0.581	0.662	0.449	0.474	0.523	0.589	0.743	0.609	0.708	0.744	0.766	0.790	0.750	0.856	0.662	0.588	0.721	0.759	0.723	0.783	0.800	0.821	0.730	0.956	0.972	0.954	0.928	0.926	0.850	0.927	0.925	0.955	0.858	0.791	0.914
H63	0.378	0	0.714	0.565	0.627	0.853	0.838	0.859	0.771	0.869	0.893	0.852	0.672	0.733	0.619	0.591	0.690	0.771	0.864	0.742	0.794	0.803	0.779	0.817	0.822	0.884	0.716	0.659	0.656	0.742	0.783	0.810	0.814	0.835	0.776	0.985	0.986	0.984	0.971	0.941	0.864	0.956	0.939	0.985	0.873	0.880	0.913
H61	0.631	0.714	0	0.389	0.443	0.648	0.662	0.635	0.479	0.720	0.635	0.716	0.627	0.702	0.667	0.681	0.615	0.781	0.490	0.580	0.479	0.478	0.577	0.581	0.589	0.611	0.701	0.660	0.701	0.667	0.630	0.622	0.689	0.741	0.847	0.915	0.918	0.896	0.902	0.957	0.971	0.887	0.870	0.927	0.924	0.928	0.931
H94	0.424	0.565	0.389	0	0.435	0.786	0.729	0.767	0.625	0.773	0.704	0.755	0.591	0.655	0.508	0.588	0.504	0.667	0.550	0.544	0.529	0.676	0.671	0.699	0.612	0.732	0.683	0.568	0.712	0.691	0.684	0.787	0.805	0.723	0.814	0.986	1.000	0.985	0.943	0.957	0.912	0.929	0.926	0.956	0.892	0.898	0.930
H79	0.467	0.627	0.443	0.435	0	0.809	0.721	0.732	0.629	0.839	0.740	0.763	0.672	0.748	0.635	0.697	0.550	0.657	0.687	0.682	0.691	0.606	0.721	0.775	0.674	0.754	0.688	0.585	0.688	0.712	0.628	0.650	0.674	0.759	0.744	0.970	0.986	0.969	0.927	0.970	0.924	0.912	0.894	0.939	0.889	0.910	0.942
H62	0.898	0.853	0.648	0.786	0.809	0	0.304	0.486	0.451	0.424	0.519	0.445	0.769	0.737	0.797	0.821	0.710	0.915	0.624	0.731	0.551	0.731	0.478	0.597	0.562	0.543	0.818	0.766	0.785	0.746	0.756	0.727	0.710	0.704	0.843	0.708	0.676	0.786	0.914	0.985	0.955	0.797	0.821	0.925	0.938	0.941	0.929
M33	0.796	0.838	0.662	0.729	0.721	0.304	0	0.375	0.423	0.568	0.594	0.474	0.662	0.693	0.719	0.746	0.634	0.817	0.570	0.642	0.623	0.791	0.478	0.528	0.693	0.586	0.776	0.737	0.815	0.731	0.725	0.683	0.649	0.778	0.827	0.708	0.690	0.786	0.885	0.956	0.925	0.783	0.806	0.910	0.922	0.896	0.914
M34	0.762	0.859	0.635	0.767	0.732	0.486	0.375	0	0.514	0.628	0.583	0.552	0.706	0.734	0.761	0.700	0.737	0.811	0.652	0.686	0.611	0.714	0.569	0.587	0.748	0.644	0.664	0.720	0.721	0.643	0.664	0.683	0.679	0.787	0.835	0.692	0.689	0.766	0.876	0.930	0.943	0.819	0.800	0.899	0.940	0.901	0.877
M30	0.688	0.771	0.479	0.625	0.629	0.451	0.423	0.514	0	0.538	0.460	0.589	0.567	0.645	0.576	0.565	0.437	0.685	0.477	0.493	0.493	0.609	0.465	0.500	0.504	0.542	0.660	0.702	0.731	0.623	0.644	0.566	0.556	0.698	0.725	0.844	0.849	0.822	0.874	0.957	0.913	0.817	0.797	0.927	0.894	0.871	0.903
L91	0.841	0.869	0.720	0.773	0.839	0.424	0.568	0.628	0.538	0	0.433	0.449	0.679	0.623	0.767	0.719	0.682	0.860	0.600	0.644	0.597	0.748	0.597	0.600	0.493	0.589	0.750	0.783	0.863	0.763	0.818	0.857	0.803	0.559	0.844	0.783	0.790	0.803	0.900	0.971	0.941	0.813	0.837	0.910	0.938	0.897	0.872
L38	0.833	0.893	0.635	0.704	0.740	0.519	0.594	0.583	0.460	0.433	0	0.424	0.648	0.652	0.724	0.721	0.619	0.839	0.625	0.628	0.549	0.659	0.609	0.626	0.545	0.481	0.507	0.636	0.680	0.535	0.603	0.716	0.730	0.600	0.705	0.894	0.883	0.873	0.910	0.970	0.953	0.835	0.814	0.859	0.935	0.908	0.881
