bray_curtis_binary	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H60	0	0.556	0.793	0.413	0.568	0.667	0.481	0.529	0.433	0.425	0.662	0.639	0.750	0.726	0.677	0.534	0.647	0.730	0.589	0.711	0.692	0.616	0.641	0.553	0.595	0.646	0.627	0.508	0.726	0.333	0.342	0.474	0.417	0.447	0.522	0.891	0.929	0.884	0.905	0.797	0.792	0.854	0.889	0.882	0.873	0.781	0.909
H61	0.556	0	0.607	0.671	0.583	0.750	0.544	0.639	0.477	0.324	0.467	0.514	0.600	0.690	0.567	0.634	0.636	0.667	0.690	0.676	0.683	0.690	0.632	0.432	0.417	0.506	0.544	0.559	0.746	0.629	0.568	0.757	0.543	0.568	0.385	0.925	0.926	0.881	0.902	0.851	0.947	0.875	0.886	0.909	0.922	0.859	0.906
H62	0.793	0.607	0	0.695	0.552	0.680	0.692	0.710	0.686	0.684	0.672	0.607	0.464	0.649	0.522	0.825	0.462	0.655	0.684	0.667	0.469	0.684	0.677	0.600	0.724	0.651	0.535	0.733	0.649	0.714	0.700	0.833	0.786	0.633	0.569	0.897	0.800	0.774	0.872	0.849	0.934	0.848	0.857	0.923	0.968	0.860	0.880
H63	0.413	0.671	0.695	0	0.707	0.701	0.585	0.628	0.618	0.541	0.718	0.644	0.808	0.730	0.810	0.703	0.739	0.760	0.676	0.636	0.758	0.730	0.620	0.688	0.787	0.725	0.700	0.742	0.757	0.507	0.532	0.688	0.616	0.636	0.647	0.964	0.965	0.914	0.969	0.800	0.795	0.855	0.890	0.942	0.900	0.865	0.970
H64	0.568	0.583	0.552	0.707	0	0.636	0.506	0.576	0.612	0.507	0.636	0.722	0.306	0.616	0.516	0.699	0.471	0.676	0.671	0.789	0.538	0.644	0.667	0.526	0.622	0.595	0.627	0.672	0.753	0.583	0.500	0.737	0.611	0.474	0.522	1.000	0.964	0.855	0.905	0.855	0.896	0.854	0.889	0.941	0.899	0.836	0.970
H66	0.667	0.750	0.680	0.701	0.636	0	0.589	0.506	0.627	0.723	0.594	0.781	0.656	0.785	0.630	0.662	0.767	0.576	0.631	0.500	0.684	0.569	0.629	0.647	0.848	0.775	0.647	0.698	0.600	0.688	0.706	0.794	0.813	0.618	0.763	0.830	0.917	0.803	0.891	0.803	0.884	0.892	0.813	0.833	0.887	0.754	0.897
H67	0.481	0.544	0.692	0.585	0.506	0.589	0	0.370	0.541	0.550	0.405	0.392	0.646	0.575	0.536	0.500	0.520	0.605	0.600	0.663	0.611	0.525	0.435	0.446	0.556	0.558	0.485	0.529	0.600	0.468	0.446	0.446	0.519	0.373	0.595	0.968	0.937	0.842	0.914	0.816	0.786	0.775	0.899	0.920	0.860	0.825	0.945
H68	0.529	0.639	0.710	0.628	0.576	0.506	0.370	0	0.641	0.643	0.500	0.566	0.711	0.571	0.589	0.524	0.570	0.671	0.595	0.632	0.553	0.595	0.573	0.609	0.647	0.689	0.600	0.611	0.619	0.639	0.563	0.678	0.663	0.563	0.718	0.879	0.910	0.800	0.838	0.800	0.818	0.742	0.831	0.823	0.756	0.690	0.896
H79	0.433	0.477	0.686	0.618	0.612	0.627	0.541	0.641	0	0.394	0.629	0.600	0.723	0.727	0.491	0.545	0.574	0.642	0.576	0.681	0.655	0.606	0.634	0.507	0.582	0.694	0.500	0.556	0.697	0.508	0.565	0.536	0.508	0.420	0.567	0.917	0.959	0.839	0.893	0.806	0.886	0.893	0.846	0.869	0.944	0.848	0.932
H94	0.425	0.324	0.684	0.541	0.507	0.723	0.550	0.643	0.394	0	0.632	0.577	0.634	0.694	0.574	0.611	0.642	0.699	0.639	0.680	0.688	0.639	0.610	0.493	0.479	0.615	0.552	0.600	0.750	0.465	0.493	0.653	0.493	0.467	0.424	0.963	1.000	0.882	0.935	0.824	0.895	0.877	0.887	0.910	0.923	0.833	0.969
H95	0.662	0.467	0.672	0.718	0.636	0.594	0.405	0.500	0.629	0.632	0	0.387	0.680	0.579	0.600	0.526	0.718	0.662	0.763	0.646	0.618	0.632	0.531	0.544	0.506	0.634	0.710	0.656	0.632	0.707	0.646	0.722	0.600	0.570	0.600	0.966	0.932	0.917	0.909	0.861	0.875	0.835	0.893	0.944	0.976	0.842	0.942
H96	0.639	0.514	0.607	0.644	0.722	0.781	0.392	0.566	0.600	0.577	0.387	0	0.743	0.606	0.633	0.549	0.667	0.694	0.690	0.676	0.683	0.690	0.447	0.568	0.500	0.636	0.579	0.559	0.662	0.657	0.622	0.568	0.571	0.622	0.569	0.925	0.926	0.821	0.902	0.821	0.813	0.775	0.857	0.879	0.896	0.859	0.938
L36	0.750	0.600	0.464	0.808	0.306	0.656	0.646	0.711	0.723	0.634	0.680	0.743	0	0.690	0.500	0.718	0.455	0.528	0.606	0.676	0.587	0.521	0.632	0.595	0.694	0.584	0.579	0.661	0.662	0.714	0.649	0.784	0.714	0.595	0.569	0.925	0.889	0.851	0.836	0.881	0.893	0.875	0.886	0.909	0.948	0.831	0.875
L37	0.726	0.690	0.649	0.730	0.616	0.785	0.575	0.571	0.727	0.694	0.579	0.606	0.690	0	0.607	0.583	0.552	0.836	0.722	0.787	0.469	0.750	0.688	0.680	0.644	0.821	0.759	0.767	0.806	0.718	0.707	0.787	0.746	0.760	0.758	0.963	0.964	0.882	0.903	0.853	0.895	0.827	0.915	0.910	0.949	0.806	0.969
L38	0.677	0.567	0.522	0.810	0.516	0.630	0.536	0.589	0.491	0.574	0.600	0.633	0.500	0.607	0	0.443	0.321	0.548	0.475	0.656	0.358	0.475	0.485	0.500	0.645	0.582	0.532	0.429	0.672	0.600	0.563	0.688	0.633	0.531	0.491	0.953	0.909	0.825	0.843	0.860	0.938	0.771	0.867	0.929	0.940	0.803	0.926
L39	0.534	0.634	0.825	0.703	0.699	0.662	0.500	0.524	0.545	0.611	0.526	0.549	0.718	0.583	0.443	0	0.642	0.616	0.500	0.627	0.656	0.556	0.558	0.653	0.671	0.692	0.655	0.533	0.722	0.577	0.573	0.627	0.634	0.600	0.727	0.963	1.000	0.912	0.903	0.882	0.895	0.827	0.944	0.940	0.897	0.806	0.969
L70	0.647	0.636	0.462	0.739	0.471	0.767	0.520	0.570	0.574	0.642	0.718	0.667	0.455	0.552	0.321	0.642	0	0.647	0.522	0.743	0.424	0.522	0.583	0.600	0.676	0.644	0.547	0.600	0.672	0.667	0.629	0.686	0.667	0.571	0.574	0.918	0.840	0.778	0.789	0.810	0.859	0.737	0.848	0.839	0.890	0.791	0.867
L73	0.730	0.667	0.655	0.760	0.676	0.576	0.605	0.671	0.642	0.699	0.662	0.694	0.528	0.836	0.548	0.616	0.647	0	0.452	0.395	0.785	0.370	0.462	0.526	0.757	0.570	0.492	0.508	0.479	0.694	0.579	0.658	0.694	0.526	0.701	0.818	0.821	0.797	0.873	0.826	0.818	0.780	0.806	0.853	0.848	0.753	0.848
L76	0.589	0.690	0.684	0.676	0.671	0.631	0.600	0.595	0.576	0.639	0.763	0.690	0.606	0.722	0.475	0.500	0.522	0.452	0	0.440	0.688	0.417	0.455	0.653	0.808	0.718	0.621	0.567	0.528	0.690	0.627	0.680	0.746	0.573	0.727	0.815	0.855	0.794	0.806	0.794	0.763	0.802	0.859	0.791	0.821	0.639	0.785
L77	0.711	0.676	0.667	0.636	0.789	0.500	0.663	0.632	0.681	0.680	0.646	0.676	0.676	0.787	0.656	0.627	0.743	0.395	0.440	0	0.761	0.440	0.425	0.692	0.842	0.654	0.705	0.619	0.520	0.811	0.769	0.846	0.838	0.769	0.797	0.754	0.759	0.746	0.846	0.746	0.899	0.786	0.757	0.800	0.852	0.813	0.794
L91	0.692	0.683	0.469	0.758	0.538	0.684	0.611	0.553	0.655	0.688	0.618	0.683	0.587	0.469	0.358	0.656	0.424	0.785	0.688	0.761	0	0.750	0.652	0.642	0.692	0.686	0.720	0.654	0.719	0.714	0.582	0.791	0.683	0.672	0.621	0.913	0.915	0.833	0.852	0.867	0.941	0.753	0.873	0.898	0.943	0.781	0.930
L92	0.616	0.690	0.684	0.730	0.644	0.569	0.525	0.595	0.606	0.639	0.632	0.690	0.521	0.750	0.475	0.556	0.522	0.370	0.417	0.440	0.750	0	0.403	0.573	0.753	0.641	0.517	0.500	0.500	0.577	0.653	0.680	0.746	0.547	0.697	0.852	0.818	0.794	0.806	0.824	0.789	0.802	0.831	0.821	0.872	0.722	0.815
L93	0.641	0.632	0.677	0.620	0.667	0.629	0.435	0.573	0.634	0.610	0.531	0.447	0.632	0.688	0.485	0.558	0.583	0.462	0.455	0.425	0.652	0.403	0	0.550	0.667	0.566	0.556	0.538	0.558	0.605	0.625	0.650	0.632	0.600	0.634	0.898	0.867	0.836	0.881	0.726	0.778	0.744	0.895	0.889	0.831	0.766	0.857
M30	0.553	0.432	0.600	0.688	0.526	0.647	0.446	0.609	0.507	0.493	0.544	0.568	0.595	0.680	0.500	0.653	0.600	0.526	0.653	0.692	0.642	0.573	0.550	0	0.474	0.481	0.410	0.460	0.520	0.459	0.436	0.538	0.405	0.333	0.507	0.895	0.897	0.859	0.908	0.803	0.848	0.833	0.838	0.857	0.926	0.760	0.882
M31	0.595	0.417	0.724	0.787	0.622	0.848	0.556	0.647	0.582	0.479	0.506	0.500	0.694	0.644	0.645	0.671	0.676	0.757	0.808	0.842	0.692	0.753	0.667	0.474	0	0.595	0.627	0.574	0.753	0.528	0.553	0.684	0.444	0.553	0.463	0.927	0.929	0.913	0.905	0.855	0.922	0.829	0.889	0.912	0.949	0.836	0.939
M32	0.646	0.506	0.651	0.725	0.595	0.775	0.558	0.689	0.694	0.615	0.634	0.636	0.584	0.821	0.582	0.692	0.644	0.570	0.718	0.654	0.686	0.641	0.566	0.481	0.595	0	0.563	0.515	0.564	0.740	0.580	0.753	0.636	0.580	0.583	0.900	0.836	0.865	0.912	0.838	0.927	0.793	0.870	0.918	0.952	0.846	0.887
M33	0.627	0.544	0.535	0.700	0.627	0.647	0.485	0.600	0.500	0.552	0.710	0.579	0.579	0.759	0.532	0.655	0.547	0.492	0.621	0.705	0.720	0.517	0.556	0.410	0.627	0.563	0	0.435	0.483	0.544	0.574	0.607	0.614	0.475	0.654	0.900	0.854	0.778	0.833	0.852	0.871	0.821	0.860	0.887	0.906	0.793	0.882
M34	0.508	0.559	0.733	0.742	0.672	0.698	0.529	0.611	0.556	0.600	0.656	0.559	0.661	0.767	0.429	0.533	0.600	0.508	0.567	0.619	0.654	0.500	0.538	0.460	0.574	0.515	0.435	0	0.533	0.593	0.460	0.587	0.525	0.619	0.556	0.810	0.814	0.821	0.800	0.857	0.875	0.739	0.797	0.818	0.848	0.767	0.811
M35	0.726	0.746	0.649	0.757	0.753	0.600	0.600	0.619	0.697	0.750	0.632	0.662	0.662	0.806	0.672	0.722	0.672	0.479	0.528	0.520	0.719	0.500	0.558	0.520	0.753	0.564	0.483	0.533	0	0.775	0.653	0.653	0.746	0.547	0.788	0.815	0.782	0.735	0.742	0.765	0.711	0.753	0.775	0.761	0.872	0.722	0.815
M54	0.333	0.629	0.714	0.507	0.583	0.688	0.468	0.639	0.508	0.465	0.707	0.657	0.714	0.718	0.600	0.577	0.667	0.694	0.690	0.811	0.714	0.577	0.605	0.459	0.528	0.740	0.544	0.593	0.775	0	0.297	0.405	0.343	0.378	0.446	0.962	1.000	0.910	0.934	0.851	0.813	0.900	0.914	0.939	0.896	0.859	0.969
M55	0.342	0.568	0.700	0.532	0.500	0.706	0.446	0.563	0.565	0.493	0.646	0.622	0.649	0.707	0.563	0.573	0.629	0.579	0.627	0.769	0.582	0.653	0.625	0.436	0.553	0.580	0.574	0.460	0.653	0.297	0	0.436	0.324	0.333	0.420	0.895	0.931	0.887	0.877	0.831	0.797	0.857	0.892	0.914	0.852	0.787	0.912
