euclidean	H60	M54	M55	M57	M59	H61	H94	H79	H62	L38	L70	L91	M33	M34	M30	H64	L36	M58	L39	M35	L73	L92	L76	L37	L77	M31	M56	H63	H67	H95	H96	L93	N12	N13	N90	N86	N88	N87	N15	N16	N53	H66	H68	M32	N17	N51	N52
H60	0	4.90	5.10	5.48	5.92	6.32	5.57	5.39	6.78	6.48	6.63	6.71	6.08	5.57	6.48	6.48	7.35	5.83	6.24	7.28	7.35	6.71	6.56	7.28	7.35	6.63	6.00	5.57	6.24	7.14	6.78	7.07	7.00	7.21	7.75	7.75	7.55	8.31	7.81	7.55	8.00	6.63	6.71	7.14	7.42	7.81	8.37
M54	4.90	0	4.69	4.90	5.39	6.63	5.74	5.74	6.32	6.00	6.63	6.71	5.57	5.92	5.83	6.48	7.07	5.29	6.40	7.42	7.07	6.40	7.00	7.14	7.75	6.16	5.48	6.08	6.08	7.28	6.78	6.78	7.14	7.35	7.87	7.87	7.81	8.31	7.81	7.55	8.00	6.63	7.28	7.55	7.55	7.81	8.49
M55	5.10	4.69	0	4.90	5.39	6.48	6.08	6.24	6.48	6.00	6.63	6.24	5.92	5.39	5.83	6.16	6.93	5.10	6.56	7.00	6.63	7.00	6.86	7.28	7.75	6.48	5.83	6.40	6.08	7.14	6.78	7.07	7.14	7.35	7.87	8.00	7.68	8.31	7.94	7.55	8.12	6.93	7.00	6.86	7.68	7.94	8.49
M57	5.48	4.90	4.90	0	5.00	6.16	5.92	5.74	6.63	6.16	6.63	6.56	5.92	5.57	5.48	6.63	7.07	5.83	6.71	7.28	7.07	7.28	7.28	7.28	7.87	5.66	5.83	6.71	6.40	6.71	6.32	6.93	7.00	7.21	7.75	7.75	7.68	8.31	8.06	7.68	8.12	7.21	7.42	7.00	7.55	7.81	8.37
M59	5.92	5.39	5.39	5.00	0	5.00	5.29	5.83	5.39	5.20	5.92	6.00	5.83	5.48	5.92	5.92	6.08	5.92	6.93	7.21	6.86	6.78	6.93	7.07	7.42	5.57	6.56	6.63	6.63	6.48	6.08	6.71	6.78	6.71	7.42	7.55	7.62	8.25	7.48	7.21	7.55	6.71	7.48	6.48	7.21	8.00	7.94
H61	6.32	6.63	6.48	6.16	5.00	0	4.80	5.57	5.83	5.83	6.48	6.56	5.57	5.74	5.66	6.48	6.48	6.48	6.71	7.28	6.93	7.00	7.00	7.00	7.07	5.48	7.48	7.00	6.56	5.92	6.00	6.93	7.00	7.07	7.62	7.75	7.81	8.43	7.68	7.42	7.87	6.93	7.28	6.24	7.55	8.43	8.37
H94	5.57	5.74	6.08	5.92	5.29	4.80	0	5.10	6.24	5.92	6.56	6.63	5.66	6.00	6.08	6.08	6.71	5.92	6.63	7.35	7.14	6.78	6.78	7.07	7.14	5.92	7.00	6.32	6.63	6.93	6.40	6.86	7.21	7.42	7.94	7.81	7.75	8.49	7.75	7.62	7.94	6.86	7.35	6.93	7.48	8.25	8.43
H79	5.39	5.74	6.24	5.74	5.83	5.57	5.10	0	5.92	5.20	5.92	6.16	5.10	5.48	5.92	6.40	6.86	5.39	6.00	6.78	6.56	6.32	6.16	6.93	6.86	6.24	6.08	6.48	6.32	6.63	6.24	6.71	6.63	6.86	7.42	7.28	7.48	8.25	7.21	7.07	7.42	6.08	7.07	7.07	7.07	7.87	8.19
H62	6.78	6.32	6.48	6.63	5.39	5.83	6.24	5.92	0	4.90	4.90	4.80	4.80	5.74	6.00	5.66	5.10	6.16	6.86	6.08	6.16	6.24	6.24	6.08	6.32	6.48	7.07	6.40	6.71	6.40	5.83	6.48	5.92	5.66	6.63	6.93	7.00	7.81	6.40	6.40	6.93	5.83	7.00	6.40	6.71	7.55	7.48
L38	6.48	6.00	6.00	6.16	5.20	5.83	5.92	5.20	4.90	0	4.24	4.36	5.00	4.58	5.66	5.66	5.48	5.83	5.20	6.40	5.83	5.39	5.39	6.08	6.48	6.32	6.63	7.14	6.08	6.24	6.16	5.66	6.40	6.32	7.07	7.21	7.00	7.94	6.86	6.56	7.21	5.83	6.56	6.24	7.00	7.81	7.35
L70	6.63	6.63	6.63	6.63	5.92	6.48	6.56	5.92	4.90	4.24	0	5.00	5.39	5.74	6.48	5.66	5.48	6.32	6.56	6.71	6.63	5.92	5.92	6.08	7.21	6.78	6.93	7.14	6.24	7.14	6.63	6.48	6.71	6.48	7.21	7.21	7.28	8.06	7.00	6.71	7.48	6.78	6.71	6.86	7.14	7.81	7.48
L91	6.71	6.71	6.24	6.56	6.00	6.56	6.63	6.16	4.80	4.36	5.00	0	6.00	5.83	6.56	5.92	6.08	6.71	6.48	6.78	7.14	6.93	6.63	5.48	7.14	6.71	7.28	7.07	6.63	6.48	6.56	6.71	6.48	6.56	7.28	7.28	7.07	8.12	7.07	6.78	7.42	6.24	6.48	6.93	7.21	8.00	7.42
M33	6.08	5.57	5.92	5.92	5.83	5.57	5.66	5.10	4.80	5.00	5.39	6.00	0	4.47	5.00	6.08	5.74	5.39	6.16	5.29	5.39	5.48	6.00	6.63	6.56	6.08	6.08	6.48	5.66	6.63	5.74	5.92	6.00	5.92	6.71	6.86	6.78	7.62	6.48	6.32	7.00	5.74	6.48	6.00	6.78	7.35	7.42
M34	5.57	5.92	5.39	5.57	5.48	5.74	6.00	5.48	5.74	4.58	5.74	5.83	4.47	0	5.39	6.40	6.24	6.24	5.66	5.66	5.57	5.48	5.83	6.78	6.24	5.92	6.08	6.78	6.00	6.48	5.74	5.92	5.83	5.92	6.56	6.71	6.78	7.48	6.78	6.32	6.86	6.08	6.63	5.83	6.93	7.48	7.14
M30	6.48	5.83	5.83	5.48	5.92	5.66	6.08	5.92	6.00	5.66	6.48	6.56	5.00	5.39	0	6.32	6.63	5.10	7.00	6.24	6.32	6.56	7.00	7.14	7.35	6.00	6.48	7.28	6.08	6.56	6.48	6.63	7.14	7.21	7.75	7.75	7.55	8.66	7.81	7.68	7.87	6.63	7.28	6.24	7.55	8.19	8.37
H64	6.48	6.48	6.16	6.63	5.92	6.48	6.08	6.40	5.66	5.66	5.66	5.92	6.08	6.40	6.32	0	4.69	6.00	7.14	7.42	7.07	6.86	7.00	6.71	7.75	6.78	7.48	7.28	6.40	7.00	7.21	7.21	7.42	7.35	8.00	8.00	7.81	8.43	7.68	7.55	8.00	6.48	7.00	6.86	7.68	8.31	8.37
L36	7.35	7.07	6.93	7.07	6.08	6.48	6.71	6.86	5.10	5.48	5.48	6.08	5.74	6.24	6.63	4.69	0	6.63	7.14	6.86	6.16	6.08	6.56	7.00	7.07	7.07	7.62	7.68	7.14	7.14	7.21	6.93	7.00	6.93	7.48	7.75	7.68	8.54	7.55	7.14	7.87	6.48	7.68	6.71	7.68	8.19	8.37
M58	5.83	5.29	5.10	5.83	5.92	6.48	5.92	5.39	6.16	5.83	6.32	6.71	5.39	6.24	5.10	6.00	6.63	0	6.71	6.40	6.32	6.40	6.56	7.55	7.75	6.48	5.48	7.00	5.57	6.71	6.78	6.93	7.42	7.48	7.87	7.87	7.68	8.54	7.94	7.68	8.25	6.48	7.00	6.86	7.55	7.81	8.72
L39	6.24	6.40	6.56	6.71	6.93	6.71	6.63	6.00	6.86	5.20	6.56	6.48	6.16	5.66	7.00	7.14	7.14	6.71	0	7.21	6.71	6.32	6.00	6.48	6.86	7.00	6.86	7.21	6.32	6.32	6.24	6.56	7.21	7.42	7.94	7.94	7.62	8.37	7.87	7.48	8.19	6.56	6.63	7.35	7.75	8.25	8.19
M35	7.28	7.42	7.00	7.28	7.21	7.28	7.35	6.78	6.08	6.40	6.71	6.78	5.29	5.66	6.24	7.42	6.86	6.40	7.21	0	5.92	6.00	6.16	7.62	6.24	7.42	7.00	7.48	6.93	6.93	6.86	6.56	6.63	6.56	7.28	7.14	7.21	8.25	7.07	6.78	7.42	6.24	7.21	6.63	7.21	7.35	7.81
L73	7.35	7.07	6.63	7.07	6.86	6.93	7.14	6.56	6.16	5.83	6.63	7.14	5.39	5.57	6.32	7.07	6.16	6.32	6.71	5.92	0	5.20	5.74	7.81	5.48	7.48	7.07	7.55	7.00	7.14	7.07	6.00	6.71	6.78	7.48	7.62	7.42	8.19	7.42	7.42	7.62	6.16	7.55	6.71	7.55	7.94	8.00
L92	6.71	6.40	7.00	7.28	6.78	7.00	6.78	6.32	6.24	5.39	5.92	6.93	5.48	5.48	6.56	6.86	6.08	6.40	6.32	6.00	5.20	0	5.48	7.35	5.74	7.42	7.14	7.35	6.48	6.93	7.00	5.57	6.78	6.71	7.28	7.42	7.21	8.25	7.35	7.07	7.68	6.08	7.07	7.07	7.48	7.75	8.06
L76	6.56	7.00	6.86	7.28	6.93	7.00	6.78	6.16	6.24	5.39	5.92	6.63	6.00	5.83	7.00	7.00	6.56	6.56	6.00	6.16	5.74	5.48	0	7.21	5.74	7.68	7.14	7.07	6.93	7.62	7.00	5.92	6.63	6.86	7.14	7.28	6.78	8.00	7.35	7.07	7.81	6.40	7.07	7.48	7.35	7.62	8.06
