jaccard	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H60	0	0.774	0.946	0.548	0.857	0.844	0.735	0.796	0.636	0.596	0.853	0.868	0.922	0.902	0.909	0.797	0.885	0.878	0.741	0.838	0.913	0.839	0.863	0.815	0.853	0.883	0.886	0.865	0.889	0.620	0.643	0.741	0.757	0.687	0.829	0.977	0.986	0.962	0.977	0.924	0.919	0.955	0.961	0.962	0.962	0.883	0.976
H61	0.774	0	0.786	0.833	0.741	0.917	0.771	0.825	0.614	0.560	0.647	0.732	0.759	0.851	0.777	0.824	0.835	0.767	0.795	0.825	0.837	0.773	0.800	0.648	0.658	0.735	0.797	0.777	0.816	0.800	0.810	0.877	0.734	0.761	0.648	0.956	0.957	0.940	0.962	0.961	0.985	0.964	0.930	0.949	0.978	0.963	0.945
H62	0.946	0.786	0	0.921	0.720	0.915	0.870	0.849	0.894	0.880	0.845	0.647	0.704	0.826	0.683	0.900	0.616	0.842	0.868	0.879	0.596	0.861	0.855	0.621	0.769	0.748	0.467	0.654	0.830	0.887	0.902	0.956	0.845	0.830	0.710	0.829	0.807	0.887	0.961	0.968	0.977	0.963	0.902	0.955	0.993	0.969	0.880
H63	0.548	0.833	0.921	0	0.902	0.874	0.804	0.846	0.771	0.722	0.891	0.876	0.938	0.910	0.944	0.835	0.920	0.895	0.795	0.792	0.930	0.878	0.852	0.871	0.927	0.899	0.912	0.924	0.897	0.765	0.743	0.871	0.852	0.817	0.885	0.993	0.993	0.977	0.992	0.932	0.927	0.955	0.969	0.985	0.969	0.936	0.992
H64	0.857	0.741	0.720	0.902	0	0.875	0.760	0.764	0.805	0.759	0.780	0.829	0.582	0.782	0.706	0.836	0.764	0.821	0.847	0.907	0.660	0.785	0.813	0.670	0.756	0.778	0.819	0.856	0.850	0.813	0.780	0.898	0.791	0.725	0.755	1.000	0.993	0.962	0.969	0.959	0.961	0.955	0.969	0.985	0.970	0.953	0.992
H66	0.844	0.917	0.915	0.874	0.875	0	0.810	0.765	0.853	0.897	0.794	0.915	0.848	0.912	0.827	0.800	0.932	0.804	0.844	0.747	0.915	0.788	0.817	0.841	0.955	0.936	0.905	0.910	0.835	0.853	0.861	0.899	0.940	0.800	0.924	0.959	0.977	0.942	0.891	0.927	0.949	0.968	0.921	0.951	0.967	0.912	0.966
H67	0.735	0.771	0.870	0.804	0.760	0.810	0	0.582	0.804	0.743	0.630	0.700	0.832	0.755	0.786	0.738	0.783	0.830	0.794	0.849	0.809	0.770	0.714	0.724	0.784	0.796	0.796	0.828	0.806	0.636	0.688	0.699	0.714	0.586	0.796	0.992	0.985	0.952	0.975	0.938	0.895	0.918	0.967	0.977	0.951	0.942	0.983
H68	0.796	0.825	0.849	0.846	0.764	0.765	0.582	0	0.856	0.791	0.733	0.755	0.842	0.724	0.789	0.754	0.786	0.850	0.764	0.817	0.768	0.762	0.769	0.784	0.835	0.847	0.819	0.847	0.807	0.790	0.780	0.863	0.823	0.713	0.849	0.946	0.956	0.904	0.918	0.915	0.882	0.906	0.910	0.896	0.894	0.855	0.943
H79	0.636	0.614	0.894	0.771	0.805	0.853	0.804	0.856	0	0.606	0.755	0.838	0.860	0.863	0.851	0.815	0.866	0.788	0.738	0.815	0.913	0.771	0.832	0.772	0.815	0.873	0.838	0.846	0.806	0.777	0.821	0.793	0.811	0.710	0.817	0.985	0.993	0.954	0.969	0.941	0.961	0.970	0.944	0.962	0.985	0.953	0.984
H94	0.596	0.560	0.880	0.722	0.759	0.897	0.743	0.791	0.606	0	0.807	0.803	0.846	0.839	0.826	0.811	0.861	0.881	0.725	0.832	0.872	0.813	0.817	0.769	0.709	0.823	0.843	0.868	0.892	0.673	0.741	0.800	0.705	0.670	0.692	0.993	1.000	0.963	0.977	0.943	0.954	0.964	0.962	0.971	0.978	0.946	0.992
H95	0.853	0.647	0.845	0.891	0.780	0.794	0.630	0.733	0.755	0.807	0	0.686	0.786	0.787	0.794	0.736	0.892	0.784	0.873	0.833	0.856	0.717	0.713	0.757	0.771	0.843	0.883	0.833	0.755	0.841	0.839	0.869	0.807	0.755	0.782	0.992	0.985	0.977	0.968	0.958	0.952	0.946	0.960	0.985	0.992	0.952	0.984
H96	0.868	0.732	0.647	0.876	0.829	0.915	0.700	0.755	0.838	0.803	0.686	0	0.793	0.761	0.757	0.778	0.720	0.832	0.839	0.860	0.748	0.841	0.736	0.635	0.704	0.726	0.647	0.726	0.776	0.847	0.845	0.855	0.771	0.787	0.686	0.895	0.899	0.878	0.961	0.942	0.928	0.931	0.893	0.931	0.970	0.953	0.890
L36	0.922	0.759	0.704	0.938	0.582	0.848	0.832	0.842	0.860	0.846	0.786	0.793	0	0.798	0.650	0.792	0.701	0.784	0.802	0.842	0.741	0.721	0.752	0.703	0.792	0.730	0.739	0.783	0.843	0.879	0.867	0.941	0.817	0.791	0.727	0.947	0.941	0.923	0.945	0.968	0.962	0.964	0.921	0.948	0.985	0.954	0.927
L37	0.902	0.851	0.826	0.910	0.782	0.912	0.755	0.724	0.863	0.839	0.787	0.761	0.798	0	0.750	0.739	0.736	0.912	0.835	0.876	0.717	0.857	0.798	0.822	0.841	0.890	0.875	0.881	0.897	0.853	0.861	0.914	0.861	0.815	0.856	0.992	0.993	0.962	0.968	0.950	0.944	0.946	0.969	0.970	0.985	0.935	0.992
L38	0.909	0.777	0.683	0.944	0.706	0.827	0.786	0.789	0.851	0.826	0.794	0.757	0.650	0.750	0	0.673	0.596	0.835	0.778	0.810	0.604	0.752	0.697	0.630	0.769	0.770	0.745	0.736	0.844	0.840	0.838	0.913	0.771	0.765	0.709	0.944	0.938	0.910	0.924	0.966	0.976	0.937	0.897	0.953	0.985	0.952	0.932
L39	0.797	0.824	0.900	0.835	0.836	0.800	0.738	0.754	0.815	0.811	0.736	0.778	0.792	0.739	0.673	0	0.776	0.810	0.765	0.750	0.857	0.741	0.663	0.795	0.876	0.871	0.874	0.798	0.838	0.780	0.770	0.860	0.842	0.764	0.865	0.993	1.000	0.979	0.962	0.961	0.955	0.949	0.978	0.986	0.971	0.939	0.993
L70	0.885	0.835	0.616	0.920	0.764	0.932	0.783	0.786	0.866	0.861	0.892	0.720	0.701	0.736	0.596	0.776	0	0.887	0.807	0.858	0.620	0.829	0.757	0.741	0.777	0.735	0.644	0.712	0.898	0.856	0.863	0.907	0.802	0.807	0.731	0.847	0.835	0.868	0.935	0.942	0.944	0.922	0.882	0.922	0.970	0.937	0.870
L73	0.878	0.767	0.842	0.895	0.821	0.804	0.830	0.850	0.788	0.881	0.784	0.832	0.784	0.912	0.835	0.810	0.887	0	0.768	0.716	0.923	0.667	0.689	0.723	0.913	0.821	0.812	0.811	0.653	0.848	0.805	0.865	0.884	0.755	0.870	0.962	0.964	0.947	0.961	0.951	0.945	0.932	0.945	0.963	0.955	0.929	0.961
L76	0.741	0.795	0.868	0.795	0.847	0.844	0.794	0.764	0.738	0.725	0.873	0.839	0.802	0.835	0.778	0.765	0.807	0.768	0	0.697	0.878	0.660	0.709	0.825	0.912	0.883	0.849	0.837	0.796	0.856	0.843	0.881	0.882	0.785	0.877	0.921	0.940	0.904	0.881	0.933	0.873	0.931	0.936	0.878	0.929	0.825	0.898
L77	0.838	0.825	0.879	0.792	0.907	0.747	0.849	0.817	0.815	0.832	0.833	0.860	0.842	0.876	0.810	0.750	0.858	0.716	0.697	0	0.926	0.705	0.615	0.845	0.940	0.867	0.898	0.838	0.782	0.919	0.904	0.937	0.941	0.882	0.917	0.934	0.937	0.917	0.932	0.899	0.950	0.927	0.895	0.935	0.951	0.924	0.930
L91	0.913	0.837	0.596	0.930	0.660	0.915	0.809	0.768	0.913	0.872	0.856	0.748	0.741	0.717	0.604	0.857	0.620	0.923	0.878	0.926	0	0.900	0.866	0.700	0.750	0.750	0.725	0.771	0.891	0.868	0.836	0.925	0.784	0.811	0.748	0.878	0.883	0.897	0.953	0.968	0.969	0.932	0.911	0.947	0.985	0.946	0.891
L92	0.839	0.773	0.861	0.878	0.785	0.788	0.770	0.762	0.771	0.813	0.717	0.841	0.721	0.857	0.752	0.741	0.829	0.667	0.660	0.705	0.900	0	0.620	0.784	0.899	0.858	0.841	0.798	0.722	0.825	0.856	0.893	0.896	0.784	0.851	0.943	0.937	0.917	0.914	0.939	0.905	0.936	0.924	0.927	0.960	0.887	0.922
L93	0.863	0.800	0.855	0.852	0.813	0.817	0.714	0.769	0.832	0.817	0.713	0.736	0.752	0.798	0.697	0.663	0.757	0.689	0.709	0.615	0.866	0.620	0	0.768	0.867	0.814	0.845	0.783	0.779	0.830	0.839	0.887	0.850	0.802	0.825	0.969	0.962	0.945	0.951	0.903	0.917	0.912	0.960	0.962	0.944	0.917	0.950
M30	0.815	0.648	0.621	0.871	0.670	0.841	0.724	0.784	0.772	0.769	0.757	0.635	0.703	0.822	0.630	0.795	0.741	0.723	0.825	0.845	0.700	0.784	0.768	0	0.646	0.667	0.594	0.679	0.714	0.731	0.722	0.813	0.660	0.608	0.660	0.915	0.919	0.899	0.962	0.944	0.955	0.949	0.887	0.933	0.978	0.931	0.902
M31	0.853	0.658	0.769	0.927	0.756	0.955	0.784	0.835	0.815	0.709	0.771	0.704	0.792	0.841	0.769	0.876	0.777	0.913	0.912	0.940	0.750	0.899	0.867	0.646	0	0.640	0.726	0.789	0.916	0.759	0.811	0.841	0.606	0.754	0.607	0.920	0.923	0.920	0.964	0.963	0.979	0.951	0.910	0.951	0.986	0.957	0.916
M32	0.883	0.735	0.748	0.899	0.778	0.936	0.796	0.847	0.873	0.823	0.843	0.726	0.730	0.890	0.770	0.871	0.735	0.821	0.883	0.867	0.750	0.858	0.814	0.667	0.640	0	0.691	0.739	0.849	0.883	0.814	0.912	0.793	0.798	0.737	0.891	0.879	0.901	0.970	0.953	0.978	0.934	0.898	0.949	0.986	0.956	0.877
M33	0.886	0.797	0.467	0.912	0.819	0.905	0.796	0.819	0.838	0.843	0.883	0.647	0.739	0.875	0.745	0.874	0.644	0.812	0.849	0.898	0.725	0.841	0.845	0.594	0.726	0.691	0	0.545	0.787	0.836	0.855	0.899	0.782	0.776	0.768	0.829	0.817	0.878	0.953	0.959	0.961	0.955	0.893	0.939	0.978	0.945	0.880
