unifrac_binary	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
H60	0	0.431	0.557	0.324	0.365	0.460	0.325	0.333	0.303	0.245	0.559	0.455	0.462	0.492	0.463	0.454	0.336	0.478	0.299	0.570	0.416	0.334	0.432	0.303	0.373	0.462	0.336	0.333	0.442	0.167	0.167	0.216	0.211	0.213	0.344	0.486	0.725	0.711	0.622	0.506	0.327	0.554	0.652	0.416	0.362	0.403	0.476
H61	0.431	0	0.373	0.397	0.350	0.446	0.328	0.349	0.298	0.302	0.370	0.304	0.339	0.405	0.374	0.428	0.391	0.433	0.488	0.496	0.371	0.508	0.423	0.367	0.295	0.305	0.401	0.367	0.458	0.521	0.422	0.537	0.438	0.428	0.250	0.701	0.682	0.511	0.580	0.471	0.484	0.477	0.536	0.494	0.489	0.495	0.576
H62	0.557	0.373	0	0.422	0.470	0.343	0.444	0.433	0.443	0.481	0.505	0.374	0.387	0.470	0.327	0.508	0.372	0.390	0.457	0.405	0.329	0.481	0.450	0.431	0.479	0.431	0.323	0.361	0.440	0.559	0.482	0.633	0.548	0.524	0.362	0.589	0.535	0.496	0.595	0.585	0.577	0.519	0.590	0.550	0.576	0.546	0.520
H63	0.324	0.397	0.422	0	0.362	0.358	0.274	0.238	0.297	0.332	0.393	0.296	0.436	0.399	0.350	0.369	0.331	0.421	0.413	0.450	0.329	0.411	0.359	0.303	0.398	0.414	0.372	0.344	0.397	0.314	0.268	0.373	0.355	0.327	0.269	0.648	0.679	0.594	0.617	0.418	0.389	0.460	0.577	0.506	0.425	0.499	0.548
H64	0.365	0.350	0.470	0.362	0	0.395	0.298	0.316	0.312	0.332	0.388	0.391	0.208	0.386	0.388	0.429	0.370	0.374	0.468	0.459	0.356	0.417	0.386	0.382	0.348	0.395	0.463	0.410	0.424	0.432	0.335	0.457	0.421	0.320	0.303	0.717	0.748	0.641	0.647	0.551	0.532	0.572	0.640	0.620	0.562	0.583	0.663
H66	0.460	0.446	0.343	0.358	0.395	0	0.362	0.348	0.380	0.400	0.465	0.428	0.349	0.413	0.260	0.369	0.369	0.363	0.361	0.299	0.298	0.342	0.365	0.375	0.484	0.494	0.400	0.360	0.368	0.473	0.407	0.520	0.511	0.391	0.366	0.609	0.626	0.602	0.573	0.518	0.542	0.535	0.578	0.574	0.573	0.532	0.543
H67	0.325	0.328	0.444	0.274	0.298	0.362	0	0.179	0.299	0.350	0.302	0.231	0.414	0.357	0.307	0.344	0.293	0.391	0.400	0.401	0.306	0.341	0.250	0.276	0.268	0.319	0.360	0.343	0.344	0.380	0.295	0.327	0.353	0.271	0.252	0.666	0.650	0.587	0.582	0.452	0.429	0.459	0.585	0.506	0.441	0.474	0.543
H68	0.333	0.349	0.433	0.238	0.316	0.348	0.179	0	0.328	0.392	0.350	0.260	0.427	0.313	0.281	0.315	0.314	0.421	0.369	0.435	0.253	0.420	0.348	0.329	0.319	0.410	0.387	0.342	0.382	0.381	0.287	0.373	0.359	0.339	0.263	0.666	0.665	0.542	0.541	0.422	0.409	0.429	0.538	0.496	0.430	0.462	0.523
H79	0.303	0.298	0.443	0.297	0.312	0.380	0.299	0.328	0	0.216	0.462	0.320	0.321	0.454	0.311	0.371	0.278	0.373	0.393	0.472	0.333	0.401	0.336	0.322	0.314	0.385	0.324	0.278	0.375	0.366	0.321	0.372	0.279	0.290	0.225	0.628	0.665	0.548	0.519	0.447	0.460	0.467	0.509	0.524	0.481	0.520	0.560
H94	0.245	0.302	0.481	0.332	0.332	0.400	0.350	0.392	0.216	0	0.515	0.395	0.399	0.536	0.375	0.383	0.318	0.421	0.308	0.469	0.365	0.304	0.355	0.228	0.339	0.406	0.285	0.308	0.386	0.265	0.201	0.315	0.222	0.210	0.276	0.550	0.703	0.606	0.571	0.478	0.368	0.502	0.544	0.454	0.397	0.441	0.525
H95	0.559	0.370	0.505	0.393	0.388	0.465	0.302	0.350	0.462	0.515	0	0.279	0.449	0.379	0.425	0.412	0.464	0.472	0.553	0.482	0.425	0.511	0.424	0.384	0.373	0.431	0.527	0.492	0.484	0.580	0.480	0.582	0.559	0.477	0.372	0.829	0.813	0.673	0.709	0.596	0.589	0.566	0.700	0.648	0.610	0.623	0.651
H96	0.455	0.304	0.374	0.296	0.391	0.428	0.231	0.260	0.320	0.395	0.279	0	0.404	0.324	0.306	0.292	0.331	0.426	0.461	0.453	0.344	0.429	0.324	0.281	0.260	0.379	0.340	0.307	0.401	0.472	0.389	0.459	0.412	0.437	0.272	0.672	0.635	0.483	0.557	0.457	0.433	0.380	0.536	0.482	0.449	0.490	0.508
L36	0.462	0.339	0.387	0.436	0.208	0.349	0.414	0.427	0.321	0.399	0.449	0.404	0	0.491	0.325	0.461	0.369	0.248	0.426	0.393	0.372	0.367	0.348	0.390	0.412	0.366	0.379	0.340	0.427	0.528	0.439	0.567	0.504	0.436	0.342	0.647	0.677	0.651	0.626	0.586	0.594	0.590	0.625	0.599	0.601	0.567	0.636
