ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96
ASV_1	0.799	17.901	0.37096714473872	0.42486835380332	NotSig	6.37	3.662	18.524	19.517	8.946	2.382	0.421	0.087	1.036	7.909	4.524	0.353	0.784	11.962	0.125	5.209	24.469	0.136	0.167	0.079	0.109	0.133	0.641	0.14	0.735	11.998
ASV_2	-4.293	17.151	0.00270225163820505	0.0106500505741023	Depleted	0.269	5.274	0.2	0.326	0.172	0.119	0.133	0.192	0.888	0.155	0.048	0.371	0.501	0.125	2.304	4.895	12.776	1.504	14.555	0.17	4.663	5.586	0.243	5.333	3.969	7.29
ASV_3	-3.636	16.944	0.00291197358560577	0.0108390127908659	Depleted	0.402	4.994	0.076	0.097	0.618	2.435	0.093	0.042	0.487	0.817	0.043	0.039	0.041	0.032	0.569	12.607	5.256	0.21	8.264	2.547	0.512	2.715	9.598	2.838	9.889	4.925
ASV_11	-3.093	16.15	0.0067961952829015	0.0185651403211962	Depleted	0.285	2.428	0.272	0.213	0.281	0.097	0.892	0.742	0.162	0.077	0.028	0.366	0.097	0.187	3.165	4.627	0.105	1.829	0.06	0.352	3.357	0.396	4.291	7.272	2.592	1.087
ASV_8	3.308	16.355	6.64676198878012e-05	0.00148444351082756	Enriched	4.647	0.469	5.714	5.283	5.733	5.744	2.073	4.399	0.846	3.761	6.864	0.506	8.385	6.462	0.017	0.013	0.061	0.059	0.015	1.579	0.113	3.516	0.061	0.015	0.111	0.072
ASV_10	-3.963	15.472	0.012974484812417	0.0275965232518076	Depleted	0.102	1.585	0.219	0.206	0.214	0.058	0.103	0.062	0.048	0.11	0.04	0.024	0.075	0.062	4.544	0.115	0.071	3.174	0.077	3.731	2.146	1.076	3.556	0.049	0.433	0.045
ASV_1385	-7.403	16.952	0.0176000996404753	0.0346825492915248	Depleted	0.027	4.594	0.071	0.005	0.007	0.008	0.003	0.069	0.064	0.037	0.033	0.004	0.009	0.015	12.579	7.346	0.168	10.363	0.1	0.167	0.092	0.082	11.245	12.679	0.164	0.138
ASV_6	8.637	17.65	0.0207483720818932	0.0391588994221647	Enriched	5.682	0.014	18.114	20.565	2.439	11.584	0.398	0.127	0.081	2.326	2.708	0.098	1.827	7.913	0	0	0.002	0.031	0.04	0.016	0.029	0	0.003	0.005	0.003	0.043
ASV_4	-4.191	13.824	0.0110481038714692	0.025524929634084	Depleted	0.028	0.505	0.035	0.021	0.049	0.041	0.046	0.027	0.006	0.028	0.02	0.007	0.007	0.045	0.352	0.008	1.011	0.88	0.03	0.021	0.229	0.685	0.046	0.027	1.317	1.45
ASV_7	-2.525	16.262	0.0231337129472276	0.0413322337990467	Depleted	0.357	2.055	0.548	0.128	0.116	0.287	0.09	0.361	0.395	0.089	0.687	0.558	0.513	0.511	4.412	0.622	0.083	7.857	0.045	2.003	1.726	1.725	0.735	2.68	0.355	2.417
