group	methanol_oxidation	methylotrophy	sulfate_respiration	sulfur_respiration	thiosulfate_respiration	respiration_of_sulfur_compounds	anammox	dark_hydrogen_oxidation	nitrogen_fixation	nitrite_respiration	fermentation	aerobic_chemoheterotrophy	human_pathogens_all	human_gut	human_associated	mammal_gut	animal_parasites_or_symbionts	aromatic_hydrocarbon_degradation	aromatic_compound_degradation	aliphatic_non_methane_hydrocarbon_degradation	hydrocarbon_degradation	iron_respiration	nitrate_respiration	nitrate_reduction	nitrogen_respiration	predatory_or_exoparasitic	ureolysis	reductive_acetogenesis	chemoheterotrophy
H60	0	0	3.584962500721156	0	2.807354922057604	4.169925001442312	1	0	2.321928094887362	1	9.457380879072534	5.087462841250339	0	3	3	3	6.022367813028454	0	4.643856189774724	0	0	2.807354922057604	6.569855608330948	6.672425341971495	6.584962500721156	1	0	0	9.527477006060396
H61	0	0	3.700439718141092	0	3.321928094887362	4.459431618637297	0	0	1.584962500721156	0	10.543031820255237	9.144658242831882	1	2.584962500721156	2.807354922057604	2.584962500721156	5.523561956057013	0	4.954196310386875	0	0	3.321928094887362	5.087462841250339	6	5.087462841250339	0	1.584962500721156	0	10.58777751632821
H62	0	0	4.087462841250339	1.584962500721156	3.169925001442312	4.754887502163468	1	0	0	1	11.711666973564347	11.3151495622563	0	3.9068905956085187	3.9068905956085187	3.9068905956085187	6.754887502163468	0	4.643856189774724	0	0	3.169925001442312	3.807354922057604	5.129283016944966	3.9068905956085187	0	0	0	11.7300455028792
H63	0	0	4.247927513443585	2	1	4.523561956057013	0	0	1.584962500721156	0	10.066089190457772	5.044394119358453	1.584962500721156	3.700439718141092	3.9068905956085187	3.700439718141092	7.562242424221073	0	4.584962500721156	0	0	1	6.357552004618084	6.768184324776926	6.357552004618084	3.169925001442312	1	0	10.118941072723507
H64	0	0	4.087462841250339	2.807354922057604	1	4.584962500721156	1	0	0	1	9.943979914343739	5.727920454563199	0	2.321928094887362	2.321928094887362	2.321928094887362	5.247927513443585	0	4.247927513443585	0	0	1	6.539158811108031	6.965784284662087	6.554588851677638	0	1.584962500721156	0	10.001408194392809
H66	2	2	4.584962500721156	2.321928094887362	0	4.807354922057604	0	0	1	0	10.871135184243045	5.614709844115208	0	3.807354922057604	3.807354922057604	3.807354922057604	6.321928094887363	0	4.087462841250339	0	0	0	4.392317422778761	6.303780748177103	4.392317422778761	0	0	0	10.899356922923111
H67	0	0	2.584962500721156	1	1	3	0	2.584962500721156	0	0	10.044394119358454	4.700439718141092	0	2.321928094887362	2.321928094887362	2.321928094887362	6.870364719583405	0	4.584962500721156	0	0	1	5.044394119358453	5.426264754702098	5.044394119358453	0	0	2.584962500721156	10.094077685671905
H68	0	0	3.807354922057604	1	1	4	0	0	0	0	9.884170519108435	4.700439718141092	0	1.584962500721156	1.584962500721156	1.584962500721156	6.554588851677638	0	4.754887502163468	0	0	1	5.882643049361842	5.977279923499917	5.882643049361842	0	0	0	9.943979914343739
H79	0	0	3.321928094887362	0	2.321928094887362	3.807354922057604	0	1.584962500721156	1	0	9.873444112515376	6.22881869049588	0	2.584962500721156	2.584962500721156	2.584962500721156	5.700439718141092	0	4.321928094887363	0	0	2.321928094887362	5.954196310386875	6.303780748177103	5.954196310386875	1	0	1.584962500721156	9.90839262077375
H94	1	1	2.321928094887362	0	1	2.584962500721156	1	0	0	1	9.586839787961827	4.700439718141092	0	2.807354922057604	2.807354922057604	2.807354922057604	5.554588851677638	0	4.700439718141092	0	0	1	5.754887502163468	6.087462841250339	5.78135971352466	0	0	0	9.642051692927977
