orig_model	model	color	OTU	X1	X2
1	2	model_2	#E65948	ASV_2	-12.7764490259565	-17.8937183248922
2	2	model_2	#E65948	ASV_11	-11.5882329931069	-16.6003860226964
3	2	model_2	#E65948	ASV_1385	0.318598048810341	-26.581444529824
4	3	model_3	#F47346	ASV_10	14.7540566337251	-9.79635027565729
5	1	model_1	#9E0142	ASV_6	-2.84429958884239	7.35860410061002
6	65	mini_model	#C1C1C1	ASV_4	7.32432642049661	10.3776204863443
7	2	model_2	#E65948	ASV_7	-3.42436829227463	-22.3150906307412
8	1	model_1	#9E0142	ASV_14	-15.3606545083463	6.66148263011237
9	6	model_6	#FEE695	ASV_21	7.79527210138836	-22.0459110837654
10	2	model_2	#E65948	ASV_17	-10.4451090842091	-16.9185171054909
11	2	model_2	#E65948	ASV_20	-8.8913903179856	-15.6971355823852
12	2	model_2	#E65948	ASV_29	-7.95082169371363	-15.795428763364
13	3	model_3	#F47346	ASV_22	14.3928472948656	-8.87725797467196
14	2	model_2	#E65948	ASV_28	-8.78985559235478	-15.0521980695251
15	29	mini_model	#C1C1C1	ASV_25	7.80599682585489	0.703547087016424
16	1	model_1	#9E0142	ASV_30	-7.47549961061336	8.43001144470451
17	42	mini_model	#C1C1C1	ASV_26	8.22201539846461	-3.86262900395764
18	9	model_9	#FDB567	ASV_24	10.6982962554746	1.98670473428056
19	88	mini_model	#C1C1C1	ASV_27	8.13048213914519	3.42850768038014
20	4	model_4	#BA2148	ASV_34	-4.30008442063594	-0.272297998407599
21	5	model_5	#D6404E	ASV_37	-10.7796591652308	-0.344973988227245
22	2	model_2	#E65948	ASV_119	-11.6450815413478	-18.2851477023558
23	5	model_5	#D6404E	ASV_39	-6.82852653865568	6.24457147226999
24	3	model_3	#F47346	ASV_31	14.967869142144	-15.4495629101455
25	7	model_7	#FEF6B1	ASV_32	5.92216649031507	15.1397964205111
26	15	mini_model	#C1C1C1	ASV_38	14.6534448458741	-19.044816361188
27	2	model_2	#E65948	ASV_1214	-10.2007591210313	-18.5008509723506
28	17	model_17	#348BBB	ASV_48	3.06109894485595	13.7899670373588
29	9	model_9	#FDB567	ASV_33	12.9148635474551	1.99083720276333
30	1	model_1	#9E0142	ASV_57	-12.7552522618934	8.82571228633178
31	7	model_7	#FEF6B1	ASV_42	9.21056858898624	14.9913282650634
32	1	model_1	#9E0142	ASV_45	-10.4625701645604	10.3748938073252
33	1	model_1	#9E0142	ASV_56	-13.6700960644001	3.73171121109577
34	1	model_1	#9E0142	ASV_36	-4.57305474697481	8.90463086891081
