Proportion.removed	remain.mean	remain.sd	remain.se	weighted	Group
1	0.05	0.752947368421053	0.0139314354340774	0.00139314354340774	weighted	HMAT
2	0.1	0.690157894736842	0.0185916005726403	0.00185916005726403	weighted	HMAT
3	0.15	0.622947368421053	0.0198981710579057	0.00198981710579057	weighted	HMAT
4	0.2	0.560473684210526	0.0228682162601737	0.00228682162601737	weighted	HMAT
5	0.25	0.499789473684211	0.0271058438178154	0.00271058438178154	weighted	HMAT
6	0.3	0.445789473684211	0.0269565790346244	0.00269565790346244	weighted	HMAT
7	0.35	0.396105263157895	0.0259638346256815	0.00259638346256815	weighted	HMAT
8	0.4	0.345842105263158	0.0276513308811556	0.00276513308811556	weighted	HMAT
9	0.45	0.292473684210526	0.0295299739688521	0.00295299739688521	weighted	HMAT
10	0.5	0.246842105263158	0.0293803108179046	0.00293803108179046	weighted	HMAT
11	0.55	0.199736842105263	0.026473477581335	0.0026473477581335	weighted	HMAT
12	0.6	0.162789473684211	0.02365915149005	0.002365915149005	weighted	HMAT
13	0.65	0.128	0.0220253739801964	0.00220253739801964	weighted	HMAT
14	0.7	0.0973157894736842	0.0228559773839163	0.00228559773839164	weighted	HMAT
15	0.75	0.0665263157894737	0.0216620978078035	0.00216620978078035	weighted	HMAT
16	0.8	0.0449473684210526	0.018284524820111	0.0018284524820111	weighted	HMAT
17	0.85	0.0247894736842105	0.0134089812387713	0.00134089812387713	weighted	HMAT
18	0.9	0.0107894736842105	0.0086716759054751	0.00086716759054751	weighted	HMAT
19	0.95	0.00221052631578947	0.00462233866325427	0.000462233866325427	weighted	HMAT
20	1	0	0	0	weighted	HMAT
21	0.05	0.731421052631579	0.015320977945395	0.0015320977945395	unweighted	HMAT
22	0.1	0.676736842105263	0.0205846442892338	0.00205846442892338	unweighted	HMAT
23	0.15	0.605052631578947	0.023667014845699	0.0023667014845699	unweighted	HMAT
24	0.2	0.555	0.0284009123905794	0.00284009123905794	unweighted	HMAT
25	0.25	0.492578947368421	0.0247327696943033	0.00247327696943033	unweighted	HMAT
26	0.3	0.441578947368421	0.0239908672476795	0.00239908672476795	unweighted	HMAT
27	0.35	0.388473684210526	0.0265612686691097	0.00265612686691097	unweighted	HMAT
28	0.4	0.336210526315789	0.0317757468664777	0.00317757468664777	unweighted	HMAT
29	0.45	0.289894736842105	0.0293152879026536	0.00293152879026536	unweighted	HMAT
30	0.5	0.249368421052632	0.0284147511079769	0.00284147511079769	unweighted	HMAT
31	0.55	0.195947368421053	0.0294312655185282	0.00294312655185282	unweighted	HMAT
32	0.6	0.161157894736842	0.0290188571605247	0.00290188571605247	unweighted	HMAT
33	0.65	0.123947368421053	0.0239660704790403	0.00239660704790403	unweighted	HMAT
34	0.7	0.0957368421052632	0.0225627329632784	0.00225627329632784	unweighted	HMAT
35	0.75	0.0623157894736842	0.0179337848352807	0.00179337848352807	unweighted	HMAT
36	0.8	0.0452105263157895	0.0157467968350865	0.00157467968350865	unweighted	HMAT
37	0.85	0.0240526315789474	0.0133663445958812	0.00133663445958812	unweighted	HMAT
38	0.9	0.0138947368421053	0.0109310801821388	0.00109310801821388	unweighted	HMAT
39	0.95	0.00273684210526316	0.00510007848234083	0.000510007848234083	unweighted	HMAT
40	1	0	0	0	unweighted	HMAT
41	0.05	0.623740157480315	0.0150178175847586	0.00150178175847586	weighted	LMAT
42	0.1	0.578149606299213	0.0189794403179268	0.00189794403179268	weighted	LMAT
43	0.15	0.533188976377953	0.0213688141056713	0.00213688141056713	weighted	LMAT
44	0.2	0.490629921259843	0.021692588962231	0.0021692588962231	weighted	LMAT
45	0.25	0.446929133858268	0.0258710892275226	0.00258710892275226	weighted	LMAT
46	0.3	0.405944881889764	0.0271665069948426	0.00271665069948426	weighted	LMAT
47	0.35	0.361535433070866	0.0220453621471276	0.00220453621471276	weighted	LMAT
48	0.4	0.324330708661417	0.0253903480517309	0.00253903480517309	weighted	LMAT
49	0.45	0.281968503937008	0.0241580016972839	0.00241580016972839	weighted	LMAT
50	0.5	0.244133858267717	0.02512825083707	0.002512825083707	weighted	LMAT
51	0.55	0.211102362204724	0.0269865892992529	0.00269865892992529	weighted	LMAT
52	0.6	0.178503937007874	0.0214051609749105	0.00214051609749105	weighted	LMAT
53	0.65	0.141299212598425	0.0210933071619159	0.00210933071619159	weighted	LMAT
54	0.7	0.105629921259843	0.0176250987553743	0.00176250987553743	weighted	LMAT
55	0.75	0.0808661417322835	0.0189385212205716	0.00189385212205716	weighted	LMAT
56	0.8	0.0545275590551181	0.0141051836568412	0.00141051836568412	weighted	LMAT
57	0.85	0.0330314960629921	0.0130263053971016	0.00130263053971016	weighted	LMAT
58	0.9	0.0150393700787402	0.0087477530457482	0.00087477530457482	weighted	LMAT
59	0.95	0.00354330708661417	0.00492622830399966	0.000492622830399966	weighted	LMAT
60	1	0	0	0	weighted	LMAT
61	0.05	0.655944881889764	0.0138647081446027	0.00138647081446027	unweighted	LMAT
62	0.1	0.610905511811024	0.0154170154134196	0.00154170154134196	unweighted	LMAT
63	0.15	0.555236220472441	0.0194526568319553	0.00194526568319553	unweighted	LMAT
64	0.2	0.509212598425197	0.0213392298105456	0.00213392298105456	unweighted	LMAT
65	0.25	0.466220472440945	0.0222160370056388	0.00222160370056388	unweighted	LMAT
66	0.3	0.417283464566929	0.0255361645148756	0.00255361645148756	unweighted	LMAT
67	0.35	0.377795275590551	0.0279338458221862	0.00279338458221862	unweighted	LMAT
68	0.4	0.328622047244094	0.0239410510238299	0.00239410510238299	unweighted	LMAT
69	0.45	0.293503937007874	0.0256699634780565	0.00256699634780565	unweighted	LMAT
70	0.5	0.253700787401575	0.0255657301819911	0.00255657301819911	unweighted	LMAT
71	0.55	0.209724409448819	0.0220226240487354	0.00220226240487354	unweighted	LMAT
72	0.6	0.177086614173228	0.022522599298958	0.0022522599298958	unweighted	LMAT
73	0.65	0.141338582677165	0.0216905679718461	0.00216905679718461	unweighted	LMAT
74	0.7	0.107637795275591	0.0195551268732319	0.00195551268732319	unweighted	LMAT
75	0.75	0.0800787401574803	0.0155299865537921	0.00155299865537921	unweighted	LMAT
76	0.8	0.0559842519685039	0.0132725945641742	0.00132725945641742	unweighted	LMAT
77	0.85	0.0318110236220472	0.0119452066597276	0.00119452066597276	unweighted	LMAT
78	0.9	0.0161811023622047	0.0101636932827972	0.00101636932827972	unweighted	LMAT
79	0.95	0.00385826771653543	0.00509741977190549	0.000509741977190549	unweighted	LMAT
80	1	0	0	0	unweighted	LMAT
81	0.05	0.68760162601626	0.0118321471521497	0.00118321471521497	weighted	MD
82	0.1	0.63130081300813	0.0154441286265912	0.00154441286265911	weighted	MD
83	0.15	0.583252032520325	0.0214983751249016	0.00214983751249016	weighted	MD
84	0.2	0.532073170731707	0.0208633288452144	0.00208633288452144	weighted	MD
85	0.25	0.485934959349594	0.0231719202852094	0.00231719202852094	weighted	MD
86	0.3	0.438252032520325	0.0231666972912913	0.00231666972912913	weighted	MD
87	0.35	0.39219512195122	0.0231651481770461	0.00231651481770461	weighted	MD
88	0.4	0.349227642276423	0.0233275297027366	0.00233275297027366	weighted	MD
89	0.45	0.298821138211382	0.027922336999111	0.0027922336999111	weighted	MD
90	0.5	0.262276422764228	0.0189480037795097	0.00189480037795097	weighted	MD
91	0.55	0.221788617886179	0.0250340691137756	0.00250340691137756	weighted	MD
92	0.6	0.18609756097561	0.023295201271373	0.0023295201271373	weighted	MD
93	0.65	0.147967479674797	0.0228789096156569	0.00228789096156569	weighted	MD
94	0.7	0.112317073170732	0.0204655987124514	0.00204655987124514	weighted	MD
95	0.75	0.08	0.0186228003009276	0.00186228003009276	weighted	MD
96	0.8	0.0541056910569106	0.015184673196239	0.0015184673196239	weighted	MD
97	0.85	0.0320325203252033	0.0111029960931899	0.00111029960931899	weighted	MD
98	0.9	0.0149186991869919	0.00985711505111866	0.000985711505111866	weighted	MD
99	0.95	0.00369918699186992	0.00557475096747054	0.000557475096747054	weighted	MD
100	1	0	0	0	weighted	MD
101	0.05	0.690609756097561	0.0111572091286408	0.00111572091286408	unweighted	MD
102	0.1	0.635975609756098	0.0161093337168345	0.00161093337168345	unweighted	MD
103	0.15	0.585081300813008	0.0183826136110001	0.00183826136110001	unweighted	MD
104	0.2	0.53630081300813	0.0205518690716845	0.00205518690716845	unweighted	MD
105	0.25	0.482235772357724	0.0240779256437075	0.00240779256437075	unweighted	MD
106	0.3	0.433943089430894	0.0261879892601161	0.00261879892601161	unweighted	MD
107	0.35	0.389959349593496	0.0266045759712894	0.00266045759712894	unweighted	MD
108	0.4	0.342479674796748	0.0219356640415044	0.00219356640415044	unweighted	MD
109	0.45	0.301829268292683	0.0239299522270827	0.00239299522270827	unweighted	MD
110	0.5	0.260447154471545	0.0228296479577014	0.00228296479577014	unweighted	MD
111	0.55	0.220284552845528	0.0263298661937615	0.00263298661937615	unweighted	MD
112	0.6	0.181463414634146	0.0238050853723553	0.00238050853723553	unweighted	MD
113	0.65	0.145813008130081	0.0243399264717326	0.00243399264717326	unweighted	MD
