"","KO","Means","SD"
"num.edges(L)","265","265","0"
"num.pos.edges","223","0","0"
"num.neg.edges","42","0","0"
"num.vertices(n)","318","318","0"
"Connectance(edge_density)","0.00525762355415352","0.00525762355415352","0"
"average.degree(Average K)","1.66666666666667","1.66666666666667","0"
"average.path.length","1.7629508880693","8.7454453675436","0.760289607887387"
"diameter","6.54880912922621","21.74","2.94947350206676"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.529283489096573","0.00551515941207431","0.00609096925398339"
"no.clusters","113","76.14","4.34850490967815"
"centralization.degree","0.0199789695057834","0.0151524710830705","0.00266978865459159"
"centralization.betweenness","0.000774062933520906","0.115801662133713","0.0286770473672058"
"centralization.closeness","0.319648567233391","NaN",NA
"RM(relative.modularity)","0.1964027508376","0.00532908513589873","0.0523148012234358"
"the.number.of.keystone.nodes","Not.calculated","0","0"
