"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_57",1,1,0,1
"ASV_17",1,1,0,1
"ASV_965",2,0.75,0,2
"ASV_1277",2,0.75,0,2
"ASV_1200",1,0.6,0,1
"ASV_22",1,1,0,1
"ASV_132",1,1,0,1
"ASV_69",1,1,0,1
"ASV_55",2,1,0,2
"ASV_64",2,1,0,2
"ASV_1357",3,0.421052631578947,17,3
"ASV_20",4,1,0.333333333333333,4
"ASV_28",4,1,0.333333333333333,4
"ASV_570",4,1,0.333333333333333,4
"ASV_218",3,0.8,0,3
"ASV_803",1,1,0,1
"ASV_129",1,1,0,1
"ASV_253",1,1,0,1
"ASV_8",2,0.555555555555556,0,2
"ASV_87",4,0.833333333333333,8,4
"ASV_49",1,0.4,0,1
"ASV_1368",4,0.75,9,4
"ASV_761",2,0.545454545454545,0,2
"ASV_453",1,1,0,1
"ASV_482",4,0.666666666666667,9.5,4
"ASV_1454",2,0.461538461538462,0,2
"ASV_569",2,0.461538461538462,0,2
"ASV_511",1,1,0,1
"ASV_79",1,1,0,1
"ASV_723",2,1,1,2
"ASV_581",1,0.5,0,1
"ASV_927",2,0.75,2,2
"ASV_130",1,1,0,1
"ASV_457",3,0.5,21,3
"ASV_1355",2,0.3125,9,2
"ASV_320",1,1,0,1
"ASV_226",2,1,1,2
"ASV_260",1,0.416666666666667,0,1
"ASV_194",1,0.5,0,1
"ASV_271",2,0.75,2,2
"ASV_815",1,0.5,0,1
"ASV_264",1,1,0,1
"ASV_182",1,1,0,1
"ASV_601",1,1,0,1
"ASV_855",6,0.875,13.5,6
"ASV_1167",4,0.7,2.5,4
"ASV_330",1,1,0,1
"ASV_234",2,0.333333333333333,7,2
"ASV_109",2,0.444444444444444,16,2
"ASV_528",1,1,0,1
"ASV_217",2,0.297297297297297,10,2
"ASV_251",1,0.4,0,1
"ASV_293",2,0.545454545454545,0,2
"ASV_1076",1,1,0,1
"ASV_273",2,0.75,2,2
"ASV_202",1,0.666666666666667,0,1
"ASV_184",1,0.666666666666667,0,1
"ASV_514",2,0.333333333333333,18,2
"ASV_439",1,0.215686274509804,0,1
"ASV_742",2,0.379310344827586,18,2
"ASV_287",2,1,1,2
"ASV_244",2,0.75,2,2
"ASV_306",1,1,0,1
"ASV_255",1,1,0,1
"ASV_361",1,1,0,1
"ASV_513",1,0.235294117647059,0,1
"ASV_517",2,0.363636363636364,12,2
"ASV_1055",1,1,0,1
"ASV_417",1,1,0,1
"ASV_344",1,1,0,1
"ASV_1092",4,0.478260869565217,40,4
"ASV_1014",3,0.392857142857143,18,3
"ASV_495",1,1,0,1
"ASV_558",1,1,0,1
"ASV_631",1,1,0,1
"ASV_228",4,1,1,4
"ASV_340",3,0.8,0,3
"ASV_381",4,1,1,4
"ASV_556",1,1,0,1
"ASV_396",2,0.666666666666667,0,2
"ASV_751",1,1,0,1
"ASV_272",1,0.666666666666667,0,1
"ASV_295",1,0.666666666666667,0,1
"ASV_691",1,0.5,0,1
"ASV_1280",1,0.258064516129032,0,1
"ASV_537",1,1,0,1
"ASV_911",1,1,0,1
"ASV_878",1,1,0,1
"ASV_425",1,1,0,1
"ASV_922",2,0.421052631578947,15,2
"ASV_844",2,0.4,9,2
"ASV_1301",1,0.666666666666667,0,1
"ASV_288",1,1,0,1
"ASV_161",1,1,0,1
"ASV_719",2,0.305555555555556,10,2
"ASV_791",1,1,0,1
"ASV_1090",1,1,0,1
"ASV_664",2,1,0,2
"ASV_1333",2,1,0,2
"ASV_1101",1,1,0,1
"ASV_677",2,1,1,2
"ASV_404",1,1,0,1
"ASV_571",1,1,0,1
"ASV_1172",2,1,1,2
"ASV_579",1,1,0,1
"ASV_617",2,0.6,8,2
"ASV_578",1,1,0,1
"ASV_614",1,1,0,1
"ASV_397",1,1,0,1
"ASV_1448",1,1,0,1
"ASV_662",2,1,1,2
"ASV_731",1,1,0,1
"ASV_342",1,1,0,1
"ASV_619",1,1,0,1
"ASV_1466",1,1,0,1
"ASV_828",5,0.555555555555556,33,5
"ASV_739",1,1,0,1
"ASV_476",1,1,0,1
"ASV_1075",2,0.434782608695652,0,2
"ASV_1147",1,1,0,1
"ASV_1192",1,1,0,1
"ASV_576",1,0.6,0,1
"ASV_246",1,0.6,0,1
"ASV_1047",1,0.6,0,1
"ASV_764",1,0.666666666666667,0,1
"ASV_725",1,0.666666666666667,0,1
"ASV_430",1,1,0,1
"ASV_152",2,0.461538461538462,5,2
"ASV_1088",1,1,0,1
"ASV_1150",1,1,0,1
"ASV_886",1,0.666666666666667,0,1
"ASV_1326",2,1,1,2
"ASV_1389",1,1,0,1
"ASV_734",2,1,1,2
"ASV_1048",1,1,0,1
"ASV_1013",2,1,0,2
"ASV_1371",2,1,0,2
"ASV_943",1,0.411764705882353,0,1
"ASV_872",1,0.5,0,1
"ASV_1404",2,1,1,2
"ASV_831",1,1,0,1
"ASV_1364",1,1,0,1
"ASV_1151",1,1,0,1
"ASV_1059",4,1,0,4
"ASV_1409",4,1,0,4
"ASV_840",4,1,0,4
"ASV_990",4,1,0,4
"ASV_1252",1,1,0,1
"ASV_1422",1,1,0,1
"ASV_933",1,1,0,1
"ASV_1094",1,1,0,1
"ASV_1323",1,1,0,1
"ASV_1295",2,0.75,0,2
"ASV_1362",3,1,2,3
"ASV_925",1,1,0,1
"ASV_1025",1,1,0,1
"ASV_673",8,1,0,8
"ASV_729",8,1,0,8
"ASV_970",8,1,0,8
"ASV_1097",8,1,0,8
"ASV_849",8,1,0,8
"ASV_931",8,1,0,8
"ASV_1152",8,1,0,8
"ASV_1296",8,1,0,8
"ASV_652",1,1,0,1
"ASV_360",1,1,0,1
"ASV_1298",2,1,1,2
"ASV_575",2,0.4,9,2
"ASV_1121",1,1,0,1
"ASV_1116",1,1,0,1
"ASV_1303",1,1,0,1
"ASV_1153",1,1,0,1
"ASV_1245",1,0.666666666666667,0,1
"ASV_1080",1,1,0,1
"ASV_532",1,1,0,1
"ASV_888",1,1,0,1
"ASV_926",2,1,0,2
"ASV_1234",2,1,0,2
"ASV_1351",2,1,0,2
"ASV_1178",2,1,0,2
"ASV_1385",1,1,0,1
"ASV_11",1,1,0,1
