"","KO","Means","SD"
"num.edges(L)","385","385","0"
"num.pos.edges","300","0","0"
"num.neg.edges","85","0","0"
"num.vertices(n)","375","375","0"
"Connectance(edge_density)","0.00549019607843137","0.00549019607843137","0"
"average.degree(Average K)","2.05333333333333","2.05333333333333","0"
"average.path.length","3.69606810413741","7.39407327154167","0.347235619721657"
"diameter","10.9770019666243","18.3","2.06705763652765"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.477880658436214","0.00487568108256021","0.00527197747525853"
"no.clusters","103","57.15","5.85062372570634"
"centralization.degree","0.0185739750445633","0.0141354723707665","0.00263900006765237"
"centralization.betweenness","0.00662933013744767","0.0975446714884321","0.0299839754673545"
"centralization.closeness","0.597555769898248","NaN",NA
"RM(relative.modularity)","0.37600461835797","-0.00162016839887074","0.0437692323734853"
"the.number.of.keystone.nodes","Not.calculated","0","0"
