"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_166",19,0.117267614952034,5630.10109824944,19
"ASV_1254",2,0.0989670575097711,0,2
"ASV_684",7,0.109803314232616,897.960058169931,7
"ASV_633",1,1,0,1
"ASV_1211",5,0.109144088669951,11753.8275514568,5
"ASV_57",3,0.100710227272727,190.348571389029,3
"ASV_737",2,0.0943948874983358,0,2
"ASV_697",6,0.10664861612515,14151.1329510359,6
"ASV_1388",3,0.0944955351192856,818.129412873406,3
"ASV_12",3,0.121737637362637,14104.0841905582,3
"ASV_181",13,0.121466506767175,4016.91563346687,13
"ASV_173",11,0.123713139068225,12919.2423428149,11
"ASV_434",13,0.121466506767175,4016.91563346687,13
"ASV_511",12,0.118324432576769,2269.83828388268,12
"ASV_670",10,0.117656820444739,1397.28557744125,10
"ASV_1058",13,0.121466506767175,4016.91563346687,13
"ASV_1408",1,0.107996953541508,0,1
"ASV_17",1,0.0969771577075639,0,1
"ASV_387",6,0.116439481031368,4528.76602586096,6
"ASV_878",5,0.119581716984314,6764.84503430461,5
"ASV_965",21,0.12724335965542,6018.80564408689,21
"ASV_1277",18,0.127220527543513,4227.40871713193,18
"ASV_133",29,0.126697641172266,2857.83904184365,29
"ASV_336",31,0.126788268955651,4723.67236333415,31
"ASV_206",12,0.127311905189442,3323.3427095259,12
"ASV_883",28,0.126607142857143,3090.80492228616,28
"ASV_438",28,0.126629755313449,1231.16288872677,28
"ASV_483",32,0.126810946163477,3071.8803239769,32
"ASV_949",29,0.126720285969616,2249.84388553734,29
"ASV_1092",14,0.12345464043183,1391.51206915252,14
"ASV_400",22,0.124845923578095,1284.16754024038,22
"ASV_430",19,0.126336421952958,999.996019569794,19
"ASV_439",20,0.123994403637636,4359.4648608294,20
"ASV_885",32,0.126810946163477,2967.76713700198,32
"ASV_1316",23,0.12966349670812,11251.6331716496,23
"ASV_22",1,1,0,1
"ASV_144",6,0.12528715320728,14150.2569630887,6
"ASV_158",4,0.116096282953987,458.07156921657,4
"ASV_69",2,0.122515984102298,708,2
"ASV_322",36,0.149546509175279,2008.54483167621,36
"ASV_377",13,0.15456725528668,20508.7388587498,13
"ASV_55",11,0.134153263954588,2458.70447019813,11
"ASV_64",6,0.127632763276328,32.0862930553776,6
"ASV_46",10,0.13132061492869,835.076859145175,10
"ASV_151",13,0.138774711293795,11808.0022696188,13
"ASV_347",13,0.134051805634335,2818.34695491351,13
"ASV_404",12,0.136608863198459,7154.89638785322,12
"ASV_30",5,0.117774086378738,1043.76160173545,5
"ASV_446",23,0.137884091793077,10550.9885794942,23
"ASV_284",10,0.13262252151141,1956.32624872702,10
"ASV_527",9,0.132920884889389,7139.72484058849,9
"ASV_497",16,0.13450958072472,7680.92390605142,16
"ASV_219",43,0.151269468743333,979.47137141402,43
"ASV_41",30,0.146427096241223,274.863250523647,30
"ASV_39",41,0.154702160157102,3626.5126567608,41
"ASV_472",39,0.150979557069847,670.958123043133,39
"ASV_183",36,0.149357488940383,711.803937471505,36
"ASV_296",35,0.147554630593132,77.8257137115749,35
"ASV_266",26,0.147769904126719,4760.03546394811,26
