source,target,correlation,direct,cor
ASV_119,ASV_2,0.980932036436985,undirected,+
ASV_521,ASV_2,0.897919618075232,undirected,+
ASV_633,ASV_2,0.886644114495858,undirected,+
ASV_33,ASV_3,0.920376783497969,undirected,+
ASV_1044,ASV_3,0.881171294449842,undirected,+
ASV_594,ASV_4,0.899448471027654,undirected,+
ASV_255,ASV_1,0.940561765635447,undirected,+
ASV_248,ASV_1,0.888230098756581,undirected,+
ASV_8,ASV_1385,0.954502700661238,undirected,+
ASV_14,ASV_1385,0.917569949087253,undirected,+
ASV_30,ASV_1385,0.911560903720023,undirected,+
ASV_1215,ASV_1385,0.913161721141369,undirected,+
ASV_1211,ASV_1385,0.981186175564105,undirected,+
ASV_488,ASV_1385,0.945319278156267,undirected,+
ASV_398,ASV_1385,0.898923329713389,undirected,+
ASV_660,ASV_1385,0.893373545535094,undirected,+
ASV_916,ASV_1385,0.955847576018431,undirected,+
ASV_634,ASV_1385,0.894033933821869,undirected,+
ASV_731,ASV_1385,0.934589084554329,undirected,+
ASV_1197,ASV_1385,0.928406451355969,undirected,+
ASV_840,ASV_1385,0.898923329713389,undirected,+
ASV_1059,ASV_1385,0.900251000658623,undirected,+
ASV_968,ASV_1385,0.881500838459723,undirected,+
ASV_1412,ASV_1385,0.905124107947006,undirected,+
ASV_23,ASV_21,0.8787930432739,undirected,+
ASV_42,ASV_21,0.931654503784144,undirected,+
ASV_162,ASV_21,0.891139764637419,undirected,+
ASV_166,ASV_21,0.946514105732326,undirected,+
ASV_204,ASV_21,0.938484291709679,undirected,+
ASV_287,ASV_21,0.940025615928427,undirected,+
ASV_370,ASV_21,0.949857066304968,undirected,+
ASV_324,ASV_21,0.877484875168649,undirected,+
ASV_475,ASV_21,0.964132845511381,undirected,+
ASV_480,ASV_21,0.96041439219342,undirected,+
ASV_508,ASV_21,0.982959897217517,undirected,+
ASV_486,ASV_21,0.964666071696232,undirected,+
ASV_506,ASV_21,0.968827849748682,undirected,+
ASV_831,ASV_21,0.94137857045248,undirected,+
ASV_30,ASV_8,0.884593850108233,undirected,+
ASV_1215,ASV_8,0.966316991443577,undirected,+
ASV_57,ASV_8,0.928239350515092,undirected,+
ASV_1211,ASV_8,0.945309536647543,undirected,+
ASV_488,ASV_8,0.903326697505829,undirected,+
ASV_791,ASV_8,0.887139220315246,undirected,+
ASV_916,ASV_8,0.911527651038244,undirected,+
ASV_1412,ASV_8,0.877806304975973,undirected,+
ASV_76,ASV_25,0.890555021946106,undirected,+
ASV_81,ASV_25,0.897759382272448,undirected,+
ASV_219,ASV_25,0.926049243006021,undirected,+
ASV_463,ASV_25,0.907547374289352,undirected,+
ASV_759,ASV_25,0.917679837563039,undirected,+
ASV_305,ASV_9,0.95648959579829,undirected,+
ASV_286,ASV_9,0.925825959102834,undirected,+
ASV_371,ASV_9,0.893867530573477,undirected,+
ASV_684,ASV_9,0.880994135719164,undirected,+
ASV_1377,ASV_9,0.876767991662631,undirected,+
ASV_948,ASV_9,0.880511307529788,undirected,+
ASV_1458,ASV_9,0.89634210533054,undirected,+
ASV_1157,ASV_9,0.930223267468094,undirected,+
ASV_1263,ASV_9,0.880525895242728,undirected,+
ASV_87,ASV_7,0.964522107448993,undirected,+
ASV_965,ASV_7,0.955657271448787,undirected,+
ASV_282,ASV_7,0.913635381703369,undirected,+
ASV_1277,ASV_7,0.971539995806645,undirected,+
ASV_1200,ASV_7,0.917249152573466,undirected,+
ASV_883,ASV_7,0.922915752880978,undirected,+
ASV_189,ASV_7,0.919589632123536,undirected,+
ASV_303,ASV_7,0.911792761583715,undirected,+
ASV_499,ASV_7,0.938572981277477,undirected,+
ASV_342,ASV_7,0.937070624795987,undirected,+
ASV_481,ASV_7,0.930447104403763,undirected,+
ASV_624,ASV_7,0.878047840354,undirected,+
ASV_668,ASV_7,0.954484138265419,undirected,+
ASV_635,ASV_7,0.935379887571783,undirected,+
ASV_314,ASV_7,0.932689095993393,undirected,+
ASV_618,ASV_7,0.919190295990984,undirected,+
ASV_473,ASV_7,0.953470084921176,undirected,+
ASV_424,ASV_7,0.916683577534412,undirected,+
ASV_1083,ASV_7,0.938707124205862,undirected,+
ASV_846,ASV_7,0.888477091727651,undirected,+
ASV_1420,ASV_7,0.908534458281198,undirected,+
ASV_1050,ASV_7,0.937470618997805,undirected,+
ASV_1253,ASV_7,0.899449600431535,undirected,+
ASV_23,ASV_15,0.928831799710437,undirected,+
ASV_33,ASV_41,0.930783864602342,undirected,+
ASV_31,ASV_41,0.880219521340333,undirected,+
ASV_1128,ASV_41,0.964741597452,undirected,+
ASV_485,ASV_41,0.922390139324006,undirected,+
ASV_387,ASV_41,0.917721920952459,undirected,+
ASV_1077,ASV_41,0.942574454993257,undirected,+
ASV_608,ASV_41,0.953591825788685,undirected,+
ASV_1397,ASV_41,0.944199802478487,undirected,+
ASV_1141,ASV_41,0.902583551453382,undirected,+
ASV_1396,ASV_41,0.910098909217948,undirected,+
ASV_22,ASV_10,0.997779834282564,undirected,+
ASV_1149,ASV_10,0.884755429150669,undirected,+
ASV_55,ASV_26,0.881677482701533,undirected,+
ASV_64,ASV_26,0.900766050107819,undirected,+
ASV_183,ASV_26,-0.880504156105434,undirected,-
ASV_236,ASV_26,0.904496631179883,undirected,+
ASV_414,ASV_26,0.883619390687046,undirected,+
ASV_757,ASV_26,0.880670319016606,undirected,+
ASV_104,ASV_54,0.877964218768237,undirected,+
ASV_722,ASV_54,0.881388718007217,undirected,+
ASV_129,ASV_24,0.963226349737983,undirected,+
ASV_126,ASV_24,0.928297462469681,undirected,+
ASV_137,ASV_24,-0.884471885870057,undirected,-
ASV_317,ASV_24,0.950659600374997,undirected,+
ASV_261,ASV_24,0.935063736805106,undirected,+
ASV_288,ASV_24,0.879728673099991,undirected,+
ASV_214,ASV_24,0.884101254166147,undirected,+
ASV_425,ASV_24,0.90968668104848,undirected,+
ASV_134,ASV_50,0.997844564608774,undirected,+
ASV_426,ASV_50,0.98374552426091,undirected,+
ASV_213,ASV_50,0.925624557249867,undirected,+
ASV_217,ASV_50,0.92612024836846,undirected,+
ASV_229,ASV_50,0.940984666615734,undirected,+
ASV_250,ASV_50,0.920262845044685,undirected,+
ASV_511,ASV_50,0.923967315567951,undirected,+
ASV_185,ASV_50,0.913369906498424,undirected,+
ASV_742,ASV_50,0.958865741194555,undirected,+
ASV_598,ASV_50,0.926365906248377,undirected,+
ASV_391,ASV_50,0.912083037196163,undirected,+
ASV_620,ASV_50,0.90881864040434,undirected,+
ASV_704,ASV_50,0.932419903112265,undirected,+
ASV_629,ASV_50,0.89505950514088,undirected,+
ASV_905,ASV_50,0.944885750049844,undirected,+
ASV_622,ASV_50,0.899725498128737,undirected,+
ASV_926,ASV_50,0.933870076532485,undirected,+
ASV_1142,ASV_50,0.946598768865181,undirected,+
ASV_1032,ASV_50,0.919776545076456,undirected,+
ASV_664,ASV_50,0.982409358356995,undirected,+
ASV_1155,ASV_50,0.955839693616505,undirected,+
ASV_912,ASV_50,0.956066508476191,undirected,+
ASV_1014,ASV_50,0.959638386862084,undirected,+
ASV_1372,ASV_50,0.936858653988942,undirected,+
ASV_1418,ASV_50,0.905906249092095,undirected,+
ASV_1090,ASV_50,0.878317812726553,undirected,+
ASV_1263,ASV_50,0.923005967880753,undirected,+
ASV_1226,ASV_50,0.913031919890502,undirected,+
ASV_1292,ASV_50,0.956066508476191,undirected,+
ASV_1369,ASV_50,0.900610732534922,undirected,+
ASV_1332,ASV_50,0.957735171896599,undirected,+
ASV_1356,ASV_23,0.902777347849652,undirected,+
ASV_143,ASV_23,0.88991794427733,undirected,+
ASV_263,ASV_23,0.905150159827815,undirected,+
ASV_370,ASV_23,0.877444265582449,undirected,+
ASV_509,ASV_23,0.900824956571881,undirected,+
ASV_89,ASV_16,0.892642730231122,undirected,+
ASV_31,ASV_33,0.906263688256497,undirected,+
ASV_485,ASV_33,0.883748045149517,undirected,+
ASV_608,ASV_33,0.912597868330901,undirected,+
ASV_89,ASV_40,0.915964073119641,undirected,+
ASV_392,ASV_40,0.896578602669289,undirected,+
ASV_374,ASV_40,0.933534272003633,undirected,+
ASV_316,ASV_40,0.938811508424128,undirected,+
ASV_1270,ASV_40,0.934826430486438,undirected,+
ASV_1095,ASV_40,0.885347616519088,undirected,+
ASV_633,ASV_119,0.886804476093166,undirected,+
ASV_137,ASV_71,0.876813161356615,undirected,+
ASV_330,ASV_71,0.912898998843845,undirected,+
ASV_418,ASV_71,-0.925672148625037,undirected,-
ASV_1172,ASV_19,0.967986964245372,undirected,+
ASV_1195,ASV_19,0.8899369146759,undirected,+
ASV_1072,ASV_19,0.936527275147711,undirected,+
ASV_48,ASV_157,0.90875142387439,undirected,+
ASV_225,ASV_157,0.883300889132976,undirected,+
ASV_365,ASV_157,0.909942394329179,undirected,+
ASV_713,ASV_157,0.943225236368792,undirected,+
ASV_163,ASV_157,0.886663982722872,undirected,+
ASV_96,ASV_12,0.901363227277876,undirected,+
ASV_233,ASV_12,0.900413736199082,undirected,+
ASV_680,ASV_12,0.944453808164276,undirected,+
ASV_934,ASV_12,0.953502974679587,undirected,+
ASV_911,ASV_12,0.925550100595042,undirected,+
ASV_965,ASV_43,0.91383516515583,undirected,+
ASV_1200,ASV_43,0.912744902932042,undirected,+
ASV_342,ASV_43,0.934535528630908,undirected,+
ASV_481,ASV_43,0.914912960843139,undirected,+
ASV_29,ASV_20,0.987232831543615,undirected,+
ASV_28,ASV_20,0.909805480367663,undirected,+
ASV_218,ASV_20,0.881078668427672,undirected,+
ASV_570,ASV_20,0.915252299640511,undirected,+
ASV_131,ASV_14,0.912011793589376,undirected,+
ASV_266,ASV_14,0.913166878284961,undirected,+
ASV_1211,ASV_14,0.905134963088487,undirected,+
ASV_488,ASV_14,0.923548244890274,undirected,+
ASV_810,ASV_14,0.975911589632292,undirected,+
ASV_850,ASV_14,0.880675989968255,undirected,+
ASV_1411,ASV_14,0.895364485691033,undirected,+
ASV_968,ASV_14,0.891617506640282,undirected,+
ASV_92,ASV_85,0.996355721400361,undirected,+
ASV_1316,ASV_85,0.952056591035663,undirected,+
ASV_1399,ASV_38,0.944496922988861,undirected,+
ASV_444,ASV_38,0.878474601446255,undirected,+
ASV_764,ASV_38,0.88060560405339,undirected,+
ASV_28,ASV_29,0.917846494815976,undirected,+
ASV_218,ASV_29,0.881368759430937,undirected,+
ASV_570,ASV_29,0.92444998717993,undirected,+
ASV_166,ASV_106,0.907196346783682,undirected,+
ASV_867,ASV_106,0.937557065260201,undirected,+
ASV_552,ASV_106,0.924735411106966,undirected,+
ASV_311,ASV_106,0.959928512429323,undirected,+
ASV_291,ASV_106,0.902859307378503,undirected,+
ASV_548,ASV_106,0.979683634157952,undirected,+
ASV_420,ASV_106,0.877883109826596,undirected,+
ASV_475,ASV_106,0.903456191862192,undirected,+
ASV_480,ASV_106,0.888688236920161,undirected,+
ASV_508,ASV_106,0.883617423088769,undirected,+
ASV_486,ASV_106,0.896684143638824,undirected,+
ASV_506,ASV_106,0.897212959834682,undirected,+
ASV_847,ASV_106,0.98081520181737,undirected,+
ASV_863,ASV_106,0.909285653690938,undirected,+
ASV_925,ASV_106,0.908959255833917,undirected,+
ASV_518,ASV_35,0.907131003465269,undirected,+
ASV_562,ASV_35,0.881605230331736,undirected,+
ASV_557,ASV_35,0.892784605958351,undirected,+
ASV_325,ASV_35,0.885852022318581,undirected,+
ASV_1173,ASV_35,0.889896718840552,undirected,+
ASV_265,ASV_35,0.905565743997348,undirected,+
ASV_1204,ASV_35,0.91325702039011,undirected,+
ASV_591,ASV_32,0.892338060324689,undirected,+
ASV_1293,ASV_32,0.877422762428586,undirected,+
ASV_1146,ASV_65,-0.891272325147962,undirected,-
ASV_1149,ASV_22,0.885010012712705,undirected,+
ASV_426,ASV_134,0.986936085239599,undirected,+
ASV_213,ASV_134,0.921175031619893,undirected,+
ASV_217,ASV_134,0.920653990352528,undirected,+
ASV_229,ASV_134,0.932590187285317,undirected,+
ASV_250,ASV_134,0.911416362809625,undirected,+
ASV_511,ASV_134,0.923432813373947,undirected,+
ASV_185,ASV_134,0.896280923024317,undirected,+
ASV_742,ASV_134,0.957693556882014,undirected,+
ASV_598,ASV_134,0.93203169324898,undirected,+
ASV_391,ASV_134,0.910930533953845,undirected,+
ASV_620,ASV_134,0.888379748505353,undirected,+
ASV_663,ASV_134,0.88017163832538,undirected,+
ASV_704,ASV_134,0.920341472304753,undirected,+
ASV_629,ASV_134,0.887210143716412,undirected,+
ASV_905,ASV_134,0.925723887327167,undirected,+
ASV_622,ASV_134,0.892994231354884,undirected,+
ASV_926,ASV_134,0.925602870441247,undirected,+
ASV_1142,ASV_134,0.942787447500586,undirected,+
ASV_1032,ASV_134,0.912120317968282,undirected,+
ASV_664,ASV_134,0.977206255876337,undirected,+
ASV_1155,ASV_134,0.949637680219735,undirected,+
ASV_912,ASV_134,0.940484763011497,undirected,+
ASV_1014,ASV_134,0.958833214376934,undirected,+
ASV_1372,ASV_134,0.929066882475655,undirected,+
ASV_1418,ASV_134,0.894692564209705,undirected,+
ASV_1263,ASV_134,0.899460168872317,undirected,+
ASV_1226,ASV_134,0.908972560592813,undirected,+
ASV_1292,ASV_134,0.940484763011497,undirected,+
ASV_1369,ASV_134,0.884134841061119,undirected,+
ASV_1332,ASV_134,0.94853546963062,undirected,+
ASV_130,ASV_51,0.967875914479807,undirected,+
ASV_53,ASV_1214,0.912518753408821,undirected,+
ASV_1357,ASV_27,0.921986280031245,undirected,+
ASV_197,ASV_27,0.899752197773934,undirected,+
ASV_789,ASV_27,0.906464989047653,undirected,+
ASV_1253,ASV_27,0.915119819631678,undirected,+
ASV_109,ASV_48,0.979344014442771,undirected,+
ASV_17,ASV_48,0.897790427619197,undirected,+
ASV_225,ASV_48,0.941079702055068,undirected,+
ASV_297,ASV_48,0.906405384496357,undirected,+
ASV_994,ASV_48,0.911085834823618,undirected,+
ASV_365,ASV_48,0.951936770058331,undirected,+
