"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_6",11,0.156227239621267,303.352668264847,11
"ASV_36",17,0.171462829736211,12276.3170965236,17
"ASV_61",15,0.172809667673716,6412.06419856719,15
"ASV_428",16,0.150394390885188,215.664237778224,16
"ASV_107",6,0.154985549132948,1580.6032745178,6
"ASV_407",7,0.156970362239297,2489.46966398757,7
"ASV_180",26,0.171052631578947,8023.08214465731,26
"ASV_129",9,0.16903073286052,124.026409116044,9
"ASV_1275",20,0.160283952923594,3754.91397568509,20
"ASV_239",9,0.18212693695606,32181.6769852062,9
"ASV_604",5,0.157488986784141,268.387552430183,5
"ASV_173",19,0.178082191780822,9328.67824342498,19
"ASV_171",18,0.153818572965221,1939.45357023027,18
"ASV_457",21,0.15365329512894,2585.30796010643,21
"ASV_210",22,0.157402311502477,4134.21097506032,22
"ASV_499",17,0.155266015200869,1088.56729426991,17
"ASV_500",11,0.15431654676259,703.126770497792,11
"ASV_868",23,0.15073787772312,552.469908747547,23
"ASV_523",15,0.166440349175558,2256.00015292484,15
"ASV_1491",29,0.170576540755467,17887.1701039544,29
"ASV_1435",17,0.157229246838922,1841.22439007908,17
"ASV_1238",14,0.162009063444109,1831.83784239439,14
"ASV_1068",14,0.16324200913242,11379.2792291097,14
"ASV_1483",15,0.154957558244537,1510.77747832702,15
"ASV_765",9,0.141888539771788,1060.75343975462,9
"ASV_76",17,0.205607476635514,6601.75734942398,17
"ASV_152",47,0.1991643454039,2820.59457716642,47
"ASV_275",13,0.190412782956059,29.4709322546786,13
"ASV_115",52,0.203994293865906,4473.80856003786,52
"ASV_221",29,0.191603394372488,124.164539227208,29
"ASV_309",37,0.196518552450756,940.194532525336,37
"ASV_445",57,0.196834136269787,1409.7262887719,57
"ASV_466",40,0.206349206349206,8824.08665094321,40
"ASV_1390",15,0.200561009817672,10377.0667496849,15
"ASV_403",36,0.194557823129252,1535.58602810459,36
"ASV_489",15,0.178341301184785,252.995257745466,15
"ASV_874",50,0.201550387596899,4651.28959844299,50
"ASV_65",17,0.185834957764782,1086.31682077183,17
"ASV_145",48,0.2,711.657576231437,48
"ASV_178",37,0.200936768149883,5678.53664920133,37
"ASV_568",40,0.190709046454768,808.429277831081,40
"ASV_421",27,0.195044328256422,2870.62427809467,27
"ASV_75",41,0.198152424942263,4038.31360331116,41
"ASV_633",39,0.190412782956059,482.008279573251,39
"ASV_833",50,0.195577843628904,586.925584077064,50
"ASV_566",38,0.203800475059382,3656.15290541589,38
"ASV_283",18,0.179123173277662,469.765325010898,18
"ASV_231",44,0.200795693891879,6998.17686150326,44
"ASV_474",47,0.199395770392749,4402.79400073902,47
"ASV_564",59,0.197559290812802,2035.68587830644,59
"ASV_873",47,0.197559290812802,785.415847570272,47
"ASV_327",43,0.194337485843715,1827.3341891896,43
"ASV_952",7,0.177823834196891,2739.2847464155,7
"ASV_1242",39,0.202215413622437,5251.29846664797,39
"ASV_347",51,0.202932828760643,1805.27791071379,51
"ASV_385",54,0.195088676671214,1103.81664165887,54
"ASV_551",45,0.197878228782288,1460.17931052702,45
"ASV_1437",56,0.201834862385321,3614.35130892824,56
"ASV_1436",30,0.194822888283379,3397.27630830488,30
"ASV_130",9,0.181510471757986,4884.17873863355,9
"ASV_72",13,0.172219991971096,3090.94680020486,13
"ASV_552",32,0.187992988606486,4786.058286764,32
"ASV_357",5,0.163335237007424,19.6565200581311,5
"ASV_422",4,0.148212126446709,17.964284732702,4
"ASV_867",12,0.173578798300627,907.831934441012,12
"ASV_432",5,0.166991047100039,533.521838135798,5
"ASV_287",20,0.185113268608414,3499.97222733136,20
"ASV_707",10,0.168797953964194,2216.01230825484,10
"ASV_1086",19,0.184516129032258,10502.821433078,19
"ASV_214",7,0.165541192359637,37.0658619592684,7
"ASV_105",5,0.129666011787819,4265.33333333333,5
"ASV_525",4,0.129568106312292,0.333333333333333,4
"ASV_938",11,0.148622899705526,7648.6728919533,11
"ASV_45",20,0.189949081248616,5907.14559943367,20
"ASV_124",17,0.198015231940919,6926.64461566839,17
"ASV_219",13,0.185553633217993,3736.49845746016,13
"ASV_1200",6,0.180327868852459,4462.00301409974,6
"ASV_1445",17,0.184834123222749,1765.6081572689,17
"ASV_1254",17,0.192506170069554,6726.69608477179,17
"ASV_259",5,0.169598734927851,9.92622238056361,5
"ASV_1005",16,0.19237668161435,1966.84844137079,16
"ASV_1122",6,0.172949002217295,2686.83875104514,6
"ASV_131",6,0.170170567235224,58.4360024528607,6
"ASV_13",25,0.183607960624866,1715.63235074933,25
"ASV_266",6,0.170170567235224,58.4360024528607,6
"ASV_354",7,0.177309361438314,10514.2746803914,7
"ASV_218",33,0.181972428419936,1248.2628579966,33
"ASV_122",31,0.175460122699386,540.470670565059,31
"ASV_47",13,0.187336244541485,7887.85202551423,13
"ASV_233",35,0.186968838526912,2824.89020879533,35
"ASV_472",31,0.175460122699386,540.470670565059,31
"ASV_744",33,0.188612881952077,6108.71567925153,33
"ASV_133",9,0.180936313791649,922.616880670118,9
"ASV_714",31,0.175460122699386,540.470670565059,31
"ASV_1134",31,0.186724700761698,10098.9524997757,31
"ASV_483",33,0.190201729106628,5269.51107728468,33
"ASV_484",30,0.187131952017448,2755.99511143583,30
"ASV_24",9,0.169097359085534,1312.25557667442,9
"ASV_824",6,0.161399548532731,554.98255688955,6
"ASV_317",7,0.17741935483871,9430.5099335836,7
"ASV_937",17,0.175639713408393,7768.76215838909,17
"ASV_1052",15,0.175567833026397,6412.53286406207,15
"ASV_1347",12,0.165893271461717,4189.42856212984,12
"ASV_1267",4,0.147956544231764,0.758167693783222,4
"ASV_118",10,0.14934725848564,305.375326968057,10
"ASV_3",23,0.154483255311487,3628.84417747397,23
"ASV_103",12,0.148340248962656,624.535245833756,12
"ASV_161",17,0.141141635137358,199.979670337869,17
"ASV_454",19,0.150026228361602,1461.30324714023,19
"ASV_539",6,0.14290473017988,98.634953570013,6
"ASV_496",16,0.141118421052632,164.391641657217,16
"ASV_492",21,0.146466370775009,518.773793820994,21
"ASV_893",20,0.143167028199566,581.331629107177,20
"ASV_540",19,0.14641638225256,754.068043612123,19
"ASV_320",16,0.151429579950582,2592.35777141178,16
"ASV_716",17,0.139376218323587,112.2652878604,17
"ASV_807",13,0.157952871870398,10401.0360767038,13
"ASV_758",20,0.152669039145907,4877.26852391542,20
"ASV_975",21,0.150341685649203,2084.34206072835,21
"ASV_1495",11,0.148314606741573,582.982202238058,11
"ASV_600",8,0.134146341463415,0,8
"ASV_983",13,0.156826905501736,11644.8292036508,13
"ASV_998",16,0.139353581289589,93.8084637681977,16
"ASV_818",23,0.144614866003708,3675.80189976085,23
"ASV_1493",20,0.15031534688157,1857.59228504224,20
"ASV_1132",7,0.143238731218698,356.76132601568,7
"ASV_1384",17,0.139398862713241,149.403191657298,17
"ASV_977",18,0.14290473017988,338.958732482046,18
"ASV_745",9,0.1668286992028,15633.0514977531,9
"ASV_842",4,0.165765069551777,9276.9846824094,4
"ASV_1077",13,0.178341301184785,2993.86486893635,13
"ASV_191",11,0.148906629642485,1561.98259049684,11
"ASV_308",23,0.151242728714966,756.789508355869,23
"ASV_424",14,0.147803617571059,25.5825267522397,14
"ASV_144",24,0.152941176470588,625.502099904318,24
"ASV_610",6,0.144614866003708,676.906158120388,6
"ASV_504",16,0.15073787772312,99.2532404446156,16
"ASV_621",25,0.157229246838922,4881.30613447597,25
"ASV_608",26,0.151322751322751,532.604708118846,26
"ASV_527",10,0.148880791254555,1228.25312761857,10
"ASV_536",14,0.143430290872618,243.910269307723,14
"ASV_509",24,0.161217587373168,8568.63363428515,24
"ASV_796",15,0.148160939388707,749.317662834665,15
"ASV_461",28,0.153159585862192,1249.28973751582,28
"ASV_681",25,0.151322751322751,376.966694293306,25
"ASV_732",25,0.149113660062565,1142.42459633229,25
"ASV_772",21,0.154873646209386,1643.7660887727,21
"ASV_703",22,0.148622899705526,198.488726746548,22
"ASV_628",21,0.154901606788229,4063.68904210924,21
"ASV_903",24,0.152424942263279,1553.79742584852,24
"ASV_1081",22,0.153543307086614,1942.20310255781,22
"ASV_243",24,0.147043701799486,1034.81373069969,24
"ASV_672",21,0.154150197628458,4308.74761489966,21
"ASV_1210",30,0.155858310626703,3725.24609902275,30
"ASV_1118",18,0.151831534241727,1814.99231372329,18
"ASV_747",20,0.152208621607238,3086.85958992707,20
"ASV_1160",26,0.147498710675606,414.064107986269,26
"ASV_877",13,0.138677872959431,874.677914859208,13
"ASV_738",14,0.159124629080119,2241.83799256655,14
"ASV_26",8,0.178861788617886,2340.07945290825,8
"ASV_284",6,0.18212693695606,2511.18825155607,6
"ASV_1294",4,0.163459706610783,93.3357158994173,4
"ASV_1135",7,0.158273381294964,153.296521100188,7
"ASV_148",8,0.181472081218274,3223.75050073034,8
"ASV_142",6,0.169230769230769,2890.0427163245,6
"ASV_139",6,0.169230769230769,2890.0427163245,6
"ASV_55",21,0.184794314021107,477.482884601081,21
"ASV_190",30,0.192462987886945,3116.75244061279,30
"ASV_338",28,0.19237668161435,2537.17120176407,28
"ASV_423",29,0.184317937701396,2060.12634845155,29
"ASV_25",30,0.192852326365475,4599.35875551053,30
"ASV_62",26,0.190412782956059,2999.81797302671,26
"ASV_64",19,0.183294167912839,1224.47271192342,19
"ASV_469",29,0.184357541899441,1905.31148130018,29
"ASV_928",7,0.175603765861646,2246.64773245467,7
"ASV_888",23,0.187459034301944,1325.95376621465,23
"ASV_911",3,0.15506958250497,0.373333333333333,3
"ASV_1475",4,0.161521084337349,13.0799030996345,4
"ASV_83",20,0.167121153097,610.280781459222,20
"ASV_1357",31,0.182436742504784,1542.04897876853,31
"ASV_29",27,0.186968838526912,5459.89587522913,27
"ASV_294",20,0.166991047100039,22.2433303930505,20
"ASV_1280",35,0.191603394372488,4857.88828429481,35
"ASV_174",22,0.195935145010276,14966.0112572209,22
"ASV_537",25,0.167218865718184,54.7859102319231,25
"ASV_1468",22,0.195890410958904,7007.56542340057,22
"ASV_974",18,0.192419825072886,3845.21406489101,18
"ASV_920",11,0.173578798300627,17.845320195341,11
"ASV_158",30,0.187377156584407,3448.65018711595,30
"ASV_234",22,0.172635814889336,152.080808402381,22
"ASV_238",27,0.173649058894961,191.059569509896,27
"ASV_945",20,0.165031736872475,2251.08057857763,20
"ASV_1004",13,0.173684210526316,215.477428964648,13
"ASV_1015",24,0.165829145728643,3220.43472434463,24
"ASV_345",28,0.172289156626506,803.093549025288,28
"ASV_596",28,0.175280898876404,219.004714348887,28
"ASV_272",27,0.173649058894961,244.325319966058,27
"ASV_438",29,0.173719376391982,310.004391234227,29
"ASV_814",25,0.167316692667707,1779.40991168475,25
"ASV_1051",4,0.155745144309312,44.263114775932,4
