ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
ASV_166,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Schaedlerella,Unassigned,32.75,ASV_166
ASV_1254,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,14.8333333333333,ASV_1254
ASV_1211,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Unassigned,77.1666666666667,ASV_1211
ASV_57,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,26.5833333333333,ASV_57
ASV_737,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta,Unassigned,8.91666666666667,ASV_737
ASV_12,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,567.416666666667,ASV_12
ASV_181,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Stomatobaculum,Unassigned,137.666666666667,ASV_181
ASV_173,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Unassigned,60.0833333333333,ASV_173
ASV_434,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,33.3333333333333,ASV_434
ASV_17,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,472.166666666667,ASV_17
ASV_387,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Unassigned,25.1666666666667,ASV_387
ASV_965,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,250.666666666667,ASV_965
ASV_1277,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,Unassigned,165.083333333333,ASV_1277
ASV_133,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Sellimonas,Unassigned,131.833333333333,ASV_133
ASV_336,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,52.5833333333333,ASV_336
ASV_206,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Unassigned,38.4166666666667,ASV_206
ASV_883,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,Unassigned,37.1666666666667,ASV_883
ASV_438,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Unassigned,15.5833333333333,ASV_438
ASV_483,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,8.58333333333333,ASV_483
ASV_949,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Unassigned,6.5,ASV_949
ASV_1092,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Unassigned,6.33333333333333,ASV_1092
ASV_22,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,263.166666666667,ASV_22
ASV_144,Bacteria,Actinobacteria,Actinobacteria,Unassigned,Unassigned,Unassigned,Unassigned,33.6666666666667,ASV_144
ASV_158,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Unassigned,29.3333333333333,ASV_158
ASV_69,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,Unassigned,337.583333333333,ASV_69
ASV_322,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Unassigned,28.0833333333333,ASV_322
ASV_377,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Unassigned,13.1666666666667,ASV_377
ASV_55,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,183.25,ASV_55
ASV_64,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,183,ASV_64
ASV_46,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Merdimonas,Unassigned,108.166666666667,ASV_46
ASV_151,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,102.666666666667,ASV_151
ASV_347,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Acetatifactor,Unassigned,15.1666666666667,ASV_347
ASV_404,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,13.6666666666667,ASV_404
ASV_30,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,12,ASV_30
ASV_446,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Clostridium_IV,Unassigned,11.5,ASV_446
ASV_284,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalimonas,Unassigned,8.5,ASV_284
ASV_219,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,133.416666666667,ASV_219
ASV_41,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,Unassigned,113.166666666667,ASV_41
ASV_39,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,54.75,ASV_39
ASV_472,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,46.25,ASV_472
ASV_183,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Paramuribaculum,Unassigned,40,ASV_183
ASV_296,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Unassigned,17.0833333333333,ASV_296
ASV_266,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,16.3333333333333,ASV_266
ASV_267,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Unassigned,15.9166666666667,ASV_267
ASV_85,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,12.6666666666667,ASV_85
ASV_247,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Falcatimonas,Unassigned,11.1666666666667,ASV_247
ASV_92,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,9.33333333333333,ASV_92
ASV_680,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,8.41666666666667,ASV_680
ASV_512,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Unassigned,5.58333333333333,ASV_512
ASV_1357,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,78.75,ASV_1357
ASV_205,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospira,Unassigned,39.4166666666667,ASV_205
ASV_1280,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,22.6666666666667,ASV_1280
