source,target,correlation,direct,cor
ASV_406,ASV_1,0.876025252112221,undirected,+
ASV_17,ASV_11,0.989117869752865,undirected,+
ASV_135,ASV_11,0.859568310386851,undirected,+
ASV_1343,ASV_11,0.885893894964157,undirected,+
ASV_226,ASV_11,0.843571887534386,undirected,+
ASV_1254,ASV_11,0.851737643834873,undirected,+
ASV_639,ASV_11,0.88333235347928,undirected,+
ASV_22,ASV_10,0.996882667292962,undirected,+
ASV_21,ASV_10,0.843295239170668,undirected,+
ASV_1277,ASV_10,0.870570157471553,undirected,+
ASV_233,ASV_10,0.86755545152666,undirected,+
ASV_346,ASV_10,0.901234325417361,undirected,+
ASV_333,ASV_10,0.866258903549719,undirected,+
ASV_644,ASV_10,0.85115768020498,undirected,+
ASV_332,ASV_10,0.862712945308541,undirected,+
ASV_318,ASV_3,0.868320729898412,undirected,+
ASV_490,ASV_3,0.881001639965594,undirected,+
ASV_135,ASV_17,0.862585645373041,undirected,+
ASV_1343,ASV_17,0.905514936038953,undirected,+
ASV_145,ASV_17,0.853758593623257,undirected,+
ASV_226,ASV_17,0.854734509955151,undirected,+
ASV_639,ASV_17,0.889731500525693,undirected,+
ASV_21,ASV_22,0.856540684549247,undirected,+
ASV_1277,ASV_22,0.851676238409164,undirected,+
ASV_233,ASV_22,0.852829972287413,undirected,+
ASV_346,ASV_22,0.894979845175349,undirected,+
ASV_333,ASV_22,0.844680991357539,undirected,+
ASV_644,ASV_22,0.849653631493027,undirected,+
ASV_125,ASV_12,0.921730824405565,undirected,+
ASV_588,ASV_12,0.869578587346937,undirected,+
ASV_534,ASV_12,0.860109253921815,undirected,+
ASV_351,ASV_15,0.856504920061207,undirected,+
ASV_101,ASV_15,0.866822330573279,undirected,+
ASV_551,ASV_15,0.880674275805436,undirected,+
ASV_29,ASV_20,0.994512403855026,undirected,+
ASV_28,ASV_20,0.952488792346181,undirected,+
ASV_64,ASV_20,0.899593294161719,undirected,+
ASV_55,ASV_20,0.898751616369812,undirected,+
ASV_570,ASV_20,0.986911966768649,undirected,+
ASV_114,ASV_20,0.859986568369796,undirected,+
ASV_506,ASV_20,0.846180005011799,undirected,+
ASV_91,ASV_7,0.850380151586247,undirected,+
ASV_1277,ASV_7,0.967555738411097,undirected,+
ASV_965,ASV_7,0.972029536538664,undirected,+
ASV_1200,ASV_7,0.919985369549462,undirected,+
ASV_1211,ASV_7,0.843213973710405,undirected,+
ASV_326,ASV_7,0.925818505045657,undirected,+
ASV_346,ASV_7,0.886778294998676,undirected,+
ASV_513,ASV_7,0.851863508313595,undirected,+
ASV_517,ASV_7,0.924611032076304,undirected,+
ASV_28,ASV_29,0.940226907034993,undirected,+
ASV_64,ASV_29,0.916402143197624,undirected,+
ASV_55,ASV_29,0.901690594488459,undirected,+
ASV_570,ASV_29,0.984119062633436,undirected,+
ASV_114,ASV_29,0.856029816233672,undirected,+
ASV_506,ASV_29,0.852832173763946,undirected,+
ASV_570,ASV_28,0.963903620608124,undirected,+
ASV_583,ASV_28,0.848199141568893,undirected,+
ASV_530,ASV_28,0.862710975137034,undirected,+
ASV_49,ASV_31,0.991076185328845,undirected,+
ASV_1427,ASV_31,0.905060438703245,undirected,+
ASV_1309,ASV_31,0.945574387660167,undirected,+
ASV_1128,ASV_31,0.892829721670528,undirected,+
ASV_1477,ASV_31,0.875682082282162,undirected,+
ASV_218,ASV_119,0.850450939536316,undirected,+
ASV_1214,ASV_119,0.938430893217127,undirected,+
ASV_218,ASV_23,0.923619044162171,undirected,+
ASV_86,ASV_23,0.876070652282459,undirected,+
ASV_88,ASV_60,0.95767364191019,undirected,+
ASV_80,ASV_60,0.887899578881738,undirected,+
ASV_79,ASV_60,0.861490432676379,undirected,+
ASV_287,ASV_60,0.848664961171647,undirected,+
ASV_420,ASV_60,0.852331754264049,undirected,+
ASV_110,ASV_21,0.87469749330237,undirected,+
ASV_1468,ASV_21,0.855704721199032,undirected,+
ASV_579,ASV_21,0.857350305968551,undirected,+
ASV_352,ASV_47,0.89714095451141,undirected,+
ASV_468,ASV_47,0.8570595678439,undirected,+
ASV_1214,ASV_218,0.860914485524895,undirected,+
ASV_263,ASV_218,0.851812448941015,undirected,+
ASV_70,ASV_32,0.844784294780595,undirected,+
ASV_123,ASV_32,0.886558351446014,undirected,+
ASV_174,ASV_32,0.894874923648598,undirected,+
ASV_212,ASV_32,0.937485677476871,undirected,+
ASV_1211,ASV_32,0.844872975496488,undirected,+
ASV_874,ASV_32,0.905249821115357,undirected,+
ASV_37,ASV_32,-0.889852661472589,undirected,-
ASV_1427,ASV_49,0.923074397387077,undirected,+
ASV_1309,ASV_49,0.961426677688731,undirected,+
ASV_1467,ASV_49,0.843380736124021,undirected,+
ASV_1128,ASV_49,0.88412412512324,undirected,+
ASV_1477,ASV_49,0.88428939232389,undirected,+
ASV_54,ASV_38,0.844151337397644,undirected,+
ASV_275,ASV_38,0.896652935043599,undirected,+
ASV_232,ASV_38,0.863231113319108,undirected,+
ASV_239,ASV_38,0.846253582850778,undirected,+
ASV_421,ASV_38,0.862134803521364,undirected,+
ASV_367,ASV_38,0.847758137532349,undirected,+
ASV_361,ASV_38,0.875097844487701,undirected,+
ASV_611,ASV_38,0.851328693814041,undirected,+
ASV_439,ASV_38,0.911241606537314,undirected,+
ASV_239,ASV_24,0.881952286002781,undirected,+
ASV_367,ASV_24,0.899424055589959,undirected,+
ASV_361,ASV_24,0.864161525576817,undirected,+
ASV_1214,ASV_1390,0.893097189006061,undirected,+
ASV_1343,ASV_1390,0.871496625308029,undirected,+
ASV_1445,ASV_1390,0.864894731281025,undirected,+
ASV_137,ASV_65,0.872429045714348,undirected,+
ASV_1128,ASV_65,0.900443318848039,undirected,+
ASV_328,ASV_65,0.845516881700514,undirected,+
ASV_316,ASV_65,0.893025546046775,undirected,+
ASV_1477,ASV_65,0.860436935098372,undirected,+
ASV_837,ASV_65,0.919478113100624,undirected,+
ASV_566,ASV_65,0.968956850803257,undirected,+
ASV_280,ASV_14,0.90453963610186,undirected,+
ASV_1277,ASV_91,0.891187543770055,undirected,+
ASV_965,ASV_91,0.863751175507165,undirected,+
ASV_326,ASV_91,0.853091906636641,undirected,+
ASV_513,ASV_91,0.86192870492459,undirected,+
ASV_517,ASV_91,0.946336206551386,undirected,+
ASV_145,ASV_70,0.858066760241472,undirected,+
ASV_196,ASV_70,0.867389462194572,undirected,+
ASV_212,ASV_70,0.847541588919424,undirected,+
ASV_226,ASV_70,0.851874315021144,undirected,+
ASV_352,ASV_70,0.850442624997528,undirected,+
ASV_277,ASV_70,-0.861946179317648,undirected,-
ASV_432,ASV_70,-0.859392920254408,undirected,-
ASV_483,ASV_19,0.901992299037076,undirected,+
ASV_1427,ASV_42,0.859991158104303,undirected,+
ASV_204,ASV_42,0.866627562987947,undirected,+
ASV_25,ASV_4,0.858942780610162,undirected,+
ASV_294,ASV_4,0.962925196381834,undirected,+
ASV_219,ASV_4,0.882661591172522,undirected,+
ASV_1454,ASV_4,0.980702139682732,undirected,+
ASV_97,ASV_35,0.883226853489993,undirected,+
ASV_125,ASV_35,0.90856240815325,undirected,+
ASV_231,ASV_84,0.971475014114902,undirected,+
ASV_399,ASV_84,0.89160625789045,undirected,+
ASV_280,ASV_84,0.951955915596401,undirected,+
ASV_51,ASV_48,0.931129730134789,undirected,+
ASV_109,ASV_48,0.991431626697027,undirected,+
ASV_130,ASV_48,0.92899748841387,undirected,+
ASV_567,ASV_48,0.8771069381022,undirected,+
ASV_57,ASV_48,-0.863243190726448,undirected,-
ASV_814,ASV_48,0.903012598388155,undirected,+
ASV_363,ASV_48,0.857031747332987,undirected,+
ASV_543,ASV_44,0.87082129170547,undirected,+
ASV_965,ASV_1277,0.979134778137877,undirected,+
ASV_233,ASV_1277,0.91072167111567,undirected,+
ASV_283,ASV_1277,0.899231866669216,undirected,+
ASV_1211,ASV_1277,0.916681244873795,undirected,+
ASV_326,ASV_1277,0.862597382647361,undirected,+
ASV_346,ASV_1277,0.924110743942518,undirected,+
ASV_513,ASV_1277,0.915616497737878,undirected,+
ASV_264,ASV_1277,0.890287761358816,undirected,+
ASV_517,ASV_1277,0.947539308156696,undirected,+
ASV_333,ASV_1277,0.853288861946093,undirected,+
ASV_655,ASV_26,0.860692415080865,undirected,+
ASV_209,ASV_54,0.937384959672452,undirected,+
ASV_323,ASV_54,0.992314290162959,undirected,+
ASV_178,ASV_54,0.907178428583144,undirected,+
ASV_307,ASV_54,0.976613636912054,undirected,+
ASV_102,ASV_54,0.97555835028949,undirected,+
ASV_284,ASV_54,0.959424741736675,undirected,+
ASV_452,ASV_54,0.966388450888472,undirected,+
ASV_265,ASV_54,0.993130184336874,undirected,+
ASV_275,ASV_54,0.923255654346465,undirected,+
ASV_232,ASV_54,0.892091884641211,undirected,+
ASV_255,ASV_54,0.955999792713743,undirected,+
