source,target,correlation,direct,cor
ASV_6,ASV_1,0.88368301267564,undirected,+
ASV_36,ASV_1,0.848923879222849,undirected,+
ASV_61,ASV_1,0.897760766619797,undirected,+
ASV_428,ASV_1,0.844435908339802,undirected,+
ASV_107,ASV_1,-0.83843237938061,undirected,-
ASV_407,ASV_1,-0.853453591622393,undirected,-
ASV_180,ASV_1,0.941982821398778,undirected,+
ASV_129,ASV_1,0.855887772454876,undirected,+
ASV_1275,ASV_1,0.886875370916247,undirected,+
ASV_239,ASV_1,0.850249090194035,undirected,+
ASV_604,ASV_1,0.843293298821333,undirected,+
ASV_173,ASV_1,0.949406476615183,undirected,+
ASV_171,ASV_1,0.872875751617617,undirected,+
ASV_457,ASV_1,0.845757174400719,undirected,+
ASV_210,ASV_1,0.921671444203627,undirected,+
ASV_499,ASV_1,0.862526467831149,undirected,+
ASV_500,ASV_1,0.916251283493457,undirected,+
ASV_868,ASV_1,0.845350152089129,undirected,+
ASV_61,ASV_6,0.826024641044779,undirected,+
ASV_428,ASV_6,0.91152757766212,undirected,+
ASV_180,ASV_6,0.902904719495758,undirected,+
ASV_765,ASV_6,0.885795239963561,undirected,+
ASV_1275,ASV_6,0.893283211950887,undirected,+
ASV_500,ASV_6,0.896005685693443,undirected,+
ASV_79,ASV_8,-0.833437291784012,undirected,-
ASV_76,ASV_14,0.893757462881966,undirected,+
ASV_152,ASV_14,0.844260354703123,undirected,+
ASV_275,ASV_14,0.890471522036359,undirected,+
ASV_201,ASV_14,0.826684161484538,undirected,+
ASV_115,ASV_14,0.90225195515349,undirected,+
ASV_221,ASV_14,0.86869862776346,undirected,+
ASV_335,ASV_14,0.832913192210761,undirected,+
ASV_309,ASV_14,0.847384299020409,undirected,+
ASV_445,ASV_14,0.906398898305398,undirected,+
ASV_466,ASV_14,0.875012152483139,undirected,+
ASV_1390,ASV_14,0.853059137945962,undirected,+
ASV_403,ASV_14,0.900361400627304,undirected,+
