"","KO","Means","SD"
"num.edges(L)","265","265","0"
"num.pos.edges","223","0","0"
"num.neg.edges","42","0","0"
"num.vertices(n)","318","318","0"
"Connectance(edge_density)","0.00525762355415352","0.00525762355415352","0"
"average.degree(Average K)","1.66666666666667","1.66666666666667","0"
"average.path.length","1.7629508880693","8.83299279634148","0.82214235009124"
"diameter","6.54880912922621","22.14","3.14633023368399"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.529283489096573","0.00721335233189125","0.00704752862959247"
"no.clusters","113","76.04","4.4470396463447"
"centralization.degree","0.0199789695057834","0.0146792849631967","0.00219106519191025"
"centralization.betweenness","0.000774062933520906","0.115860674651328","0.0322754579614003"
"centralization.closeness","0.319648567233391","NaN",NA
"RM(relative.modularity)","0.296516405190045","0.00618412992445231","0.0532726327242796"
"the.number.of.keystone.nodes","Not.calculated","0","0"
