"","KO","Means","SD"
"num.edges(L)","363","363","0"
"num.pos.edges","251","0","0"
"num.neg.edges","112","0","0"
"num.vertices(n)","364","364","0"
"Connectance(edge_density)","0.00549450549450549","0.00549450549450549","0"
"average.degree(Average K)","1.99450549450549","1.99450549450549","0"
"average.path.length","6.77746327635824","7.54653446083153","0.347101420278272"
"diameter","16.0313993358072","18.63","2.12562527936672"
"edge.connectivity","0","0","0"
"mean.clustering.coefficient(Average.CC)","0.444583591012163","0.00574745036650262","0.00674598626076859"
"no.clusters","96","59.79","5.24413091855162"
"centralization.degree","0.0192988829352466","0.0144779462961281","0.00215798747052521"
"centralization.betweenness","0.0412020578397373","0.0976532077604555","0.0243448007728642"
"centralization.closeness","0.719067420215884","NaN",NA
"RM(relative.modularity)","0.284376015210182","0.000345131142210636","0.0408736387948136"
"the.number.of.keystone.nodes","Not.calculated","0","0"
