source,target,correlation,direct,cor
ASV_997,ASV_814,0.979020979020979,undirected,+
ASV_142,ASV_814,0.921192305864925,undirected,+
ASV_1344,ASV_1481,0.897095801179575,undirected,+
ASV_814,ASV_272,0.944055944055944,undirected,+
ASV_997,ASV_272,0.937062937062937,undirected,+
ASV_142,ASV_272,0.921192305864925,undirected,+
ASV_130,ASV_109,0.958041958041958,undirected,+
ASV_255,ASV_109,0.899141091926926,undirected,+
ASV_814,ASV_109,0.895104895104895,undirected,+
ASV_997,ASV_109,0.895104895104895,undirected,+
ASV_1481,ASV_109,-0.914421033335119,undirected,-
ASV_142,ASV_109,0.900176511814775,undirected,+
ASV_109,ASV_48,0.986013986013986,undirected,+
ASV_130,ASV_48,0.944055944055944,undirected,+
ASV_814,ASV_48,0.916083916083916,undirected,+
ASV_363,ASV_48,0.900498437476399,undirected,+
ASV_997,ASV_48,0.909090909090909,undirected,+
ASV_1481,ASV_48,-0.906956371838506,undirected,-
ASV_142,ASV_48,0.928197570548309,undirected,+
ASV_255,ASV_226,-0.95519601108968,undirected,-
ASV_277,ASV_226,-0.914187041181542,undirected,-
ASV_1215,ASV_226,0.914187041181542,undirected,+
ASV_226,ASV_130,-0.900176511814775,undirected,-
ASV_255,ASV_130,0.899141091926926,undirected,+
ASV_142,ASV_130,0.900176511814775,undirected,+
ASV_295,ASV_145,-0.928197570548309,undirected,-
ASV_272,ASV_145,-0.942208099915076,undirected,-
ASV_814,ASV_145,-0.963223893965226,undirected,-
ASV_997,ASV_145,-0.921192305864925,undirected,-
ASV_142,ASV_145,-0.908771929824562,undirected,-
ASV_277,ASV_255,0.906392229765047,undirected,+
ASV_1215,ASV_255,-0.899141091926926,undirected,-
ASV_272,ASV_295,0.944055944055944,undirected,+
ASV_814,ASV_295,0.895104895104895,undirected,+
ASV_142,ASV_295,0.935202835231692,undirected,+
ASV_295,ASV_234,0.909090909090909,undirected,+
ASV_272,ASV_234,0.944055944055944,undirected,+
ASV_997,ASV_234,0.895104895104895,undirected,+
ASV_142,ASV_234,0.91068440883985,undirected,+
ASV_43,ASV_17,-0.937062937062937,undirected,-
ASV_226,ASV_17,0.942208099915076,undirected,+
ASV_277,ASV_17,-0.916083916083916,undirected,-
ASV_17,ASV_11,1,undirected,+
ASV_43,ASV_11,-0.937062937062937,undirected,-
ASV_226,ASV_11,0.942208099915076,undirected,+
ASV_277,ASV_11,-0.916083916083916,undirected,-
ASV_145,ASV_135,0.963223893965226,undirected,+
ASV_272,ASV_135,-0.916083916083916,undirected,-
ASV_814,ASV_135,-0.951048951048951,undirected,-
ASV_997,ASV_135,-0.909090909090909,undirected,-
ASV_234,ASV_238,0.965034965034965,undirected,+
ASV_272,ASV_238,0.958041958041958,undirected,+
ASV_814,ASV_238,0.916083916083916,undirected,+
ASV_997,ASV_238,0.937062937062937,undirected,+
ASV_1343,ASV_43,-0.909090909090909,undirected,-
ASV_1481,ASV_1215,0.906956371838506,undirected,+
ASV_97,ASV_107,0.93006993006993,undirected,+
ASV_1043,ASV_107,0.925413414007366,undirected,+
ASV_1481,ASV_107,-0.899491710341893,undirected,-
ASV_414,ASV_1343,-0.909090909090909,undirected,-
ASV_1481,ASV_97,-0.914421033335119,undirected,-
ASV_1481,ASV_1043,-0.896645144822724,undirected,-
ASV_130,ASV_51,0.965034965034965,undirected,+
ASV_244,ASV_51,0.902097902097902,undirected,+
ASV_1481,ASV_808,-0.895759379593586,undirected,-
ASV_495,ASV_1211,0.902097902097902,undirected,+
ASV_517,ASV_1211,0.937062937062937,undirected,+
ASV_614,ASV_1211,-0.942208099915076,undirected,-
ASV_418,ASV_517,0.928197570548309,undirected,+
ASV_517,ASV_513,0.951048951048951,undirected,+
ASV_418,ASV_513,0.907181776498158,undirected,+
ASV_438,ASV_513,0.9325319787305,undirected,+
ASV_101,ASV_307,-0.923076923076923,undirected,-
ASV_1211,ASV_307,-0.902097902097902,undirected,-
ASV_517,ASV_307,-0.923076923076923,undirected,-
ASV_418,ASV_307,-0.963223893965226,undirected,-
ASV_1211,ASV_196,0.916083916083916,undirected,+
ASV_495,ASV_196,0.895104895104895,undirected,+
ASV_196,ASV_9,-0.895104895104895,undirected,-
ASV_1211,ASV_9,-0.916083916083916,undirected,-
ASV_517,ASV_9,-0.916083916083916,undirected,-
ASV_517,ASV_101,0.895104895104895,undirected,+
ASV_513,ASV_91,0.895104895104895,undirected,+
ASV_1200,ASV_965,0.902097902097902,undirected,+
ASV_1211,ASV_965,0.895104895104895,undirected,+
ASV_326,ASV_965,0.909090909090909,undirected,+
ASV_578,ASV_965,-0.914735566922666,undirected,-
ASV_614,ASV_965,-0.900176511814775,undirected,-
ASV_686,ASV_965,0.913643367603167,undirected,+
ASV_965,ASV_1277,0.965034965034965,undirected,+
ASV_326,ASV_1277,0.916083916083916,undirected,+
ASV_578,ASV_1277,-0.900498437476399,undirected,-
ASV_1277,ASV_7,0.965034965034965,undirected,+
ASV_965,ASV_7,0.965034965034965,undirected,+
ASV_1200,ASV_7,0.951048951048951,undirected,+
ASV_326,ASV_7,0.958041958041958,undirected,+
ASV_614,ASV_7,-0.900176511814775,undirected,-
ASV_1277,ASV_15,0.909090909090909,undirected,+
ASV_578,ASV_15,-0.896939155114832,undirected,-
ASV_326,ASV_1200,0.951048951048951,undirected,+
ASV_649,ASV_1180,0.904932921095492,undirected,+
ASV_360,ASV_389,0.942208099915076,undirected,+
ASV_1180,ASV_389,0.900498437476399,undirected,+
ASV_614,ASV_389,-0.917689673523234,undirected,-
ASV_1180,ASV_360,0.966256258389927,undirected,+
ASV_578,ASV_644,-0.900498437476399,undirected,-
ASV_840,ASV_634,0.983471074380165,undirected,+
ASV_1409,ASV_634,1,undirected,+
ASV_1059,ASV_634,1,undirected,+
ASV_181,ASV_634,0.983471074380165,undirected,+
ASV_1412,ASV_634,0.983471074380165,undirected,+
ASV_990,ASV_634,1,undirected,+
ASV_1409,ASV_840,0.983471074380165,undirected,+
ASV_1059,ASV_840,0.983471074380165,undirected,+
ASV_181,ASV_840,1,undirected,+
ASV_1412,ASV_840,1,undirected,+
ASV_990,ASV_840,0.983471074380165,undirected,+
ASV_1059,ASV_1409,1,undirected,+
ASV_181,ASV_1409,0.983471074380165,undirected,+
ASV_1412,ASV_1409,0.983471074380165,undirected,+
ASV_990,ASV_1409,1,undirected,+
ASV_181,ASV_1059,0.983471074380165,undirected,+
ASV_1412,ASV_1059,0.983471074380165,undirected,+
ASV_990,ASV_1059,1,undirected,+
ASV_1412,ASV_181,1,undirected,+
ASV_990,ASV_181,0.983471074380165,undirected,+
ASV_990,ASV_1412,0.983471074380165,undirected,+
ASV_634,ASV_398,0.983471074380165,undirected,+
ASV_840,ASV_398,1,undirected,+
ASV_1409,ASV_398,0.983471074380165,undirected,+
ASV_1059,ASV_398,0.983471074380165,undirected,+
ASV_181,ASV_398,1,undirected,+
ASV_1412,ASV_398,1,undirected,+
ASV_990,ASV_398,0.983471074380165,undirected,+
ASV_22,ASV_10,0.972027972027972,undirected,+
ASV_15,ASV_10,0.909090909090909,undirected,+
ASV_21,ASV_10,0.909090909090909,undirected,+
ASV_233,ASV_10,0.916083916083916,undirected,+
ASV_1476,ASV_10,0.914187041181542,undirected,+
ASV_837,ASV_10,0.896939155114832,undirected,+
ASV_21,ASV_22,0.895104895104895,undirected,+
ASV_837,ASV_22,0.914735566922666,undirected,+
ASV_566,ASV_837,0.944810271287586,undirected,+
ASV_917,ASV_566,0.905603679400667,undirected,+
ASV_1129,ASV_917,0.893993375818607,undirected,+
ASV_1129,ASV_173,-0.899141091926926,undirected,-
ASV_1476,ASV_1477,0.942208099915076,undirected,+
ASV_1224,ASV_1404,0.932281872075457,undirected,+
ASV_1404,ASV_875,0.921739130434783,undirected,+
ASV_1224,ASV_875,0.907310036216293,undirected,+
ASV_1404,ASV_878,0.898986090929905,undirected,+
ASV_1404,ASV_1156,0.897528479598333,undirected,+
ASV_1404,ASV_1289,0.909319424963771,undirected,+
ASV_970,ASV_673,1,undirected,+
ASV_1097,ASV_673,1,undirected,+
ASV_931,ASV_673,1,undirected,+
ASV_849,ASV_673,1,undirected,+
ASV_1097,ASV_970,1,undirected,+
ASV_931,ASV_970,1,undirected,+
ASV_849,ASV_970,1,undirected,+
ASV_931,ASV_1097,1,undirected,+
ASV_849,ASV_1097,1,undirected,+
ASV_849,ASV_931,1,undirected,+
ASV_673,ASV_729,1,undirected,+
ASV_970,ASV_729,1,undirected,+
ASV_1097,ASV_729,1,undirected,+
ASV_931,ASV_729,1,undirected,+
ASV_849,ASV_729,1,undirected,+
ASV_782,ASV_579,0.901733578206647,undirected,+
ASV_874,ASV_212,0.895104895104895,undirected,+
ASV_346,ASV_233,0.916083916083916,undirected,+
ASV_579,ASV_233,0.949899056793769,undirected,+
ASV_1136,ASV_874,-0.936091261092067,undirected,-
ASV_453,ASV_1,-0.909090909090909,undirected,-
ASV_110,ASV_1,-0.909090909090909,undirected,-
ASV_579,ASV_1,-0.906392229765047,undirected,-
ASV_212,ASV_32,0.965034965034965,undirected,+
ASV_874,ASV_32,0.902097902097902,undirected,+
ASV_782,ASV_32,0.903224041090199,undirected,+
ASV_432,ASV_453,-0.93006993006993,undirected,-
ASV_782,ASV_686,0.893993375818607,undirected,+
ASV_1211,ASV_123,0.923076923076923,undirected,+
ASV_782,ASV_123,0.895759379593586,undirected,+
ASV_278,ASV_237,0.944055944055944,undirected,+
ASV_579,ASV_237,0.920894505441287,undirected,+
ASV_212,ASV_70,0.909090909090909,undirected,+
ASV_212,ASV_174,0.93006993006993,undirected,+
ASV_277,ASV_274,0.916083916083916,undirected,+
ASV_567,ASV_274,0.902097902097902,undirected,+
ASV_652,ASV_274,0.904057719837966,undirected,+
ASV_274,ASV_40,0.895104895104895,undirected,+
ASV_567,ASV_187,-0.895104895104895,undirected,-
ASV_989,ASV_297,-0.920883453200674,undirected,-
ASV_889,ASV_297,0.898331205367188,undirected,+
ASV_813,ASV_297,-0.920883453200674,undirected,-
ASV_227,ASV_231,0.928972696368933,undirected,+
ASV_813,ASV_231,-0.899491710341893,undirected,-
ASV_813,ASV_989,0.952191235059761,undirected,+
ASV_231,ASV_84,0.902097902097902,undirected,+
ASV_227,ASV_84,0.953887672899901,undirected,+
ASV_297,ASV_133,0.894388375309078,undirected,+
ASV_989,ASV_333,-0.904807257101185,undirected,-
ASV_1269,ASV_908,0.991304347826087,undirected,+
ASV_428,ASV_908,0.930434782608695,undirected,+
ASV_428,ASV_1269,0.921739130434783,undirected,+
ASV_176,ASV_1269,0.905614321756876,undirected,+
ASV_908,ASV_785,0.904347826086957,undirected,+
ASV_428,ASV_785,0.956521739130435,undirected,+
ASV_328,ASV_189,0.949899056793769,undirected,+
ASV_785,ASV_189,0.905614321756876,undirected,+
ASV_428,ASV_189,0.897528479598333,undirected,+
ASV_908,ASV_674,0.929871848232507,undirected,+
ASV_1269,ASV_674,0.921786006073963,undirected,+
ASV_176,ASV_35,-0.906392229765047,undirected,-
ASV_1382,ASV_1233,1,undirected,+
ASV_912,ASV_1233,1,undirected,+
ASV_926,ASV_1233,1,undirected,+
ASV_912,ASV_1382,1,undirected,+
ASV_926,ASV_1382,1,undirected,+
ASV_926,ASV_912,1,undirected,+
ASV_1233,ASV_851,1,undirected,+
ASV_1382,ASV_851,1,undirected,+
ASV_912,ASV_851,1,undirected,+
ASV_926,ASV_851,1,undirected,+
ASV_306,ASV_175,0.914187041181542,undirected,+
ASV_373,ASV_175,0.93006993006993,undirected,+
ASV_229,ASV_175,0.949213364598459,undirected,+
ASV_463,ASV_175,0.900176511814775,undirected,+
ASV_229,ASV_306,0.936842105263158,undirected,+
ASV_229,ASV_373,0.914187041181542,undirected,+
ASV_570,ASV_28,0.93006993006993,undirected,+
ASV_1144,ASV_28,0.894388375309078,undirected,+
ASV_28,ASV_20,0.965034965034965,undirected,+
ASV_530,ASV_20,0.923076923076923,undirected,+
ASV_1144,ASV_29,0.894388375309078,undirected,+
ASV_1427,ASV_49,0.951048951048951,undirected,+
ASV_1309,ASV_49,0.972027972027972,undirected,+
ASV_1309,ASV_1427,0.965034965034965,undirected,+
ASV_49,ASV_31,0.951048951048951,undirected,+
ASV_1309,ASV_31,0.937062937062937,undirected,+
ASV_885,ASV_134,0.912797908263336,undirected,+
ASV_134,ASV_483,0.906862463214109,undirected,+
ASV_885,ASV_483,0.974335592265323,undirected,+
ASV_134,ASV_19,0.894388375309078,undirected,+
ASV_150,ASV_132,0.923076923076923,undirected,+
ASV_41,ASV_132,0.895104895104895,undirected,+
ASV_132,ASV_33,0.944055944055944,undirected,+
ASV_41,ASV_33,0.895104895104895,undirected,+
ASV_723,ASV_477,0.918294849284233,undirected,+
ASV_1000,ASV_477,0.942647918955649,undirected,+
ASV_477,ASV_114,-0.895104895104895,undirected,-
ASV_723,ASV_114,-0.936091261092067,undirected,-
ASV_723,ASV_117,0.907617002199533,undirected,+
ASV_287,ASV_263,0.909090909090909,undirected,+
ASV_1370,ASV_263,-0.929350356328345,undirected,-
ASV_287,ASV_1214,0.902097902097902,undirected,+
ASV_263,ASV_79,0.923076923076923,undirected,+
ASV_218,ASV_119,0.895104895104895,undirected,+
ASV_1214,ASV_119,0.937062937062937,undirected,+
ASV_79,ASV_80,0.958041958041958,undirected,+
ASV_656,ASV_425,0.895104895104895,undirected,+
ASV_935,ASV_656,0.894388375309078,undirected,+
ASV_425,ASV_317,0.951048951048951,undirected,+
ASV_656,ASV_317,0.93006993006993,undirected,+
ASV_425,ASV_185,0.895104895104895,undirected,+
ASV_1007,ASV_789,-0.893993375818607,undirected,-
ASV_789,ASV_92,-0.927240494880554,undirected,-
ASV_92,ASV_85,0.914187041181542,undirected,+
ASV_789,ASV_641,-0.896645144822724,undirected,-
ASV_381,ASV_340,0.909090909090909,undirected,+
ASV_340,ASV_230,0.916083916083916,undirected,+
ASV_381,ASV_230,0.895104895104895,undirected,+
ASV_340,ASV_228,0.944055944055944,undirected,+
ASV_1243,ASV_775,0.9199044821572,undirected,+
ASV_775,ASV_1045,0.900444488656719,undirected,+
ASV_775,ASV_738,0.924784646281581,undirected,+
ASV_1029,ASV_1033,0.946036614664654,undirected,+
ASV_900,ASV_38,0.93006993006993,undirected,+
ASV_1029,ASV_38,0.914421033335119,undirected,+
ASV_1033,ASV_819,0.907617002199533,undirected,+
ASV_442,ASV_211,-0.909090909090909,undirected,-
ASV_442,ASV_1368,0.902097902097902,undirected,+
ASV_417,ASV_103,-0.9199044821572,undirected,-
ASV_103,ASV_63,0.9432098258152,undirected,+
ASV_1009,ASV_1104,0.905614321756876,undirected,+
ASV_1171,ASV_1009,0.92395792678907,undirected,+
ASV_1104,ASV_327,0.912797908263336,undirected,+
ASV_293,ASV_478,-0.902097902097902,undirected,-
ASV_478,ASV_94,0.951048951048951,undirected,+
ASV_806,ASV_462,0.935396781117528,undirected,+
ASV_462,ASV_366,0.909090909090909,undirected,+
ASV_806,ASV_366,0.913643367603167,undirected,+
ASV_810,ASV_488,0.915244847127754,undirected,+
ASV_810,ASV_967,0.909473780594687,undirected,+
ASV_1148,ASV_964,0.920318725099602,undirected,+
ASV_964,ASV_257,-0.893993375818607,undirected,-
ASV_855,ASV_257,0.924954185370766,undirected,+
ASV_1148,ASV_407,0.901068384137957,undirected,+
ASV_715,ASV_527,0.936170212765958,undirected,+
ASV_527,ASV_74,-0.898193141731122,undirected,-
ASV_715,ASV_74,-0.934705058061656,undirected,-
ASV_1102,ASV_918,0.904347826086957,undirected,+
ASV_918,ASV_1197,0.900040655321284,undirected,+
ASV_1387,ASV_1358,0.895600070934086,undirected,+
ASV_1358,ASV_1397,0.987951807228916,undirected,+
ASV_271,ASV_98,0.993006993006993,undirected,+
ASV_391,ASV_98,0.895104895104895,undirected,+
ASV_515,ASV_68,-0.93006993006993,undirected,-
ASV_696,ASV_68,0.909090909090909,undirected,+
ASV_1055,ASV_151,-0.900176511814775,undirected,-
ASV_991,ASV_151,-0.913643367603167,undirected,-
ASV_362,ASV_204,0.944055944055944,undirected,+
ASV_375,ASV_204,-0.916083916083916,undirected,-
ASV_1225,ASV_207,0.898986090929905,undirected,+
ASV_1459,ASV_207,0.927876964248747,undirected,+
ASV_1138,ASV_72,0.923240551660687,undirected,+
ASV_1081,ASV_72,0.953635302332643,undirected,+
ASV_1047,ASV_830,0.906522023018648,undirected,+
ASV_470,ASV_830,0.906522023018648,undirected,+
ASV_883,ASV_23,-0.951048951048951,undirected,-
ASV_88,ASV_60,0.909090909090909,undirected,+
ASV_99,ASV_157,-0.951048951048951,undirected,-
ASV_125,ASV_47,-0.902097902097902,undirected,-
ASV_87,ASV_64,-0.937062937062937,undirected,-
ASV_653,ASV_52,-0.951048951048951,undirected,-
ASV_979,ASV_25,0.93006993006993,undirected,+
ASV_300,ASV_73,-0.902097902097902,undirected,-
ASV_472,ASV_197,0.979020979020979,undirected,+
ASV_410,ASV_8,0.929600516069278,undirected,+
ASV_184,ASV_202,0.937062937062937,undirected,+
ASV_994,ASV_56,0.9218541316458,undirected,+
ASV_330,ASV_137,0.923076923076923,undirected,+
ASV_225,ASV_206,0.895104895104895,undirected,+
ASV_332,ASV_171,-0.894388375309078,undirected,-
ASV_338,ASV_190,0.986013986013986,undirected,+
ASV_817,ASV_193,0.902097902097902,undirected,+
ASV_1071,ASV_318,-0.920894505441287,undirected,-
ASV_678,ASV_291,0.894388375309078,undirected,+
ASV_269,ASV_301,0.93006993006993,undirected,+
ASV_299,ASV_429,0.944055944055944,undirected,+
ASV_290,ASV_131,0.958041958041958,undirected,+
ASV_379,ASV_365,-0.900498437476399,undirected,-
ASV_1042,ASV_448,-0.896939155114832,undirected,-
ASV_281,ASV_188,0.902097902097902,undirected,+
ASV_533,ASV_302,0.896831624698763,undirected,+
ASV_626,ASV_400,0.953887672899901,undirected,+
ASV_781,ASV_510,0.901430803461118,undirected,+
ASV_1168,ASV_266,0.922558087917238,undirected,+
ASV_564,ASV_609,0.935396781117528,undirected,+
ASV_1082,ASV_555,0.899141091926926,undirected,+
ASV_796,ASV_358,0.916083916083916,undirected,+
ASV_1454,ASV_460,-0.900176511814775,undirected,-
ASV_886,ASV_369,-0.922558087917238,undirected,-
ASV_538,ASV_479,0.958041958041958,undirected,+
ASV_370,ASV_280,-0.904057719837966,undirected,-
ASV_1334,ASV_288,-0.896939155114832,undirected,-
ASV_357,ASV_485,0.899141091926926,undirected,+
ASV_951,ASV_551,0.900444488656719,undirected,+
ASV_1293,ASV_163,0.897863477012627,undirected,+
ASV_777,ASV_966,-0.894388375309078,undirected,-
ASV_650,ASV_572,-0.934166567151885,undirected,-
ASV_1219,ASV_660,0.906522023018648,undirected,+
ASV_1023,ASV_506,0.935396781117528,undirected,+
ASV_977,ASV_532,0.92395792678907,undirected,+
ASV_1140,ASV_731,0.930839239328676,undirected,+
ASV_1178,ASV_635,0.906522023018648,undirected,+
ASV_957,ASV_431,0.89457249739494,undirected,+
ASV_1026,ASV_829,0.906956371838506,undirected,+
ASV_864,ASV_16,0.944055944055944,undirected,+
ASV_950,ASV_776,0.900444488656719,undirected,+
