ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,mean,Label
ASV_1,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Unassigned,0.0637045246012443,ASV_1
ASV_10,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,0.001016546670216,ASV_10
ASV_100,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Frisingicoccus,Unassigned,0.00948224933685159,ASV_100
ASV_1002,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,0.000180070568323881,ASV_1002
ASV_1003,Bacteria,Firmicutes,Clostridia,Clostridiales,Vallitaleaceae,Vallitalea,Unassigned,0.000206770059846554,ASV_1003
ASV_1004,Bacteria,Firmicutes,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,0.000140200014025997,ASV_1004
ASV_1005,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Unassigned,6.39005290908691e-05,ASV_1005
ASV_101,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,0.00676724192298497,ASV_101
ASV_1010,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,Unassigned,6.15765992676137e-05,ASV_1010
ASV_1011,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,8.45835478277247e-05,ASV_1011
ASV_1015,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,0.000139460437783047,ASV_1015
ASV_1017,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,8.91115650747741e-05,ASV_1017
ASV_1018,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Syntrophococcus,Unassigned,0.000101569053390171,ASV_1018
ASV_1019,Bacteria,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned,Unassigned,0.000116616806268709,ASV_1019
ASV_102,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Weeksellaceae,Unassigned,Unassigned,0.00279756216019776,ASV_102
ASV_1020,Bacteria,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned,Unassigned,9.4884748927917e-05,ASV_1020
ASV_1021,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Unassigned,3.89053267709744e-05,ASV_1021
ASV_1024,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Unassigned,5.15397369129103e-05,ASV_1024
ASV_1027,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,0.000129760766329672,ASV_1027
ASV_1029,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,Unassigned,6.41545748015952e-05,ASV_1029
ASV_103,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Unassigned,0.003683435152787,ASV_103
ASV_1030,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Unassigned,4.58561768399628e-05,ASV_1030
ASV_1032,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,Unassigned,6.36939858662938e-05,ASV_1032
ASV_1033,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Unassigned,6.05718644079692e-05,ASV_1033
ASV_1034,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Hungatella,Unassigned,0.000146411969457321,ASV_1034
ASV_1035,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,Unassigned,7.99722048792833e-05,ASV_1035
ASV_1036,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,8.30261962149009e-05,ASV_1036
ASV_1037,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Unassigned,0.000143402614913635,ASV_1037
ASV_1038,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Unassigned,Unassigned,0.000300292050577133,ASV_1038
ASV_104,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Barnesiellaceae,Barnesiella,Unassigned,0.000282504497416174,ASV_104
ASV_1040,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,0.000108733642749106,ASV_1040
ASV_1041,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,7.95604570755292e-05,ASV_1041
ASV_1042,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,0.000222326282887697,ASV_1042
ASV_1044,Bacteria,Bacteroidetes,Chitinophagia,Chitinophagales,Chitinophagaceae,Sediminibacterium,Unassigned,3.66742996633612e-05,ASV_1044
ASV_1045,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Unassigned,5.72322026982163e-05,ASV_1045
ASV_1046,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Unassigned,3.68179643554293e-05,ASV_1046
ASV_1049,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Falcatimonas,Unassigned,0.000173517152623621,ASV_1049
ASV_105,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_2,Alkaliphilus,Unassigned,0.00740952510113659,ASV_105
ASV_1051,Bacteria,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned,Unassigned,7.69651647475081e-05,ASV_1051
ASV_1052,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Duncaniella,Unassigned,0.000146563763630098,ASV_1052
ASV_1059,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,3.61841317058487e-05,ASV_1059
ASV_1063,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lachnospiracea_incertae_sedis,Unassigned,4.14299836043277e-05,ASV_1063
ASV_1065,Bacteria,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned,Unassigned,8.31770579500601e-05,ASV_1065
ASV_1066,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Unassigned,7.72991609514184e-05,ASV_1066
ASV_1067,Bacteria,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned,Unassigned,0.000112006232260238,ASV_1067
ASV_1068,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Breznakia,Unassigned,8.47716931372278e-05,ASV_1068
ASV_1069,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Longibaculum,Unassigned,9.44098321020171e-05,ASV_1069
ASV_107,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,Unassigned,0.00238765560889667,ASV_107
ASV_1070,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_2,Alkaliphilus,Unassigned,0.000200553734067021,ASV_1070
ASV_1072,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae_1,Clostridium_sensu_stricto,Unassigned,4.35249903675414e-05,ASV_1072
ASV_1076,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,0.000151900363242787,ASV_1076
ASV_1077,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Unassigned,4.51132871690583e-05,ASV_1077
ASV_108,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Eisenbergiella,Unassigned,0.00236209302641018,ASV_108
ASV_1081,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Unassigned,9.85850708693856e-05,ASV_1081
ASV_1084,Bacteria,Candidatus_Saccharibacteria,Unassigned,Unassigned,Unassigned,Saccharibacteria_genera_incertae_sedis,Unassigned,6.43973146237868e-05,ASV_1084
ASV_1085,Bacteria,Firmicutes,Clostridia,Clostridiales,Unassigned,Unassigned,Unassigned,0.000146965473333433,ASV_1085
ASV_1086,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Filifactor,Unassigned,0.000136145633038901,ASV_1086
ASV_1087,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Neglecta,Unassigned,9.01492414604311e-05,ASV_1087
ASV_109,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Muribaculaceae,Muribaculum,Unassigned,0.00319705479381091,ASV_109
ASV_1091,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Unassigned,6.9127803191075e-05,ASV_1091
ASV_1099,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,7.25502436862921e-05,ASV_1099
ASV_11,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Lacrimispora,Unassigned,0.00284544001490511,ASV_11
ASV_110,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalicatena,Unassigned,0.000562397854560815,ASV_110
ASV_1100,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Dorea,Unassigned,8.62198664687752e-05,ASV_1100
ASV_1101,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,0.000113345522636948,ASV_1101
ASV_1102,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcus,Unassigned,3.43880056213067e-05,ASV_1102
ASV_1104,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Enterobacter,Unassigned,3.34687361015739e-05,ASV_1104
ASV_1107,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Oscillibacter,Unassigned,5.25467872062251e-05,ASV_1107
ASV_1109,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Amedibacillus,Unassigned,0.000101365554165096,ASV_1109
ASV_111,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Flintibacter,Unassigned,0.000239678890300213,ASV_111
ASV_1110,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Kineothrix,Unassigned,8.85762296793049e-05,ASV_1110
ASV_1112,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Anaerofustis,Unassigned,8.42722756809091e-05,ASV_1112
ASV_1116,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Unassigned,3.46116081466774e-05,ASV_1116
ASV_1117,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Blautia,Unassigned,7.24677998923338e-05,ASV_1117
ASV_1118,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Clostridium_XlVa,Unassigned,7.04036957550562e-05,ASV_1118
ASV_112,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,5.39901710155106e-05,ASV_112
ASV_1122,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Pseudoflavonifractor,Unassigned,5.17252197263213e-05,ASV_1122
ASV_1123,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Coprococcus,Unassigned,5.9527181500379e-05,ASV_1123
ASV_1126,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Unassigned,5.91262968294984e-05,ASV_1126
ASV_1128,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Enterocloster,Unassigned,0.000136020258532691,ASV_1128
ASV_1129,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Unassigned,Unassigned,0.000141695778151942,ASV_1129
ASV_113,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Schaedlerella,Unassigned,0.00292724135279142,ASV_113
ASV_1131,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Roseburia,Unassigned,6.1010635791634e-05,ASV_1131
ASV_1132,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Sporomusaceae,Unassigned,Unassigned,5.46900977217379e-05,ASV_1132
