"z","module","p","roles","label","role_7"
0.730296743340221,"9",0,"Peripherals","","ultra peripheral"
-1.09544511501033,"9",0,"Peripherals","","ultra peripheral"
0.730296743340221,"9",0,"Peripherals","","ultra peripheral"
-1.09544511501033,"9",0,"Peripherals","","ultra peripheral"
0.730296743340221,"9",0,"Peripherals","","ultra peripheral"
0,"30",0,"Peripherals","","ultra peripheral"
0,"30",0,"Peripherals","","ultra peripheral"
-0.246839793721615,"2",0,"Peripherals","","ultra peripheral"
1.13546305111943,"2",0,"Peripherals","","ultra peripheral"
1.13546305111943,"2",0,"Peripherals","","ultra peripheral"
2.51776589596047,"2",0.5,"Module hubs","ASV_111","connector hub"
-0.246839793721615,"2",0,"Peripherals","","ultra peripheral"
-0.937991216142137,"2",0,"Peripherals","","ultra peripheral"
-0.246839793721615,"2",0,"Peripherals","","ultra peripheral"
0.444311628698907,"2",0,"Peripherals","","ultra peripheral"
-0.246839793721615,"2",0,"Peripherals","","ultra peripheral"
-0.937991216142137,"2",0,"Peripherals","","ultra peripheral"
-0.937991216142137,"2",0,"Peripherals","","ultra peripheral"
-0.246839793721615,"2",0,"Peripherals","","ultra peripheral"
-0.937991216142137,"2",0,"Peripherals","","ultra peripheral"
-0.246839793721615,"2",0,"Peripherals","","ultra peripheral"
0,"33",0,"Peripherals","","ultra peripheral"
0,"33",0,"Peripherals","","ultra peripheral"
0.975900072948533,"11",0,"Peripherals","","ultra peripheral"
0.975900072948533,"11",0,"Peripherals","","ultra peripheral"
0.243975018237133,"11",0,"Peripherals","","ultra peripheral"
-1.21987509118567,"11",0,"Peripherals","","ultra peripheral"
-1.21987509118567,"11",0,"Peripherals","","ultra peripheral"
0.243975018237133,"11",0,"Peripherals","","ultra peripheral"
0,"18",0,"Peripherals","","ultra peripheral"
0,"18",0,"Peripherals","","ultra peripheral"
0.806225774829855,"3",0,"Peripherals","","ultra peripheral"
1.61245154965971,"3",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
-0.806225774829855,"3",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
-0.806225774829855,"3",0,"Peripherals","","ultra peripheral"
-0.806225774829855,"3",0,"Peripherals","","ultra peripheral"
-0.806225774829855,"3",0,"Peripherals","","ultra peripheral"
-0.806225774829855,"3",0,"Peripherals","","ultra peripheral"
0,"3",0,"Peripherals","","ultra peripheral"
2.41867732448956,"3",0,"Peripherals","","ultra peripheral"
0,"3",0.277777777777778,"Peripherals","","peripheral"
-0.806225774829855,"3",0,"Peripherals","","ultra peripheral"
-0.214598768819738,"5",0,"Peripherals","","ultra peripheral"
1.50219138173817,"5",0,"Peripherals","","ultra peripheral"
-0.214598768819738,"5",0,"Peripherals","","ultra peripheral"
1.50219138173817,"5",0,"Peripherals","","ultra peripheral"
-1.07299384409869,"5",0,"Peripherals","","ultra peripheral"
-0.214598768819738,"5",0,"Peripherals","","ultra peripheral"
-1.07299384409869,"5",0,"Peripherals","","ultra peripheral"
-0.214598768819738,"5",0,"Peripherals","","ultra peripheral"
0,"12",0,"Peripherals","","ultra peripheral"
0,"12",0,"Peripherals","","ultra peripheral"
-1.22474487139159,"12",0,"Peripherals","","ultra peripheral"
1.22474487139159,"12",0,"Peripherals","","ultra peripheral"
0,"32",0,"Peripherals","","ultra peripheral"
0,"32",0,"Peripherals","","ultra peripheral"
0,"19",0,"Peripherals","","ultra peripheral"
0,"19",0,"Peripherals","","ultra peripheral"
0.474341649025257,"1",0,"Peripherals","","ultra peripheral"
1.26491106406735,"1",0,"Peripherals","","ultra peripheral"
1.26491106406735,"1",0,"Peripherals","","ultra peripheral"
0.474341649025257,"1",0,"Peripherals","","ultra peripheral"
-0.316227766016838,"1",0,"Peripherals","","ultra peripheral"
-0.316227766016838,"1",0,"Peripherals","","ultra peripheral"
-0.316227766016838,"1",0,"Peripherals","","ultra peripheral"
0.474341649025257,"1",0,"Peripherals","","ultra peripheral"
-1.89736659610103,"1",0,"Peripherals","","ultra peripheral"
-1.10679718105893,"1",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"15",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"15",0,"Peripherals","","ultra peripheral"
1.15470053837925,"15",0,"Peripherals","","ultra peripheral"
0,"25",0,"Peripherals","","ultra peripheral"
0,"25",0,"Peripherals","","ultra peripheral"
0,"26",0,"Peripherals","","ultra peripheral"
0,"26",0,"Peripherals","","ultra peripheral"
0,"26",0,"Peripherals","","ultra peripheral"
-0.259307639408939,"4",0,"Peripherals","","ultra peripheral"
-0.259307639408939,"4",0,"Peripherals","","ultra peripheral"
0.881645973990394,"4",0,"Peripherals","","ultra peripheral"
2.02259958738973,"4",0,"Peripherals","","ultra peripheral"
0.311169167290727,"4",0,"Peripherals","","ultra peripheral"
-0.829784446108606,"4",0,"Peripherals","","ultra peripheral"
0.311169167290727,"4",0,"Peripherals","","ultra peripheral"
-0.829784446108606,"4",0,"Peripherals","","ultra peripheral"
0.881645973990394,"4",0,"Peripherals","","ultra peripheral"
-0.829784446108606,"4",0,"Peripherals","","ultra peripheral"
-1.40026125280827,"4",0,"Peripherals","","ultra peripheral"
-1.41421356237309,"7",0,"Peripherals","","ultra peripheral"
1.41421356237309,"7",0,"Peripherals","","ultra peripheral"
0,"7",0,"Peripherals","","ultra peripheral"
0,"7",0,"Peripherals","","ultra peripheral"
0,"7",0,"Peripherals","","ultra peripheral"
0,"20",0,"Peripherals","","ultra peripheral"
0,"20",0,"Peripherals","","ultra peripheral"
0,"14",0,"Peripherals","","ultra peripheral"
0,"14",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"29",0,"Peripherals","","ultra peripheral"
0,"8",0,"Peripherals","","ultra peripheral"
0,"8",0,"Peripherals","","ultra peripheral"
0,"8",0,"Peripherals","","ultra peripheral"
-1.41421356237309,"8",0,"Peripherals","","ultra peripheral"
1.41421356237309,"8",0,"Peripherals","","ultra peripheral"
1.76776695296637,"6",0,"Peripherals","","ultra peripheral"
0.353553390593274,"6",0,"Peripherals","","ultra peripheral"
-1.06066017177982,"6",0,"Peripherals","","ultra peripheral"
0.353553390593274,"6",0,"Peripherals","","ultra peripheral"
0.353553390593274,"6",0,"Peripherals","","ultra peripheral"
-1.06066017177982,"6",0,"Peripherals","","ultra peripheral"
-1.06066017177982,"6",0,"Peripherals","","ultra peripheral"
0.353553390593274,"6",0,"Peripherals","","ultra peripheral"
0.866025403784439,"17",0,"Peripherals","","ultra peripheral"
0.866025403784439,"17",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"17",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"17",0,"Peripherals","","ultra peripheral"
0.866025403784439,"10",0,"Peripherals","","ultra peripheral"
0.866025403784439,"10",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"10",0,"Peripherals","","ultra peripheral"
-0.866025403784439,"10",0,"Peripherals","","ultra peripheral"
0,"27",0,"Peripherals","","ultra peripheral"
0,"27",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"23",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"23",0,"Peripherals","","ultra peripheral"
1.15470053837925,"23",0,"Peripherals","","ultra peripheral"
0,"16",0,"Peripherals","","ultra peripheral"
0,"16",0,"Peripherals","","ultra peripheral"
0,"31",0,"Peripherals","","ultra peripheral"
0,"31",0,"Peripherals","","ultra peripheral"
0,"31",0,"Peripherals","","ultra peripheral"
1.15470053837925,"22",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"22",0,"Peripherals","","ultra peripheral"
-0.577350269189626,"22",0,"Peripherals","","ultra peripheral"
0,"21",0,"Peripherals","","ultra peripheral"
0,"21",0,"Peripherals","","ultra peripheral"
0,"28",0,"Peripherals","","ultra peripheral"
0,"28",0,"Peripherals","","ultra peripheral"
0,"24",0,"Peripherals","","ultra peripheral"
0,"24",0,"Peripherals","","ultra peripheral"
0,"24",0,"Peripherals","","ultra peripheral"
0,"13",0,"Peripherals","","ultra peripheral"
0,"13",0,"Peripherals","","ultra peripheral"
