"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_10",3,0.305084745762712,45,3
"ASV_119",2,0.202247191011236,0,2
"ASV_22",3,0.246575342465753,8,3
"ASV_203",1,1,0,1
"ASV_12",2,0.321428571428571,6,2
"ASV_223",4,0.36,26.5,4
"ASV_17",1,1,0,1
"ASV_965",4,0.833333333333333,4,4
"ASV_1277",4,0.833333333333333,4,4
"ASV_1200",3,0.714285714285714,0,3
"ASV_48",2,0.375,56,2
"ASV_336",1,1,0,1
"ASV_132",3,0.325,32,3
"ASV_53",4,0.418604651162791,77.5,4
"ASV_69",2,0.5,6,2
"ASV_55",2,0.75,0,2
"ASV_64",2,0.75,0,2
"ASV_151",1,0.6,0,1
"ASV_1357",1,1,0,1
"ASV_65",4,0.433333333333333,53,4
"ASV_71",1,1,0,1
"ASV_20",4,0.5,0,4
"ASV_28",5,0.642857142857143,20,5
"ASV_218",5,0.529411764705882,8,5
"ASV_570",4,0.5,0,4
"ASV_1214",4,0.7,14,4
"ASV_62",1,0.666666666666667,0,1
"ASV_114",1,0.666666666666667,0,1
"ASV_289",3,0.5625,18,3
"ASV_129",1,1,0,1
"ASV_8",2,0.538461538461538,0,2
"ASV_87",4,0.636363636363636,10,4
"ASV_1445",1,0.4375,0,1
"ASV_133",1,0.5,0,1
"ASV_121",2,1,0,2
"ASV_202",2,1,0,2
"ASV_49",3,0.555555555555556,16,3
"ASV_122",3,0.5,0.333333333333333,3
"ASV_210",5,0.555555555555556,6,5
"ASV_1368",7,0.714285714285714,17.8333333333333,7
"ASV_293",4,0.526315789473684,1.33333333333333,4
"ASV_41",1,0.444444444444444,0,1
"ASV_145",3,0.8,4,3
"ASV_111",6,0.461538461538462,106.5,6
"ASV_211",2,0.333333333333333,45,2
"ASV_196",1,0.3,0,1
"ASV_573",1,1,0,1
"ASV_453",2,0.276595744680851,0,2
"ASV_76",1,0.270833333333333,0,1
"ASV_143",2,0.276595744680851,0,2
"ASV_326",2,0.40625,40,2
"ASV_215",1,0.270833333333333,0,1
"ASV_66",1,1,0,1
"ASV_88",1,1,0,1
"ASV_206",1,0.5,0,1
"ASV_78",2,0.666666666666667,3,2
"ASV_79",3,0.411764705882353,11,3
"ASV_297",2,0.75,2,2
"ASV_126",2,0.571428571428571,0,2
"ASV_471",2,0.571428571428571,0,2
"ASV_113",2,0.75,2,2
"ASV_130",1,1,0,1
"ASV_160",1,0.666666666666667,0,1
"ASV_91",1,0.666666666666667,0,1
"ASV_1446",2,0.466666666666667,12,2
"ASV_552",1,0.304347826086957,0,1
"ASV_451",2,0.4,9,2
"ASV_226",2,0.571428571428571,0,2
"ASV_260",2,0.4375,0,2
"ASV_204",1,1,0,1
"ASV_183",1,0.209677419354839,0,1
"ASV_194",2,0.75,2,2
"ASV_171",2,0.216867469879518,0,2
"ASV_883",3,0.26865671641791,32,3
"ASV_212",2,0.339622641509434,0,2
"ASV_583",1,0.321428571428571,0,1
"ASV_230",3,0.428571428571429,3.5,3
"ASV_228",3,0.428571428571429,3.5,3
"ASV_979",2,1,0,2
"ASV_182",2,1,0,2
"ASV_148",2,0.466666666666667,12,2
"ASV_251",4,0.526315789473684,3.16666666666667,4
"ASV_141",2,0.411764705882353,10,2
"ASV_217",1,0.259259259259259,0,1
"ASV_180",1,0.30952380952381,0,1
"ASV_273",2,1,1,2
"ASV_115",1,1,0,1
"ASV_348",1,1,0,1
"ASV_994",2,0.75,2,2
"ASV_205",2,0.454545454545455,0,2
"ASV_306",2,1,0,2
"ASV_373",2,1,0,2
"ASV_188",1,0.5,0,1
"ASV_201",1,0.26865671641791,0,1
"ASV_250",1,1,0,1
"ASV_2",3,0.246575342465753,8,3
"ASV_3",1,1,0,1
"ASV_1",2,0.305084745762712,2.5,2
"ASV_11",1,1,0,1
"ASV_7",3,0.714285714285714,0,3
"ASV_9",1,1,0,1
"ASV_19",1,0.25,0,1
"ASV_13",1,0.35,0,1
"ASV_26",3,1,2,3
"ASV_27",1,1,0,1
"ASV_25",2,0.382352941176471,36,2
"ASV_21",1,1,0,1
"ASV_29",4,0.5,0,4
"ASV_23",2,1,1,2
"ASV_24",1,1,0,1
"ASV_77",2,1,0,2
"ASV_31",5,0.625,6.33333333333333,5
"ASV_33",2,0.666666666666667,3,2
"ASV_52",1,1,0,1
"ASV_44",5,0.361111111111111,41,5
"ASV_63",1,1,0,1
"ASV_60",1,1,0,1
"ASV_1390",1,0.36,0,1
"ASV_35",1,0.444444444444444,0,1
"ASV_80",1,0.304347826086957,0,1
"ASV_68",1,0.5,0,1
"ASV_86",3,0.8,4,3
"ASV_99",1,0.5,0,1
"ASV_51",1,1,0,1
"ASV_181",2,1,1,2
"ASV_81",1,0.321428571428571,0,1
"ASV_135",2,0.571428571428571,0,2
"ASV_43",2,0.4375,0,2
"ASV_134",1,1,0,1
"ASV_104",2,0.26,12,2
"ASV_98",1,0.5,0,1
"ASV_70",2,0.216867469879518,0,2
"ASV_108",2,0.321428571428571,0,2
"ASV_73",2,1,0,2
"ASV_292",2,0.4,0,2
"ASV_1211",1,0.30952380952381,0,1
"ASV_213",2,0.333333333333333,6,2
"ASV_197",1,0.666666666666667,0,1
"ASV_174",1,1,0,1
"ASV_313",1,1,0,1
"ASV_39",1,0.666666666666667,0,1
"ASV_175",2,1,0,2
"ASV_426",1,1,0,1
"ASV_189",1,0.294117647058824,0,1
