"","KO","Means","SD"
"num.edges(L)","505","505","0"
"num.pos.edges","301","0","0"
"num.neg.edges","204","0","0"
"num.vertices(n)","161","161","0"
"Connectance(edge_density)","0.0392080745341615","0.0392080745341615","0"
"average.degree(Average K)","6.27329192546584","6.27329192546584","0"
"average.path.length","3.66243898845701","2.95538378940584","0.0124042598511638"
"diameter","10.1075961678841","5.57","0.536637492148842"
"edge.connectivity","0","0.87","0.525222415609412"
"mean.clustering.coefficient(Average.CC)","0.48144297345978","0.0399557441487217","0.00649816680009192"
"no.clusters","11","1.21","0.409360180740332"
"centralization.degree","0.0982919254658385","0.0458544254658385","0.00823306150637032"
"centralization.betweenness","0.078719192320415","0.0376416297689486","0.00840535033918626"
"centralization.closeness","1.33456318027359","NaN",NA
"RM(relative.modularity)","0.847950766652908","0.00392529107940875","0.066301674866214"
"the.number.of.keystone.nodes","Not.calculated","0","0"
