"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_10",11,0.219739292364991,213.533054933712,11
"ASV_9",12,0.276995305164319,845.96751137051,12
"ASV_15",11,0.21651376146789,212.143102878963,11
"ASV_453",10,0.266968325791855,447.927561548345,10
"ASV_171",10,0.220973782771536,175.859966305964,10
"ASV_233",11,0.244813278008299,355.807186109506,11
"ASV_110",7,0.236947791164659,138.795918882171,7
"ASV_162",6,0.231827111984283,87.0631505571133,6
"ASV_119",5,0.222222222222222,450.467778128188,5
"ASV_84",2,0.176911544227886,18.6555555555556,2
"ASV_17",11,0.280285035629454,240.092157941145,11
"ASV_40",6,0.266365688487585,31.7580542063493,6
"ASV_24",10,0.302564102564103,860.601101023217,10
"ASV_35",15,0.283653846153846,509.250133290785,15
"ASV_51",13,0.282973621103118,235.859130300532,13
"ASV_43",12,0.29064039408867,661.468191571969,12
"ASV_66",9,0.272517321016166,200.414309542962,9
"ASV_1343",10,0.28992628992629,622.056375766217,10
"ASV_130",14,0.286407766990291,337.313678786374,14
"ASV_273",7,0.269406392694064,90.0230400453886,7
"ASV_263",8,0.272517321016166,1309.26204040317,8
"ASV_226",17,0.312169312169312,814.000087101899,17
"ASV_452",3,0.236,456,3
"ASV_22",8,0.214936247723133,22.8408390762243,8
"ASV_7",9,0.211469534050179,53.3192252111311,9
"ASV_21",6,0.223908918406072,323.428207045825,6
"ASV_1277",12,0.223908918406072,122.016846944392,12
"ASV_965",9,0.211849192100539,59.904244867925,9
"ASV_114",4,0.200339558573854,387.612395025005,4
"ASV_135",9,0.26879271070615,372.147579846995,9
"ASV_145",8,0.251599147121535,165.166280651728,8
"ASV_71",1,0.177443609022556,0,1
"ASV_238",4,0.214936247723133,0,4
"ASV_234",4,0.214936247723133,0,4
"ASV_47",10,0.266968325791855,203.169859032294,10
"ASV_32",13,0.271889400921659,371.773849477631,13
"ASV_70",9,0.292803970223325,484.355429866352,9
"ASV_123",7,0.240325865580448,213.1664641051,7
"ASV_174",8,0.273148148148148,510.013637812579,8
"ASV_237",10,0.25,595.666867639409,10
"ASV_196",4,0.255965292841649,234.86869504105,4
"ASV_307",2,0.221804511278195,45.4140197132011,2
"ASV_212",13,0.300254452926209,709.343514810815,13
"ASV_91",3,0.199324324324324,12.6261904761905,3
"ASV_29",4,0.128400435255713,117,4
"ASV_28",4,0.128400435255713,1.5,4
"ASV_570",5,0.146401985111663,566.5,5
"ASV_1200",4,0.195364238410596,3.03333333333333,4
"ASV_222",3,0.217712177121771,70.2071887371016,3
"ASV_26",1,0.113899613899614,0,1
"ASV_583",2,0.127982646420824,0,2
"ASV_49",5,0.857142857142857,8,5
"ASV_1427",4,0.666666666666667,0,4
"ASV_1309",4,0.666666666666667,0,4
"ASV_1467",4,0.666666666666667,0,4
"ASV_218",5,0.241308793456033,585.41023181785,5
"ASV_1214",5,0.241803278688525,267.286342751149,5
"ASV_113",1,0.182098765432099,0,1
"ASV_89",3,0.213768115942029,321.755948875569,3
"ASV_86",1,0.175334323922734,0,1
"ASV_56",2,0.198319327731092,213.165710417608,2
"ASV_883",2,0.201365187713311,0,2
"ASV_88",2,1,1,2
"ASV_109",17,0.288508557457213,401.885089904235,17
"ASV_274",3,0.226487523992322,2.23333333333333,3
"ASV_183",2,1,1,2
"ASV_99",2,0.162534435261708,117,2
"ASV_48",9,0.271264367816092,33.7314978511655,9
"ASV_107",12,0.276995305164319,212.697267748858,12
"ASV_97",12,0.277647058823529,94.5211967022964,12
"ASV_185",5,0.247379454926625,131.059890984469,5
"ASV_1368",7,0.25764192139738,54.4354005184899,7
"ASV_125",10,0.273148148148148,257.372514753803,10
"ASV_225",2,0.2181146025878,35.8798479678097,2
"ASV_211",5,0.255965292841649,205.218186675702,5
"ASV_83",2,0.6,5,2
"ASV_41",5,0.237903225806452,437.926898661322,5
"ASV_143",5,0.223062381852552,37.4487078883968,5
"ASV_1445",2,0.212996389891697,0,2
"ASV_173",5,0.208112874779541,234.705045182504,5
"ASV_230",1,0.147684605757196,0,1
"ASV_64",5,0.197654941373534,602.5,5
"ASV_54",2,0.222222222222222,117,2
"ASV_63",5,0.25764192139738,10.1027159127973,5
"ASV_187",8,0.267573696145125,166.770045055306,8
"ASV_104",1,0.666666666666667,0,1
"ASV_214",4,0.212230215827338,9.10655814093314,4
"ASV_198",1,0.182098765432099,0,1
"ASV_13",3,0.225190839694656,117,3
"ASV_55",4,0.168812589413448,783,4
"ASV_1446",7,0.235528942115768,1305.58855808548,7
"ASV_169",2,0.165497896213184,0,2
"ASV_87",4,0.197324414715719,485.5,4
"ASV_132",3,0.193126022913257,0,3
"ASV_150",3,0.193126022913257,0,3
"ASV_80",5,0.257080610021787,259.831313107223,5
"ASV_79",6,0.25764192139738,288.804418348339,6
"ASV_202",5,0.240816326530612,190.480561388112,5
"ASV_148",1,0.144607843137255,0,1
"ASV_184",4,0.212996389891697,60.3834109730849,4
"ASV_153",2,0.204506065857886,30.6584462803692,2
"ASV_189",4,0.220560747663551,90.2439879246209,4
"ASV_197",2,0.220973782771536,0,2
"ASV_128",1,0.143727161997564,0,1
"ASV_204",3,0.193126022913257,347,3
"ASV_300",1,0.666666666666667,0,1
"ASV_182",1,0.666666666666667,0,1
"ASV_96",1,0.4,0,1
"ASV_126",1,1,0,1
