"","KO","Means","SD"
"num.edges(L)","467","467","0"
"num.pos.edges","293","0","0"
"num.neg.edges","174","0","0"
"num.vertices(n)","166","166","0"
"Connectance(edge_density)","0.0341000365096751","0.0341000365096751","0"
"average.degree(Average K)","5.62650602409639","5.62650602409639","0"
"average.path.length","3.78347082300028","3.13200248258142","0.0168140576584685"
"diameter","10.0645003240136","6.14","0.471832875737016"
"edge.connectivity","0","0.64","0.541602560309064"
"mean.clustering.coefficient(Average.CC)","0.410595648151174","0.0340220737551652","0.00777166465253992"
"no.clusters","5","1.46","0.626357112455213"
"centralization.degree","0.0992332968236583","0.0444454180357795","0.00812293884032269"
"centralization.betweenness","0.0963709193694088","0.0440210864934484","0.0110289126872013"
"centralization.closeness","1.48104167291375","NaN",NA
"RM(relative.modularity)","0.729648484848484","0.00528942634064346","0.0616592371276282"
"the.number.of.keystone.nodes","Not.calculated","0","0"
