"","igraph.degree","igraph.closeness","igraph.betweenness","igraph.cen.degree"
"ASV_27",3,0.227206946454414,310,3
"ASV_21",11,0.274475524475524,149.402862298409,11
"ASV_67",22,0.314,1562.06180088094,22
"ASV_46",9,0.295112781954887,366.28151849045,9
"ASV_262",18,0.294559099437148,409.178791959936,18
"ASV_428",19,0.311507936507937,765.920968529257,19
"ASV_1357",4,0.240428790199081,499.781595365419,4
"ASV_190",13,0.282374100719424,922.917893855707,13
"ASV_141",16,0.295112781954887,267.399879887633,16
"ASV_71",20,0.310276679841897,779.525775705836,20
"ASV_341",18,0.29622641509434,477.203560603672,18
"ASV_180",16,0.290740740740741,279.317460143817,16
"ASV_81",11,0.27689594356261,9.09650126819397,11
"ASV_531",13,0.280858676207513,258.383838676578,13
"ASV_36",5,0.261666666666667,7.52889717987567,5
"ASV_157",14,0.286496350364964,297.502925282243,14
"ASV_240",9,0.283905967450271,542.46743694791,9
"ASV_165",6,0.269296740994854,0.5,6
"ASV_62",10,0.271626297577855,16.7794483425078,10
"ASV_1434",9,0.262103505843072,10.4037434514175,9
"ASV_765",12,0.300766283524904,710.160205841159,12
"ASV_76",8,0.265651438240271,247.85230868694,8
"ASV_24",3,0.240061162079511,51.3430134624496,3
"ASV_284",9,0.271157167530225,646.090882649585,9
"ASV_37",8,0.260364842454395,242.651119250543,8
"ASV_72",10,0.267006802721088,359.265561168941,10
"ASV_127",2,0.208499335989376,0,2
"ASV_73",10,0.251602564102564,289.987292396033,10
"ASV_552",14,0.289134438305709,985.151286157583,14
"ASV_224",9,0.248025276461295,214.377771209355,9
"ASV_242",3,0.208499335989376,156,3
"ASV_395",3,0.206307490144547,329.83020194461,3
"ASV_766",6,0.249206349206349,194.264619216511,6
"ASV_308",3,0.156530408773679,156,3
"ASV_103",9,0.242283950617284,140.231233222033,9
"ASV_182",10,0.233630952380952,205.107105760525,10
"ASV_422",9,0.246081504702194,920.672646095239,9
"ASV_118",1,0.164570230607966,0,1
"ASV_124",5,0.243788819875776,488.937082295041,5
"ASV_3",2,0.139307897071872,0,2
"ASV_335",2,0.139307897071872,0,2
"ASV_196",3,0.191463414634146,462,3
"ASV_52",9,0.264309764309764,745.818744100264,9
"ASV_443",11,0.259933774834437,912.931571563823,11
"ASV_166",7,0.266553480475382,1088.2985163628,7
"ASV_26",2,0.228529839883552,0,2
"ASV_148",10,0.261231281198003,579.34799499834,10
"ASV_142",6,0.210738255033557,315.118714241912,6
"ASV_139",5,0.210455764075067,114.893443943663,5
"ASV_264",4,0.202319587628866,35.7012285268241,4
"ASV_339",10,0.259933774834437,595.292154899681,10
"ASV_466",17,0.305447470817121,1453.68784895826,17
"ASV_402",5,0.253225806451613,69.8311649658312,5
"ASV_137",8,0.262541806020067,379.716003860879,8
"ASV_113",5,0.265651438240271,59.7870443625072,5
"ASV_338",5,0.249602543720191,88.039873132549,5
"ASV_35",2,0.185798816568047,156,2
"ASV_275",3,0.178206583427923,156,3
"ASV_109",4,0.215659340659341,261.917833519622,4
"ASV_188",3,0.1849234393404,124.182165533928,3
"ASV_7",4,0.23644578313253,76.7844330541173,4
"ASV_201",7,0.244929797191888,1047.08046229998,7
"ASV_409",8,0.260364842454395,1513.56571453283,8
"ASV_965",9,0.265202702702703,857.305147731714,9
"ASV_325",6,0.230543318649046,198.185392251006,6
"ASV_61",12,0.288602941176471,1089.19393199601,12
"ASV_55",11,0.289667896678967,169.480449650423,11
"ASV_114",6,0.261231281198003,104.699340059949,6
"ASV_91",6,0.25487012987013,549.42237672978,6
"ASV_215",11,0.272569444444444,20.4400313573956,11
"ASV_143",12,0.278368794326241,511.719209816039,12
"ASV_445",6,0.261231281198003,362.380029906724,6
"ASV_128",5,0.220505617977528,671.501101264917,5
"ASV_315",6,0.273996509598604,142.381504192655,6
"ASV_15",3,0.19748427672956,153.677911389731,3
"ASV_423",4,0.176206509539843,489.934405325811,4
"ASV_23",9,0.271157167530225,432.810267966175,9
"ASV_401",2,0.210174029451138,15.6050115059706,2
"ASV_154",2,0.174638487208009,46.2252702982491,2
"ASV_85",4,0.175027870680045,108.774729701751,4
"ASV_51",11,0.285454545454545,1128.71206836744,11
"ASV_359",6,0.253225806451613,278.735890967465,6
