""	"FBG"	"Weight"	"OGTT"	"Acetic.acid"	"Propionic.acid"	"Butyric.acid"	"Valeric.acid"	"Isovaleric.acid"
"Acetatifactor"	"-0.374141751034412"	"0.379396269286139"	"-0.0271747829464016"	"-0.183927245979717"	"0.12999573683551"	"0.056080218080345"	"0.0958921617208647"	"0.19001616053214"
"Adlercreutzia"	"0.35446628971778"	"-0.147174385442166"	"0.0236932157694215"	"0.133406005522124"	"0.258220075087379"	"0.0906708182064111"	"0.173998865695806"	"0.0278373832644949"
"Alistipes"	"-0.271978197121356"	"0.128974501838641"	"-0.109640811239591"	"-0.201300616432312"	"-0.0764990653199899"	"-0.0246751757482051"	"0.00573138807247602"	"0.202645432322103"
"Alkaliphilus"	"0.13819697159687"	"0.230617945563504"	"0.31301252835877"	"-0.0986476963634693"	"0.20907441986253"	"-0.203361776978812"	"0.0387179053905285"	"-0.164208794273462"
"Bacteroides"	"0.191607518904246"	"-0.227915724530059"	"-0.0900960452754808"	"-0.0537615729480416"	"-0.0411624638003824"	"0.146068246666513"	"-0.1289153510127"	"0.171027484139806"
"Bifidobacterium"	"0.0343826188126827"	"-0.19644837119239"	"-0.125913531769259"	"-0.0410085886505798"	"-0.198702501419329"	"0.429075510698149"	"-0.212705963140286"	"0.172203243486288"
"Blautia"	"-0.266335885145921"	"0.217173705045775"	"-0.108878753739564"	"0.146419229573339"	"0.0720275681510076"	"0.0984623940074002"	"-0.0294433626139939"	"0.111700058999683"
"Christensenella"	"-0.248156262174423"	"-0.0673388483398271"	"-0.151427200605007"	"0.236014119631624"	"0.183464988286663"	"0.165537322464802"	"0.442113837822012"	"0.331797523611354"
"Clostridium_IV"	"-0.142319808025421"	"0.184074826604243"	"0.123034982444265"	"-0.212187830767721"	"0.0629493042447669"	"-0.0640362652458902"	"0.0675584279781095"	"-0.074628148126132"
"Clostridium_XlVa"	"-0.0478424971675418"	"0.199982119201136"	"0.322445020351928"	"-0.15495164219976"	"0.15153874743139"	"-0.0761021293156605"	"0.0834278875337451"	"-0.0448613946421649"
"Duncaniella"	"0.274584232448823"	"-0.141426037540544"	"0.0285972827230092"	"0.105116021165778"	"-0.00570479272871577"	"0.0214532160047527"	"-0.116479071232253"	"0.0497751200491238"
"Eisenbergiella"	"-0.245621952718806"	"0.233481132914429"	"0.00691667506209603"	"0.0157066747659921"	"0.221548970538524"	"0.0736603058694707"	"0.178938898284484"	"0.203383790978466"
"Enterocloster"	"-0.269247226838981"	"0.159040526248666"	"-0.339165016141179"	"-0.0109389726300719"	"0.0701975444023386"	"0.140614952424677"	"-0.135762568549774"	"0.204920157752294"
"Eubacterium"	"0.0610090318687705"	"0.0618189211564103"	"0.098490223919956"	"0.242573938316479"	"0.197346802565115"	"0.216943446951949"	"0.376850414993363"	"0.157746792767862"
"Flintibacter"	"-0.314064935744352"	"0.328073532988745"	"-0.0449659866864272"	"-0.259483490636196"	"-0.0301909648861573"	"0.121894652720056"	"-0.184136634664075"	"0.166692015914214"
"Harryflintia"	"-0.146989725506628"	"-0.0562532292782811"	"-0.22050790223168"	"-0.157106172002"	"-0.333296032935731"	"0.144861481832559"	"-0.345067028712788"	"0.132635896971593"
"Kineothrix"	"-0.223159025378172"	"0.231986251473348"	"-0.0643973277853384"	"0.0194999376191229"	"0.154349510981058"	"0.0252640239564151"	"0.0071100457125861"	"-0.00822063848352198"
"Lachnospiracea_incertae_sedis"	"0.370529742140804"	"-0.206281983003133"	"0.0366762831426188"	"0.171216772412004"	"0.190502934242706"	"0.107112989092941"	"0.00213753744611371"	"0.0574626071306073"
