""	"FBG"	"Weight"	"OGTT"	"Acetic.acid"	"Propionic.acid"	"Butyric.acid"	"Valeric.acid"	"Isovaleric.acid"
"Acetatifactor"	"-0.241148083166845"	"0.270044597961508"	"0.179514103439046"	"-0.0945156092865279"	"0.16357597249779"	"0.103217254152072"	"0.0722689075630252"	"0.156302521008403"
"Adlercreutzia"	"0.273617950502308"	"-0.158263806127226"	"0.04460759466627"	"0.168933276203218"	"0.138585715189481"	"0.115880913778492"	"0.0708303052795392"	"0.102703942655332"
"Alistipes"	"-0.0745131511825913"	"0.0440677966101695"	"-0.0561227736298299"	"-0.0796610169491526"	"-0.125317572443449"	"-0.0560749485051407"	"-0.0472578046432639"	"0.0135022298980754"
"Alkaliphilus"	"0.0580596854175329"	"0.261489904693366"	"0.276957557468521"	"-0.0036318042318523"	"0.22498128099294"	"-0.0782830693803188"	"0.0144660494265655"	"-0.0650972224195448"
"Bacteroides"	"0.104995803939106"	"0.0593220338983051"	"-0.0697282945097887"	"-0.0898305084745763"	"-0.045723979134772"	"0.0339848172758429"	"-0.111393396659122"	"0.0607600345413393"
"Bifidobacterium"	"0.0784336812516072"	"-0.2713373793647"	"-0.00856169404273284"	"-0.104097988309728"	"-0.150047042394379"	"0.130026852327183"	"-0.0203920680086119"	"0.0815682720344474"
"Blautia"	"-0.172443003282996"	"0.153976531756153"	"-0.140918636052516"	"0.0947547887730174"	"0.0202874121509407"	"0.115353030536053"	"-0.0606573125159902"	"0.131424177117979"
"Christensenella"	"-0.142347260731258"	"-0.138564614357104"	"-0.150786309397562"	"0.148322685790703"	"0.11894771102201"	"0.187833121953536"	"0.351754843770681"	"0.312886905232484"
"Clostridium_IV"	"-0.151104436484802"	"0.183518013289552"	"0.100596796999269"	"-0.132540787375787"	"0.0526318823711109"	"-0.00170357751277683"	"0.0592230146774184"	"-0.0253812920046079"
"Clostridium_XlVa"	"-0.0861487715554708"	"0.152156026023226"	"0.291777831459554"	"-0.0338124502273835"	"0.167229968313561"	"0.061017737953449"	"0.109427764496596"	"0.0454546098678169"
