Genus	H79	H94	H60	H61	H62	H63	H64	H66	H67	H68	H95	H96	L36	L37	L38	L39	L70	L91	L93	L73	L92	L76	L77	M54	M55	M56	M57	M58	M59	M30	M31	M32	M33	M34	M35
Kineothrix	10.9	11.6	8.45	8.56	6.79	3.98	13.9	3.35	12.1	8	8.38	7.09	11.2	14.3	7.12	5.85	7.4	11.6	8.01	5.72	6.12	5.14	3.76	13.6	11.6	16.8	14.5	11.2	13	7.3	13.8	8.4	4.42	3.43	6.01
Lacrimispora	11.8	17.3	7.4	12	13.9	5.05	19.3	6.48	10.9	8.33	8.3	11.4	14.1	14.3	16.5	8.17	16.5	20.3	7.61	5.61	12.8	13.2	5.18	12.9	9.48	9.66	22.9	13.9	25.5	15	21.1	14.1	12.7	6.13	6.49
Roseburia	0.16	0.15	0.27	0.19	0.25	0.77	0.24	0.45	0.52	0.77	0.29	0.17	0.27	0.2	0.62	0.12	0.63	0.28	0.47	0.79	0.29	0.67	0.91	0.78	0.84	0.26	0.17	0.55	0.24	0.15	0.15	0.28	0.2	0.18	1.35
Flintibacter	2.26	1.72	2.44	1.17	1.47	3.7	4.86	3.68	4.81	5.4	4.45	2.47	2.52	2.98	2.01	0.96	2.89	2.97	1.33	0.99	2.08	1.83	2.58	2.52	3.87	4.6	3.56	3.76	2.03	2.89	1.91	1.88	1.45	1.16	1.73
Blautia	0.56	1.62	1.5	1.03	0.79	2.38	1.58	0.93	2.43	2.02	1.57	1.1	1.43	0.96	0.64	0.32	1.22	1.02	1.76	1.46	2.25	0.61	1.98	3.04	1.21	0.79	1.08	1.69	0.56	1	0.95	2.2	1.53	1	0.84
Enterocloster	3.01	4.12	8.42	3.37	0.82	5.27	3.07	2.69	4.53	2.17	3.78	3.3	1.37	1.05	1.67	2.83	1.66	1.08	2.88	3.82	2.2	1.98	3.22	3.14	3.99	6.54	5.91	4.18	2.7	4.19	6.27	5.47	2.23	1.51	3.08
Acetatifactor	2.09	2.38	4.67	1.16	0.71	3.43	1.37	1.75	5.59	5.92	1.52	1.49	1.3	3.32	2.97	2.84	2.53	1.77	3.57	2.83	2.6	3.94	2.39	3.17	4.2	6.07	2.22	4.65	0.66	1.85	1.45	1.01	1.47	1.15	3.7
Duncaniella	1.08	2.11	1.47	3.38	2.88	1.94	1.98	3.58	3.62	1.81	3.69	1.72	3.93	2.02	2.39	1.18	1.89	2.19	5.62	4.94	4.34	2.62	5.53	1.53	1.86	0.94	1.23	2.96	2.36	3.04	1.63	4.86	2.73	2.44	4.83
Clostridium_XlVa	0.63	0.25	1.58	0.68	0.26	1.23	0.79	0.93	0.62	1.77	0.68	0.4	0.5	0.8	0.43	1.12	1.31	0.32	0.57	1.31	1.6	3.46	1.7	1.22	1.02	3.89	1.08	0.71	0.76	0.55	0.33	0.67	0.77	1.73	2.42
Oscillibacter	0.53	0.73	1.52	0.35	0.64	1.52	1.24	1.36	1.39	1.64	1.2	0.62	0.7	1.27	0.73	0.38	0.89	1.01	0.59	0.55	0.5	1.17	0.65	1.45	1.73	1.63	1.33	2.15	0.65	1.15	0.28	0.58	1.05	0.82	1.07
