Genus	Acetatifactor	Adlercreutzia	Alistipes	Alkaliphilus	Bacteroides	Bifidobacterium	Blautia	Christensenella	Clostridium_IV	Clostridium_XlVa	Duncaniella	Eisenbergiella	Enterocloster	Eubacterium	Flintibacter	Harryflintia	Kineothrix	Lachnospiracea_incertae_sedis	Lacrimispora	Lawsonibacter	Mediterraneibacter	Muribaculum	Neglecta	Oscillibacter	Paramuribaculum	Roseburia	Saccharibacteria_genera_incertae_sedis	Streptococcus	Vallitalea	Veillonella
H60	4.67	0.04	0.43	0	0.76	0.3	1.5	0.01	0.75	1.58	1.47	5.59	8.42	0.45	2.44	0.24	8.45	1.26	7.4	0.46	0.44	0.44	0.25	1.52	0.37	0.27	0.01	0.27	0	0
H61	1.16	0.1	0.41	0	2.55	0.56	1.03	0.01	0.65	0.68	3.38	2.23	3.37	0.13	1.17	0.18	8.56	4.11	12	0.1	0.96	0.81	0.17	0.35	1.11	0.19	0.04	0.5	0.01	0.01
H62	0.71	0.02	0.43	0.02	3.11	0.22	0.79	0.01	0.96	0.26	2.88	0.94	0.82	1.26	1.47	0.15	6.79	0.84	13.9	0.28	0.3	0.81	0.22	0.64	1.45	0.25	0.01	0.53	0	0.02
H63	3.43	0.04	0.7	0.03	3.21	0.21	2.38	0.03	1.49	1.23	1.94	8.56	5.27	0.99	3.7	0.2	3.98	2.23	5.05	2.16	0.27	0.5	0.06	1.52	0.91	0.77	0.02	0.27	0.01	0.06
H64	1.37	0.02	0.19	0.06	1.34	0.55	1.58	0	1.44	0.79	1.98	2.96	3.07	0.73	4.86	0.48	13.9	1.4	19.3	0.44	0.98	0.55	0.08	1.24	1.22	0.24	0.03	0.49	0.04	0
H66	1.75	0.02	0.72	0.04	2.01	0.47	0.93	0.02	1.18	0.93	3.58	2.57	2.69	3.3	3.68	0.28	3.35	1.89	6.48	0.53	0.67	1.09	0.06	1.36	1.65	0.45	0.05	0.69	0.1	0.13
H67	5.59	0.09	1.15	0.01	0.77	0.14	2.43	0.03	1.16	0.62	3.62	2.94	4.53	2.09	4.81	0.26	12.1	1.5	10.9	0.83	0.45	0.66	0.15	1.39	1.88	0.52	0.06	0.24	0.05	0
H68	5.92	0.06	0.2	0.01	0.96	0.46	2.02	0.01	0.88	1.77	1.81	5	2.17	2.18	5.4	0.38	8	1.22	8.33	0.42	0.37	0.6	0.17	1.64	0.94	0.77	0.07	0.13	0.02	0.02
H79	2.09	0.02	0.84	0	0.84	0.27	0.56	0.01	0.75	0.63	1.08	1.17	3.01	0.24	2.26	0.29	10.9	1.37	11.8	0.39	0.71	0.55	0.16	0.53	0.66	0.16	0	0.22	0	0.03
H94	2.38	0.03	0.36	0	1.36	0.22	1.62	0.01	1.18	0.25	2.11	4.17	4.12	0.42	1.72	0.26	11.6	1.14	17.3	0.14	0.68	0.66	0.14	0.73	0.89	0.15	0.02	0.15	0	0.01
H95	1.52	0.06	0.49	0.01	2.86	1.68	1.57	0	0.74	0.68	3.69	1.13	3.78	4.64	4.45	0.28	8.38	2.01	8.3	0.52	0.33	1.33	0.11	1.2	1.89	0.29	0	0.18	0.03	0.03
H96	1.49	0.05	0.35	0.08	0.94	0.56	1.1	0.03	0.85	0.4	1.72	3.54	3.3	1.56	2.47	0.1	7.09	0.99	11.4	0.78	0.5	0.63	0.17	0.62	1.68	0.17	0.01	0.21	0	0.08
L36	1.3	0.04	1.32	0.02	2.67	0.14	1.43	0.03	0.74	0.5	3.93	1.6	1.37	2.85	2.52	0.23	11.2	1.02	14.1	0.25	0.85	0.85	0.04	0.7	1.05	0.27	0.01	0.37	0.06	0.01
L37	3.32	0.14	0.15	0	0.71	0.17	0.96	0.02	1.36	0.8	2.02	1.14	1.05	9.52	2.98	0.18	14.3	1.76	14.3	0.33	0.7	0.93	0.31	1.27	1.17	0.2	0.02	0.21	0.01	0.1
L38	2.97	0.1	0.16	0.04	0.43	0.09	0.64	0.01	0.97	0.43	2.39	2.4	1.67	6.61	2.01	0.09	7.12	6.99	16.5	0.15	0.59	0.51	0.09	0.73	1.14	0.62	0.09	0.23	0.01	0.28
L39	2.84	0.17	0.38	0.01	0.28	0.24	0.32	0.04	1.28	1.12	1.18	6.57	2.83	11.3	0.96	0.11	5.85	0.62	8.17	0.73	0.36	0.61	0.37	0.38	1.31	0.12	0	0.19	0.01	0.41
L70	2.53	0.01	0.38	0	0.71	0.15	1.22	0.02	0.94	1.31	1.89	1.83	1.66	12.1	2.89	0.22	7.4	0.85	16.5	0.38	0.34	0.59	0.06	0.89	0.62	0.63	0.05	0.16	0	0.41
L73	2.83	0.03	1.87	0	2.76	0.43	1.46	0	0.6	1.31	4.94	2.3	3.82	1.36	0.99	0.09	5.72	0.91	5.61	0.21	0.2	1.1	0.16	0.55	2.14	0.79	0.01	0.29	0	0.48
L76	3.94	0.09	0.62	0	0.92	0.23	0.61	0	1.22	3.46	2.62	2.14	1.98	1.75	1.83	0.07	5.14	0.8	13.2	0.2	0.5	0.64	0.13	1.17	1.57	0.67	0	0.26	0	0.39
L77	2.39	0.05	0.8	0.11	2.7	0.47	1.98	0	0.6	1.7	5.53	2.2	3.22	7.42	2.58	0.16	3.76	1.19	5.18	0.18	0.28	1.52	0.06	0.65	3.05	0.91	0.05	0.29	0.02	0.68
L91	1.77	0.04	0.45	0.08	1.13	0.06	1.02	0	1.68	0.32	2.19	2.21	1.08	1.12	2.97	0.11	11.6	3.07	20.3	0.61	0.54	0.92	0.07	1.01	1.04	0.28	0	0.22	0.05	0.29
L92	2.6	0.03	0.92	0	0.65	0.29	2.25	0	0.66	1.6	4.34	3.4	2.2	1.34	2.08	0.08	6.12	1.23	12.8	0.12	0.3	1.12	0.11	0.5	2.83	0.29	0	0.26	0	0.4
L93	3.57	0.06	0.58	0.02	0.68	0.58	1.76	0.04	0.66	0.57	5.62	2.54	2.88	9.32	1.33	0.16	8.01	1.63	7.61	0.22	0.56	1.22	0.11	0.59	2.87	0.47	0	0.75	0	0.1
