	FBG	Weight	OGTT	Acetic.acid	Propionic.acid	Butyric.acid	Valeric.acid	Isovaleric.acid
Acetatifactor	0.108988514798238	0.126616231902432	0.545435904128616	0.591138541612545	0.844948585601782	0.888253828149522	0.871001423467938	0.652586164318422
Adlercreutzia	0.199669300270048	0.575879123756996	0.793212087328544	0.439613060116552	0.130272359818219	0.785296443645004	0.108287407361887	0.846593321023502
Alistipes	0.196993107655074	0.420463078763171	0.830262864648515	0.472254007234476	0.963530866443136	0.499766550130316	0.925670751847903	0.629344741086339
Alkaliphilus	0.539395088095645	0.448565454596466	0.334078440526949	0.500292441828952	0.946484441577899	0.269449620550967	0.865025530877026	0.15204238685888
Bacteroides	0.388582285225832	0.221672029702705	0.526237461791208	0.720301954176833	0.528271231945631	0.386671069648495	0.352447410816201	0.312301646872726
Bifidobacterium	0.521030100410667	0.525367838329846	0.685081810401823	0.83072918971293	0.598100011422767	0.0378730725152278	0.127485568256849	0.54803143106573
Blautia	0.0878307907191643	0.202642826418384	0.469494172207627	0.773339608422108	0.670757304816388	0.54530476528422	0.208288037886079	0.15968612462362
Christensenella	0.488073538869293	0.946265907469661	0.771811261712042	0.0645864287566155	0.0624806240484427	0.760739530231974	0.0745490728619724	0.151744253581239
Clostridium_IV	0.708350904466531	0.360678431834643	0.183925430521403	0.189186768987116	0.813814433259875	0.359800746096963	0.182549358208343	0.355168429786381
Clostridium_XlVa	0.874385334219583	0.673354065182739	0.237419252567963	0.896296443047755	0.770005860739643	0.738327178310953	0.535885214855375	0.624044097378359
Duncaniella	0.27983511078804	0.626158046915057	0.829695728914969	0.360869149766245	0.875979420672994	0.75533323927018	0.697595521458974	0.765704924008256
Eisenbergiella	0.178098532631991	0.386227088562269	0.909766748146531	0.680725360162864	0.612645410811658	0.746399198965979	0.895164276374677	0.231993623403661
Enterocloster	0.0163903322374646	0.706512078883598	0.00945881344259669	0.618489051793096	0.575608050721854	0.0911415876884893	0.560712119828865	0.0452167942152369
Eubacterium	0.183695329215115	0.451216856369058	0.234363202216049	0.017431520684957	0.00406888342925339	0.534429500966112	0.0525545385001995	0.759097852801911
Flintibacter	0.261028348680643	0.173653971004969	0.789826605410684	0.213764923762268	0.342949238572832	0.526882915179508	0.035850102660691	0.440905894252637
Harryflintia	0.269136717382251	0.711688559689277	0.313485868023531	0.328475297914645	0.131164869267721	0.261246547024792	0.05640655461428	0.204556530484655
Kineothrix	0.244743700868187	0.398993031582078	0.203857508613012	0.631395265445945	0.763270845821256	0.499273746347007	0.669323012684559	0.591314883372968
Lachnospiracea_incertae_sedis	0.143644744566724	0.267992939737516	0.729783950394641	0.19510664908247	0.402257103977082	0.390872577273404	0.793087066731782	0.842681009568363
Lacrimispora	0.938683356397321	0.760728221872484	0.593283835746873	0.99626850693323	0.868403224145199	0.616040105227769	0.967204895416133	0.514964787159017
Lawsonibacter	0.37381134095279	0.392580231783758	0.790271304325635	0.720616671236011	0.31888240982154	0.379244561756103	0.780228069315231	0.190452992135615
Mediterraneibacter	0.649117782648853	0.119232473194424	0.401962362958899	0.376702057971426	0.598980703694233	0.635322696548389	0.817184195568257	0.735348512542202
Muribaculum	0.0672144182010243	0.765831216659609	0.509283353846951	0.783671994240585	0.839440301282969	0.654856797994323	0.349883505158182	0.196471647009602
Neglecta	0.673099201943203	0.562626978382563	0.29606928172106	0.523099877825111	0.602334354538417	0.996655422735863	0.331109838921573	0.74645639785785
Oscillibacter	0.298584676943047	0.213137086797619	0.652542788717146	0.248528174074405	0.430025523627076	0.544474492490751	0.0553880134566674	0.384014994175765
Paramuribaculum	0.176557634863919	0.979883783302189	0.140474010742582	0.872368929888719	0.607313864778784	0.209428549969155	0.712534620157252	0.0824117199487566
Roseburia	0.757505818042662	0.298154145163466	0.287415341809412	0.991149955809418	0.676080019554526	0.833375355071233	0.848157497064356	0.828187790067629
Saccharibacteria_genera_incertae_sedis	0.755509227202917	0.704038064879515	0.435581779957446	0.804404417473092	0.864066974222605	0.925365254158139	0.741423285247007	0.52202355896347
Streptococcus	0.0221825135152392	0.00977197987232915	0.858202042475875	0.125190376033827	0.916102826189993	0.983999867212531	0.734845737114452	0.825072555113119
Vallitalea	0.97868899511992	0.986856705315573	0.769614311140955	0.457965874282532	0.276259468717499	0.414056164746581	0.0671027921018346	0.892499507830955
Veillonella	0.242934612985696	0.290948629111493	0.0393136823511926	0.879646536124118	0.230671413913353	0.207510827866252	0.280857229106504	0.130769079405059
