OTUID	ANC	BMD	CLMAT	DHMAT
ASV_1	6.370452	9.507558	4.337458	3.661769
ASV_2	0.2690313	6.4669114	6.8657460	5.2740609
ASV_3	0.4017057	3.3111265	5.5805830	4.9940016
ASV_11	0.2845440	4.1905349	0.2147481	2.4277352
ASV_8	4.6474154	0.1735969	1.5016841	0.4692518
ASV_10	0.1016547	3.8604574	1.0920323	1.5847921
ASV_1385	0.02715015	0.03657034	2.07446662	4.59356895
ASV_6	5.68170589	0.03993462	0.02913229	0.01427000
ASV_4	0.02762443	0.48407065	5.13215635	0.50462669
ASV_7	0.3569209	1.5267731	1.2529646	2.0550394
ASV_9	0.4749309	1.7143658	1.3355941	1.4372442
ASV_14	3.1115682	0.5794154	0.6340923	0.2875774
ASV_15	0.3880197	1.7074425	1.2003342	0.9108726
ASV_13	0.1877201	0.1196646	2.8647811	1.2198029
ASV_21	0.7011947	0.7972691	1.6105884	0.9665076
ASV_19	1.4426744	0.5288839	0.6749232	1.3827697
ASV_12	0.0506736	1.7402395	0.6561843	1.3533122
ASV_17	0.2337207	2.0437221	0.1252697	1.1836725
ASV_20	0.07266099	1.69782077	0.64289542	0.89202922
ASV_29	0.1155602	1.5185294	0.5890314	0.9500618
ASV_22	0.03478155	1.77093055	0.52329948	0.65821975
ASV_23	0.4401363	0.8357813	0.9545267	0.7730252
ASV_16	1.207180737	0.008634119	0.939807499	1.053617471
ASV_28	0.08476987	1.44543248	0.51993357	0.75669405
ASV_25	0.1280692	0.2869448	1.3984581	1.0279897
ASV_30	2.45030429	0.03467215	0.12056056	0.02950612
ASV_26	0.1486128	0.3910373	1.0521534	1.0800545
ASV_24	0.2909573	0.6293263	1.0017348	0.7242575
ASV_27	0.93931450	0.07713216	0.47684466	1.03165995
ASV_119	0.07752388	0.97245548	0.73382993	0.69052889
ASV_157	0.3065332	0.7222260	0.6609232	0.8277162
ASV_34	2.41705842	0.02329895	0.02092195	0.01393154
ASV_32	0.0549233	0.6621211	0.5587748	0.8801016
ASV_31	0.2700819	1.0594359	0.2187845	0.5845812
ASV_37	2.35818011	0.02711252	0.03068810	0.03436271
ASV_38	0.0297912	0.6333813	0.6006896	0.7792780
ASV_39	1.82534840	0.03504842	0.12270552	0.14230578
ASV_40	0.0108079	0.7885442	0.8621272	0.1766021
ASV_1214	0.1279278	0.5711939	0.4919725	0.6599312
ASV_57	1.56276441	0.03205927	0.04735145	0.06636504
ASV_48	0.8087424	0.4237823	0.4764234	0.1379199
ASV_46	0.3141704	0.7656322	0.3876450	0.2619278
ASV_42	0.06346292	0.51124326	0.46920994	0.69848924
ASV_35	0.3718814	0.4603852	0.5678111	0.3877202
ASV_45	1.55300035	0.01470486	0.01775776	0.01397311
ASV_33	0.01356575	0.35556802	0.86677500	0.57210797
ASV_52	0.6739692	0.3006555	0.2194762	0.5422256
ASV_36	1.552854239	0.010477682	0.007832236	0.003505916
ASV_56	1.1091380	0.1587926	0.2830927	0.0689266
ASV_47	0.03825128	0.71061991	0.28953163	0.50005438
ASV_120	0.05184245	0.43562569	0.38388049	0.66955933
ASV_60	0.02463969	0.82309070	0.18642185	0.41078977
ASV_54	0.01220836	0.38550765	1.02878051	0.14363083
ASV_50	0.007983929	0.007513028	0.966613751	0.520729226
ASV_68	0.75508117	0.16858003	0.08177408	0.38077470
ASV_44	0.1396559	0.4202840	0.3837547	0.5250785
ASV_218	0.1126220	0.7019189	0.2336771	0.3378573
ASV_41	0.01273867	0.10136737	1.11331475	0.28860604
ASV_43	0.1425037	0.3386839	0.6472022	0.3016242
ASV_1390	0.1039039	0.6017954	0.2547253	0.4004519
ASV_65	0.06409322	0.58936016	0.55279475	0.17466658
ASV_77	0.08858378	0.34813403	0.30999916	0.61049784
ASV_62	0.1152119	0.3633109	0.2244472	0.6418593
ASV_55	0.2481014	0.3320067	0.3098695	0.4528367
ASV_51	0.1442104	0.3681096	0.4980886	0.3413269
ASV_49	0.1684420	0.6477017	0.1560911	0.3277227
ASV_61	0.3453304	0.2691675	0.3613306	0.3076837
ASV_85	0.44824493	0.17620833	0.62502013	0.03237079
ASV_965	0.1010493	0.3126007	0.2006924	0.6193572
ASV_53	0.03692637	0.32046744	0.31964596	0.54732290
ASV_67	0.5679981	0.2739473	0.1551589	0.2433155
ASV_64	0.08845231	0.35871919	0.30242211	0.45172810
ASV_71	0.1685373	0.1199234	0.7034907	0.2323022
