Pathway	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
 aspartate and glutamate metabolism [PATH:ko00250]	919309.5200000005	685999.0900000002	622622.5300000001	811676.1599999999	790548.2400000007	677201.29	831676.9099999999	802107.6500000004	775622.3800000002	834623.5700000001	565317.9900000001	766144.5300000003	671547.8399999996	823217.3700000002	767476.2000000004	742826.9400000002	672991.2400000001	568510.4199999998	816052.7100000003	635212.94	779402.1800000002	718495.8700000001	690099.6900000002	730023.96	820354.7100000001	724867.28	625599.6800000002	564463.1800000003	712933.7600000001	878807.6000000002	872459.9900000003	900408.4300000003	877845.8800000002	794180.6900000001	686722.5100000002	737710.0399999999	705689.1100000002	728157.4600000002	658961.56	567315.2399999998	940239.6	674717.4299999999	412987.88	789938.5300000001	1010243.0100000001	907661.69	709617.8000000004
 diarylheptanoid and gingerol biosynthesis [PATH:ko00945]	2.0	0.0	15.0	14.0	0.0	0.0	0.0	3.0	2.0	0.0	15.0	17.0	0.0	0.0	0.0	0.0	1.0	1.0	8.0	14.0	0.0	0.0	0.0	3.0	5.0	1.0	11.0	13.0	0.0	0.0	0.0	0.0	3.0	0.0	13.0	15.0	0.0	0.0	0.0	1.0	2.0	0.0	7.0	10.0	0.0	0.0	0.0
 kanamycin and gentamicin biosynthesis [PATH:ko00524]	49418.63000000003	40925.68	50061.01	40945.67000000001	53110.26000000002	38012.41	51553.61	49910.43000000002	43608.08	45549.47	35562.33	50771.49000000003	46729.55999999998	55281.60000000002	52853.18000000001	45416.15000000001	47131.68000000002	34700.679999999986	50170.91000000001	34951.040000000015	61270.70000000001	48185.71000000002	43220.860000000015	49945.40999999999	51145.13000000001	50538.7	46473.22000000002	39190.900000000016	42550.210000000014	50862.85	48796.04000000001	48622.97000000002	55479.15	47270.24000000001	43220.23999999998	43258.790000000015	39311.73000000002	44371.56000000003	35682.23	36858.93999999999	58266.60999999999	41984.200000000004	26416.67000000001	43788.070000000014	57449.22000000003	51507.5	41240.540000000015
 leucine and isoleucine biosynthesis [PATH:ko00290]	487146.63000000024	352536.5000000001	324565.5000000001	426408.18000000005	412683.91000000027	339363.36999999994	435017.72	422110.34000000014	391351.8100000001	433847.83	284905.10000000003	409658.5900000002	317669.9599999999	429388.2800000001	401572.0000000002	385146.4600000001	356651.49000000005	277205.06999999995	423666.66000000003	311368.48000000004	418985.5600000002	359647.06	344431.27000000014	383440.43	432984.2900000001	364475.2400000001	321881.6900000002	305064.39000000013	359034.70999999996	469132.2600000001	465951.84000000014	483137.61000000016	472662.8100000002	420118.32	365234.91000000003	382181.43	360589.5000000001	383272.1500000001	338538.5800000001	296490.6199999999	506181.80999999994	363941.55999999994	215152.98000000004	422144.69999999995	542096.5000000002	475830.74	373810.15000000014
 leucine and isoleucine degradation [PATH:ko00280]	162795.15000000005	129231.24999999996	140068.79000000004	152161.22000000006	148979.25000000003	136027.25000000003	162350.32000000004	153263.63999999998	141429.44000000003	141632.18999999997	125267.32000000002	151074.58000000002	133352.45999999996	155839.67	150408.38	142837.10000000003	136536.80000000005	110317.21999999999	151140.25999999995	119253.54000000002	159843.43000000005	138576.42	129968.66000000002	147350.46000000002	147310.62999999995	146674.47000000003	134876.66000000006	131481.52	129387.22000000002	148728.56	151821.31000000003	164342.83000000005	163804.13000000003	144746.72999999998	131184.42	147995.28999999995	140168.79	134044.61000000004	119928.60000000003	109708.31	158538.60000000003	118455.68000000001	80503.44999999998	129795.00000000003	164635.86	147137.17999999996	132609.25
 piperidine and pyridine alkaloid biosynthesis [PATH:ko00960]	80524.01000000007	62460.9	58799.69000000002	73740.45000000003	71535.94000000003	62189.29000000001	73915.26	74050.28000000003	71063.55	72179.05	52399.56	69508.82000000004	62452.089999999975	71637.84000000003	67998.24000000002	64961.23000000001	60548.64000000001	54637.289999999986	72846.46	58923.18000000001	70025.27000000002	64800.25000000002	61578.44000000001	66777.54999999997	74514.41	69363.43000000001	60474.43000000002	55079.03000000001	64157.920000000006	77083.08000000005	77436.48000000003	79290.65000000004	77311.33	71485.81000000001	62052.860000000015	69004.99999999999	67065.81000000001	67190.10999999999	62186.53	51910.53999999999	83570.06	63716.48	38938.84000000001	70401.04	87256.91000000003	79787.46999999999	65129.53000000001
 secretion and action [PATH:ko04928]	0.0	0.0	1.0	18.0	8.0	0.0	0.0	1.0	0.0	0.0	0.0	18.0	11.0	0.0	1.0	2.0	1.0	0.0	0.0	17.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	25.0	8.0	0.0	0.0	1.0	2.0	0.0	2.0	11.0	10.0	0.0	0.0	2.0	2.0	1.0	0.0	4.0	5.0	0.0	0.0
 serine and threonine metabolism [PATH:ko00260]	806782.6500000006	632339.2899999997	669633.8300000007	720008.2000000001	780471.34	625606.0900000001	792295.6700000004	765612.0100000004	682598.6900000004	736636.6500000004	553845.9000000003	767168.2400000002	659487.7799999999	816791.3300000001	771190.6799999997	715763.36	682001.59	513415.6099999999	767483.4100000003	576778.6399999999	825205.5700000001	693753.4100000006	649131.2500000003	731097.9299999999	769606.0100000001	693945.6599999999	651148.2600000001	559942.1000000002	666370.5700000001	802991.4199999999	785121.9000000006	798794.0000000006	833761.7600000001	737851.9100000004	650934.6700000002	665863.3500000001	618464.0300000004	690140.1000000002	608120.6600000003	552244.0799999998	893827.5599999997	659452.52	409197.3399999999	710278.5300000004	909737.9200000002	804725.1299999995	646931.79
 tyrosine and tryptophan biosynthesis [PATH:ko00400]	811139.3500000003	589622.0899999999	559115.9200000002	713571.4500000003	683916.6900000002	586470.8200000003	724075.6600000001	701870.4700000003	663428.5000000002	731268.1800000002	480328.3100000001	694696.8400000003	571210.2999999998	721774.2900000005	691058.8300000001	665404.1400000001	605594.8900000004	471680.3999999999	719233.0399999999	540919.2400000001	699993.3900000001	621309.4600000002	592978.7700000001	641055.6400000001	739030.6400000001	627063.5299999998	565698.7600000004	523682.8800000001	605075.0600000002	778903.18	776798.0000000002	793192.7600000005	782758.5100000004	696338.0900000003	608471.4400000001	689249.4600000001	668140.04	666920.7000000001	590202.3099999999	499166.0399999999	849233.9999999999	614550.2599999995	373978.83	726505.4999999998	910736.5200000001	819340.0899999996	655738.1900000002
ABC transporters [PATH:ko02010]	3466309.9499999993	2506622.359999998	2622704.02	2782210.0700000008	3471137.9600000023	2158759.630000001	3135734.690000003	3123663.029999998	2764819.4400000013	3237152.659999995	1921183.2800000017	2842397.649999999	2594790.689999998	3435156.810000004	3222627.620000004	2759006.8499999978	2687978.210000002	1891734.31	3450989.310000005	2003680.6800000023	3795700.800000006	2961790.829999996	2461550.4700000007	2979866.21	3280989.829999999	2557360.6799999992	2419440.860000001	1856569.8599999978	2494725.7400000026	3463612.150000004	3326458.6700000013	3368475.4200000083	3582226.299999993	3133491.0800000043	2715535.5100000077	2290465.8599999985	1896562.6799999995	2418801.6500000013	1984670.1200000008	2162276.699999996	3571163.6800000016	2380829.72	1409483.869999999	2806386.0100000007	4022663.439999999	3409711.819999999	2269268.469999998
