pathway	description	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis	39681.098	29647.8722	27951.5661	34895.3011	34014.2495	28851.0798	36618.7267	35046.6435	32685.0328	36284.9265	24587.5219	34340.3044	29040.5578	36518.3288	34276.1336	32965.062999999995	30269.1381	23728.7445	35740.0284	27019.9586	34833.0083	31262.2803	30007.9765	32268.1016	36114.9225	31061.177000000003	28702.6318	26107.5869	30999.371	37872.6837	37687.5054	38851.8549	38292.4066	34628.6981	29898.3651	29648.4519	25968.7463	30713.9267	25942.1376	23810.2247	40377.7697	27961.144	17368.7776	33335.619	43760.1799	38629.8478	29369.3496
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	4-hydroxyphenylacetate degradation	45.5308	75.1761	131.4614	78.1237	68.1416	105.3082	55.0698	79.8036	57.558	57.2412	110.9526	112.2058	77.6092	73.555	132.7619	183.9593	139.2907	159.6224	213.1023	249.0515	144.5059	165.3093	97.6233	125.3338	75.2605	92.7461	141.5137	137.7151	114.5295	64.9594	63.1157	90.6337	77.8871	82.0182	122.1918	153.2493	127.3863	121.3525	45.1376	42.9969	50.9618	42.3433	70.2743	63.2939	34.8876	55.5025	76.1047
AEROBACTINSYN-PWY	aerobactin biosynthesis	1.943	2.1275	0.6262	4.1241	0.7407	2.06	8.3584	15.8053	11.8568	11.5556	9.4911	16.5472	8.6459	11.129000000000001	9.5135	15.3677	16.7494	12.5121	10.422	20.2301	9.0315	10.9431	38.0917	49.06100000000001	31.4437	36.8296	34.5605	41.3889	40.3775	16.7798	11.1271	13.207	6.9536	10.5223	11.5857	22.8576	17.0951	18.468	8.1368	7.6636	12.3817	8.543	5.0666	9.3134	3.1677	6.4211	13.867
ALL-CHORISMATE-PWY	superpathway of chorismate metabolism	614.4678	1009.1196	1570.3704	854.1785	695.9682	902.5184	655.5501	817.7352	472.3785	527.8299	731.3369	919.2248	759.3498	633.6858	957.1544	1118.3922	1049.1557	963.5918	973.2877	1223.2824	948.5155	922.8634	687.615	1244.1248	732.4748	1180.187	1217.0852	1226.4813	709.5896	442.4194	434.1228	585.2165	567.3808	580.49	832.9815	1275.8461	1120.2502	1589.7313	1059.8477	1076.6637	549.9517	1050.6216	1067.8095	731.9916	391.3899	611.7652	875.5316
ANAEROFRUCAT-PWY	homolactic fermentation	13276.4104	20757.8944	21216.9208	11292.1738	26627.4641	13899.6767	17163.49	19478.8943	16917.0328	15338.8713	15423.9243	18530.5015	19643.3337	24136.9391	24249.985	18196.7988	19468.8584	16635.3064	22147.9352	16278.6732	29909.5323	20119.534	16040.1262	21659.1054	20271.5049	18878.9108	19671.7636	21023.8389	17712.7966	20301.18	18565.2914	16931.2579	22206.1527	19532.6188	17984.7896	19773.8173	18534.3742	20125.8785	22714.3803	22828.0065	21826.2292	28776.1032	15071.6428	11944.6562	13321.8162	13911.2885	16365.5609
ANAGLYCOLYSIS-PWY	glycolysis III (from glucose)	49180.5527	38047.6822	35829.4398	42924.9664	43813.6937	37420.6116	45875.8742	44399.7879	42670.3398	45082.3195	31748.7099	43003.4588	38271.911	46606.3314	44149.3236	42479.6387	38171.4006	31123.9944	45064.0698	34284.6909	44759.5004	40782.4422	38527.4247	40800.5545	45265.0121	40340.5015	36096.973	32587.009	38870.532	47262.0852	46686.7354	47684.2391	48196.6832	42939.5774	37903.4864	40350.4456	37941.3693	40262.4853	35105.3554	30986.9082	50999.1964	37377.2957	22995.3082	42093.8184	54812.8596	48949.7027	38427.2124
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	2121.3755	3110.5709	2482.3622	1714.4433	2676.7728	2395.4706	1922.8707	2816.4271	3033.3994	2520.0049	2226.88	2109.1533	3737.355	3165.5336	2348.7779	3313.8416	2507.2047	4621.0823	3657.6217	4584.7642	2628.4694	3741.4371	4250.5772	2424.4844	1611.3649	5341.3246	2434.9657	1766.2216	2549.8747	1720.7379999999998	2000.0414	2358.3416	1912.6187	2110.9765	2176.2701	3072.8198	2945.9233	4516.7269	4130.9208	3163.2234	1766.003	1854.5531	2873.8745	1757.1891	1378.9999	2693.0703	2406.3229
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	110.1107	167.5618	193.4293	162.7786	135.7077	224.7466	61.9602	173.2278	74.7759	87.4388	128.8383	154.1237	118.4105	102.3294	156.1654	307.7449	184.1028	223.9486	273.2155	363.4238	196.3813	221.8669	131.2619	225.6881	111.9457	138.8595	175.9356	189.28099999999998	169.8784	89.6708	79.1077	151.8242	104.9645	123.1115	132.8515	180.3892	170.1159	165.9993	51.3329	121.101	70.1256	80.1779	75.9316	91.9619	52.0999	86.6409	74.4324
ARGORNPROST-PWY	arginine, ornithine and proline interconversion	3346.5571	2566.7412	2031.0466	2014.729	2165.5775	2631.4004	3067.9363	3243.7114	3688.6325	2060.4466	3155.327	2612.8684	2135.5648	3836.3794	2343.3616	2936.0733	1749.5449	1688.9152	2216.4989	1997.4193	2201.9782	1824.2516	2652.2294	2596.2017	1886.5710000000001	2673.5427	2115.3998	1901.6528	3168.434	2500.4009	2411.8186	2371.6533	2526.5752	2528.2804	2222.0033	1397.2165	1178.3348	1922.599	1851.8638	1613.8753	2367.3112	2411.2808	1395.904	1553.9529	2586.8455	1672.4871	1919.896
ARGSYN-PWY	L-arginine biosynthesis I (via L-ornithine)	39907.7207	29074.813	28373.2417	35063.6128	35178.9	29645.0535	36377.4402	35859.1865	31889.1547	35631.0604	24135.4299	35131.154	27200.8255	37362.4789	35290.2828	33794.2201	31317.4601	23577.7781	35821.4988	26376.7103	36056.1117	30325.9394	29637.5578	32825.4336	35799.9556	30019.1824	27571.2691	26226.821	30582.8618	38605.4008	38584.0492	39174.7248	39164.1715	35061.418	30429.9686	33981.2539	33089.0319	32880.3043	32131.693	24966.3062	41508.882000000005	30346.242000000002	18755.9642	34836.905	44403.4731	39644.9474	32151.2122
