feature	method	group1	group2	p_values	adj_method	p_adjust	pathway_name	pathway_description	pathway_class	pathway_map
ko00740	DESeq2	HMAT	NC	7.32887933856853e-08	none	7.32887933856853e-08	Riboflavin metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	Riboflavin metabolism
ko00760	DESeq2	HMAT	NC	1.76084805457952e-05	none	1.76084805457952e-05	Nicotinate and nicotinamide metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism
ko00513	DESeq2	HMAT	NC	1.69173363125533e-05	none	1.69173363125533e-05	Various types of N-glycan biosynthesis	NA	Metabolism; Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis
ko00750	DESeq2	HMAT	NC	5.07904160296936e-06	none	5.07904160296936e-06	Vitamin B6 metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	Vitamin B6 metabolism
ko03060	DESeq2	HMAT	NC	4.92161337151392e-05	none	4.92161337151392e-05	Protein export	The protein export is the active transport of proteins from the cytoplasm to the exterior of the cell, or to the periplasmic compartment in Gram-negative bacteria. The sec dependent pathway is the general protein export system that transports newly synthesized proteins into or across the cell membrane. The translocation channel is formed from a conserved trimeric membrane protein complex, called the Sec61/SecY complex. The twin-arginine translocation (Tat) pathway is another protein transport system that transports folded proteins in bacteria, archaea, and chloroplasts. Many Tat systems comprise three functionally different membrane proteins, TatA, TatB, and TatC, but TatA and TatE seem to have overlapping functions, with TatA having by far the more important role.	Genetic Information Processing; Folding, sorting and degradation	Protein export
ko00627	DESeq2	HMAT	NC	3.77919462828435e-08	none	3.77919462828435e-08	Aminobenzoate degradation	NA	Metabolism; Xenobiotics biodegradation and metabolism	Aminobenzoate degradation
ko01055	DESeq2	HMAT	NC	8.2532806071645e-05	none	8.2532806071645e-05	Biosynthesis of vancomycin group antibiotics	NA	Metabolism; Metabolism of terpenoids and polyketides	Biosynthesis of vancomycin group antibiotics
ko00121	DESeq2	HMAT	NC	3.40644519080844e-05	none	3.40644519080844e-05	Secondary bile acid biosynthesis	The secondary bile acids are derived from the primary bile acids by the enzymatic action of intestinal bacteria through the process of deconjugation and dehydroxylation. The secondary bile acids in humans include deoxycholic acid and lithocholic acid, formed from the 7alpha-dehydroxylation of cholic acid and chenodeoxycholic acid, respectively.	Metabolism; Lipid metabolism	Secondary bile acid biosynthesis
ko00730	DESeq2	HMAT	NC	7.49906733323026e-06	none	7.49906733323026e-06	Thiamine metabolism	NA	Metabolism; Metabolism of cofactors and vitamins	Thiamine metabolism
ko05146	DESeq2	HMAT	NC	5.37830642390601e-06	none	5.37830642390601e-06	Amoebiasis	Entamoeba histolytica, an extracellular protozoan parasite is a human pathogen that invades the intestinal epithelium. Infection occurs on ingestion of contaminated water and food. The pathogenesis of amoebiasis begins with parasite attachment and disruption of the intestinal mucus layer, followed by apoptosis of host epithelial cells. Intestinal tissue destruction causes severe dysentery and ulcerations in amoebic colitis. Several amoebic proteins such as lectins, cysteine proteineases, and amoebapores are associated with the invasion process. The parasite can cause extraintestinal infection like amoebic liver abscess by evading immune response.	Human Diseases; Infectious disease: parasitic	Amoebiasis
ko00480	DESeq2	HMAT	NC	1.72966482246481e-05	none	1.72966482246481e-05	Glutathione metabolism	NA	Metabolism; Metabolism of other amino acids	Glutathione metabolism
ko00120	DESeq2	HMAT	NC	3.2140546312923e-05	none	3.2140546312923e-05	Primary bile acid biosynthesis	Bile acids are steroid carboxylic acids derived from cholesterol in vertebrates. The primary bile acids, cholic acid and chenodeoxycholic acid, are synthesized in the liver and conjugated with taurine or glycine before secretion via bile into the intestine. The conversion from cholesterol to cholic and chenodeoxycholic acids involves four steps: 1) the initiation of synthesis by 7alpha-hydroxylation of sterol precursors, 2) further modifications to the ring structures, 3) side-chain oxidation and shortening (cleavage) by three carbons, and 4) conjugation of the bile acid with taurine or glycine.	Metabolism; Lipid metabolism	Primary bile acid biosynthesis
ko00410	DESeq2	HMAT	NC	1.48053549887274e-05	none	1.48053549887274e-05	beta-Alanine metabolism	NA	Metabolism; Metabolism of other amino acids	beta-Alanine metabolism
ko00983	DESeq2	HMAT	NC	9.62096710674752e-05	none	9.62096710674752e-05	Drug metabolism - other enzymes	NA	Metabolism; Xenobiotics biodegradation and metabolism	Drug metabolism - other enzymes
ko00780	DESeq2	HMAT	NC	9.44879525349368e-07	none	9.44879525349368e-07	Biotin metabolism	Biotin (vitamin H or vitamin B7) is the essential cofactor of biotin-dependent carboxylases, such as pyruvate carboxylase and acetyl-CoA carboxylase. Mammals cannot synthesize biotin, while in bacteria, fungi, and plants it is synthesized from pimelate thioester through different pathways. In E. coli and many organisms, pimelate thioester is derived from malonyl-ACP. The pathway starts with the methylation to malonyl-ACP methyl ester, followed by the fatty acid chain elongation cycle to form pimeloyl-ACP methyl ester, which is then demethylated to form pimeloyl-ACP [MD:M00572]. Pimeloyl-ACP is converted to biotin through the final four steps in the biotin bicyclic ring assembly, which are conserved among biotin-producing organisms [MD:M00123]. In B. subtilis, biotin is derived from pimeloyl-ACP formed by oxidative cleavage of long-chain acyl-ACPs [MD:M00573]. Some bacteria synthesize biotin from pimeloyl-CoA derived from pimelate [MD:M00577]. Biotin is covalently attached to biotin-dependent carboxylase by biotin protein ligase, also known as holocarboxylase synthase in mammals, to form an active holocarboxylase. After degradation of the biotinylated carboxylase into biocytin, it is further degraded by biotinidase to release free biotin, which is recycled in holocarboxylase synthesis. Biotin is catabolized by beta-oxidation of the valeric acid side chain or oxidation of sulfur in the heterocyclic ring.	Metabolism; Metabolism of cofactors and vitamins	Biotin metabolism
ko04122	DESeq2	HMAT	NC	1.06288239223996e-06	none	1.06288239223996e-06	Sulfur relay system	Ubiquitin and ubiquitin-like proteins (Ubls) are signalling messengers that control many cellular functions, such as cell proliferation, apoptosis, and DNA repair. It is suggested that Ub-protein modification evolved from prokaryotic sulfurtransfer systems. Molybdenum cofactor (Moco) and thiamin are sulfur-containing cofactors whose biosynthesis includes a key sulfur transfer step that uses unique sulfur carrier proteins, MoaD and ThiS. Ubiquitin, MoaD, and ThiS are all structurally related proteins whose C-termini are activated through adenylation by homologous E1-like enzymes. s2T biosynthesis may share similar chemistry with Moco and thiamin synthesis. In Saccharomyces cerevisiae, Urm1 and Uba4 function as part of a ubl protein conjugation system, though they have sequence homology to bacterial sulfur-transfer enzymes and the ability to function in sulfur transfer.	Genetic Information Processing; Folding, sorting and degradation	Sulfur relay system
