feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	HMAT	MD	0.93226623038094	none	0.93226623038094
ko00564	LinDA	HMAT	MD	0.97520955356403	none	0.97520955356403
ko00680	LinDA	HMAT	MD	0.736245494230015	none	0.736245494230015
ko00562	LinDA	HMAT	MD	0.507456374788079	none	0.507456374788079
ko03030	LinDA	HMAT	MD	0.823880191341189	none	0.823880191341189
ko00561	LinDA	HMAT	MD	0.806721070635392	none	0.806721070635392
ko00440	LinDA	HMAT	MD	0.501850411017288	none	0.501850411017288
ko00250	LinDA	HMAT	MD	0.94028992149423	none	0.94028992149423
ko00740	LinDA	HMAT	MD	0.202921718660257	none	0.202921718660257
ko04940	LinDA	HMAT	MD	0.9110397916864	none	0.9110397916864
ko00010	LinDA	HMAT	MD	0.760793764601932	none	0.760793764601932
ko05412	LinDA	HMAT	MD	0.115180759262221	none	0.115180759262221
ko00195	LinDA	HMAT	MD	0.822665021623199	none	0.822665021623199
ko03450	LinDA	HMAT	MD	0.103563920827514	none	0.103563920827514
ko00760	LinDA	HMAT	MD	0.659734904641328	none	0.659734904641328
ko00920	LinDA	HMAT	MD	0.678329718438287	none	0.678329718438287
ko00311	LinDA	HMAT	MD	0.493372168830256	none	0.493372168830256
ko00310	LinDA	HMAT	MD	0.833794853838896	none	0.833794853838896
ko04146	LinDA	HMAT	MD	0.388350879932922	none	0.388350879932922
ko00600	LinDA	HMAT	MD	0.0590976258505674	none	0.0590976258505674
ko04141	LinDA	HMAT	MD	0.535022707026604	none	0.535022707026604
ko04142	LinDA	HMAT	MD	0.0851692363472402	none	0.0851692363472402
ko00604	LinDA	HMAT	MD	0.496665124399911	none	0.496665124399911
ko04260	LinDA	HMAT	MD	0.0884344700903319	none	0.0884344700903319
ko05142	LinDA	HMAT	MD	0.0466043894932023	none	0.0466043894932023
ko04540	LinDA	HMAT	MD	0.0945198362774623	none	0.0945198362774623
ko00909	LinDA	HMAT	MD	0.665972289513653	none	0.665972289513653
ko00513	LinDA	HMAT	MD	0.580079130873131	none	0.580079130873131
ko04973	LinDA	HMAT	MD	0.409603874632771	none	0.409603874632771
ko00510	LinDA	HMAT	MD	0.667341084742565	none	0.667341084742565
ko05110	LinDA	HMAT	MD	0.40089839331056	none	0.40089839331056
ko04974	LinDA	HMAT	MD	0.637360930640713	none	0.637360930640713
ko04976	LinDA	HMAT	MD	0.796552701459803	none	0.796552701459803
ko00450	LinDA	HMAT	MD	0.80051882424	none	0.80051882424
ko01051	LinDA	HMAT	MD	0.986207579739273	none	0.986207579739273
ko00565	LinDA	HMAT	MD	0.00943981661947841	none	0.00943981661947841
ko00524	LinDA	HMAT	MD	0.389014404509242	none	0.389014404509242
ko00300	LinDA	HMAT	MD	0.920123622736003	none	0.920123622736003
ko05222	LinDA	HMAT	MD	0.489254648854042	none	0.489254648854042
ko05416	LinDA	HMAT	MD	0.50702006255652	none	0.50702006255652
ko00260	LinDA	HMAT	MD	0.999423705442917	none	0.999423705442917
ko00190	LinDA	HMAT	MD	0.925538013836151	none	0.925538013836151
ko03440	LinDA	HMAT	MD	0.865690897156613	none	0.865690897156613
ko00750	LinDA	HMAT	MD	0.894960788501573	none	0.894960788501573
ko00950	LinDA	HMAT	MD	0.999220374408329	none	0.999220374408329
ko00592	LinDA	HMAT	MD	0.499750388475523	none	0.499750388475523
ko00591	LinDA	HMAT	MD	0.958851565962075	none	0.958851565962075
ko00590	LinDA	HMAT	MD	0.0421762654174499	none	0.0421762654174499
ko00062	LinDA	HMAT	MD	0.760983438228102	none	0.760983438228102
ko00061	LinDA	HMAT	MD	0.608893896246301	none	0.608893896246301
ko03070	LinDA	HMAT	MD	0.944365959760636	none	0.944365959760636
ko00253	LinDA	HMAT	MD	0.161886358318443	none	0.161886358318443
ko03060	LinDA	HMAT	MD	0.992924150176406	none	0.992924150176406
ko00380	LinDA	HMAT	MD	0.809871289940432	none	0.809871289940432
ko00500	LinDA	HMAT	MD	0.665137366594432	none	0.665137366594432
ko05120	LinDA	HMAT	MD	0.968183926290203	none	0.968183926290203
ko04666	LinDA	HMAT	MD	0.919718719462017	none	0.919718719462017
ko05322	LinDA	HMAT	MD	0.0255064900293298	none	0.0255064900293298
ko04964	LinDA	HMAT	MD	0.906513672331789	none	0.906513672331789
ko00625	LinDA	HMAT	MD	0.893108765726475	none	0.893108765726475
ko00624	LinDA	HMAT	MD	0.157086749530941	none	0.157086749530941
ko00627	LinDA	HMAT	MD	0.431281916663223	none	0.431281916663223
ko00626	LinDA	HMAT	MD	0.842760962296662	none	0.842760962296662
ko00621	LinDA	HMAT	MD	0.887590395735293	none	0.887590395735293
ko00620	LinDA	HMAT	MD	0.975926442195731	none	0.975926442195731
ko00623	LinDA	HMAT	MD	0.262389762116891	none	0.262389762116891
ko00622	LinDA	HMAT	MD	0.919102008487366	none	0.919102008487366
ko00270	LinDA	HMAT	MD	0.866355454149172	none	0.866355454149172
ko00940	LinDA	HMAT	MD	0.420037281902398	none	0.420037281902398
ko00941	LinDA	HMAT	MD	0.110370226658433	none	0.110370226658433
ko01053	LinDA	HMAT	MD	0.770781189075243	none	0.770781189075243
ko00943	LinDA	HMAT	MD	0.0879191345121809	none	0.0879191345121809
ko00100	LinDA	HMAT	MD	0.139670148375816	none	0.139670148375816
ko00945	LinDA	HMAT	MD	0.135420538046499	none	0.135420538046499
ko01056	LinDA	HMAT	MD	0.0183175680465743	none	0.0183175680465743
ko05016	LinDA	HMAT	MD	0.550082808455399	none	0.550082808455399
ko04145	LinDA	HMAT	MD	0.0945198362774623	none	0.0945198362774623
ko00071	LinDA	HMAT	MD	0.917780060685048	none	0.917780060685048
ko00072	LinDA	HMAT	MD	0.529714540807877	none	0.529714540807877
ko05219	LinDA	HMAT	MD	0.328818113507277	none	0.328818113507277
ko05215	LinDA	HMAT	MD	0.907035016695173	none	0.907035016695173
ko05211	LinDA	HMAT	MD	0.0991034050624762	none	0.0991034050624762
ko05210	LinDA	HMAT	MD	0.489254648854042	none	0.489254648854042
ko01055	LinDA	HMAT	MD	0.274395072486073	none	0.274395072486073
ko00902	LinDA	HMAT	MD	0.444731125633477	none	0.444731125633477
ko04910	LinDA	HMAT	MD	0.834951576951279	none	0.834951576951279
