feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	LMAT	MD	0.801706216616585	none	0.801706216616585
ko00564	LinDA	LMAT	MD	0.853240304888008	none	0.853240304888008
ko00680	LinDA	LMAT	MD	0.704831381497305	none	0.704831381497305
ko00562	LinDA	LMAT	MD	0.80297670125227	none	0.80297670125227
ko03030	LinDA	LMAT	MD	0.646687507652541	none	0.646687507652541
ko00561	LinDA	LMAT	MD	0.677752043611323	none	0.677752043611323
ko00440	LinDA	LMAT	MD	0.345797534299553	none	0.345797534299553
ko00250	LinDA	LMAT	MD	0.753756224366148	none	0.753756224366148
ko00740	LinDA	LMAT	MD	0.69643652799521	none	0.69643652799521
ko04940	LinDA	LMAT	MD	0.849600828928928	none	0.849600828928928
ko00010	LinDA	LMAT	MD	0.751839508784047	none	0.751839508784047
ko05412	LinDA	LMAT	MD	0.264748598873982	none	0.264748598873982
ko00195	LinDA	LMAT	MD	0.4793779146184	none	0.4793779146184
ko03450	LinDA	LMAT	MD	0.233885297358338	none	0.233885297358338
ko00760	LinDA	LMAT	MD	0.291789608122855	none	0.291789608122855
ko00920	LinDA	LMAT	MD	0.479803272034505	none	0.479803272034505
ko00311	LinDA	LMAT	MD	0.845845896790617	none	0.845845896790617
ko00310	LinDA	LMAT	MD	0.400483600911939	none	0.400483600911939
ko04146	LinDA	LMAT	MD	0.0421322773628298	none	0.0421322773628298
ko00600	LinDA	LMAT	MD	0.0539339205693407	none	0.0539339205693407
ko04141	LinDA	LMAT	MD	0.0904252360955133	none	0.0904252360955133
ko04142	LinDA	LMAT	MD	0.682973185116188	none	0.682973185116188
ko00604	LinDA	LMAT	MD	0.894663383831144	none	0.894663383831144
ko04260	LinDA	LMAT	MD	0.324405770605866	none	0.324405770605866
ko05142	LinDA	LMAT	MD	0.127205145017853	none	0.127205145017853
ko04540	LinDA	LMAT	MD	0.178035062886177	none	0.178035062886177
ko00909	LinDA	LMAT	MD	0.778523635976941	none	0.778523635976941
ko00513	LinDA	LMAT	MD	0.0883193165727908	none	0.0883193165727908
ko04973	LinDA	LMAT	MD	0.11930686600219	none	0.11930686600219
ko00510	LinDA	LMAT	MD	0.0994016829861022	none	0.0994016829861022
ko05110	LinDA	LMAT	MD	0.159903049250706	none	0.159903049250706
ko04974	LinDA	LMAT	MD	0.984827423251909	none	0.984827423251909
ko04976	LinDA	LMAT	MD	0.503692201986175	none	0.503692201986175
ko00450	LinDA	LMAT	MD	0.677631043699872	none	0.677631043699872
ko01051	LinDA	LMAT	MD	0.581169816689204	none	0.581169816689204
ko00565	LinDA	LMAT	MD	0.000402453761573421	none	0.000402453761573421
ko00524	LinDA	LMAT	MD	0.581228155631473	none	0.581228155631473
ko00300	LinDA	LMAT	MD	0.90874606183122	none	0.90874606183122
ko05222	LinDA	LMAT	MD	0.136771374042263	none	0.136771374042263
ko05416	LinDA	LMAT	MD	0.13524342490288	none	0.13524342490288
ko00260	LinDA	LMAT	MD	0.778056452477542	none	0.778056452477542
ko00190	LinDA	LMAT	MD	0.128306953067492	none	0.128306953067492
ko03440	LinDA	LMAT	MD	0.947812810617334	none	0.947812810617334
ko00750	LinDA	LMAT	MD	0.640059392178493	none	0.640059392178493
ko00950	LinDA	LMAT	MD	0.543991229320526	none	0.543991229320526
ko00592	LinDA	LMAT	MD	0.996671970579289	none	0.996671970579289
ko00591	LinDA	LMAT	MD	0.0435703762783923	none	0.0435703762783923
ko00590	LinDA	LMAT	MD	0.000196820204081724	none	0.000196820204081724
ko00062	LinDA	LMAT	MD	0.657388204755022	none	0.657388204755022
ko00061	LinDA	LMAT	MD	0.613251506635517	none	0.613251506635517
ko03070	LinDA	LMAT	MD	0.277617325956918	none	0.277617325956918
ko00253	LinDA	LMAT	MD	0.026265463685098	none	0.026265463685098
ko03060	LinDA	LMAT	MD	0.850051185083948	none	0.850051185083948
ko00380	LinDA	LMAT	MD	0.55844435901063	none	0.55844435901063
ko00500	LinDA	LMAT	MD	0.957020567223217	none	0.957020567223217
ko05120	LinDA	LMAT	MD	0.621476211848732	none	0.621476211848732
ko04666	LinDA	LMAT	MD	0.913954384318396	none	0.913954384318396
ko05322	LinDA	LMAT	MD	0.574368598210474	none	0.574368598210474
ko04964	LinDA	LMAT	MD	0.729904358188071	none	0.729904358188071
ko00625	LinDA	LMAT	MD	0.0841426250881467	none	0.0841426250881467
ko00624	LinDA	LMAT	MD	0.00607993921496437	none	0.00607993921496437
ko00627	LinDA	LMAT	MD	0.558351357341522	none	0.558351357341522
ko00626	LinDA	LMAT	MD	0.00234955444002838	none	0.00234955444002838
ko00621	LinDA	LMAT	MD	0.0274165821511905	none	0.0274165821511905
ko00620	LinDA	LMAT	MD	0.990112454780466	none	0.990112454780466
ko00623	LinDA	LMAT	MD	0.650059129410815	none	0.650059129410815
ko00622	LinDA	LMAT	MD	0.00686111586439112	none	0.00686111586439112
ko00270	LinDA	LMAT	MD	0.889887791644226	none	0.889887791644226
ko00940	LinDA	LMAT	MD	0.52569190793222	none	0.52569190793222
ko00941	LinDA	LMAT	MD	0.871277144225926	none	0.871277144225926
ko01053	LinDA	LMAT	MD	0.651307000066743	none	0.651307000066743
ko00943	LinDA	LMAT	MD	0.208357070801045	none	0.208357070801045
ko00100	LinDA	LMAT	MD	0.40660665371503	none	0.40660665371503
ko00945	LinDA	LMAT	MD	0.109760332720928	none	0.109760332720928
ko01056	LinDA	LMAT	MD	0.851215061933191	none	0.851215061933191
ko05016	LinDA	LMAT	MD	0.222703632896468	none	0.222703632896468
ko04145	LinDA	LMAT	MD	0.178035062886177	none	0.178035062886177
ko00071	LinDA	LMAT	MD	0.512190769253218	none	0.512190769253218
ko00072	LinDA	LMAT	MD	0.397510020349156	none	0.397510020349156
ko05219	LinDA	LMAT	MD	0.0346796112380017	none	0.0346796112380017
ko05215	LinDA	LMAT	MD	0.956744496008363	none	0.956744496008363
ko05211	LinDA	LMAT	MD	0.135348266031571	none	0.135348266031571
ko05210	LinDA	LMAT	MD	0.136771374042263	none	0.136771374042263
ko01055	LinDA	LMAT	MD	0.691490980081754	none	0.691490980081754
ko00902	LinDA	LMAT	MD	0.723744198295196	none	0.723744198295196
ko04910	LinDA	LMAT	MD	0.416532205566132	none	0.416532205566132
ko00531	LinDA	LMAT	MD	0.92403507749865	none	0.92403507749865
ko04916	LinDA	LMAT	MD	0.723744198295196	none	0.723744198295196
ko00360	LinDA	LMAT	MD	0.773044508337824	none	0.773044508337824
ko00633	LinDA	LMAT	MD	0.598883005342178	none	0.598883005342178
ko00630	LinDA	LMAT	MD	0.313451485181	none	0.313451485181
ko00363	LinDA	LMAT	MD	0.0391542186332813	none	0.0391542186332813
ko00364	LinDA	LMAT	MD	0.00338987624581301	none	0.00338987624581301
ko05130	LinDA	LMAT	MD	0.422613255865714	none	0.422613255865714
ko04115	LinDA	LMAT	MD	0.136771374042263	none	0.136771374042263
ko00121	LinDA	LMAT	MD	0.87635558613721	none	0.87635558613721
ko04914	LinDA	LMAT	MD	0.956744496008363	none	0.956744496008363
ko00430	LinDA	LMAT	MD	0.454034176110659	none	0.454034176110659
ko02010	LinDA	LMAT	MD	0.991028194091012	none	0.991028194091012
ko00130	LinDA	LMAT	MD	0.625114283493234	none	0.625114283493234
ko04330	LinDA	LMAT	MD	0.67336531407052	none	0.67336531407052
ko03050	LinDA	LMAT	MD	0.26671437609757	none	0.26671437609757
ko00361	LinDA	LMAT	MD	0.710632151710739	none	0.710632151710739
ko00040	LinDA	LMAT	MD	0.35057708742105	none	0.35057708742105
ko00730	LinDA	LMAT	MD	0.167545121284093	none	0.167545121284093
ko00362	LinDA	LMAT	MD	0.985964913778861	none	0.985964913778861
ko01040	LinDA	LMAT	MD	0.543448964959711	none	0.543448964959711
ko00603	LinDA	LMAT	MD	0.100685434957812	none	0.100685434957812
ko03018	LinDA	LMAT	MD	0.900829461992424	none	0.900829461992424
ko00281	LinDA	LMAT	MD	0.852309670470819	none	0.852309670470819
ko00280	LinDA	LMAT	MD	0.84257933604899	none	0.84257933604899
ko03013	LinDA	LMAT	MD	0.635169748202372	none	0.635169748202372
ko04626	LinDA	LMAT	MD	0.540491605960203	none	0.540491605960203
ko05200	LinDA	LMAT	MD	0.945422867794156	none	0.945422867794156
ko00601	LinDA	LMAT	MD	0.892117196021569	none	0.892117196021569
ko00312	LinDA	LMAT	MD	0.0649980049252609	none	0.0649980049252609
ko05020	LinDA	LMAT	MD	0.0337438051046229	none	0.0337438051046229
ko05143	LinDA	LMAT	MD	0.0878829622631618	none	0.0878829622631618
ko00523	LinDA	LMAT	MD	0.905800984439155	none	0.905800984439155
ko00520	LinDA	LMAT	MD	0.938786330870836	none	0.938786330870836
ko00521	LinDA	LMAT	MD	0.831707556246065	none	0.831707556246065
ko05146	LinDA	LMAT	MD	0.338212724824368	none	0.338212724824368
ko05145	LinDA	LMAT	MD	0.0443021742242651	none	0.0443021742242651
ko05144	LinDA	LMAT	MD	0.364663832167602	none	0.364663832167602
ko00052	LinDA	LMAT	MD	0.35793284207826	none	0.35793284207826
ko00053	LinDA	LMAT	MD	0.336177756622162	none	0.336177756622162
ko00051	LinDA	LMAT	MD	0.938765147550494	none	0.938765147550494
ko00401	LinDA	LMAT	MD	0.62833856807816	none	0.62833856807816
ko00400	LinDA	LMAT	MD	0.554047019838019	none	0.554047019838019
ko04020	LinDA	LMAT	MD	0.757006209524499	none	0.757006209524499
ko00350	LinDA	LMAT	MD	0.421028363674034	none	0.421028363674034
ko00480	LinDA	LMAT	MD	0.06759134304258	none	0.06759134304258
ko00643	LinDA	LMAT	MD	0.969386227703761	none	0.969386227703761
ko00642	LinDA	LMAT	MD	0.877214287829052	none	0.877214287829052
ko00640	LinDA	LMAT	MD	0.737884933754863	none	0.737884933754863
ko00720	LinDA	LMAT	MD	0.936775801762406	none	0.936775801762406
ko00960	LinDA	LMAT	MD	0.495794662870955	none	0.495794662870955
ko02020	LinDA	LMAT	MD	0.56171150803267	none	0.56171150803267
ko00120	LinDA	LMAT	MD	0.879423903007858	none	0.879423903007858
ko00965	LinDA	LMAT	MD	0.144824313232865	none	0.144824313232865
ko03008	LinDA	LMAT	MD	0.942196590173787	none	0.942196590173787
ko05414	LinDA	LMAT	MD	0.00191077663202845	none	0.00191077663202845
