feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	HMAT	NC	0.939448158547504	none	0.939448158547504
ko00564	LinDA	HMAT	NC	0.925212858011723	none	0.925212858011723
ko00680	LinDA	HMAT	NC	0.681476254473253	none	0.681476254473253
ko00562	LinDA	HMAT	NC	0.878481518693561	none	0.878481518693561
ko03030	LinDA	HMAT	NC	0.781532385648764	none	0.781532385648764
ko00561	LinDA	HMAT	NC	0.663821946670565	none	0.663821946670565
ko00440	LinDA	HMAT	NC	0.461350643368193	none	0.461350643368193
ko00250	LinDA	HMAT	NC	0.930593285382046	none	0.930593285382046
ko00740	LinDA	HMAT	NC	3.59200450760405e-05	none	3.59200450760405e-05
ko04940	LinDA	HMAT	NC	0.802873888446364	none	0.802873888446364
ko00010	LinDA	HMAT	NC	0.862915931160491	none	0.862915931160491
ko05412	LinDA	HMAT	NC	0.161252539031215	none	0.161252539031215
ko00195	LinDA	HMAT	NC	0.686010747616358	none	0.686010747616358
ko03450	LinDA	HMAT	NC	0.00394946601306965	none	0.00394946601306965
ko00760	LinDA	HMAT	NC	0.18393548633923	none	0.18393548633923
ko00920	LinDA	HMAT	NC	0.944861996782511	none	0.944861996782511
ko00311	LinDA	HMAT	NC	0.206186967765083	none	0.206186967765083
ko00310	LinDA	HMAT	NC	0.724128232463198	none	0.724128232463198
ko04146	LinDA	HMAT	NC	0.375615590273355	none	0.375615590273355
ko00600	LinDA	HMAT	NC	0.141190590029339	none	0.141190590029339
ko04141	LinDA	HMAT	NC	0.0528968924028405	none	0.0528968924028405
ko04142	LinDA	HMAT	NC	0.581248187964656	none	0.581248187964656
ko00604	LinDA	HMAT	NC	0.781154758244195	none	0.781154758244195
ko04260	LinDA	HMAT	NC	0.0801320893648244	none	0.0801320893648244
ko05142	LinDA	HMAT	NC	0.918377414523286	none	0.918377414523286
ko04540	LinDA	HMAT	NC	0.169886840859906	none	0.169886840859906
ko00909	LinDA	HMAT	NC	0.873021958309962	none	0.873021958309962
ko00513	LinDA	HMAT	NC	0.167204478289277	none	0.167204478289277
ko04973	LinDA	HMAT	NC	0.012999238718804	none	0.012999238718804
ko00510	LinDA	HMAT	NC	0.151792432125712	none	0.151792432125712
ko05110	LinDA	HMAT	NC	0.198283564214805	none	0.198283564214805
ko04974	LinDA	HMAT	NC	0.00135048310690075	none	0.00135048310690075
ko04976	LinDA	HMAT	NC	0.603055350494058	none	0.603055350494058
ko00450	LinDA	HMAT	NC	0.632964702732917	none	0.632964702732917
ko01051	LinDA	HMAT	NC	0.629839080625487	none	0.629839080625487
ko00565	LinDA	HMAT	NC	0.289056884879429	none	0.289056884879429
ko00524	LinDA	HMAT	NC	0.818806534461123	none	0.818806534461123
ko00300	LinDA	HMAT	NC	0.792828809445339	none	0.792828809445339
ko05222	LinDA	HMAT	NC	0.00107454702571729	none	0.00107454702571729
ko05416	LinDA	HMAT	NC	0.00114318927586513	none	0.00114318927586513
ko00260	LinDA	HMAT	NC	0.915618342218447	none	0.915618342218447
ko00190	LinDA	HMAT	NC	0.180487327397429	none	0.180487327397429
ko03440	LinDA	HMAT	NC	0.749369715225343	none	0.749369715225343
ko00750	LinDA	HMAT	NC	0.449296876031123	none	0.449296876031123
ko00950	LinDA	HMAT	NC	0.825910620752276	none	0.825910620752276
ko00592	LinDA	HMAT	NC	0.000188060655752251	none	0.000188060655752251
ko00591	LinDA	HMAT	NC	0.0186130454624646	none	0.0186130454624646
ko00590	LinDA	HMAT	NC	0.02266721811998	none	0.02266721811998
ko00062	LinDA	HMAT	NC	0.995373394030294	none	0.995373394030294
ko00061	LinDA	HMAT	NC	0.406008124437859	none	0.406008124437859
ko03070	LinDA	HMAT	NC	0.586385699282284	none	0.586385699282284
ko00253	LinDA	HMAT	NC	0.0219375089089375	none	0.0219375089089375
ko03060	LinDA	HMAT	NC	0.557569670758444	none	0.557569670758444
ko00380	LinDA	HMAT	NC	0.764418872429145	none	0.764418872429145
ko00500	LinDA	HMAT	NC	0.315959945689811	none	0.315959945689811
ko05120	LinDA	HMAT	NC	0.709315238099523	none	0.709315238099523
ko04666	LinDA	HMAT	NC	0.819316038447256	none	0.819316038447256
ko05322	LinDA	HMAT	NC	0.160413775648605	none	0.160413775648605
ko04964	LinDA	HMAT	NC	0.343205170940289	none	0.343205170940289
ko00625	LinDA	HMAT	NC	0.0161067602735412	none	0.0161067602735412
ko00624	LinDA	HMAT	NC	0.108554967273172	none	0.108554967273172
ko00627	LinDA	HMAT	NC	2.05436532577535e-05	none	2.05436532577535e-05
ko00626	LinDA	HMAT	NC	0.507560347476457	none	0.507560347476457
ko00621	LinDA	HMAT	NC	0.80119208580492	none	0.80119208580492
ko00620	LinDA	HMAT	NC	0.724556407644072	none	0.724556407644072
ko00623	LinDA	HMAT	NC	0.196972692089702	none	0.196972692089702
ko00622	LinDA	HMAT	NC	0.667609053921081	none	0.667609053921081
ko00270	LinDA	HMAT	NC	0.99154581819596	none	0.99154581819596
ko00940	LinDA	HMAT	NC	0.231252595108356	none	0.231252595108356
ko00941	LinDA	HMAT	NC	0.395465243366719	none	0.395465243366719
ko01053	LinDA	HMAT	NC	0.828588056507336	none	0.828588056507336
ko00943	LinDA	HMAT	NC	0.212382306222843	none	0.212382306222843
ko00100	LinDA	HMAT	NC	0.104796676042269	none	0.104796676042269
ko00945	LinDA	HMAT	NC	0.413883466282291	none	0.413883466282291
ko01056	LinDA	HMAT	NC	0.0185117108153566	none	0.0185117108153566
ko05016	LinDA	HMAT	NC	0.0412814142982022	none	0.0412814142982022
ko04145	LinDA	HMAT	NC	0.169886840859906	none	0.169886840859906
ko00071	LinDA	HMAT	NC	0.612600996653581	none	0.612600996653581
ko00072	LinDA	HMAT	NC	0.243625088912137	none	0.243625088912137
ko05219	LinDA	HMAT	NC	0.0210669197113081	none	0.0210669197113081
ko05215	LinDA	HMAT	NC	0.888527936648463	none	0.888527936648463
ko05211	LinDA	HMAT	NC	0.00885482816847022	none	0.00885482816847022
ko05210	LinDA	HMAT	NC	0.00107454702571729	none	0.00107454702571729
ko01055	LinDA	HMAT	NC	0.0602807943713383	none	0.0602807943713383
ko00902	LinDA	HMAT	NC	0.88556536697606	none	0.88556536697606
ko04910	LinDA	HMAT	NC	0.301354487604955	none	0.301354487604955
ko00531	LinDA	HMAT	NC	0.971397373756126	none	0.971397373756126
ko04916	LinDA	HMAT	NC	0.88556536697606	none	0.88556536697606
ko00360	LinDA	HMAT	NC	0.510225288192831	none	0.510225288192831
ko00633	LinDA	HMAT	NC	0.0552371664163885	none	0.0552371664163885
ko00630	LinDA	HMAT	NC	0.634628016303073	none	0.634628016303073
ko00363	LinDA	HMAT	NC	0.0197659899127746	none	0.0197659899127746
ko00364	LinDA	HMAT	NC	0.224393138544574	none	0.224393138544574
ko05130	LinDA	HMAT	NC	0.00547154226834081	none	0.00547154226834081
ko04115	LinDA	HMAT	NC	0.00107454702571729	none	0.00107454702571729
ko00121	LinDA	HMAT	NC	0.00293345043712753	none	0.00293345043712753
ko04914	LinDA	HMAT	NC	0.888527936648463	none	0.888527936648463
ko00430	LinDA	HMAT	NC	0.862122710727281	none	0.862122710727281
ko02010	LinDA	HMAT	NC	0.29915017788031	none	0.29915017788031
ko00130	LinDA	HMAT	NC	0.298897496169816	none	0.298897496169816
ko04330	LinDA	HMAT	NC	0.986593899564576	none	0.986593899564576
ko03050	LinDA	HMAT	NC	0.971325204056466	none	0.971325204056466
ko00361	LinDA	HMAT	NC	0.15456067838317	none	0.15456067838317
ko00040	LinDA	HMAT	NC	0.39840555752857	none	0.39840555752857
ko00730	LinDA	HMAT	NC	0.000692950110973299	none	0.000692950110973299
ko00362	LinDA	HMAT	NC	0.1207600732267	none	0.1207600732267
ko01040	LinDA	HMAT	NC	0.959252032634388	none	0.959252032634388
ko00603	LinDA	HMAT	NC	0.0834029880683953	none	0.0834029880683953
ko03018	LinDA	HMAT	NC	0.571314479977944	none	0.571314479977944
ko00281	LinDA	HMAT	NC	3.53619718349523e-05	none	3.53619718349523e-05
ko00280	LinDA	HMAT	NC	0.125931573217117	none	0.125931573217117
ko03013	LinDA	HMAT	NC	0.317988450411184	none	0.317988450411184
ko04626	LinDA	HMAT	NC	0.90248265517169	none	0.90248265517169
ko05200	LinDA	HMAT	NC	0.726043118518374	none	0.726043118518374
ko00601	LinDA	HMAT	NC	0.525281333777982	none	0.525281333777982
ko00312	LinDA	HMAT	NC	0.127041291355285	none	0.127041291355285
ko05020	LinDA	HMAT	NC	0.224670714766639	none	0.224670714766639
ko05143	LinDA	HMAT	NC	0.803109207657839	none	0.803109207657839
ko00523	LinDA	HMAT	NC	0.450769275380981	none	0.450769275380981
ko00520	LinDA	HMAT	NC	0.438468389614752	none	0.438468389614752
ko00521	LinDA	HMAT	NC	0.669538488432984	none	0.669538488432984
ko05146	LinDA	HMAT	NC	8.52860505114125e-05	none	8.52860505114125e-05
ko05145	LinDA	HMAT	NC	0.000962621523961741	none	0.000962621523961741
ko05144	LinDA	HMAT	NC	0.00257123737514618	none	0.00257123737514618
ko00052	LinDA	HMAT	NC	0.401124530738321	none	0.401124530738321
ko00053	LinDA	HMAT	NC	0.800739269127404	none	0.800739269127404
ko00051	LinDA	HMAT	NC	0.368779952040117	none	0.368779952040117
ko00401	LinDA	HMAT	NC	0.684150481026234	none	0.684150481026234
ko00400	LinDA	HMAT	NC	0.432038029510932	none	0.432038029510932
ko04020	LinDA	HMAT	NC	0.0514627110588078	none	0.0514627110588078
ko00350	LinDA	HMAT	NC	0.883880722192127	none	0.883880722192127
ko00480	LinDA	HMAT	NC	0.0801358217592324	none	0.0801358217592324
ko00643	LinDA	HMAT	NC	0.0108267882559769	none	0.0108267882559769
ko00642	LinDA	HMAT	NC	0.03859256756339	none	0.03859256756339
ko00640	LinDA	HMAT	NC	0.40372293565045	none	0.40372293565045
ko00720	LinDA	HMAT	NC	0.444626115263952	none	0.444626115263952
ko00960	LinDA	HMAT	NC	0.796457758114543	none	0.796457758114543
ko02020	LinDA	HMAT	NC	0.803276537951242	none	0.803276537951242
ko00120	LinDA	HMAT	NC	0.00289256909139288	none	0.00289256909139288
ko00965	LinDA	HMAT	NC	0.667226458466919	none	0.667226458466919
ko03008	LinDA	HMAT	NC	0.697547947978003	none	0.697547947978003
ko05414	LinDA	HMAT	NC	0.851438088761095	none	0.851438088761095
ko00290	LinDA	HMAT	NC	0.754363310542586	none	0.754363310542586
ko04614	LinDA	HMAT	NC	0.580515331383711	none	0.580515331383711
ko03410	LinDA	HMAT	NC	0.909426026927978	none	0.909426026927978
ko05010	LinDA	HMAT	NC	0.802347838510349	none	0.802347838510349
ko05012	LinDA	HMAT	NC	0.00316666958357542	none	0.00316666958357542
ko00980	LinDA	HMAT	NC	0.27143102682165	none	0.27143102682165
ko00410	LinDA	HMAT	NC	0.0156776722693306	none	0.0156776722693306
ko00983	LinDA	HMAT	NC	0.176930845644202	none	0.176930845644202
ko05150	LinDA	HMAT	NC	0.0569541399621904	none	0.0569541399621904
ko00791	LinDA	HMAT	NC	0.744900128257165	none	0.744900128257165
ko00790	LinDA	HMAT	NC	0.575064530601379	none	0.575064530601379
ko05131	LinDA	HMAT	NC	0.0120951578078161	none	0.0120951578078161
ko00020	LinDA	HMAT	NC	0.0290145999683847	none	0.0290145999683847
ko00710	LinDA	HMAT	NC	0.790420324869406	none	0.790420324869406
ko02060	LinDA	HMAT	NC	0.0918395697347503	none	0.0918395697347503
ko00340	LinDA	HMAT	NC	0.897560430281891	none	0.897560430281891
ko00785	LinDA	HMAT	NC	0.0496284496119726	none	0.0496284496119726
ko00550	LinDA	HMAT	NC	0.93482388217708	none	0.93482388217708
ko00650	LinDA	HMAT	NC	0.417579480478421	none	0.417579480478421
ko05220	LinDA	HMAT	NC	0.986593899564576	none	0.986593899564576
ko02030	LinDA	HMAT	NC	0.883078127096727	none	0.883078127096727
ko03320	LinDA	HMAT	NC	0.897965032284988	none	0.897965032284988
ko04612	LinDA	HMAT	NC	0.888527936648463	none	0.888527936648463
ko04621	LinDA	HMAT	NC	0.917329817476032	none	0.917329817476032
ko04622	LinDA	HMAT	NC	0.538303597204368	none	0.538303597204368
ko00910	LinDA	HMAT	NC	0.966941346703242	none	0.966941346703242
ko00460	LinDA	HMAT	NC	0.382380334305035	none	0.382380334305035
ko00830	LinDA	HMAT	NC	0.0703121907792812	none	0.0703121907792812
ko00780	LinDA	HMAT	NC	0.0260760786362233	none	0.0260760786362233
ko00511	LinDA	HMAT	NC	0.0726439453820609	none	0.0726439453820609
ko00970	LinDA	HMAT	NC	0.714832503380693	none	0.714832503380693
ko00030	LinDA	HMAT	NC	0.632670359651154	none	0.632670359651154
