feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	LinDA	LMAT	NC	0.624664339574729	none	0.624664339574729
ko00564	LinDA	LMAT	NC	0.757584517051503	none	0.757584517051503
ko00680	LinDA	LMAT	NC	0.978292555462594	none	0.978292555462594
ko00562	LinDA	LMAT	NC	0.957035470914243	none	0.957035470914243
ko03030	LinDA	LMAT	NC	0.445093256517877	none	0.445093256517877
ko00561	LinDA	LMAT	NC	0.245894287078637	none	0.245894287078637
ko00440	LinDA	LMAT	NC	0.466849346566667	none	0.466849346566667
ko00250	LinDA	LMAT	NC	0.860675552812886	none	0.860675552812886
ko00740	LinDA	LMAT	NC	0.00331376690628024	none	0.00331376690628024
ko04940	LinDA	LMAT	NC	0.946083772809727	none	0.946083772809727
ko00010	LinDA	LMAT	NC	0.325870963759386	none	0.325870963759386
ko05412	LinDA	LMAT	NC	0.332033567535671	none	0.332033567535671
ko00195	LinDA	LMAT	NC	0.456781005735155	none	0.456781005735155
ko03450	LinDA	LMAT	NC	0.0113805433158836	none	0.0113805433158836
ko00760	LinDA	LMAT	NC	0.666785258118728	none	0.666785258118728
ko00920	LinDA	LMAT	NC	0.822292440585507	none	0.822292440585507
ko00311	LinDA	LMAT	NC	0.159371656532691	none	0.159371656532691
ko00310	LinDA	LMAT	NC	0.842711716600521	none	0.842711716600521
ko04146	LinDA	LMAT	NC	0.538620374581875	none	0.538620374581875
ko00600	LinDA	LMAT	NC	0.0558996429754167	none	0.0558996429754167
ko04141	LinDA	LMAT	NC	0.289940765813116	none	0.289940765813116
ko04142	LinDA	LMAT	NC	0.0282153286121695	none	0.0282153286121695
ko00604	LinDA	LMAT	NC	0.349278905078842	none	0.349278905078842
ko04260	LinDA	LMAT	NC	0.243736289744757	none	0.243736289744757
ko05142	LinDA	LMAT	NC	0.584004572672806	none	0.584004572672806
ko04540	LinDA	LMAT	NC	0.321703660347807	none	0.321703660347807
ko00909	LinDA	LMAT	NC	0.54218888227176	none	0.54218888227176
ko00513	LinDA	LMAT	NC	0.0196967737381058	none	0.0196967737381058
ko04973	LinDA	LMAT	NC	0.00119792683277515	none	0.00119792683277515
ko00510	LinDA	LMAT	NC	0.288985847398593	none	0.288985847398593
ko05110	LinDA	LMAT	NC	0.197882370866465	none	0.197882370866465
ko04974	LinDA	LMAT	NC	0.0216391939828284	none	0.0216391939828284
ko04976	LinDA	LMAT	NC	0.9147113658196	none	0.9147113658196
ko00450	LinDA	LMAT	NC	0.35437649753944	none	0.35437649753944
ko01051	LinDA	LMAT	NC	0.361331407951975	none	0.361331407951975
ko00565	LinDA	LMAT	NC	0.00483671910728646	none	0.00483671910728646
ko00524	LinDA	LMAT	NC	0.121864152652445	none	0.121864152652445
ko00300	LinDA	LMAT	NC	0.48071183014922	none	0.48071183014922
