feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	DESeq2	HMAT	MD	0.997558851221826	none	0.997558851221826
ko00564	DESeq2	HMAT	MD	0.779547399673218	none	0.779547399673218
ko00680	DESeq2	HMAT	MD	0.440457582275001	none	0.440457582275001
ko00562	DESeq2	HMAT	MD	0.167517960255109	none	0.167517960255109
ko03030	DESeq2	HMAT	MD	0.455115783884373	none	0.455115783884373
ko00561	DESeq2	HMAT	MD	0.356074485573515	none	0.356074485573515
ko00440	DESeq2	HMAT	MD	0.0411634506995873	none	0.0411634506995873
ko00250	DESeq2	HMAT	MD	0.974556299570381	none	0.974556299570381
ko00740	DESeq2	HMAT	MD	0.123950789655927	none	0.123950789655927
ko04940	DESeq2	HMAT	MD	0.374423743208863	none	0.374423743208863
ko00010	DESeq2	HMAT	MD	0.213177965314829	none	0.213177965314829
ko05412	DESeq2	HMAT	MD	0.0691473130806855	none	0.0691473130806855
ko00195	DESeq2	HMAT	MD	0.393613229565096	none	0.393613229565096
ko03450	DESeq2	HMAT	MD	0.221133279731072	none	0.221133279731072
ko00760	DESeq2	HMAT	MD	0.289331044763042	none	0.289331044763042
ko00920	DESeq2	HMAT	MD	0.0916909459544047	none	0.0916909459544047
ko00311	DESeq2	HMAT	MD	0.837539258051312	none	0.837539258051312
ko00310	DESeq2	HMAT	MD	0.953699482717667	none	0.953699482717667
ko04146	DESeq2	HMAT	MD	0.0166638130571226	none	0.0166638130571226
ko00600	DESeq2	HMAT	MD	0.012226488445026	none	0.012226488445026
ko04141	DESeq2	HMAT	MD	0.284657753122071	none	0.284657753122071
ko04142	DESeq2	HMAT	MD	0.122175394743038	none	0.122175394743038
ko00604	DESeq2	HMAT	MD	0.143964623201077	none	0.143964623201077
ko04260	DESeq2	HMAT	MD	0.138285639017093	none	0.138285639017093
ko05142	DESeq2	HMAT	MD	0.0878137049560339	none	0.0878137049560339
ko04540	DESeq2	HMAT	MD	0.0529379994311496	none	0.0529379994311496
ko00909	DESeq2	HMAT	MD	0.997184066537031	none	0.997184066537031
ko00513	DESeq2	HMAT	MD	0.718177561221892	none	0.718177561221892
ko04973	DESeq2	HMAT	MD	0.819521622481026	none	0.819521622481026
ko00510	DESeq2	HMAT	MD	0.697158776656087	none	0.697158776656087
ko05110	DESeq2	HMAT	MD	0.525334484255178	none	0.525334484255178
ko04974	DESeq2	HMAT	MD	0.917440460989409	none	0.917440460989409
ko04976	DESeq2	HMAT	MD	0.311048684001224	none	0.311048684001224
ko00450	DESeq2	HMAT	MD	0.886205472832707	none	0.886205472832707
ko01051	DESeq2	HMAT	MD	0.907878158745945	none	0.907878158745945
ko00565	DESeq2	HMAT	MD	0.0243814340894916	none	0.0243814340894916
ko00524	DESeq2	HMAT	MD	0.246729842584881	none	0.246729842584881
ko00300	DESeq2	HMAT	MD	0.28761728217234	none	0.28761728217234
ko05222	DESeq2	HMAT	MD	0.617629158275928	none	0.617629158275928
ko05416	DESeq2	HMAT	MD	0.634697287145122	none	0.634697287145122
ko00260	DESeq2	HMAT	MD	0.682274449162955	none	0.682274449162955
ko00190	DESeq2	HMAT	MD	0.974466970867107	none	0.974466970867107
ko03440	DESeq2	HMAT	MD	0.775888580512552	none	0.775888580512552
ko00750	DESeq2	HMAT	MD	0.986659368755559	none	0.986659368755559
ko00950	DESeq2	HMAT	MD	0.568008232458692	none	0.568008232458692
ko00592	DESeq2	HMAT	MD	0.360860707563554	none	0.360860707563554
ko00591	DESeq2	HMAT	MD	0.897882991084705	none	0.897882991084705
ko00590	DESeq2	HMAT	MD	0.0848348959551339	none	0.0848348959551339
ko00062	DESeq2	HMAT	MD	0.8448218418707	none	0.8448218418707
ko00061	DESeq2	HMAT	MD	0.170150940862162	none	0.170150940862162
ko03070	DESeq2	HMAT	MD	0.686799395574078	none	0.686799395574078
