feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	edgeR	HMAT	LMAT	0.923583539235713	none	0.923583539235713
ko00564	edgeR	HMAT	LMAT	0.959541603562087	none	0.959541603562087
ko00680	edgeR	HMAT	LMAT	0.975081726605246	none	0.975081726605246
ko00562	edgeR	HMAT	LMAT	0.863940628519403	none	0.863940628519403
ko03030	edgeR	HMAT	LMAT	0.95213928874175	none	0.95213928874175
ko00561	edgeR	HMAT	LMAT	0.764310101829349	none	0.764310101829349
ko00440	edgeR	HMAT	LMAT	0.90833387751213	none	0.90833387751213
ko00250	edgeR	HMAT	LMAT	0.875256618279454	none	0.875256618279454
ko00740	edgeR	HMAT	LMAT	0.653104369037541	none	0.653104369037541
ko04940	edgeR	HMAT	LMAT	0.990419669093189	none	0.990419669093189
ko00010	edgeR	HMAT	LMAT	0.806022980602861	none	0.806022980602861
ko05412	edgeR	HMAT	LMAT	0.517892483571074	none	0.517892483571074
ko00195	edgeR	HMAT	LMAT	0.721092163267157	none	0.721092163267157
ko03450	edgeR	HMAT	LMAT	0.963973319124409	none	0.963973319124409
ko00760	edgeR	HMAT	LMAT	0.848844816369875	none	0.848844816369875
ko00920	edgeR	HMAT	LMAT	0.935144588371546	none	0.935144588371546
ko00311	edgeR	HMAT	LMAT	0.703197679715981	none	0.703197679715981
ko00310	edgeR	HMAT	LMAT	0.712871607642134	none	0.712871607642134
ko04146	edgeR	HMAT	LMAT	0.733926941729666	none	0.733926941729666
ko00600	edgeR	HMAT	LMAT	0.916886506421592	none	0.916886506421592
ko04141	edgeR	HMAT	LMAT	0.785025578633447	none	0.785025578633447
ko04142	edgeR	HMAT	LMAT	0.118498739112886	none	0.118498739112886
ko00604	edgeR	HMAT	LMAT	0.288253096239035	none	0.288253096239035
ko04260	edgeR	HMAT	LMAT	0.0618687290846693	none	0.0618687290846693
ko05142	edgeR	HMAT	LMAT	0.364690395479657	none	0.364690395479657
ko04540	edgeR	HMAT	LMAT	0.00139197239808701	none	0.00139197239808701
ko00909	edgeR	HMAT	LMAT	0.922663520465172	none	0.922663520465172
ko00513	edgeR	HMAT	LMAT	1.72237342982191e-07	none	1.72237342982191e-07
ko04973	edgeR	HMAT	LMAT	0.0370451704952376	none	0.0370451704952376
ko00510	edgeR	HMAT	LMAT	0.240895815129967	none	0.240895815129967
ko05110	edgeR	HMAT	LMAT	6.11176544954977e-05	none	6.11176544954977e-05
ko04974	edgeR	HMAT	LMAT	0.81704561304135	none	0.81704561304135
ko04976	edgeR	HMAT	LMAT	0.866403376630421	none	0.866403376630421
ko00450	edgeR	HMAT	LMAT	0.951745115235152	none	0.951745115235152
ko01051	edgeR	HMAT	LMAT	0.732185663575411	none	0.732185663575411
ko00565	edgeR	HMAT	LMAT	1.87589421164828e-05	none	1.87589421164828e-05
ko00524	edgeR	HMAT	LMAT	0.630917857824159	none	0.630917857824159
ko00300	edgeR	HMAT	LMAT	0.932622355719107	none	0.932622355719107
ko05222	edgeR	HMAT	LMAT	0.00498573651881298	none	0.00498573651881298
ko05416	edgeR	HMAT	LMAT	0.00563630764950928	none	0.00563630764950928
ko00260	edgeR	HMAT	LMAT	0.926451090711716	none	0.926451090711716
ko00190	edgeR	HMAT	LMAT	0.689895413397787	none	0.689895413397787
ko03440	edgeR	HMAT	LMAT	0.920431630126168	none	0.920431630126168
ko00750	edgeR	HMAT	LMAT	0.919911554989206	none	0.919911554989206
ko00950	edgeR	HMAT	LMAT	0.909123617481322	none	0.909123617481322
ko00592	edgeR	HMAT	LMAT	0.618965465575706	none	0.618965465575706
ko00591	edgeR	HMAT	LMAT	0.292064687368767	none	0.292064687368767
ko00590	edgeR	HMAT	LMAT	0.0253094981746351	none	0.0253094981746351
ko00062	edgeR	HMAT	LMAT	0.822603001591304	none	0.822603001591304
ko00061	edgeR	HMAT	LMAT	0.989836164903473	none	0.989836164903473
ko03070	edgeR	HMAT	LMAT	0.675440460783982	none	0.675440460783982
ko00253	edgeR	HMAT	LMAT	0.648163328076535	none	0.648163328076535
ko03060	edgeR	HMAT	LMAT	0.940488351169295	none	0.940488351169295
ko00380	edgeR	HMAT	LMAT	0.724594870564401	none	0.724594870564401
ko00500	edgeR	HMAT	LMAT	0.831758605116098	none	0.831758605116098
ko05120	edgeR	HMAT	LMAT	0.890727073201579	none	0.890727073201579
ko04666	edgeR	HMAT	LMAT	0.210504773339583	none	0.210504773339583
ko05322	edgeR	HMAT	LMAT	0.00592990635350737	none	0.00592990635350737
ko04964	edgeR	HMAT	LMAT	0.865573382628717	none	0.865573382628717
ko00625	edgeR	HMAT	LMAT	0.514443992025348	none	0.514443992025348
ko00624	edgeR	HMAT	LMAT	0.183550839151868	none	0.183550839151868
ko00627	edgeR	HMAT	LMAT	0.979754418356726	none	0.979754418356726
ko00626	edgeR	HMAT	LMAT	0.19578319977837	none	0.19578319977837
ko00621	edgeR	HMAT	LMAT	0.202987636999344	none	0.202987636999344
ko00620	edgeR	HMAT	LMAT	0.990639440108974	none	0.990639440108974
ko00623	edgeR	HMAT	LMAT	0.635312109197902	none	0.635312109197902
ko00622	edgeR	HMAT	LMAT	0.0931686516808169	none	0.0931686516808169
ko00270	edgeR	HMAT	LMAT	0.982592123489906	none	0.982592123489906
ko00940	edgeR	HMAT	LMAT	0.92521292142	none	0.92521292142
ko00941	edgeR	HMAT	LMAT	0.0500436676754149	none	0.0500436676754149
ko01053	edgeR	HMAT	LMAT	0.235861993859546	none	0.235861993859546
ko00943	edgeR	HMAT	LMAT	1.27478113258822e-06	none	1.27478113258822e-06
ko00100	edgeR	HMAT	LMAT	0.414564847501413	none	0.414564847501413
ko00945	edgeR	HMAT	LMAT	0.894926986549291	none	0.894926986549291
ko01056	edgeR	HMAT	LMAT	0.00446591276956211	none	0.00446591276956211
ko05016	edgeR	HMAT	LMAT	0.830995572561572	none	0.830995572561572
ko04145	edgeR	HMAT	LMAT	0.00139197239808701	none	0.00139197239808701
ko00071	edgeR	HMAT	LMAT	0.743330114728553	none	0.743330114728553
ko00072	edgeR	HMAT	LMAT	0.222026725935833	none	0.222026725935833
ko05219	edgeR	HMAT	LMAT	0.179798685587808	none	0.179798685587808
ko05215	edgeR	HMAT	LMAT	0.936447918814176	none	0.936447918814176
ko05211	edgeR	HMAT	LMAT	0.777628321463286	none	0.777628321463286
ko05210	edgeR	HMAT	LMAT	0.00498573651881298	none	0.00498573651881298
ko01055	edgeR	HMAT	LMAT	0.655025868248357	none	0.655025868248357
ko00902	edgeR	HMAT	LMAT	1	none	1
ko04910	edgeR	HMAT	LMAT	0.792105601157008	none	0.792105601157008
ko00531	edgeR	HMAT	LMAT	0.0905468607822122	none	0.0905468607822122
ko04916	edgeR	HMAT	LMAT	1	none	1
ko00360	edgeR	HMAT	LMAT	0.84494258587916	none	0.84494258587916
ko00633	edgeR	HMAT	LMAT	0.320920016298502	none	0.320920016298502
ko00630	edgeR	HMAT	LMAT	0.830735672639805	none	0.830735672639805
ko00363	edgeR	HMAT	LMAT	0.29543876386128	none	0.29543876386128
ko00364	edgeR	HMAT	LMAT	0.0584406740910128	none	0.0584406740910128
ko05130	edgeR	HMAT	LMAT	0.00387976586865714	none	0.00387976586865714
ko04115	edgeR	HMAT	LMAT	0.00498573651881298	none	0.00498573651881298
