feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	edgeR	LMAT	MD	0.919435055859868	none	0.919435055859868
ko00564	edgeR	LMAT	MD	0.97239154692292	none	0.97239154692292
ko00680	edgeR	LMAT	MD	0.895199477399657	none	0.895199477399657
ko00562	edgeR	LMAT	MD	0.975759724183468	none	0.975759724183468
ko03030	edgeR	LMAT	MD	0.897380043109706	none	0.897380043109706
ko00561	edgeR	LMAT	MD	0.871927832570925	none	0.871927832570925
ko00440	edgeR	LMAT	MD	0.671698995146299	none	0.671698995146299
ko00250	edgeR	LMAT	MD	0.881672533346304	none	0.881672533346304
ko00740	edgeR	LMAT	MD	0.952478473266609	none	0.952478473266609
ko04940	edgeR	LMAT	MD	0.889128241688872	none	0.889128241688872
ko00010	edgeR	LMAT	MD	0.908785080617572	none	0.908785080617572
ko05412	edgeR	LMAT	MD	0.102314392609215	none	0.102314392609215
ko00195	edgeR	LMAT	MD	0.802077204474619	none	0.802077204474619
ko03450	edgeR	LMAT	MD	0.21541024240248	none	0.21541024240248
ko00760	edgeR	LMAT	MD	0.759284247381168	none	0.759284247381168
ko00920	edgeR	LMAT	MD	0.789273633881021	none	0.789273633881021
ko00311	edgeR	LMAT	MD	0.928355820214111	none	0.928355820214111
ko00310	edgeR	LMAT	MD	0.718922205813042	none	0.718922205813042
ko04146	edgeR	LMAT	MD	0.449006061085014	none	0.449006061085014
ko00600	edgeR	LMAT	MD	0.487888837291381	none	0.487888837291381
ko04141	edgeR	LMAT	MD	0.627424005494284	none	0.627424005494284
ko04142	edgeR	LMAT	MD	0.206785791120057	none	0.206785791120057
ko00604	edgeR	LMAT	MD	0.0119098091205629	none	0.0119098091205629
ko04260	edgeR	LMAT	MD	0.409358857059774	none	0.409358857059774
ko05142	edgeR	LMAT	MD	0.17219859203199	none	0.17219859203199
ko04540	edgeR	LMAT	MD	0.275233237134853	none	0.275233237134853
ko00909	edgeR	LMAT	MD	0.92273878632065	none	0.92273878632065
ko00513	edgeR	LMAT	MD	1.00081905934373e-05	none	1.00081905934373e-05
ko04973	edgeR	LMAT	MD	0.010105340138189	none	0.010105340138189
ko00510	edgeR	LMAT	MD	0.147350398593446	none	0.147350398593446
ko05110	edgeR	LMAT	MD	0.0217534804339546	none	0.0217534804339546
ko04974	edgeR	LMAT	MD	0.92612934997145	none	0.92612934997145
ko04976	edgeR	LMAT	MD	0.590584669621346	none	0.590584669621346
ko00450	edgeR	LMAT	MD	0.934067373243743	none	0.934067373243743
ko01051	edgeR	LMAT	MD	0.717532513187455	none	0.717532513187455
ko00565	edgeR	LMAT	MD	1.63693238963619e-15	none	1.63693238963619e-15
ko00524	edgeR	LMAT	MD	0.85357067668341	none	0.85357067668341
ko00300	edgeR	LMAT	MD	0.988670888957056	none	0.988670888957056
ko05222	edgeR	LMAT	MD	0.0269145422708332	none	0.0269145422708332
ko05416	edgeR	LMAT	MD	0.0277759472460955	none	0.0277759472460955
ko00260	edgeR	LMAT	MD	0.946337682183491	none	0.946337682183491
ko00190	edgeR	LMAT	MD	0.695228647970487	none	0.695228647970487
ko03440	edgeR	LMAT	MD	0.959337407370744	none	0.959337407370744
ko00750	edgeR	LMAT	MD	0.912377059213882	none	0.912377059213882
ko00950	edgeR	LMAT	MD	0.869747796497684	none	0.869747796497684
ko00592	edgeR	LMAT	MD	0.707339456652993	none	0.707339456652993
ko00591	edgeR	LMAT	MD	0.263383932063802	none	0.263383932063802
ko00590	edgeR	LMAT	MD	1.93568899389812e-05	none	1.93568899389812e-05
ko00062	edgeR	LMAT	MD	0.440868764075248	none	0.440868764075248
ko00061	edgeR	LMAT	MD	0.847257467909096	none	0.847257467909096
ko03070	edgeR	LMAT	MD	0.633603506008934	none	0.633603506008934
ko00253	edgeR	LMAT	MD	0.232006139705731	none	0.232006139705731
ko03060	edgeR	LMAT	MD	0.922174426972757	none	0.922174426972757
ko00380	edgeR	LMAT	MD	0.795844835239601	none	0.795844835239601
ko00500	edgeR	LMAT	MD	0.997731124968018	none	0.997731124968018
ko05120	edgeR	LMAT	MD	0.892726885733035	none	0.892726885733035
