feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	edgeR	HMAT	NC	0.924941507144999	none	0.924941507144999
ko00564	edgeR	HMAT	NC	0.856517671294864	none	0.856517671294864
ko00680	edgeR	HMAT	NC	0.767869688808767	none	0.767869688808767
ko00562	edgeR	HMAT	NC	0.912546870450941	none	0.912546870450941
ko03030	edgeR	HMAT	NC	0.988586247271553	none	0.988586247271553
ko00561	edgeR	HMAT	NC	0.949301396525761	none	0.949301396525761
ko00440	edgeR	HMAT	NC	0.594929642123203	none	0.594929642123203
ko00250	edgeR	HMAT	NC	0.866097720298972	none	0.866097720298972
ko00740	edgeR	HMAT	NC	0.114343881622556	none	0.114343881622556
ko04940	edgeR	HMAT	NC	0.819856356542961	none	0.819856356542961
ko00010	edgeR	HMAT	NC	0.960020838544575	none	0.960020838544575
ko05412	edgeR	HMAT	NC	0.0651186816527049	none	0.0651186816527049
ko00195	edgeR	HMAT	NC	0.795574809325443	none	0.795574809325443
ko03450	edgeR	HMAT	NC	1.31750320779993e-05	none	1.31750320779993e-05
ko00760	edgeR	HMAT	NC	0.585056552957443	none	0.585056552957443
ko00920	edgeR	HMAT	NC	0.917454572309296	none	0.917454572309296
ko00311	edgeR	HMAT	NC	0.0947455327606815	none	0.0947455327606815
ko00310	edgeR	HMAT	NC	0.998588375661017	none	0.998588375661017
ko04146	edgeR	HMAT	NC	0.775185950785009	none	0.775185950785009
ko00600	edgeR	HMAT	NC	0.400131472270541	none	0.400131472270541
ko04141	edgeR	HMAT	NC	0.431151350242411	none	0.431151350242411
ko04142	edgeR	HMAT	NC	0.447488128836212	none	0.447488128836212
ko00604	edgeR	HMAT	NC	0.889932652702248	none	0.889932652702248
ko04260	edgeR	HMAT	NC	0.0158259366655754	none	0.0158259366655754
ko05142	edgeR	HMAT	NC	0.415184145609729	none	0.415184145609729
ko04540	edgeR	HMAT	NC	1.53960330250912e-05	none	1.53960330250912e-05
ko00909	edgeR	HMAT	NC	0.284101545729921	none	0.284101545729921
ko00513	edgeR	HMAT	NC	1.72658080987327e-45	none	1.72658080987327e-45
ko04973	edgeR	HMAT	NC	9.49476085854328e-05	none	9.49476085854328e-05
ko00510	edgeR	HMAT	NC	0.126079489887706	none	0.126079489887706
ko05110	edgeR	HMAT	NC	0.0434250589252927	none	0.0434250589252927
ko04974	edgeR	HMAT	NC	1.2774774269383e-05	none	1.2774774269383e-05
ko04976	edgeR	HMAT	NC	0.440133069129813	none	0.440133069129813
ko00450	edgeR	HMAT	NC	0.984065919473399	none	0.984065919473399
ko01051	edgeR	HMAT	NC	0.697860824879113	none	0.697860824879113
ko00565	edgeR	HMAT	NC	0.205827008431742	none	0.205827008431742
