feature	method	group1	group2	p_values	adj_method	p_adjust
ko05340	edgeR	LMAT	NC	0.947168497135959	none	0.947168497135959
ko00564	edgeR	LMAT	NC	0.949622259591445	none	0.949622259591445
ko00680	edgeR	LMAT	NC	0.841712342588173	none	0.841712342588173
ko00562	edgeR	LMAT	NC	0.845654259750819	none	0.845654259750819
ko03030	edgeR	LMAT	NC	0.911387353437107	none	0.911387353437107
ko00561	edgeR	LMAT	NC	0.682403280468767	none	0.682403280468767
ko00440	edgeR	LMAT	NC	0.574338197297847	none	0.574338197297847
ko00250	edgeR	LMAT	NC	0.812141965755526	none	0.812141965755526
ko00740	edgeR	LMAT	NC	0.265158812459277	none	0.265158812459277
ko04940	edgeR	LMAT	NC	0.863437179338328	none	0.863437179338328
ko00010	edgeR	LMAT	NC	0.80942869454784	none	0.80942869454784
ko05412	edgeR	LMAT	NC	0.208923626900852	none	0.208923626900852
ko00195	edgeR	LMAT	NC	0.894274308025876	none	0.894274308025876
ko03450	edgeR	LMAT	NC	1.32938792778222e-05	none	1.32938792778222e-05
ko00760	edgeR	LMAT	NC	0.758056698284026	none	0.758056698284026
ko00920	edgeR	LMAT	NC	0.91144805965285	none	0.91144805965285
ko00311	edgeR	LMAT	NC	0.0472283164085435	none	0.0472283164085435
ko00310	edgeR	LMAT	NC	0.79182742552021	none	0.79182742552021
ko04146	edgeR	LMAT	NC	0.959685039859301	none	0.959685039859301
ko00600	edgeR	LMAT	NC	0.31048034029525	none	0.31048034029525
ko04141	edgeR	LMAT	NC	0.630676634643405	none	0.630676634643405
ko04142	edgeR	LMAT	NC	0.0279797179463829	none	0.0279797179463829
ko00604	edgeR	LMAT	NC	0.410855892673614	none	0.410855892673614
ko04260	edgeR	LMAT	NC	0.46646349897679	none	0.46646349897679
ko05142	edgeR	LMAT	NC	0.107105250965609	none	0.107105250965609
ko04540	edgeR	LMAT	NC	0.204160248112041	none	0.204160248112041
ko00909	edgeR	LMAT	NC	0.339222664177591	none	0.339222664177591
ko00513	edgeR	LMAT	NC	1.13585418610579e-68	none	1.13585418610579e-68
ko04973	edgeR	LMAT	NC	6.5011728182799e-09	none	6.5011728182799e-09
ko00510	edgeR	LMAT	NC	0.562023177264579	none	0.562023177264579
ko05110	edgeR	LMAT	NC	0.0742619574192449	none	0.0742619574192449
ko04974	edgeR	LMAT	NC	3.7719013720926e-06	none	3.7719013720926e-06
ko04976	edgeR	LMAT	NC	0.307365208693402	none	0.307365208693402
ko00450	edgeR	LMAT	NC	0.887106291667757	none	0.887106291667757
ko01051	edgeR	LMAT	NC	0.53397522612761	none	0.53397522612761
ko00565	edgeR	LMAT	NC	1.90727051881473e-07	none	1.90727051881473e-07
ko00524	edgeR	LMAT	NC	0.58827497567183	none	0.58827497567183
ko00300	edgeR	LMAT	NC	0.906177391354356	none	0.906177391354356
ko05222	edgeR	LMAT	NC	0.326686274338623	none	0.326686274338623
ko05416	edgeR	LMAT	NC	0.317013246146761	none	0.317013246146761
ko00260	edgeR	LMAT	NC	0.946806164355454	none	0.946806164355454
ko00190	edgeR	LMAT	NC	0.980784391022958	none	0.980784391022958
ko03440	edgeR	LMAT	NC	0.990888955534597	none	0.990888955534597
ko00750	edgeR	LMAT	NC	0.816806667853307	none	0.816806667853307
ko00950	edgeR	LMAT	NC	0.803839695581907	none	0.803839695581907
ko00592	edgeR	LMAT	NC	0.000628872121200669	none	0.000628872121200669
ko00591	edgeR	LMAT	NC	0.875556892409402	none	0.875556892409402
ko00590	edgeR	LMAT	NC	0.927382783842747	none	0.927382783842747
ko00062	edgeR	LMAT	NC	0.187436839941489	none	0.187436839941489
ko00061	edgeR	LMAT	NC	0.702665908360971	none	0.702665908360971
ko03070	edgeR	LMAT	NC	0.854878464341096	none	0.854878464341096
ko00253	edgeR	LMAT	NC	0.566506723835381	none	0.566506723835381
ko03060	edgeR	LMAT	NC	0.724821513965363	none	0.724821513965363
ko00380	edgeR	LMAT	NC	0.792225075920337	none	0.792225075920337
ko00500	edgeR	LMAT	NC	0.512621277203757	none	0.512621277203757
ko05120	edgeR	LMAT	NC	0.914932861912317	none	0.914932861912317
ko04666	edgeR	LMAT	NC	0.586405982634478	none	0.586405982634478
ko05322	edgeR	LMAT	NC	0.0899796789082662	none	0.0899796789082662
ko04964	edgeR	LMAT	NC	0.0352872128460039	none	0.0352872128460039
ko00625	edgeR	LMAT	NC	0.70083489460115	none	0.70083489460115
ko00624	edgeR	LMAT	NC	0.0058210677046891	none	0.0058210677046891
ko00627	edgeR	LMAT	NC	0.00275795270534566	none	0.00275795270534566
ko00626	edgeR	LMAT	NC	0.134476286471734	none	0.134476286471734
ko00621	edgeR	LMAT	NC	0.570473189130588	none	0.570473189130588
ko00620	edgeR	LMAT	NC	0.83483802679775	none	0.83483802679775
ko00623	edgeR	LMAT	NC	0.528425734485387	none	0.528425734485387
ko00622	edgeR	LMAT	NC	0.435540560028283	none	0.435540560028283
ko00270	edgeR	LMAT	NC	0.942096195914177	none	0.942096195914177
ko00940	edgeR	LMAT	NC	0.376947182437651	none	0.376947182437651
ko00941	edgeR	LMAT	NC	0.344743346242852	none	0.344743346242852
ko01053	edgeR	LMAT	NC	0.22943556977292	none	0.22943556977292
ko00943	edgeR	LMAT	NC	0.0835070440686625	none	0.0835070440686625
ko00100	edgeR	LMAT	NC	0.00163262526918951	none	0.00163262526918951
ko00945	edgeR	LMAT	NC	0.69477925223851	none	0.69477925223851
ko01056	edgeR	LMAT	NC	1	none	1
ko05016	edgeR	LMAT	NC	0.30266550065563	none	0.30266550065563
ko04145	edgeR	LMAT	NC	0.204160248112041	none	0.204160248112041
ko00071	edgeR	LMAT	NC	0.889067536022326	none	0.889067536022326
ko00072	edgeR	LMAT	NC	0.786649344208397	none	0.786649344208397
ko05219	edgeR	LMAT	NC	0.000392425680963631	none	0.000392425680963631
ko05215	edgeR	LMAT	NC	0.843380169896062	none	0.843380169896062
ko05211	edgeR	LMAT	NC	0.0524728107952251	none	0.0524728107952251
ko05210	edgeR	LMAT	NC	0.326686274338623	none	0.326686274338623
ko01055	edgeR	LMAT	NC	0.805762934074355	none	0.805762934074355
