6feature	method	group1	group2	p_values	adj_method	p_adjust	pathway_name	pathway_description	pathway_class	pathway_map
ko04142	edgeR	HMAT	MD	0.00521514339247424	none	0.00521514339247424	Lysosome	Lysosomes are membrane-delimited organelles in animal cells serving as the cell's main digestive compartment to which all sorts of macromolecules are delivered for degradation. They contain more than 40 hydrolases in an acidic environment (pH of about 5). After synthesis in the ER, lysosomal enzymes are decorated with mannose-6-phosphate residues, which are recognized by mannose-6-phosphate receptors in the trans-Golgi network. They are packaged into clathrin-coated vesicles and are transported to late endosomes. Substances for digestion are acquired by the lysosomes via a series of processes including endocytosis, phagocytosis, and autophagy.	Cellular Processes; Transport and catabolism	Lysosome
ko00604	edgeR	HMAT	MD	0.000376174969262196	none	0.000376174969262196	Glycosphingolipid biosynthesis - ganglio series	NA	Metabolism; Glycan biosynthesis and metabolism	Glycosphingolipid biosynthesis - ganglio series
ko04260	edgeR	HMAT	MD	0.00919995640724439	none	0.00919995640724439	Cardiac muscle contraction	Contraction of the heart is a complex process initiated by the electrical excitation of cardiac myocytes (excitation-contraction coupling, ECC). In cardiac myocytes, Ca2+ influx induced by activation of voltage-dependent L-type Ca channels (DHP receptors) upon membrane depolarization triggers the release of Ca2+ via Ca2+ release channels (ryanodine receptors) of sarcoplasmic reticulum (SR) through a Ca2+ -induced Ca release (CICR) mechanism. Ca2+ ions released via the CICR mechanism diffuse through the cytosolic space to contractile proteins to bind to troponinC resulting in the release of inhibition induced by troponinI. The Ca2+ binding to troponinC thereby triggers the sliding of thin and thick filaments, that is, the activation of a crossbridge and subsequent cardiac force development and/or cell shortening. Recovery occurs as Ca2+ is pumped out of the cell by the Na+/Ca2+ exchanger (NCX) or is returned to the sarcoplasmic reticulum (SR) by sarco(endo)plasmic Ca2+ -ATPase (SERCA) pumps on the non-junctional region of the SR.	Organismal Systems; Circulatory system	Cardiac muscle contraction
ko04540	edgeR	HMAT	MD	5.48789679065809e-06	none	5.48789679065809e-06	Gap junction	Gap junctions contain intercellular channels that allow direct communication between the cytosolic compartments of adjacent cells. Each gap junction channel is formed by docking of two 'hemichannels', each containing six connexins, contributed by each neighboring cell. These channels permit the direct transfer of small molecules including ions, amino acids, nucleotides, second messengers and other metabolites between adjacent cells. Gap junctional communication is essential for many physiological events, including embryonic development, electrical coupling, metabolic transport, apoptosis, and tissue homeostasis. Communication through Gap Junction is sensitive to a variety of stimuli, including changes in the level of intracellular Ca2+, pH, transjunctional applied voltage and phosphorylation/dephosphorylation processes. This figure represents the possible activation routes of different protein kinases involved in Cx43 and Cx36 phosphorylation.	Cellular Processes; Cellular community - eukaryotes	Gap junction
ko00565	edgeR	HMAT	MD	0.000193661414159782	none	0.000193661414159782	Ether lipid metabolism	NA	Metabolism; Lipid metabolism	Ether lipid metabolism
ko05322	edgeR	HMAT	MD	0.00621424280799454	none	0.00621424280799454	Systemic lupus erythematosus	Systemic lupus erythematosus (SLE) is a prototypic autoimmune disease characterised by the production of IgG autoantibodies that are specific for self-antigens, such as DNA, nuclear proteins and certain cytoplasmic components, in association with a diverse array of clinical manifestations. The primary pathological findings in patients with SLE are those of inflammation, vasculitis, immune complex deposition, and vasculopathy. Immune complexes comprising autoantibody and self-antigen is deposited particulary in the renal glomeruli and mediate a systemic inflammatory response by activating complement or via Fc{gamma}R-mediated neutrophil and macrophage activation. Activation of complement (C5) leads to injury both through formation of the membrane attack complex (C5b-9) or by generation of the anaphylatoxin and cell activator C5a. Neutrophils and macrophages cause tissue injury by the release of oxidants and proteases.	Human Diseases; Immune disease	Systemic lupus erythematosus
ko00943	edgeR	HMAT	MD	5.46909828241081e-11	none	5.46909828241081e-11	Isoflavonoid biosynthesis	Isoflavonoids are biologically active compounds, such as phytoestrogens, produced by pea family plants. While flavonoids (in the narrow sense) have the 2-phenylchromen-4-one backbone, isoflavonoids have the 3-phenylchromen-4-one backbone with no hydroxyl group substitution at position 2. Isoflavonoids are derived from the flavonoid biosynthesis pathway via liquiritigenin or naringenin.	Metabolism; Biosynthesis of other secondary metabolites	Isoflavonoid biosynthesis
ko00100	edgeR	HMAT	MD	8.44384857033848e-15	none	8.44384857033848e-15	Steroid biosynthesis	NA	Metabolism; Lipid metabolism	Steroid biosynthesis
ko01056	edgeR	HMAT	MD	0.00387571252974913	none	0.00387571252974913	Biosynthesis of type II polyketide backbone	NA	Metabolism; Metabolism of terpenoids and polyketides	Biosynthesis of type II polyketide backbone
ko04145	edgeR	HMAT	MD	5.48789679065809e-06	none	5.48789679065809e-06	Phagosome	Phagocytosis is the process of taking in relatively large particles by a cell, and is a central mechanism in the tissue remodeling, inflammation, and defense against infectious agents. A phagosome is formed when the specific receptors on the phagocyte surface recognize ligands on the particle surface. After formation, nascent phagosomes progressively acquire digestive characteristics. This maturation of phagosomes involves regulated interaction with the other membrane organelles, including recycling endosomes, late endosomes and lysosomes. The fusion of phagosomes and lysosomes releases toxic products that kill most bacteria and degrade them into fragments. However, some bacteria have strategies to escape the bactericidal mechanisms associated with phagocytosis and survive within host phagocytes.	Cellular Processes; Transport and catabolism	Phagosome
