feature	method	group1	group2	p_values	adj_method	p_adjust	pathway_name	pathway_description	pathway_class	pathway_map
ko03450	edgeR	MD	NC	5.1799685538675e-08	none	5.1799685538675e-08	Non-homologous end-joining	Nonhomologous end joining (NHEJ) eliminates DNA double-strand breaks (DSBs) by direct ligation. NHEJ involves binding of the KU heterodimer to double-stranded DNA ends, recruitment of DNA-PKcs (MRX complex in yeast), processing of ends, and recruitment of the DNA ligase IV (LIG4)-XRCC4 complex, which brings about ligation. A recent study shows that bacteria accomplish NHEJ using just two proteins (Ku and DNA ligase), whereas eukaryotes require many factors. NHEJ repairs DSBs at all stages of the cell cycle, bringing about the ligation of two DNA DSBs without the need for sequence homology, and so is error-prone.	Genetic Information Processing; Replication and repair	Non-homologous end-joining
ko04142	edgeR	MD	NC	0.000838386952730348	none	0.000838386952730348	Lysosome	Lysosomes are membrane-delimited organelles in animal cells serving as the cell's main digestive compartment to which all sorts of macromolecules are delivered for degradation. They contain more than 40 hydrolases in an acidic environment (pH of about 5). After synthesis in the ER, lysosomal enzymes are decorated with mannose-6-phosphate residues, which are recognized by mannose-6-phosphate receptors in the trans-Golgi network. They are packaged into clathrin-coated vesicles and are transported to late endosomes. Substances for digestion are acquired by the lysosomes via a series of processes including endocytosis, phagocytosis, and autophagy.	Cellular Processes; Transport and catabolism	Lysosome
ko00513	edgeR	MD	NC	1.31536889648704e-48	none	1.31536889648704e-48	Various types of N-glycan biosynthesis	NA	Metabolism; Glycan biosynthesis and metabolism	Various types of N-glycan biosynthesis
ko04973	edgeR	MD	NC	0.000514450681245152	none	0.000514450681245152	Carbohydrate digestion and absorption	Dietary carbohydrate in humans and omnivorous animals is a major nutrient. The carbohydrates that we ingest vary from the lactose in milk to complex carbohydrates. These carbohydrates are digested to monosaccharides, mostly glucose, galactose and fructose, prior to absorption in the small intestine. Glucose and galactose are initially transported into the enterocyte by SGLT1 located in the apical brush border membrane and then exit through the basolateral membrane by either GLUT2 or exocytosis. In a new model of intestinal glucose absorption, transport by SGLT1 induces rapid insertion and activation of GLUT2 in the brush border membrane by a PKC betaII-dependent mechanism. Moreover, trafficking of apical GLUT2 is rapidly up-regulated by glucose and artificial sweeteners, which act through T1R2 + T1R3/alpha-gustducin to activate PLC-beta2 and PKC-beta II. Fructose is transported separately by the brush border GLUT5 and then released out of the enterocyte into the blood by GLUT2.	Organismal Systems; Digestive system	Carbohydrate digestion and absorption
ko04974	edgeR	MD	NC	6.11199951158974e-06	none	6.11199951158974e-06	Protein digestion and absorption	Protein is a dietary component essential for nutritional homeostasis in humans. Normally, ingested protein undergoes a complex series of degradative processes following the action of gastric, pancreatic and small intestinal enzymes. The result of this proteolytic activity is a mixture of amino acids and small peptides. Amino acids (AAs) are transported into the enterocyte (intestinal epithelial cell) by a variety of AA transporters that are specific for cationic (basic) AA, neutral AA, and anionic (acidic) AA. Small peptides are absorbed into enterocytes by the PEPT1 transporter. Inside enterocytes peptides are hydrolyzed, and the resulting amino acids are released together with those absorbed by AA transporters into blood via multiple, basolateral, AA transporters. Hydrolysis-resistant peptides, however, are transported out of the cells by a basolateral peptide transporter that has not been identified molecularly.	Organismal Systems; Digestive system	Protein digestion and absorption
ko00590	edgeR	MD	NC	6.71242230628376e-05	none	6.71242230628376e-05	Arachidonic acid metabolism	NA	Metabolism; Lipid metabolism	Arachidonic acid metabolism
ko00100	edgeR	MD	NC	0.000570373387791229	none	0.000570373387791229	Steroid biosynthesis	NA	Metabolism; Lipid metabolism	Steroid biosynthesis
ko03050	edgeR	MD	NC	0.000183302973918885	none	0.000183302973918885	Proteasome	The proteasome is a protein-destroying apparatus involved in many essential cellular functions, such as regulation of cell cycle, cell differentiation, signal transduction pathways, antigen processing for appropriate immune responses, stress signaling, inflammatory responses, and apoptosis. It is capable of degrading a variety of cellular proteins in a rapid and timely fashion and most substrate proteins are modified by ubiquitin before their degradation by the proteasome. The proteasome is a large protein complex consisting of a proteolytic core called the 20S particle and ancillary factors that regulate its activity in various ways. The most common form is the 26S proteasome containing one 20S core particle and two 19S regulatory particles that enable the proteasome to degrade ubiquitinated proteins by an ATP-dependent mechanism. Another form is the immunoproteasome containing two 11S regulatory particles, PA28 alpha and PA28 beta, which are induced by interferon gamma under the conditions of intensified immune response. Other regulatory particles include PA28 gamma and PA200. Although PA28 gamma also belongs to a family of activators of the 20S proteasome, it is localized within the nucleus and forms a homoheptamer. PA28 gamma has been implicated in the regulation of cell cycle progression and apoptosis. PA200 has been identified as a large nuclear protein that stimulates proteasomal hydrolysis of peptides.	Genetic Information Processing; Folding, sorting and degradation	Proteasome
ko05146	edgeR	MD	NC	7.34826248653183e-11	none	7.34826248653183e-11	Amoebiasis	Entamoeba histolytica, an extracellular protozoan parasite is a human pathogen that invades the intestinal epithelium. Infection occurs on ingestion of contaminated water and food. The pathogenesis of amoebiasis begins with parasite attachment and disruption of the intestinal mucus layer, followed by apoptosis of host epithelial cells. Intestinal tissue destruction causes severe dysentery and ulcerations in amoebic colitis. Several amoebic proteins such as lectins, cysteine proteineases, and amoebapores are associated with the invasion process. The parasite can cause extraintestinal infection like amoebic liver abscess by evading immune response.	Human Diseases; Infectious disease: parasitic	Amoebiasis
ko05144	edgeR	MD	NC	1.13780346534303e-13	none	1.13780346534303e-13	Malaria	Plasmodium protozoa are parasites that account for malaria infection. Sporozoite forms of the parasite are injected by mosquito bites under the skin and are carried to the liver where they develop into the merozoite form.	Human Diseases; Infectious disease: parasitic	Malaria
