OTUID	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
ASV_1	13	535	2522	12	16	9	11	7	66	12	73	1161	656	47	740	45	1719	16	17	31	1422	25	33	877	955	1178	2737	3932	63	17	22	13	552	11	1060	1889	1917	885	251	47	6	116	808	453	39	71	1172
ASV_2	218	492	1259	135	1436	14	458	531	29	514	419	757	800	704	1305	551	792	268	512	29	1779	426	405	1222	953	707	1023	346	235	503	363	64	911	672	835	13	38	16	10	13	16	78	12	4	27	54	10
ASV_3	67	1268	550	21	830	257	53	299	961	292	1004	482	593	422	458	628	27	1641	253	361	244	910	653	592	208	80	243	642	1019	93	124	122	41	283	527	5	12	62	230	10	6	50	78	6	2	5	1
ASV_11	309	430	7	166	6	31	330	45	406	727	270	100	11	11	5	10	10	38	19	37	0	21	66	62	552	14	51	17	21	544	245	574	1106	355	1490	23	23	31	13	92	72	14	8	3	37	8	16
ASV_8	3	1	3	6	2	157	13	328	7	3	12	13	4	9	11	12	9	63	753	167	4	419	174	5	2	2	7	4	110	23	9	8	6	6	11	573	542	623	584	200	423	87	377	695	57	841	622
ASV_10	425	10	13	344	11	362	214	99	386	5	41	6	9	9	7	277	5	458	154	163	7	98	70	301	14	92	224	242	301	836	1003	991	239	376	22	20	25	21	4	11	3	8	10	2	3	7	4
ASV_1385	1260	794	22	1064	9	22	8	10	1096	1302	16	13	5	14	13	3	14	22	1134	486	7	370	176	1	6	6	4	5	1	1	0	0	3	8	2	7	0	1	1	1	5	6	6	3	0	0	1
ASV_6	0	0	0	2	6	2	1	0	0	0	1	7	2	0	4	0	0	0	0	11	8	0	2	0	0	0	1	4	5	1	15	4	4	5	9	1799	2085	236	1123	40	10	12	240	251	10	177	782
ASV_4	35	0	114	82	3	1	14	65	6	2	129	141	255	421	638	1114	1050	123	163	727	107	122	917	5	10	7	12	255	6	26	66	40	53	36	62	2	2	3	6	5	4	2	3	2	1	0	4
ASV_7	448	71	5	764	1	207	171	197	63	262	28	238	27	2	47	598	6	100	154	186	4	132	142	195	6	4	123	65	33	299	516	203	138	248	6	61	14	12	35	8	35	37	10	77	55	56	49
ASV_9	12	197	222	24	80	69	62	129	448	124	226	72	628	26	54	37	114	115	20	201	63	110	89	180	327	382	516	203	144	30	19	22	33	70	135	22	8	78	38	52	25	74	199	11	18	48	20
ASV_14	70	19	2	14	8	33	4	119	6	3	31	20	9	1	7	2	75	116	294	105	8	107	1	7	4	1	7	143	157	3	58	302	49	3	6	88	86	139	360	104	571	172	63	633	1141	231	99
ASV_15	55	15	30	46	20	131	170	197	49	171	129	39	27	320	179	179	34	5	1	5	440	68	4	80	35	10	110	69	206	225	268	265	149	575	54	16	12	32	15	14	219	26	8	12	20	98	15
ASV_13	10	19	7	7	111	541	209	68	41	22	373	30	481	203	380	688	80	117	214	133	101	562	294	16	7	12	10	27	36	12	1	2	3	11	1	9	24	11	7	6	1	6	15	30	31	82	16
ASV_21	29	8	205	18	237	22	239	266	34	51	14	20	52	544	124	122	160	50	83	42	326	120	119	63	13	27	45	22	136	237	122	181	24	106	8	34	28	56	78	90	186	78	31	47	138	57	40
ASV_19	235	37	144	76	100	89	113	176	228	169	40	222	64	154	3	13	216	24	80	26	4	90	36	97	2	5	157	7	55	135	21	51	32	59	3	5	5	356	23	265	370	51	200	220	35	204	5
ASV_12	1	205	515	57	4	5	0	5	97	49	12	635	3	2	2	1	4	391	175	88	11	42	6	463	101	6	609	9	816	6	0	2	1	95	2	1	18	0	0	3	1	1	2	26	2	0	11
ASV_17	170	228	2	81	3	15	196	24	207	256	166	60	7	6	1	4	3	26	15	28	0	9	42	32	296	7	21	5	17	289	121	321	543	197	637	4	8	16	5	131	83	13	4	1	13	1	8
ASV_20	62	197	2	22	273	10	81	20	176	224	16	8	115	38	121	79	89	78	51	30	0	55	34	136	512	420	54	74	14	92	162	151	105	138	95	7	8	14	3	6	12	7	2	1	6	18	3
ASV_29	78	227	3	38	203	12	96	17	210	218	25	6	96	47	98	49	75	84	46	41	8	53	46	118	467	354	45	80	16	85	127	132	168	131	98	11	9	10	4	14	18	9	1	5	13	54	7
ASV_22	160	2	3	107	5	161	88	54	157	2	15	2	1	5	2	125	5	187	70	69	1	46	28	148	3	37	134	129	119	372	391	423	97	189	9	6	5	12	4	3	2	1	5	4	2	2	1
ASV_23	55	132	39	28	57	32	74	86	92	104	110	136	41	215	141	152	59	26	55	39	209	19	78	115	151	164	33	53	26	38	46	37	143	50	150	14	9	45	38	48	37	59	40	55	63	43	53
ASV_16	2	6	4	5	41	1090	12	106	0	0	3	3	7	23	419	139	179	3	3	223	60	6	4	0	0	0	3	3	0	3	6	2	1	0	1	30	19	75	820	77	2	89	325	8	0	22	13
ASV_28	74	161	3	38	165	17	93	17	151	176	15	8	67	31	72	70	50	91	40	33	3	52	45	140	344	286	54	77	9	91	198	160	118	143	73	5	2	13	8	7	13	10	0	10	14	12	3
ASV_25	73	7	20	96	39	41	90	75	480	120	34	158	9	451	122	125	347	48	167	135	58	4	118	10	8	69	4	130	4	1	27	47	23	10	12	4	0	1	3	4	14	96	2	2	17	5	3
