Group	Group_2	group	Group_all	Date	Site	CRA	CRR
L36	LMAT	LMATA	CLMAT	L36	2023/11/5	Shenzhen	CRA002376	CRR117599
L37	LMAT	LMATB	CLMAT	L37	2023/11/10	Shenzhen	CRA002381	CRR117604
L38	LMAT	LMATA	CLMAT	L38	2023/11/11	Shenzhen	CRA002382	CRR117605
L39	LMAT	LMATB	CLMAT	L39	2023/11/12	Shenzhen	CRA002383	CRR117606
L70	LMAT	LMATA	CLMAT	L70	2023/11/13	Shenzhen	CRA002384	CRR117607
L73	LMAT	LMATB	CLMAT	L73	2023/11/14	Shenzhen	CRA002385	CRR117608
L76	LMAT	LMATA	CLMAT	L76	2023/11/16	Shenzhen	CRA002387	CRR117610
L77	LMAT	LMATB	CLMAT	L77	2023/11/18	Shenzhen	CRA002389	CRR117612
L91	LMAT	LMATA	CLMAT	L91	2023/11/19	Shenzhen	CRA002390	CRR117613
L92	LMAT	LMATB	CLMAT	L92	2023/11/20	Shenzhen	CRA002391	CRR117614
L93	LMAT	LMATA	CLMAT	L93	2023/11/22	Shenzhen	CRA002393	CRR117616
N12	NC	NCB	ANC	N12	2023/12/5	Shenzhen	CRA002406	CRR117629
N13	NC	NCA	ANC	N13	2023/12/6	Shenzhen	CRA002407	CRR117630
N15	NC	NCB	ANC	N15	2023/12/7	Shenzhen	CRA002408	CRR117631
N16	NC	NCA	ANC	N16	2023/12/8	Shenzhen	CRA002409	CRR117632
N17	NC	NCB	ANC	N17	2023/12/9	Shenzhen	CRA002410	CRR117633
N51	NC	NCA	ANC	N51	2023/12/10	Shenzhen	CRA002411	CRR117634
N52	NC	NCB	ANC	N52	2023/12/11	Shenzhen	CRA002412	CRR117635
N53	NC	NCA	ANC	N53	2023/12/12	Shenzhen	CRA002413	CRR117636
N86	NC	NCB	ANC	N86	2023/12/13	Shenzhen	CRA002414	CRR117637
N87	NC	NCA	ANC	N87	2023/12/14	Shenzhen	CRA002415	CRR117638
N88	NC	NCB	ANC	N88	2023/12/15	Shenzhen	CRA002416	CRR117639
N90	NC	NCA	ANC	N90	2023/12/16	Shenzhen	CRA002417	CRR117640
