Group	Group_2	group	Group_all	Date	Site	CRA	CRR
H60	HMAT	HMATA	DHMAT	H60	2023/10/14	Shenzhen	CRA002354	CRR117577
H61	HMAT	HMATB	DHMAT	H61	2023/10/16	Shenzhen	CRA002356	CRR117579
H62	HMAT	HMATA	DHMAT	H62	2023/10/17	Shenzhen	CRA002357	CRR117580
H63	HMAT	HMATB	DHMAT	H63	2023/10/20	Shenzhen	CRA002360	CRR117583
H64	HMAT	HMATA	DHMAT	H64	2023/10/22	Shenzhen	CRA002362	CRR117585
H66	HMAT	HMATB	DHMAT	H66	2023/10/23	Shenzhen	CRA002363	CRR117586
H67	HMAT	HMATA	DHMAT	H67	2023/10/24	Shenzhen	CRA002364	CRR117587
H68	HMAT	HMATB	DHMAT	H68	2023/10/27	Shenzhen	CRA002367	CRR117590
H79	HMAT	HMATA	DHMAT	H79	2023/10/29	Shenzhen	CRA002369	CRR117592
H94	HMAT	HMATB	DHMAT	H94	2023/10/31	Shenzhen	CRA002371	CRR117594
H95	HMAT	HMATA	DHMAT	H95	2023/11/2	Shenzhen	CRA002373	CRR117596
H96	HMAT	HMATB	DHMAT	H96	2023/11/3	Shenzhen	CRA002374	CRR117597
L36	LMAT	LMATA	CLMAT	L36	2023/11/5	Shenzhen	CRA002376	CRR117599
L37	LMAT	LMATB	CLMAT	L37	2023/11/10	Shenzhen	CRA002381	CRR117604
L38	LMAT	LMATA	CLMAT	L38	2023/11/11	Shenzhen	CRA002382	CRR117605
L39	LMAT	LMATB	CLMAT	L39	2023/11/12	Shenzhen	CRA002383	CRR117606
L70	LMAT	LMATA	CLMAT	L70	2023/11/13	Shenzhen	CRA002384	CRR117607
L73	LMAT	LMATB	CLMAT	L73	2023/11/14	Shenzhen	CRA002385	CRR117608
L76	LMAT	LMATA	CLMAT	L76	2023/11/16	Shenzhen	CRA002387	CRR117610
L77	LMAT	LMATB	CLMAT	L77	2023/11/18	Shenzhen	CRA002389	CRR117612
L91	LMAT	LMATA	CLMAT	L91	2023/11/19	Shenzhen	CRA002390	CRR117613
L92	LMAT	LMATB	CLMAT	L92	2023/11/20	Shenzhen	CRA002391	CRR117614
L93	LMAT	LMATA	CLMAT	L93	2023/11/22	Shenzhen	CRA002393	CRR117616
