Species	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Unassigned	0.217160391832881	0.551737974620053	0.21237123468242	0.0869565217391304	0.533333333333333	0.469048123807505	0.098950162905756	0.412644787644788	0.197688564476886	0.24879911319128	1.54406713854792	0.449575275619013	0.152897137132915	0.207662992629105	0.0672416991281766	0.182721139430285	0.105572732071488	0.415632235208792	0.125292147555598	0.316690992206648	0.0485942381117667	0.329911120959204	0.490978274211366
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Unassigned	0.018883512333294	0.0476500978080955	0.0439388761411903	0.0434782608695652	0.0498442367601246	0.0476998092007632	0.0241341860745746	0.0144787644787645	0.0202757502027575	0.0123167877817465	0.0238927216796583	0.0158142056750407	0.0158169452206464	0.0136920654480728	0.0231867928028195	0.0257683658170915	0.0326772742126034	0.0334737370637954	0.0289135725128304	0.0385536860077658	0.0161980793705889	0.0246202329074033	0.0417331533079661
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned|Unassigned|Unassigned	0.00708131712498525	0	0	0.00255754475703325	0.00747663551401869	0.026499894000424	0.00241341860745746	0.0217181467181467	0	0	0.00895977062987187	0	0.0421785205883904	0.0616142945163278	0.0278241513633834	0.0140554722638681	0.0226227283010331	0.0167368685318977	0.0530082162735224	0.0413075207226062	0.0300821474025223	0.0393923726518453	0.0564625015343071
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	0.056650536999882	0.0200631990770928	0.21481228335693	0.0127877237851662	0.00747663551401869	0.116599533601866	0.00241341860745746	0.028957528957529	0.0177412814274128	0.0221702180071437	0.00597318041991458	0.454093620097596	0.195075657721305	0.0273841308961457	0.104340567612688	0.0117128935532234	0.497700022622728	0.0976317331027365	0.0192757150085536	0.118414892738138	0.0809903968529446	0.0960189083388729	0.0196391309684546
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Unassigned	0.00236043904166175	0.00752369965390982	0.0244104867451057	0	0.0996884735202492	0.0211999152003392	0.00241341860745746	0.0506756756756757	0.0202757502027575	0.0024633575563493	0.164262461547651	0.0112958611964576	0.0606316233458111	0.0867164145044613	0.111296605453534	0.426349325337331	0.00502727295578513	0.00278947808864961	0.0024094643760692	0.00275383471484042	0.0462802267731112	0	0.00490978274211366
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Unassigned	0.689248200165231	2.54802628279079	3.2099790069814	2.82864450127877	1.34828660436137	1.81524273902904	0.765053698564016	0.856660231660232	0.704582319545823	1.11097425791354	2.58340053161306	0.781673594794867	2.70733379026731	0.666347185139545	0.40345019476906	0.236600449775112	0.527863660357439	2.70300426790148	0.778256993470351	2.6849888469694	0.962628716880713	0.615505822685083	0.709463606235424
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Unassigned	0.0141626342499705	0.107839695039374	0.017087340721574	0.281329923273657	0.032398753894081	0.124549501801993	0.00965367442982985	0.0168918918918919	0.00506893755068938	0.0591205813523833	0.0657049846190604	0.00225917223929152	0.139716349449043	0.00228201090801214	0.00927471712112781	0.00234257871064468	0.0251363647789257	0.103210689280036	0.012047321880346	0.162476248175584	0.0416522040958001	0.00738606987222099	0.00245489137105683
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae|Barnesiella|Unassigned	0.169951610999646	0.42885088027286	0.495532880925646	0.324808184143222	0.520872274143302	0.908946364214543	0.359599372511162	0.27027027027027	0.32441200324412	0.416307427023032	0.519666696532569	0.323061630218688	0.775030315811673	0.134638643572716	0.234186607308477	0.126499250374813	0.38207274463967	1.01537002426846	0.385514300171072	0.66367416627654	0.168922827721856	0.561341310288795	0.567079906714128
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Duncaniella|Unassigned	1.39265903458043	3.1449064553343	2.64853781184397	1.73145780051151	2.09345794392523	3.34163663345347	3.33534451550621	1.89430501930502	1.29257907542579	2.01502648109373	3.39575306872144	1.56108801735044	3.54563188696156	2.22724264621985	2.41374513077351	1.24859445277361	2.06620918482769	5.14100811738124	2.56367009613763	5.73348387629774	2.06409811408076	4.39471157397149	5.54559960721738
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae|Muribaculum|Unassigned	0.424879027499115	0.739830465967799	0.776253478494361	0.473145780051151	0.570716510903427	1.18454526181895	0.591287558827079	0.405405405405405	0.519566098945661	0.564108880403991	1.31409969238121	0.544460509669257	0.8752043022091	0.933342461376965	0.588944537191616	0.501311844077961	0.608300027650001	1.0627911517755	0.609594487145508	1.44851706000606	0.946430637510124	1.09560036437945	1.29127286117589
