Family	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae	0.144988664522592	0.198534948997056	0.048692264885921	0.171008245877061	0.0980318226378101	0.3598426734358	0.108425896923114	0.300167983917605	0.0485942381117667	0.312676957924022	0.471339143242911	0.0552957168859295	0.0614860710400605	0.346117215266324	1.68196983483608	0.225531491492819	0.084726867335563	0.711424810240036	1.54521795705921	0.0551710301936002	0.0675690403016631	0.112940751281878	0.0897509411383411
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae	0.0158169452206464	0.0136920654480728	0.0231867928028195	0.0257683658170915	0.0326772742126034	0.0334737370637954	0.0289135725128304	0.0385536860077658	0.0161980793705889	0.0246202329074033	0.0417331533079661	0.0207358938322236	0.0260133377477179	0.0301981462984041	0.0606612071580224	0.0729660707770887	0.0289855072463768	0.0896283225499258	0.0609954456733897	0.0275855150968001	0.0392336363041915	0.0338822253845633	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned	0.0421785205883904	0.0616142945163278	0.0278241513633834	0.0140554722638681	0.0226227283010331	0.0167368685318977	0.0530082162735224	0.0413075207226062	0.0300821474025223	0.0393923726518453	0.0564625015343071	0.0253438702393844	0.0094593955446247	0.137053125508142	0.113050431521769	0.0165831979038838	0.00222965440356745	0.0280088507968518	0.126057254391672	0.0025077740997091	0.0217964646134397	0.0271057803076506	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned	0.195075657721305	0.0273841308961457	0.104340567612688	0.0117128935532234	0.497700022622728	0.0976317331027365	0.0192757150085536	0.118414892738138	0.0809903968529446	0.0960189083388729	0.0196391309684546	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae	0.0606316233458111	0.0867164145044613	0.111296605453534	0.426349325337331	0.00502727295578513	0.00278947808864961	0.0024094643760692	0.00275383471484042	0.0462802267731112	0	0.00490978274211366	0.0023039882035804	0.00236484888615617	0.044135752282283	0.126837069512229	0.0298497562269908	0	0.0252079657171666	0.0731945348080677	0.0025077740997091	0.00435929292268794	0.0225881502563755	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae	0.0237254178309696	0.0661783163323521	0.0811537748098683	0.234257871064468	0.0251363647789257	0.0195263466205473	0.0313230368888996	0.0165230082890425	0.0138840680319334	0.022158209616663	0.0834663066159322	0.0714236343109923	0.120607293193965	0.336825477943739	0.270218104613009	0.106132466584856	0.0579710144927536	0.196061955577963	0.252114508783344	0.0652021265924365	0.0435929292268794	0.090352601025502	0.184488045673257
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae	2.84705013971635	0.668629196047557	0.412724911890187	0.238943028485757	0.553000025136365	2.80621495718151	0.790304315350697	2.84746509514499	1.00428092097651	0.622891892557304	0.711918497606481	0.179711079879271	0.234120039729461	0.432065785500244	0.0689331899522982	0.315080760173792	0.379041248606466	0.193261070498277	0.272446324007807	0.303440666064801	0.0566708079949432	0.176187571999729	0.411358480217397
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Barnesiellaceae	0.780302630885222	0.15974076356085	0.250417362270451	0.142897301349325	0.394640927029133	1.02931741471171	0.395152157675349	0.677443339850742	0.182806895753789	0.568727380161016	0.598993494537867	0.188927032693593	0.267227924135648	0.267137448024344	0.137866379904596	0.162515339458061	0.0356744704570792	0.128840713665518	0.191119063109954	0.105326512187782	0.0479522221495673	0.0880937859998645	0.109695594724639
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Muribaculaceae	5.74945958770496	4.35635882339518	4.33593025412725	3.26086956521739	3.41100470050021	8.44096069625373	4.91771679155724	10.577479139702	4.12356820548421	8.32163872270232	9.90548668221431	6.75759740110131	5.68273187343329	3.14989895235662	2.56431466622549	10.0991675234652	1.99777034559643	3.42548245245498	6.64850357839948	4.44377570468452	1.70884282569367	4.18332542748074	5.75901872304355
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Prevotellaceae	6.85400959561343	0.609296912439241	0.774438879614172	0.407608695652174	1.87014553955207	1.84105553850874	0.387923764547141	3.76449205518685	0.985768830267268	2.02624516827929	1.41647232109979	0.509181392991268	0.761481341342288	1.45647982531534	0.603854743982132	0.832476534774966	0.416945373467113	1.40884519508165	2.40728692257645	0.336041729361019	0.311689443972188	0.5714802014863	0.545984891924908
