Species	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90
Bacteria|Actinobacteria|Actinobacteria|Bifidobacteriales|Bifidobacteriaceae|Bifidobacterium|Unassigned	0.224241708957866	0.579324873351056	0.263633256847142	0.112531969309463	0.558255451713396	0.492898028407886	0.118257511765416	0.422297297297297	0.20529197080292	0.263579258529376	1.59782576232715	0.510572926079884	0.163441767280013	0.228201090801214	0.0881098126507142	0.18506371814093	0.115627277983058	0.426790147563391	0.156615184444498	0.363506182358935	0.0485942381117667	0.339759214122166	0.562170123972014	0.305541296961697	0.101915549070021	0.120904066324516	0.144892538034291	0.196557950311979	0.139202227235636	0.176899308913366	0.218319425577334	0.145071205783505	0.186894054432893	0.191875583831957	0.365360696517413	0.17279911526853	0.127701839852433	0.413482310855072	1.73160173160173	0.252064608139034	0.129319955406912	0.795451362630591	1.62654521795706	0.102818738088073	0.0784672726083829	0.131011271486978	0.129640248310937
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Micrococcaceae|Rothia|Unassigned	0.018883512333294	0.0476500978080955	0.0439388761411903	0.0434782608695652	0.0498442367601246	0.0476998092007632	0.0241341860745746	0.0144787644787645	0.0202757502027575	0.0123167877817465	0.0238927216796583	0.0158142056750407	0.0158169452206464	0.0136920654480728	0.0231867928028195	0.0257683658170915	0.0326772742126034	0.0334737370637954	0.0289135725128304	0.0385536860077658	0.0161980793705889	0.0246202329074033	0.0417331533079661	0.0391092860110973	0.023162624788641	0.037011448874852	0.0289785076068582	0.0297122483029735	0.0240003840061441	0.00943462980871288	0.0169803997671259	0.0120892671486255	0.014017054082467	0.0201974298770481	0.0259121061359867	0.0207358938322236	0.0260133377477179	0.0301981462984041	0.0606612071580224	0.0729660707770887	0.0289855072463768	0.0896283225499258	0.0609954456733897	0.0275855150968001	0.0392336363041915	0.0338822253845633	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Micrococcales|Unassigned|Unassigned|Unassigned	0.00708131712498525	0	0	0.00255754475703325	0.00747663551401869	0.026499894000424	0.00241341860745746	0.0217181467181467	0	0	0.00895977062987187	0	0.0421785205883904	0.0616142945163278	0.0278241513633834	0.0140554722638681	0.0226227283010331	0.0167368685318977	0.0530082162735224	0.0413075207226062	0.0300821474025223	0.0393923726518453	0.0564625015343071	0	0	0.00246742992499013	0	0	0	0.00943462980871288	0.0169803997671259	0.00241785342972509	0.00233617568041117	0	0	0.0253438702393844	0.0094593955446247	0.137053125508142	0.113050431521769	0.0165831979038838	0.00222965440356745	0.0280088507968518	0.126057254391672	0.0025077740997091	0.0217964646134397	0.0271057803076506	0.00997232679314901
Bacteria|Actinobacteria|Actinobacteria|Mycobacteriales|Mycobacteriaceae|Mycobacterium|Unassigned	0.018883512333294	0.0150473993078196	0.0122052433725528	0.0051150895140665	0.0722741433021807	0.026499894000424	0.00965367442982985	0.00241312741312741	0	0	0	0	0.0579954658090368	0.00684603272403642	0	0.00234257871064468	0.00251363647789257	0.00278947808864961	0	0	0.0439662154344556	0.00492404658148066	0.014729348226341	0.00488866075138716	0.00694878743659231	0.00493485984998026	0	0	0.0432006912110594	0.00943462980871288	0.0145546283718222	0	0.00233617568041117	0	0	0.0023039882035804	0.040202431064655	0.00464586866129294	0.00551465519618386	0.00994991874233027	0.00222965440356745	0	0	0	0.0261557575361276	0.0090352601025502	0.0149584901897235
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned|Unassigned|Unassigned	0.056650536999882	0.0200631990770928	0.21481228335693	0.0127877237851662	0.00747663551401869	0.116599533601866	0.00241341860745746	0.028957528957529	0.0177412814274128	0.0221702180071437	0.00597318041991458	0.454093620097596	0.195075657721305	0.0273841308961457	0.104340567612688	0.0117128935532234	0.497700022622728	0.0976317331027365	0.0192757150085536	0.118414892738138	0.0809903968529446	0.0960189083388729	0.0196391309684546	0.488866075138716	0.0162138373520487	0.416995657323332	0.234242936488771	0.0891367449089205	0.0984015744251908	0.00471731490435644	0.00485154279060741	0.0217606808675258	0.0186894054432893	0.0328208235502032	0.0129560530679934	0.011519941017902	0.0567563732677482	0.28339798833887	0.0248159483828274	0.0331663958077676	0.00222965440356745	0.0504159314343333	0.0894599869876383	0.0025077740997091	0.00653893938403191	0.00225881502563755	0.0274238986811598
Bacteria|Actinobacteria|Coriobacteriia|Coriobacteriales|Atopobiaceae|Olsenella|Unassigned	0.00236043904166175	0.00752369965390982	0.0244104867451057	0	0.0996884735202492	0.0211999152003392	0.00241341860745746	0.0506756756756757	0.0202757502027575	0.0024633575563493	0.164262461547651	0.0112958611964576	0.0606316233458111	0.0867164145044613	0.111296605453534	0.426349325337331	0.00502727295578513	0.00278947808864961	0.0024094643760692	0.00275383471484042	0.0462802267731112	0	0.00490978274211366	0	0.00463252495772821	0	0	0.00228555756176719	0.00240003840061441	0.00235865745217822	0.00970308558121483	0.00967141371890036	0.00233617568041117	0.00252467873463102	0.0181384742951907	0.0023039882035804	0.00236484888615617	0.044135752282283	0.126837069512229	0.0298497562269908	0	0.0252079657171666	0.0731945348080677	0.0025077740997091	0.00435929292268794	0.0225881502563755	0
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Adlercreutzia|Unassigned	0.0212439513749557	0.0451421979234589	0.0244104867451057	0.0127877237851662	0.0398753894080997	0.0158999364002544	0.0217207674671172	0.0265444015444015	0.0126723438767234	0.0172435028944451	0.0238927216796583	0.0429242725465389	0.0316338904412928	0.0433582072522307	0.0579669820070488	0.0913605697151424	0.00502727295578513	0.0139473904432481	0.0265041081367612	0.0110153388593617	0.0115700566932778	0.0123101164537017	0.0515527187921934	0.0366649556354037	0.0185300998309128	0.037011448874852	0.00724462690171456	0.0228555756176719	0.0336005376086017	0.00707597235653466	0.0145546283718222	0.026596387726976	0.00934470272164467	0.0429195384887273	0.0181384742951907	0.0552957168859295	0.120607293193965	0.269460382354991	0.190255604268343	0.0928659082617492	0.020066889632107	0.092429207629611	0.195185426154847	0.0451399337947638	0.0283354039974716	0.0564703756409388	0.0947371045349156
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Enteroscipio|Unassigned	0.0047208780833235	0.00501579976927321	0.00976419469804228	0.00255754475703325	0.0199376947040498	0.0158999364002544	0	0.0434362934362934	0	0	0	0	0.0052723150735488	0.0136920654480728	0.0278241513633834	0.0773050974512744	0.0075409094336777	0.00557895617729923	0.0072283931282076	0.00275383471484042	0.00231401133865556	0.00492404658148066	0.00981956548422732	0.00488866075138716	0	0.0123371496249507	0	0.0937078600324549	0.0360005760092161	0.00235865745217822	0.00242577139530371	0.00725356028917527	0	0	0.00259121061359867	0.0046079764071608	0.0212836399754056	0.113823782201677	0.038602586373287	0.0198998374846605	0.020066889632107	0.0224070806374814	0.0569290826284971	0.0125388704985455	0.00653893938403191	0.0248469652820131	0.0349031437760215
Bacteria|Actinobacteria|Coriobacteriia|Eggerthellales|Eggerthellaceae|Unassigned|Unassigned	0.0236043904166175	0.00501579976927321	0.00976419469804228	0.00767263427109974	0.00747663551401869	0	0.0217207674671172	0.0265444015444015	0.00506893755068938	0	0.00298659020995729	0.0293692391107898	0	0.0228201090801214	0.0139120756816917	0.0819902548725637	0.0125681823894628	0	0.0072283931282076	0.00275383471484042	0.00231401133865556	0.00492404658148066	0.029458696452682	0.00977732150277431	0.0208463623097769	0.0715554678247138	0.00482975126780971	0.0685667268530158	0.052800844813517	0.00235865745217822	0.00242577139530371	0.00967141371890036	0	0.0151480724077861	0	0.0161279174250628	0.0189187910892494	0.0209064089758183	0.110293103923677	0.013266558323107	0.0222965440356745	0.120438058426463	0.0772608978529603	0.0200621927976728	0.0130778787680638	0.0112940751281878	0.0822716960434794
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Bacteroides|Unassigned	0.698689956331878	2.59066058082961	3.23683054240102	2.93606138107417	1.3607476635514	1.87354250582998	0.791601303246048	0.861486486486487	0.722323600973236	1.13068111836433	2.61027984350267	0.790710283752033	2.78641851637054	0.677757239679606	0.417362270450751	0.241285607196402	0.555513661614257	2.74763591731987	0.804761101607113	2.72905020240685	0.999652898299202	0.622891892557304	0.719283171719651	0.994842462907287	0.583698144673754	3.81217923410975	0.695484182564598	0.415971476241629	1.97043152690443	0.851475340236338	1.36328352416068	0.573031262844846	0.873729704473776	1.39109798278169	1.42516583747927	0.209662926525816	0.24121458638793	0.43438871983089	0.0744478451484821	0.331663958077676	0.383500557413601	0.198862840657648	0.2765126870527	0.310963988363928	0.0566708079949432	0.182964017076642	0.448754705691706
Bacteria|Bacteroidetes|Bacteroidia|Bacteroidales|Bacteroidaceae|Phocaeicola|Unassigned	0.0212439513749557	0.145458193308923	0.0732314602353171	0.324808184143223	0.0573208722741433	0.151049395802417	0.0241341860745746	0.041023166023166	0.0177412814274128	0.0788274418031777	0.104530657348505	0.0203325501536237	0.17398639742711	0.0136920654480728	0.0278241513633834	0.0210832083958021	0.0402181836462811	0.14784233869843	0.036141965641038	0.236829785476276	0.0624783061437001	0.0344683260703646	0.0343684791947956	0.0268876341326294	0.0416927246195539	0.157915515199368	0.0386380101424777	0.0228555756176719	0.0768012288196611	0.0518904639479208	0.101882398602756	0.0386856548756014	0.0584043920102792	0.0504935746926204	0.126969320066335	0.0253438702393844	0.0094593955446247	0.0162605403145253	0.0303306035790112	0.0232164770654373	0.0222965440356745	0.00560177015937036	0.0121990891346779	0.0200621927976728	0.00435929292268794	0.0090352601025502	0.0174515718880108
