Genus	H60	H61	H62	H63	H64	H66	H67	H68	H79	H94	H95	H96	L36	L37	L38	L39	L70	L73	L76	L77	L91	L92	L93	M30	M31	M32	M33	M34	M35	M54	M55	M56	M57	M58	M59	N12	N13	N15	N16	N17	N51	N52	N53	N86	N87	N88	N90	All
Unassigned	33.7	20.3	11.1	29	10.2	28.8	17.4	17.5	28	26.6	12.1	23.3	7.74	10.6	11.6	16.5	11.2	15.8	24.8	18.4	6.5	14.3	10.6	18.1	16	11.5	16.1	8.45	20.5	23.8	23.7	22.9	13.1	16.8	8.57	13.9	18.4	29.8	23.2	26.1	17.2	22.4	29.5	18.3	15.1	19.7	16.6	21.9
Kineothrix	8.45	8.56	6.79	3.98	13.9	3.35	12.1	8	10.9	11.6	8.38	7.09	11.2	14.3	7.12	5.85	7.4	5.72	5.14	3.76	11.6	6.12	8.01	7.3	13.8	8.4	4.42	3.43	6.01	13.6	11.6	16.8	14.5	11.2	13	8.76	7.93	7.7	4.69	11.6	18.3	10.4	4.07	13.9	18.1	12.8	11.3	4.6
Lacrimispora	7.4	12	13.9	5.05	19.3	6.48	10.9	8.33	11.8	17.3	8.3	11.4	14.1	14.3	16.5	8.17	16.5	5.61	13.2	5.18	20.3	12.8	7.61	15	21.1	14.1	12.7	6.13	6.49	12.9	9.48	9.66	22.9	13.9	25.5	6.99	4.3	1.18	2.57	1.96	5.1	2.74	1.13	4.89	10.3	12.4	6.41	2.7
Roseburia	0.27	0.19	0.25	0.77	0.24	0.45	0.52	0.77	0.16	0.15	0.29	0.17	0.27	0.2	0.62	0.12	0.63	0.79	0.67	0.91	0.28	0.29	0.47	0.15	0.15	0.28	0.2	0.18	1.35	0.78	0.84	0.26	0.17	0.55	0.24	0.32	0.18	1.06	0.74	0.98	2.16	3.53	1.27	4.62	1.24	0.51	1.01	2.5
Flintibacter	2.44	1.17	1.47	3.7	4.86	3.68	4.81	5.4	2.26	1.72	4.45	2.47	2.52	2.98	2.01	0.96	2.89	0.99	1.83	2.58	2.97	2.08	1.33	2.89	1.91	1.88	1.45	1.16	1.73	2.52	3.87	4.6	3.56	3.76	2.03	0.25	0.23	0.29	0.19	1.12	1.42	0.08	0.34	0.23	1.23	0.46	0.31	2.5
Blautia	1.5	1.03	0.79	2.38	1.58	0.93	2.43	2.02	0.56	1.62	1.57	1.1	1.43	0.96	0.64	0.32	1.22	1.46	0.61	1.98	1.02	2.25	1.76	1	0.95	2.2	1.53	1	0.84	3.04	1.21	0.79	1.08	1.69	0.56	0.93	0.53	0.58	0.47	0.87	0.45	1.2	0.57	0.44	1.12	0.59	0.87	2.2
Enterocloster	8.42	3.37	0.82	5.27	3.07	2.69	4.53	2.17	3.01	4.12	3.78	3.3	1.37	1.05	1.67	2.83	1.66	3.82	1.98	3.22	1.08	2.2	2.88	4.19	6.27	5.47	2.23	1.51	3.08	3.14	3.99	6.54	5.91	4.18	2.7	0.76	0.46	0.78	0.78	3.39	5.4	1.64	0.86	1.19	1.92	7.79	0.55	2.2
Acetatifactor	4.67	1.16	0.71	3.43	1.37	1.75	5.59	5.92	2.09	2.38	1.52	1.49	1.3	3.32	2.97	2.84	2.53	2.83	3.94	2.39	1.77	2.6	3.57	1.85	1.45	1.01	1.47	1.15	3.7	3.17	4.2	6.07	2.22	4.65	0.66	0.96	0.77	1.36	1.15	1.8	2.68	2.07	1.34	1.65	3.5	2.79	1.86	2.1
Duncaniella	1.47	3.38	2.88	1.94	1.98	3.58	3.62	1.81	1.08	2.11	3.69	1.72	3.93	2.02	2.39	1.18	1.89	4.94	2.62	5.53	2.19	4.34	5.62	3.04	1.63	4.86	2.73	2.44	4.83	1.53	1.86	0.94	1.23	2.96	2.36	3.93	3.75	1.45	1.07	4.91	0.72	1.66	3.18	2.71	1.01	2.24	3.67	1.9
Clostridium_XlVa	1.58	0.68	0.26	1.23	0.79	0.93	0.62	1.77	0.63	0.25	0.68	0.4	0.5	0.8	0.43	1.12	1.31	1.31	3.46	1.7	0.32	1.6	0.57	0.55	0.33	0.67	0.77	1.73	2.42	1.22	1.02	3.89	1.08	0.71	0.76	1.28	1.15	2.15	4.59	1.73	7.09	2.94	2.04	7.7	14.5	2.86	2.5	1.9
Oscillibacter	1.52	0.35	0.64	1.52	1.24	1.36	1.39	1.64	0.53	0.73	1.2	0.62	0.7	1.27	0.73	0.38	0.89	0.55	1.17	0.65	1.01	0.5	0.59	1.15	0.28	0.58	1.05	0.82	1.07	1.45	1.73	1.63	1.33	2.15	0.65	0.1	0.02	0.08	0.07	0.97	1.09	0.11	0.1	0.19	0.72	0.42	0.08	1.9
Bacteroides	0.76	2.55	3.11	3.21	1.34	2.01	0.77	0.96	0.84	1.36	2.86	0.94	2.67	0.71	0.43	0.28	0.71	2.76	0.92	2.7	1.13	0.65	0.68	1.08	0.61	3.93	0.65	0.51	1.91	0.94	1.37	0.65	1	1.54	1.65	0.23	0.27	0.48	0.1	0.37	0.52	0.32	0.3	0.33	0.19	0.2	0.67	1.7
Paramuribaculum	0.37	1.11	1.45	0.91	1.22	1.65	1.88	0.94	0.66	0.89	1.89	1.68	1.05	1.17	1.14	1.31	0.62	2.14	1.57	3.05	1.04	2.83	2.87	2.31	1.03	1.83	1.17	1.07	2.4	0.97	0.84	0.47	0.45	1.41	0.8	0.64	0.73	0.8	0.6	1.09	0.48	0.77	1.18	0.56	0.28	0.83	0.77	1.6
Clostridium_IV	0.75	0.65	0.96	1.49	1.44	1.18	1.16	0.88	0.75	1.18	0.74	0.85	0.74	1.36	0.97	1.28	0.94	0.6	1.22	0.6	1.68	0.66	0.66	1.04	0.57	0.54	0.58	0.7	0.47	1.25	1.36	0.86	1.18	1.05	0.48	0.25	0.15	0.19	0.08	0.63	0.22	0.1	0.08	0.22	0.14	0.3	0.24	1.4
Lachnospiracea_incertae_sedis	1.26	4.11	0.84	2.23	1.4	1.89	1.5	1.22	1.37	1.14	2.01	0.99	1.02	1.76	6.99	0.62	0.85	0.91	0.8	1.19	3.07	1.23	1.63	3.66	1.1	2.7	0.97	2.78	4.49	2.19	2.34	0.83	1.3	0.62	1.9	1.01	1.23	5.53	3.33	3.35	2.18	3.78	4.15	5.89	3.06	0.58	4.27	1.4
Lawsonibacter	0.46	0.1	0.28	2.16	0.44	0.53	0.83	0.42	0.39	0.14	0.52	0.78	0.25	0.33	0.15	0.73	0.38	0.21	0.2	0.18	0.61	0.12	0.22	0.3	0.22	0.28	0.13	0.14	0.34	0.48	1.01	1.72	0.93	0.77	1.36	0.13	0.07	0.28	0.06	0.61	0.52	0.17	0.09	0.06	0.16	0.14	0.06	1.2
