weeks	Control	Control	Control	Control	Control	Control	HFD	HFD	HFD	HFD	HFD	HFD	MD	MD	MD	MD	MD	MD
1	5.7	7.5	7.8	7.9	6.4	8.3	5.3	6.2	6.5	5.8	5.8	7	6	6.3	6.7	5.6	6.7	6.8
2	6.3	5.9	8.5	5.3	5.4	7.3	4.7	5	5.5	4.4	4.5	5.3	4.1	6.2	6.4	5.9	6.4	5
3	5.6	6.4	8	4.9	5.3	5.3	4.8	4.8	5.1	4.7	4.5	5.2	4.9	5.8	5.5	4.7	4.8	4.6
4	5.6	6.8	6.5	6.5	5	5.6	4.9	5.2	4.4	4.4	4.9	5.7	5.2	4.7	4.3	3.9	4.3	4.1
5	6	6.6	7	8.2	5.7	7.6	5.1	5.2	5.8	5.1	5.4	6.1	6.6	6.3	5.4	4.6	4.7	4.8
6	5.5	5.2	5.2	4.8	5	5.5	5	5.2	5.4	5	5	4.8	5.2	5.4	6.9	4.8	4.9	5.2
7	7.4	6.7	7.3	6.3	5.4	6.7	5.1	4.4	6.1	5.6	6.9	5.5	5.5	18.8	6.2	13.9	23.1	20.9
8	4.7	4.7	5.3	4.7	4.7	4.9	5.8	5.7	5.3	5.2	7.1	5.8	15.1	14.5	15	13.3	18.4	21
9	6.8	7	7	9	7.3	7.5	6.6	6.7	7.1	5.3	6.3	6.5	14.8	24.7	24.5	22.1	25.4	23.4
10	5.4	5.9	5.4	6.4	5.6	6.4	6	5.7	5.5	5	5.5	5.5	17.5	13	21.8	18.7	20.7	21.3
11	5.1	5.1	5.2	4.7	4.4	4.7	6.9	5	6.3	5.1	6.3	6	11.5	9.4	15.3	13.8	14.8	15.4
12	5.2	5	5.2	4.8	5.9	5.8	8.2	7.7	9.4	5.9	4.8	5.7	31.1	21.1	23.5	24.3	24.5	26.3
13	4.2	4.5	5.2	4.6	5.5	4.4	7.8	6.1	5.9	5.4	6.5	5.6	14	15	22.3	20.9	16	20.2
14	4.9	4.8	4.6	5.6	4.8	5.3	7.1	5.6	5.9	5.4	7.5	5.4	16.8	13.7	22.5	16.8	19.2	20.7
15	4.2	4.3	5.3	5.7	5.5	5.6	8.4	5.4	6.8	5.4	7.3	6.8	17	14.2	21.1	14.3	15	20.5
16	5.2	5.5	4.8	4.7	5.2	4.9	7.6	5.9	6.4	4.8	8	5.8	14.9	13.9	15.6	14.3	13.7	27.9
17	4.4	4.3	4.7	5.4	4.9	5	5.9	7.2	5.8	4.9	6.5	6	15	16.5	17.8	14.2	21.2	
