Mon Jul 29 21:54:50 2024
Group	Group
	diff	lwr	upr	p adj
MDC-HDC	0.000980903290797253	-3.698247974702	3.70020978128359	1
MDA-HDC	0.019456630300707	-3.67977224769209	3.7186855082935	1
HDB-HDC	0.0199317978220299	-3.67929708017077	3.71916067581483	1
MDB-HDC	0.021978171659609	-3.67725070633319	3.72120704965241	1
HDA-HDC	0.0290773297934401	-3.67015154819936	3.72830620778624	1
NCA-HDC	0.123421986593765	-3.57580689139903	3.82265086458656	0.999999999107182
NCB-HDC	3.25448889458908	-0.44473998340372	6.95371777258187	0.122341300464573
NCC-HDC	3.41373012813826	-0.285498749854534	7.11295900613106	0.0899642358864313
MDA-MDC	0.0184757270099097	-3.68075315098289	3.71770460500271	1
HDB-MDC	0.0189508945312327	-3.68027798346156	3.71817977252403	1
MDB-MDC	0.0209972683688118	-3.67823160962399	3.72022614636161	1
HDA-MDC	0.0280964265026429	-3.67113245149015	3.72732530449544	1
NCA-MDC	0.122441083302968	-3.57678779468983	3.82166996129576	0.999999999162234
NCB-MDC	3.25350799129828	-0.445720886694517	6.95273686929108	0.122567186033637
NCC-MDC	3.41274922484747	-0.286479653145332	7.11197810284026	0.090138972171812
HDB-MDA	0.000475167521322928	-3.69875371047147	3.69970404551412	1
MDB-MDA	0.00252154135890204	-3.69670733663389	3.7017504193517	1
HDA-MDA	0.00962069949273314	-3.68960817850006	3.70884957748553	1
NCA-MDA	0.103965356293058	-3.59526352169974	3.80319423428586	0.999999999772895
NCB-MDA	3.23503226428837	-0.464196613704427	6.93426114228117	0.126885926927494
NCC-MDA	3.39427349783756	-0.304955380155241	7.09350237583035	0.093484472710195
MDB-HDB	0.00204637383757911	-3.69718250415522	3.70127525183038	1
HDA-HDB	0.00914553197141021	-3.69008334602139	3.70837440996421	1
NCA-HDB	0.103490188771735	-3.59573868922106	3.80271906676453	0.99999999978105
NCB-HDB	3.23455709676705	-0.46467178122575	6.93378597475984	0.126998613514914
NCC-HDB	3.39379833031623	-0.305430547676564	7.09302720830903	0.09357188388091
HDA-MDB	0.00709915813383111	-3.69212971985897	3.70632803612663	1
NCA-MDB	0.101443814934156	-3.59778506305864	3.80067269292695	0.99999999981333
NCB-MDB	3.23251072292947	-0.466718155063329	6.93173960092227	0.127484845032983
NCC-MDB	3.39175195647865	-0.307476921514143	7.09098083447145	0.0939491234461064
NCA-HDA	0.0943446568003251	-3.60488422119247	3.79357353479312	0.999999999895429
NCB-HDA	3.22541156479564	-0.473817313197161	6.92464044278843	0.129183402128141
NCC-HDA	3.38465279834482	-0.314576079647975	7.08388167633762	0.0952678151317359
NCB-NCA	3.13106690799531	-0.568161969997485	6.83029578598811	0.153539597284122
NCC-NCA	3.2903081415445	-0.408920736448299	6.98953701953729	0.114323756731147
NCC-NCB	0.159241233549186	-3.53998764444361	3.85847011154198	0.999999993198476
Mon Jul 29 21:56:15 2024
Group	Group_big
	diff	lwr	upr	p adj
BHD-CMD	0.00219780745478504	-1.66153146074383	1.6659270756534	0.999994321220601
ANC-CMD	2.24974176802333	0.586012499824716	3.91347103622194	0.0057280421408733
ANC-BHD	2.24754396056854	0.583814692369931	3.91127322876716	0.00577889110668073
Mon Jul 29 21:58:29 2024
Group	Group
	diff	lwr	upr	p adj
NCA-NCB	0.208000000000001	-16.3089724626921	16.7249724626922	1
NCC-NCB	0.384000000000001	-16.1329724626921	16.9009724626921	0.999999999950105
HDB-NCB	0.644000000000002	-15.8729724626921	17.1609724626922	0.999999996907895
MDA-NCB	0.722000000000001	-15.7949724626921	17.2389724626921	0.999999992315159
HDA-NCB	1.384	-15.1329724626921	17.9009724626921	0.999998673986862
HDC-NCB	1.944	-14.5729724626921	18.4609724626922	0.999981320234673
MDB-NCB	2.362	-14.1549724626921	18.8789724626922	0.999917254000631
MDC-NCB	19.268	2.75102753730786	35.7849724626922	0.0123823160048208
NCC-NCA	0.176000000000001	-16.3409724626921	16.6929724626922	1
HDB-NCA	0.436000000000001	-16.0809724626921	16.9529724626921	0.999999999862322
MDA-NCA	0.514000000000001	-16.0029724626921	17.0309724626921	0.999999999487787
HDA-NCA	1.176	-15.3409724626921	17.6929724626922	0.999999632025434
HDC-NCA	1.736	-14.7809724626921	18.2529724626921	0.999992216672508
MDB-NCA	2.154	-14.3629724626921	18.6709724626921	0.999958956092997
MDC-NCA	19.06	2.54302753730785	35.5769724626922	0.013830370384637
HDB-NCC	0.260000000000001	-16.2569724626921	16.7769724626922	0.999999999997871
MDA-NCC	0.338	-16.1789724626921	16.8549724626921	0.999999999982026
HDA-NCC	1	-15.5169724626921	17.5169724626921	0.999999897877947
HDC-NCC	1.56	-14.9569724626921	18.0769724626922	0.999996614488056
MDB-NCC	1.978	-14.5389724626921	18.4949724626921	0.999978651965756
MDC-NCC	18.884	2.36702753730785	35.4009724626922	0.0151784659759092
MDA-HDB	0.0779999999999994	-16.4389724626921	16.5949724626921	1
HDA-HDB	0.74	-15.7769724626921	17.2569724626921	0.999999990651562
HDC-HDB	1.3	-15.2169724626921	17.8169724626921	0.999999189307825
MDB-HDB	1.718	-14.7989724626921	18.2349724626921	0.999992821921863
MDC-HDB	18.624	2.10702753730785	35.1409724626921	0.0173968355069388
HDA-MDA	0.662	-15.8549724626921	17.1789724626921	0.99999999614852
HDC-MDA	1.222	-15.2949724626921	17.7389724626921	0.999999501985849
MDB-MDA	1.64	-14.8769724626921	18.1569724626921	0.999994999384205
MDC-MDA	18.546	2.02902753730785	35.0629724626922	0.0181192462471437
HDC-HDA	0.56	-15.9569724626921	17.0769724626921	0.999999998985142
MDB-HDA	0.977999999999999	-15.5389724626921	17.4949724626921	0.999999914379729
MDC-HDA	17.884	1.36702753730785	34.4009724626922	0.0254739662012843
MDB-HDC	0.417999999999999	-16.0989724626921	16.9349724626921	0.999999999901694
MDC-HDC	17.324	0.807027537307853	33.8409724626922	0.0337487577827223
MDC-MDB	16.906	0.389027537307854	33.4229724626922	0.041447859396449
Mon Jul 29 22:00:19 2024
Group	Group
	diff	lwr	upr	p adj
NCA-NCB	0.208000000000001	-16.3089724626921	16.7249724626922	1
NCC-NCB	0.384000000000001	-16.1329724626921	16.9009724626921	0.999999999950105
HDB-NCB	0.644000000000002	-15.8729724626921	17.1609724626922	0.999999996907895
MDA-NCB	0.722000000000001	-15.7949724626921	17.2389724626921	0.999999992315159
HDA-NCB	1.384	-15.1329724626921	17.9009724626921	0.999998673986862
HDC-NCB	1.944	-14.5729724626921	18.4609724626922	0.999981320234673
MDB-NCB	2.362	-14.1549724626921	18.8789724626922	0.999917254000631
MDC-NCB	19.268	2.75102753730786	35.7849724626922	0.0123823160048208
NCC-NCA	0.176000000000001	-16.3409724626921	16.6929724626922	1
HDB-NCA	0.436000000000001	-16.0809724626921	16.9529724626921	0.999999999862322
MDA-NCA	0.514000000000001	-16.0029724626921	17.0309724626921	0.999999999487787
HDA-NCA	1.176	-15.3409724626921	17.6929724626922	0.999999632025434
HDC-NCA	1.736	-14.7809724626921	18.2529724626921	0.999992216672508
MDB-NCA	2.154	-14.3629724626921	18.6709724626921	0.999958956092997
MDC-NCA	19.06	2.54302753730785	35.5769724626922	0.013830370384637
HDB-NCC	0.260000000000001	-16.2569724626921	16.7769724626922	0.999999999997871
MDA-NCC	0.338	-16.1789724626921	16.8549724626921	0.999999999982026
HDA-NCC	1	-15.5169724626921	17.5169724626921	0.999999897877947
HDC-NCC	1.56	-14.9569724626921	18.0769724626922	0.999996614488056
MDB-NCC	1.978	-14.5389724626921	18.4949724626921	0.999978651965756
MDC-NCC	18.884	2.36702753730785	35.4009724626922	0.0151784659759092
MDA-HDB	0.0779999999999994	-16.4389724626921	16.5949724626921	1
HDA-HDB	0.74	-15.7769724626921	17.2569724626921	0.999999990651562
HDC-HDB	1.3	-15.2169724626921	17.8169724626921	0.999999189307825
MDB-HDB	1.718	-14.7989724626921	18.2349724626921	0.999992821921863
MDC-HDB	18.624	2.10702753730785	35.1409724626921	0.0173968355069388
HDA-MDA	0.662	-15.8549724626921	17.1789724626921	0.99999999614852
HDC-MDA	1.222	-15.2949724626921	17.7389724626921	0.999999501985849
MDB-MDA	1.64	-14.8769724626921	18.1569724626921	0.999994999384205
MDC-MDA	18.546	2.02902753730785	35.0629724626922	0.0181192462471437
HDC-HDA	0.56	-15.9569724626921	17.0769724626921	0.999999998985142
MDB-HDA	0.977999999999999	-15.5389724626921	17.4949724626921	0.999999914379729
MDC-HDA	17.884	1.36702753730785	34.4009724626922	0.0254739662012843
MDB-HDC	0.417999999999999	-16.0989724626921	16.9349724626921	0.999999999901694
MDC-HDC	17.324	0.807027537307853	33.8409724626922	0.0337487577827223
MDC-MDB	16.906	0.389027537307854	33.4229724626922	0.041447859396449
Mon Jul 29 22:00:25 2024
Group	Group_big
	diff	lwr	upr	p adj
BHD-ANC	1.12666666666667	-6.75748120919371	9.01081454252704	0.935820238599995
CMD-ANC	7.25333333333333	-0.630814542527046	15.1374812091937	0.0768680576062526
CMD-BHD	6.12666666666666	-1.75748120919371	14.010814542527	0.154724117141327
Mon Jul 29 22:00:55 2024
Group	Group
	diff	lwr	upr	p adj
NCA-NCB	0.208000000000001	-16.3089724626921	16.7249724626922	1
NCC-NCB	0.384000000000001	-16.1329724626921	16.9009724626921	0.999999999950105
HDB-NCB	0.644000000000002	-15.8729724626921	17.1609724626922	0.999999996907895
MDA-NCB	0.722000000000001	-15.7949724626921	17.2389724626921	0.999999992315159
HDA-NCB	1.384	-15.1329724626921	17.9009724626921	0.999998673986862
HDC-NCB	1.944	-14.5729724626921	18.4609724626922	0.999981320234673
MDB-NCB	2.362	-14.1549724626921	18.8789724626922	0.999917254000631
MDC-NCB	19.268	2.75102753730786	35.7849724626922	0.0123823160048208
NCC-NCA	0.176000000000001	-16.3409724626921	16.6929724626922	1
HDB-NCA	0.436000000000001	-16.0809724626921	16.9529724626921	0.999999999862322
MDA-NCA	0.514000000000001	-16.0029724626921	17.0309724626921	0.999999999487787
HDA-NCA	1.176	-15.3409724626921	17.6929724626922	0.999999632025434
HDC-NCA	1.736	-14.7809724626921	18.2529724626921	0.999992216672508
MDB-NCA	2.154	-14.3629724626921	18.6709724626921	0.999958956092997
MDC-NCA	19.06	2.54302753730785	35.5769724626922	0.013830370384637
HDB-NCC	0.260000000000001	-16.2569724626921	16.7769724626922	0.999999999997871
MDA-NCC	0.338	-16.1789724626921	16.8549724626921	0.999999999982026
HDA-NCC	1	-15.5169724626921	17.5169724626921	0.999999897877947
HDC-NCC	1.56	-14.9569724626921	18.0769724626922	0.999996614488056
MDB-NCC	1.978	-14.5389724626921	18.4949724626921	0.999978651965756
MDC-NCC	18.884	2.36702753730785	35.4009724626922	0.0151784659759092
MDA-HDB	0.0779999999999994	-16.4389724626921	16.5949724626921	1
HDA-HDB	0.74	-15.7769724626921	17.2569724626921	0.999999990651562
HDC-HDB	1.3	-15.2169724626921	17.8169724626921	0.999999189307825
MDB-HDB	1.718	-14.7989724626921	18.2349724626921	0.999992821921863
MDC-HDB	18.624	2.10702753730785	35.1409724626921	0.0173968355069388
HDA-MDA	0.662	-15.8549724626921	17.1789724626921	0.99999999614852
HDC-MDA	1.222	-15.2949724626921	17.7389724626921	0.999999501985849
MDB-MDA	1.64	-14.8769724626921	18.1569724626921	0.999994999384205
MDC-MDA	18.546	2.02902753730785	35.0629724626922	0.0181192462471437
HDC-HDA	0.56	-15.9569724626921	17.0769724626921	0.999999998985142
MDB-HDA	0.977999999999999	-15.5389724626921	17.4949724626921	0.999999914379729
MDC-HDA	17.884	1.36702753730785	34.4009724626922	0.0254739662012843
MDB-HDC	0.417999999999999	-16.0989724626921	16.9349724626921	0.999999999901694
MDC-HDC	17.324	0.807027537307853	33.8409724626922	0.0337487577827223
MDC-MDB	16.906	0.389027537307854	33.4229724626922	0.041447859396449
Mon Jul 29 22:01:24 2024
Group	Group_big
	diff	lwr	upr	p adj
BHD-ANC	1.12666666666667	-6.75748120919371	9.01081454252704	0.935820238599995
CMD-ANC	7.25333333333333	-0.630814542527046	15.1374812091937	0.0768680576062526
CMD-BHD	6.12666666666666	-1.75748120919371	14.010814542527	0.154724117141327
Mon Jul 29 22:01:58 2024
Group	group
	diff	lwr	upr	p adj
ANCA-ANCB	0.207999999999998	-16.3089724626921	16.7249724626921	1
ANCC-ANCB	0.384000000000006	-16.1329724626921	16.9009724626922	0.999999999950105
BHDB-ANCB	0.643999999999999	-15.8729724626921	17.1609724626921	0.999999996907895
CMDA-ANCB	0.722000000000002	-15.7949724626921	17.2389724626921	0.999999992315159
BHDA-ANCB	1.384	-15.1329724626921	17.9009724626921	0.999998673986862
BHDC-ANCB	1.944	-14.5729724626921	18.4609724626921	0.999981320234673
CMDB-ANCB	2.362	-14.1549724626921	18.8789724626921	0.999917254000631
CMDC-ANCB	19.268	2.75102753730786	35.7849724626921	0.0123823160048208
ANCC-ANCA	0.176000000000008	-16.3409724626921	16.6929724626922	1
BHDB-ANCA	0.436000000000001	-16.0809724626921	16.9529724626921	0.999999999862322
CMDA-ANCA	0.514000000000004	-16.0029724626921	17.0309724626921	0.999999999487787
BHDA-ANCA	1.176	-15.3409724626921	17.6929724626922	0.999999632025434
BHDC-ANCA	1.736	-14.7809724626921	18.2529724626921	0.999992216672508
CMDB-ANCA	2.154	-14.3629724626921	18.6709724626921	0.999958956092997
CMDC-ANCA	19.06	2.54302753730786	35.5769724626921	0.013830370384637
BHDB-ANCC	0.259999999999993	-16.2569724626922	16.7769724626921	0.999999999997871
CMDA-ANCC	0.337999999999996	-16.1789724626921	16.8549724626921	0.999999999982026
BHDA-ANCC	0.999999999999996	-15.5169724626921	17.5169724626921	0.999999897877947
BHDC-ANCC	1.56	-14.9569724626921	18.0769724626921	0.999996614488056
CMDB-ANCC	1.97799999999999	-14.5389724626922	18.4949724626921	0.999978651965756
CMDC-ANCC	18.884	2.36702753730785	35.4009724626921	0.0151784659759092
CMDA-BHDB	0.078000000000003	-16.4389724626921	16.5949724626921	1
BHDA-BHDB	0.740000000000003	-15.7769724626921	17.2569724626921	0.999999990651562
BHDC-BHDB	1.3	-15.2169724626921	17.8169724626921	0.999999189307825
CMDB-BHDB	1.718	-14.7989724626921	18.2349724626921	0.999992821921863
CMDC-BHDB	18.624	2.10702753730785	35.1409724626921	0.0173968355069388
BHDA-CMDA	0.662	-15.8549724626921	17.1789724626921	0.99999999614852
BHDC-CMDA	1.222	-15.2949724626921	17.7389724626921	0.999999501985849
CMDB-CMDA	1.63999999999999	-14.8769724626921	18.1569724626921	0.999994999384205
CMDC-CMDA	18.546	2.02902753730785	35.0629724626921	0.0181192462471436
BHDC-BHDA	0.56	-15.9569724626921	17.0769724626921	0.999999998985142
CMDB-BHDA	0.977999999999995	-15.5389724626922	17.4949724626921	0.999999914379729
CMDC-BHDA	17.884	1.36702753730785	34.4009724626921	0.0254739662012842
CMDB-BHDC	0.417999999999994	-16.0989724626921	16.9349724626921	0.999999999901694
CMDC-BHDC	17.324	0.807027537307853	33.8409724626921	0.0337487577827223
CMDC-CMDB	16.906	0.389027537307857	33.4229724626921	0.0414478593964492
Mon Jul 29 22:02:04 2024
Group	Group_big
	diff	lwr	upr	p adj
BHD-ANC	1.12666666666667	-6.75748120919371	9.01081454252704	0.935820238599995
CMD-ANC	7.25333333333333	-0.630814542527046	15.1374812091937	0.0768680576062526
CMD-BHD	6.12666666666666	-1.75748120919371	14.010814542527	0.154724117141327
Mon Jul 29 22:08:42 2024
Group	group
	diff	lwr	upr	p adj
ANCA-ANCB	0.207999999999998	-16.3089724626921	16.7249724626921	1
ANCC-ANCB	0.384000000000006	-16.1329724626921	16.9009724626922	0.999999999950105
BHDB-ANCB	0.643999999999999	-15.8729724626921	17.1609724626921	0.999999996907895
CMDA-ANCB	0.722000000000002	-15.7949724626921	17.2389724626921	0.999999992315159
