OTU	Group
ASV_1	HD11
ASV_1	HD12
ASV_1	HD13
ASV_1	HD14
ASV_1	HD15
ASV_1	HD3
ASV_1	HD4
ASV_1	HD7
ASV_1	HD8
ASV_1	MD1
ASV_1	MD10
ASV_1	MD11
ASV_1	MD12
ASV_1	MD13
ASV_1	MD14
ASV_1	MD2
ASV_1	MD3
ASV_1	MD4
ASV_1	MD7
ASV_1	MD8
ASV_1	MD9
ASV_1	NC1
ASV_1	NC10
ASV_1	NC11
ASV_1	NC12
ASV_1	NC15
ASV_1	NC2
ASV_1	NC3
ASV_1	NC4
ASV_1	NC5
ASV_1	NC7
ASV_2	HD10
ASV_2	HD11
ASV_2	HD12
ASV_2	HD13
ASV_2	HD14
ASV_2	HD15
ASV_2	HD2
ASV_2	HD3
ASV_2	HD4
ASV_2	HD5
ASV_2	HD6
ASV_2	HD7
ASV_2	HD8
ASV_2	HD9
ASV_2	MD1
ASV_2	MD10
ASV_2	MD11
ASV_2	MD12
ASV_2	MD14
ASV_2	MD2
ASV_2	MD4
ASV_2	MD5
ASV_2	MD6
ASV_2	MD7
ASV_2	MD8
ASV_2	MD9
ASV_2	NC10
ASV_2	NC11
ASV_2	NC12
ASV_2	NC13
ASV_2	NC14
ASV_2	NC15
ASV_2	NC6
ASV_2	NC7
ASV_2	NC8
ASV_4	HD11
ASV_4	HD12
ASV_4	HD13
ASV_4	HD14
ASV_4	HD15
ASV_4	HD4
ASV_4	HD6
ASV_4	HD7
ASV_4	MD15
ASV_4	MD5
ASV_4	NC10
ASV_4	NC11
ASV_4	NC12
ASV_4	NC13
ASV_4	NC14
ASV_4	NC15
ASV_4	NC6
ASV_4	NC7
ASV_4	NC8
ASV_4	NC9
ASV_15	HD10
ASV_15	HD11
ASV_15	HD12
ASV_15	HD13
ASV_15	HD14
ASV_15	HD15
ASV_15	HD3
ASV_15	HD4
ASV_15	HD6
ASV_15	HD8
ASV_15	HD9
ASV_15	MD1
ASV_15	MD10
ASV_15	MD11
ASV_15	MD12
ASV_15	MD13
ASV_15	MD2
ASV_15	MD3
ASV_15	MD4
ASV_15	MD6
ASV_15	MD7
ASV_15	MD8
ASV_15	MD9
ASV_15	NC10
ASV_15	NC11
ASV_15	NC12
ASV_15	NC13
ASV_15	NC14
ASV_15	NC15
ASV_15	NC4
ASV_15	NC6
ASV_15	NC8
ASV_15	NC9
ASV_3	HD10
ASV_3	HD11
ASV_3	HD12
ASV_3	HD13
ASV_3	HD14
ASV_3	HD2
ASV_3	HD3
ASV_3	HD4
ASV_3	HD5
ASV_3	HD6
ASV_3	HD9
ASV_3	MD1
ASV_3	MD11
ASV_3	MD12
ASV_3	MD13
ASV_3	MD2
ASV_3	MD3
ASV_3	MD4
ASV_3	MD6
ASV_3	MD7
ASV_3	MD8
ASV_3	NC1
ASV_3	NC10
ASV_3	NC11
ASV_3	NC12
ASV_3	NC13
ASV_3	NC14
ASV_3	NC15
ASV_3	NC2
ASV_3	NC3
ASV_3	NC4
ASV_3	NC5
ASV_3	NC6
ASV_3	NC7
ASV_3	NC8
ASV_3	NC9
ASV_6	HD10
ASV_6	HD11
ASV_6	HD12
ASV_6	HD13
ASV_6	HD14
ASV_6	HD15
ASV_6	HD2
ASV_6	HD3
ASV_6	HD4
ASV_6	HD5
ASV_6	HD6
ASV_6	HD7
ASV_6	HD8
ASV_6	HD9
ASV_6	MD1
ASV_6	MD10
ASV_6	MD11
ASV_6	MD12
ASV_6	MD14
ASV_6	MD2
ASV_6	MD3
ASV_6	MD4
ASV_6	MD5
ASV_6	MD6
ASV_6	MD7
ASV_6	MD8
ASV_6	MD9
ASV_6	NC1
ASV_6	NC10
ASV_6	NC15
ASV_6	NC2
ASV_6	NC3
ASV_6	NC4
ASV_6	NC5
ASV_6	NC6
ASV_6	NC7
ASV_6	NC8
ASV_6	NC9
ASV_9	HD11
ASV_9	HD12
ASV_9	HD13
ASV_9	HD14
ASV_9	HD15
ASV_9	HD3
ASV_9	HD4
ASV_9	HD7
ASV_9	HD8
ASV_9	MD1
ASV_9	MD10
ASV_9	MD11
ASV_9	MD12
ASV_9	MD14
ASV_9	MD2
ASV_9	MD3
ASV_9	MD4
ASV_9	MD7
ASV_9	MD9
ASV_9	NC1
ASV_9	NC10
ASV_9	NC11
ASV_9	NC12
ASV_9	NC15
ASV_9	NC2
ASV_9	NC3
ASV_9	NC4
ASV_9	NC5
ASV_9	NC7
ASV_8	HD10
ASV_8	HD14
ASV_8	HD15
ASV_8	HD2
ASV_8	HD3
ASV_8	HD4
ASV_8	HD5
ASV_8	MD1
ASV_8	MD3
ASV_8	MD4
ASV_8	MD5
ASV_12	HD10
ASV_12	HD11
ASV_12	HD12
ASV_12	HD13
ASV_12	HD14
ASV_12	HD15
ASV_12	HD2
ASV_12	HD4
ASV_12	HD5
ASV_12	HD6
ASV_12	HD7
ASV_12	HD9
ASV_12	MD10
ASV_12	MD11
ASV_12	MD12
ASV_12	MD14
ASV_12	MD2
ASV_12	MD3
ASV_12	MD4
ASV_12	MD5
ASV_12	MD7
ASV_12	MD8
ASV_12	MD9
ASV_12	NC1
ASV_12	NC12
ASV_12	NC13
ASV_12	NC4
ASV_7	MD11
ASV_7	MD12
ASV_7	MD13
ASV_7	MD14
ASV_7	MD15
ASV_5	HD10
ASV_5	HD11
ASV_5	HD12
ASV_5	HD13
ASV_5	HD14
ASV_5	HD15
ASV_5	HD2
ASV_5	HD4
ASV_5	HD5
ASV_5	HD6
ASV_5	HD7
ASV_5	HD8
ASV_5	HD9
ASV_5	MD3
ASV_5	MD4
ASV_5	MD5
ASV_5	MD7
ASV_5	MD8
ASV_5	MD9
ASV_5	NC1
ASV_5	NC10
ASV_5	NC2
ASV_5	NC3
ASV_5	NC4
ASV_5	NC7
ASV_5	NC9
ASV_13	HD10
ASV_13	HD11
ASV_13	HD12
ASV_13	HD13
ASV_13	HD14
